areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00072641,83.5,13,3.5
E00072642,84.9,12,3.1
E00072643,90,7.4,2.6
E00072644,84.4,10.4,5.2
E00072645,87.6,9.4,3
E00072646,81.7,13.4,4.9
E00072647,91.8,6.3,1.9
E00072648,87.9,9.1,3
E00072649,92.1,7.3,0.7
E00072650,82.1,12.7,5.2
E00072651,88.6,8.7,2.6
E00072652,86.8,9.7,3.5
E00072653,91.5,6.5,2
E00072654,89.9,8.6,1.5
E00072655,82,13.8,4.2
E00072656,86.8,12.4,0.8
E00072657,91.3,8.7,0
E00072658,86.3,10.8,2.9
E00072659,81.4,14,4.6
E00072660,88.2,8.2,3.6
E00072661,85.6,10.8,3.6
E00072662,88,9.6,2.3
E00072663,87.6,9.5,2.9
E00072664,84.7,12.4,3
E00072665,82.1,13.3,4.5
E00072685,84.8,10.8,4.3
E00072686,85.7,10.4,3.9
E00072689,87,11.1,1.9
E00072690,78.3,15.6,6.1
E00072691,83.9,13.2,2.8
E00072692,86.6,10.6,2.7
E00072693,88.4,8,3.6
E00072694,82.9,13.5,3.7
E00072695,78.3,16.7,5
E00072696,89.9,8.4,1.7
E00072697,78.8,16.7,4.5
E00072698,81.7,15.8,2.5
E00072699,85,10.2,4.7
E00072700,84.7,12.4,3
E00072701,89.4,8.1,2.5
E00072702,84.1,12.8,3.1
E00072703,84.6,11.8,3.6
E00072714,83.9,13.4,2.7
E00072830,81.6,13,5.5
E00072831,87,10.2,2.7
E00072832,76.4,12.4,11.2
E00072833,88.4,7.9,3.7
E00072834,87.8,7.9,4.3
E00072835,85.7,11.3,3
E00072836,89.8,9.2,1.1
E00072837,85.3,11.3,3.4
E00072838,82.6,13.6,3.7
E00072839,90.1,7.7,2.2
E00072840,81.9,14.9,3.2
E00072841,90.1,8.5,1.4
E00072842,87.2,9.9,2.9
E00072844,77.8,17.8,4.3
E00072845,79.3,15.5,5.2
E00072846,87.2,9.4,3.4
E00072847,84.1,12.6,3.3
E00072848,77.2,17.8,5
E00072849,77.5,18.1,4.4
E00072850,80.8,13.3,5.9
E00072851,80.5,15.2,4.3
E00072852,82.4,13,4.6
E00072853,74.6,17.6,7.8
E00072854,84.4,11.2,4.4
E00072855,70.9,17.4,11.7
E00072856,76.7,18.4,4.9
E00072857,83.7,11.7,4.6
E00072858,84.7,10.5,4.9
E00072859,85.5,11.5,3
E00072860,78.1,16.7,5.2
E00072861,84,12.5,3.5
E00072862,81,14.4,4.6
E00072864,81.2,14.4,4.4
E00072865,79,14.8,6.3
E00072866,82.7,13,4.2
E00072867,82.3,14.4,3.3
E00072868,80.4,14.5,5.1
E00072869,73.6,16.1,10.4
E00072870,81.4,15.3,3.3
E00072925,82.2,11,6.8
E00072926,88.2,9.6,2.2
E00072927,84.5,11.7,3.8
E00072930,85.6,12.3,2.1
E00072931,83.6,12.5,4
E00072932,71.8,20.8,7.4
E00072933,66.2,25.2,8.6
E00072934,86.7,10,3.3
E00072935,83,11.3,5.7
E00072936,80.6,14.1,5.3
E00072937,71.9,20.9,7.2
E00072938,81.2,13.8,5
E00072940,84.3,12.3,3.3
E00072941,82.6,11.9,5.5
E00072963,78.3,13.9,7.9
E00072964,83.9,12.1,4
E00072965,85.7,11.5,2.9
E00072966,89.3,7.5,3.2
E00073020,82.5,14.7,2.8
E00073021,81.7,13.8,4.6
E00073022,85.4,11.5,3.1
E00073023,86.9,10.6,2.5
E00073024,76,18.8,5.2
E00073025,84.4,12.3,3.3
E00073026,76.7,17.8,5.5
E00073027,89.2,7.8,3
E00073028,75,18.8,6.2
E00073029,84.8,13.6,1.6
E00073071,82.5,13.7,3.8
E00073073,81.1,13.4,5.6
E00073075,73.3,19.1,7.6
E00073076,80.5,15.2,4.3
E00073077,76.1,15.2,8.7
E00073079,76.9,17.4,5.7
E00073080,85.6,10.1,4.4
E00073081,82.4,13,4.6
E00073085,86.6,10.6,2.8
E00073086,74.3,17.2,8.5
E00074447,85.2,9.8,5
E00074489,84.4,10.9,4.7
E00074490,84.5,10.1,5.4
E00074491,92,6.6,1.4
E00074492,88.1,8.9,3
E00074493,74.9,14.9,10.3
E00074494,90.1,6.9,2.9
E00074495,89.7,8.2,2.2
E00074496,88.4,8.8,2.8
E00074497,83.8,12.4,3.7
E00074498,89.4,8.3,2.2
E00074499,82.3,10.6,7.1
E00074500,88,9.3,2.7
E00074501,85.8,11.3,2.9
E00074502,89.4,7.9,2.7
E00074576,84.3,12.5,3.1
E00074577,84.1,14.1,1.7
E00074578,82.2,13,4.8
E00074579,76.4,15.2,8.4
E00074580,88.8,7.9,3.3
E00074581,88.3,9.6,2.2
E00074582,83.9,11.2,4.9
E00074583,89.1,7.9,3
E00074584,73.6,18.5,7.9
E00074585,79.6,15.1,5.3
E00074586,85.4,10.4,4.2
E00075019,84.6,10.2,5.3
E00075020,86.9,9.9,3.3
E00075021,90.7,7.2,2.1
E00075022,82,12.8,5.2
E00075023,86.1,8,5.9
E00075024,88.3,9.8,1.9
E00075025,89.7,8,2.4
E00075026,90,8.7,1.3
E00075049,85.3,12.2,2.4
E00075050,67.9,20,12.1
E00075051,87.6,8.9,3.5
E00075052,86.3,9.9,3.8
E00075053,87.8,10,2.2
E00075054,88.8,8.9,2.3
E00075055,82.4,15.2,2.4
E00075056,88.5,9.6,2
E00075057,88.2,9.9,1.9
E00075058,90.9,7.7,1.4
E00075059,85.9,8.2,5.8
E00075060,76.3,12.9,10.8
E00075061,85.9,9.2,4.9
E00075062,84.9,13.5,1.6
E00075063,83.7,11.6,4.8
E00075067,88.9,9.4,1.7
E00075072,82.9,14.3,2.8
E00075083,86,11.7,2.3
E00075086,72.3,19.7,8
E00147779,80.7,14.3,5
E00147780,84.3,12.2,3.4
E00147781,81.4,13.6,5
E00147782,87.7,8.2,4.1
E00147783,80.6,15.7,3.8
E00147784,80.8,15.4,3.8
E00147785,84.3,10,5.7
E00147786,80.6,12,7.4
E00147796,83.6,13.9,2.5
E00147797,84.4,11.3,4.3
E00147798,82.8,13.7,3.5
E00147799,81,15.1,3.9
E00147802,82.4,11.9,5.7
E00147803,91.7,6.7,1.7
E00147804,83.6,12.2,4.2
E00147814,84.4,11.1,4.5
E00147815,80.4,13.1,6.5
E00147816,85.4,11.7,2.9
E00147817,81,15.4,3.6
E00147818,85.3,11.3,3.4
E00147819,84.5,10.5,4.9
E00147948,86.2,10.7,3.1
E00147949,83.7,13.3,3
E00147950,85.2,13.1,1.7
E00147951,83.7,9.6,6.7
E00147952,77.7,16.1,6.2
E00147953,81,15,4
E00147954,77.8,17.4,4.9
E00147963,86,11,3.1
E00147973,88.7,9.2,2.1
E00147974,89,8.4,2.5
E00147975,86,11.4,2.6
E00147976,85.8,10.6,3.6
E00147977,85.2,12.1,2.8
E00147978,87.2,9.6,3.2
E00147979,85.8,10.5,3.7
E00147980,78.1,9.6,12.2
E00147995,85,11.6,3.3
E00147996,79,14.9,6.2
E00148002,84.7,11.5,3.7
E00148003,85.2,12.7,2.1
E00148004,82.4,13,4.6
E00148005,83.2,14.8,2
E00148006,87.4,10.3,2.3
E00148007,81.7,12.7,5.6
E00148008,88,9.7,2.3
E00148009,85.2,11.1,3.7
E00148010,86,11.4,2.6
E00148012,90.3,8.2,1.5
E00148013,85,12,3.1
E00148014,83.5,10.6,5.8
E00148015,81.3,11.5,7.3
E00148016,80.4,15.1,4.6
E00148017,84,12.4,3.6
E00148018,83.5,13.8,2.7
E00148019,81.3,14.3,4.4
E00148020,88.4,8.3,3.3
E00148021,88.4,8.9,2.6
E00148022,83.7,12.9,3.3
E00148023,81.2,14,4.8
E00148024,89,8.3,2.6
E00148026,82.2,14.1,3.7
E00148027,82.9,13.2,3.8
E00148028,79.6,12.4,8
E00148029,82.2,14.2,3.6
E00148030,83.6,11,5.3
E00148031,78.8,16.9,4.2
E00148032,68.3,22.9,8.8
E00148033,80.1,13.6,6.3
E00148034,73.2,20.1,6.8
E00148035,80.9,15,4.1
E00148036,90.5,8.3,1.2
E00148037,75,20.2,4.8
E00148038,87.4,9.6,3.1
E00148039,82,11.7,6.4
E00148040,82.5,14.6,2.9
E00148041,80.7,14.3,5
E00148042,88.7,8.5,2.7
E00148043,76,18,6.1
E00148044,82,15.1,2.9
E00148045,82.9,12.3,4.7
E00148046,83.8,10.5,5.7
E00148047,78.6,14.5,6.9
E00148051,83.1,13.3,3.6
E00148052,81.6,12.8,5.6
E00148095,80.8,15.8,3.4
E00148096,79.1,16.2,4.7
E00148097,86.2,9.7,4.2
E00148098,77.1,17.9,5
E00148099,81.6,14.9,3.5
E00148100,75,18.4,6.6
E00148101,72.3,20.7,7
E00148103,77.7,16.8,5.5
E00148105,68.9,20.7,10.4
E00148106,77.1,16.9,6
E00148107,67.7,21.2,11.1
E00148108,83.1,13.7,3.2
E00148109,75,17,8
E00148110,80.4,14.5,5.1
E00148111,78.1,14.9,6.9
E00148112,69.1,25,5.9
E00148113,78.9,14.9,6.1
E00148114,79.8,16.5,3.7
E00148115,73.8,20.4,5.7
E00148116,70.5,18.9,10.6
E00148118,83.1,12.6,4.3
E00148119,80.7,14.1,5.2
E00148120,79.2,13,7.8
E00148121,78.6,15,6.4
E00148122,79.6,17.3,3.1
E00148123,80.4,12.8,6.8
E00148124,82.9,13.3,3.8
E00148125,79.4,16.2,4.4
E00148126,88.8,7.3,4
E00148127,91.1,7.2,1.7
E00148128,83.2,14.5,2.3
E00148129,77.3,13,9.7
E00148130,84.2,13.1,2.7
E00148131,78,17.3,4.7
E00148136,84.9,11.1,3.9
E00148348,70.5,20.1,9.4
E00148349,88.5,9.3,2.2
E00148350,89.1,9.2,1.7
E00148351,81.7,13.6,4.7
E00148352,84,12.6,3.4
E00148354,87.8,9.3,2.8
E00148355,82.4,14.2,3.3
E00148356,88.6,8.7,2.8
E00148357,82.8,13.8,3.4
E00148358,86.4,9.4,4.2
E00148359,79.2,15.6,5.2
E00148360,81.7,11.5,6.8
E00148361,84.5,11.6,3.9
E00148362,75,18.8,6.3
E00148363,75.3,16.1,8.7
E00148364,79.8,14.2,6
E00148365,60.9,27.8,11.3
E00148366,86.3,9.9,3.8
E00148367,82.7,14.2,3.1
E00148368,87,10.5,2.5
E00148469,85.3,12.5,2.1
E00148470,89.6,7.7,2.7
E00148472,83,14.9,2.1
E00148473,81.9,10.8,7.2
E00148475,84.9,12.1,3
E00165857,77.4,16.9,5.6
E00165858,87.5,9.3,3.1
E00165859,84.6,13.5,1.9
E00165860,75,19.5,5.5
E00165861,90.4,7.1,2.5
E00165862,87,9.1,3.9
E00186525,86.7,13.3,0
E00186582,76.3,15.9,7.7
E00186600,94.5,4.8,0.7
E00186602,50,30.4,19.6
E00186618,86.2,10.3,3.4
E00186620,87.2,10.3,2.6
E00186629,84.1,12.8,3.1
E00186635,84,13.2,2.8
E00186637,86.2,11.6,2.2
E00186641,88.5,9.4,2
E00186654,83.4,12,4.5
E00186658,83.7,10.5,5.9
E00189449,92.6,4.6,2.8
E00189450,82.1,14.5,3.4
E00189468,88.7,8.8,2.4
E00189474,88.4,9.2,2.4
E00189492,83.6,12.2,4.3
E00189502,84.1,12.5,3.3
E00189516,84.8,11,4.2
E00189535,88.3,9.8,1.9
E00189545,89.4,8.5,2.1
E00189581,82.2,13,4.8
E00189589,89,7,4
E00189590,83.5,12.5,4
E00189591,87.8,8.6,3.6
E00189601,89.5,6.6,3.9
E00189603,88.6,8.2,3.2
E00189614,83.5,10.8,5.7
