geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00089718,21.6,32.1,17.9,28.4
E00089719,13.1,18.5,12.3,56.2
E00089720,28.3,36.6,15.9,19.3
E00089721,41.1,27.2,16.8,14.9
E00089722,14.6,37.5,25,22.9
E00089723,22.6,34,15.1,28.3
E00089724,28,44,12.8,15.2
E00089725,30.4,38.4,15.2,16.1
E00089726,20.7,42.9,16.4,20
E00089727,23.7,37,15.6,23.7
E00089728,9,29.1,23.1,38.8
E00089729,25.6,36.3,10.6,27.5
E00089730,20,42.8,18.6,18.6
E00089731,13.9,37.5,16.7,31.9
E00089733,24.2,31.3,18,26.6
E00089734,20.6,43.4,10.3,25.7
E00089735,12.5,39.2,20.8,27.5
E00089736,18.6,35.4,18.6,27.4
E00089758,20.5,28.2,18.8,32.5
E00089759,17.8,25,18.4,38.8
E00089760,23.8,27.8,20.6,27.8
E00089761,11.9,37.3,19,31.7
E00089762,25.7,28.5,21.5,24.3
E00089763,25,39.1,13.3,22.7
E00089764,35.4,30.7,15.7,18.1
E00089765,21.2,31.4,13.1,34.3
E00089766,18.9,35.4,23.6,22
E00089767,30.9,26.5,25.7,16.9
E00089768,34.6,30.8,15.9,18.7
E00089769,57.7,29.1,7.4,5.8
E00089770,35.7,37.2,12.4,14.7
E00089772,45.5,31.6,15.8,7.2
E00089773,36.4,28.7,10.5,24.5
E00089774,27.3,34.3,15.4,23.1
E00089775,43,31.6,14.9,10.5
E00089776,33.9,35.4,15,15.7
E00089777,24.2,40.2,15.2,20.5
E00089778,40.2,30.8,12.1,16.8
E00089779,26.3,30.5,18.6,24.6
E00089780,32.8,30.3,17.6,19.3
E00089781,17.1,40.7,16.3,26
E00089782,20.6,36.2,17,26.2
E00089786,17.2,37.1,15.9,29.8
E00089787,17.9,35.8,13.8,32.5
E00089788,20.7,24,23.1,32.2
E00089789,31.4,37.8,15.1,15.7
E00089790,21.5,34.6,17.7,26.2
E00089791,22.3,32.4,20.1,25.2
E00089792,18,26.3,21.1,34.6
E00089793,11.2,19.2,23.2,46.4
E00089794,41,26.7,12.4,19.9
E00090218,15.8,36.7,20.8,26.7
E00090226,21.1,34.1,17.9,26.8
E00090227,19.7,33.1,18.9,28.3
E00090485,27,35.2,15.6,22.1
