areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
W00005185,36.1,63.9
W00005189,61.8,38.2
W00005191,35.5,64.5
W00005192,34.1,65.9
W00005318,53.7,46.3
W00005319,46.3,53.7
W00005320,40.3,59.7
W00005321,62,38
W00005322,37.1,62.9
W00005324,40.6,59.4
W00005325,48.1,51.9
W00005326,38.8,61.2
W00005327,60,40
W00005329,42.2,57.8
W00005330,58.3,41.7
W00005331,34.4,65.6
W00005332,32.8,67.2
W00005333,53.6,46.4
W00005334,56.4,43.6
W00005335,52.7,47.3
W00005338,59.8,40.2
W00005506,54,46
W00005510,40.2,59.8
W00005511,42.9,57.1
W00005512,55.2,44.8
W00005513,54.1,45.9
W00005514,49,51
W00005515,53.6,46.4
W00005516,65.7,34.3
W00006105,41.2,58.8
W00006106,36.7,63.3
W00006107,55.8,44.2
W00006108,54.2,45.8
W00006109,51.4,48.6
W00006110,51.1,48.9
W00006111,47.9,52.1
W00006112,26.6,73.4
W00006113,35.2,64.8
W00006114,33.3,66.7
W00006115,47.3,52.7
W00006116,50.4,49.6
W00006117,48.5,51.5
W00006118,42.3,57.7
W00006119,42.6,57.4
W00006120,51.6,48.4
W00006121,47.6,52.4
W00006122,58.8,41.2
W00006123,34.7,65.3
W00006124,39.8,60.2
W00006125,56.6,43.4
W00006126,47.2,52.8
W00006127,55.5,44.5
W00006129,48.5,51.5
W00006174,33.5,66.5
W00006175,39.2,60.8
W00006176,49.8,50.2
W00006177,45.5,54.5
W00006178,21.7,78.3
W00006179,33.5,66.5
W00006180,38.1,61.9
W00006181,32.9,67.1
W00006182,26.4,73.6
W00006183,40.7,59.3
W00006184,31.2,68.8
W00006185,38.6,61.4
W00006186,42.3,57.7
W00006187,48.6,51.4
W00006188,40.5,59.5
W00006189,49.3,50.7
W00006190,32,68
W00006191,25,75
W00006192,45.8,54.2
W00006193,35.5,64.5
W00006209,53.8,46.2
W00006210,47,53
W00006211,46.9,53.1
W00006212,39.5,60.5
W00006213,49.5,50.5
W00006214,37.9,62.1
W00006215,43.9,56.1
W00006216,35.1,64.9
W00006217,30.7,69.3
W00006218,43.9,56.1
W00006219,31.3,68.8
W00006230,35.9,64.1
W00006233,32.6,67.4
W00006234,21.2,78.8
W00006235,23.9,76.1
W00006236,39,61
W00006237,27.4,72.6
W00006238,57.5,42.5
W00006265,52.7,47.3
W00006266,54.3,45.7
W00006268,59.9,40.1
W00006269,56.5,43.5
W00006270,44.9,55.1
W00006271,43.6,56.4
W00006272,56.6,43.4
W00006273,31.4,68.6
W00006274,52.6,47.4
W00006275,33.1,66.9
W00006276,52.7,47.3
W00006277,32.9,67.1
W00006278,51.4,48.6
W00006280,36.9,63.1
W00006281,39,61
W00006282,29.7,70.3
W00006283,38.1,61.9
W00006284,53.1,46.9
W00006286,64,36
W00006287,51.7,48.3
W00006289,35.9,64.1
W00006290,48.2,51.8
W00006291,42.8,57.2
W00006292,42.2,57.8
W00006293,55.8,44.2
W00006294,51.9,48.1
W00006295,50,50
W00006296,58.2,41.8
W00006297,55.3,44.7
W00006298,63.4,36.6
W00006299,55.9,44.1
W00006309,36.1,63.9
W00006314,42.1,57.9
W00006316,52.1,47.9
W00006400,47.9,52.1
W00006401,35.5,64.5
W00006402,42.7,57.3
W00006403,32.2,67.8
W00006404,37.6,62.4
W00006405,49.8,50.2
W00006406,43.5,56.5
W00006407,25.3,74.7
W00006408,37.2,62.8
W00006409,44.2,55.8
W00006410,26.9,73.1
W00006411,34.9,65.1
W00006412,42.2,57.8
W00006413,49,51
W00006414,43.7,56.3
W00006415,35.7,64.3
W00006416,37.7,62.3
W00006417,48.4,51.6
W00006418,35.5,64.5
W00006429,60.4,39.6
W00006430,50,50
W00006431,51.7,48.3
W00006432,59.7,40.3
W00006433,68.6,31.4
W00006434,67.3,32.7
W00006435,64,36
W00006437,58.9,41.1
W00006438,34.4,65.6
W00006439,46.4,53.6
W00006440,66.4,33.6
W00006441,31.7,68.3
W00006442,55,45
W00006443,47.2,52.8
W00006444,45,55
W00006445,63.7,36.3
W00006446,61,39
W00006447,52,48
W00006448,41.6,58.4
W00006449,50.7,49.3
W00006450,56,44
W00006451,30.1,69.9
W00006453,57.7,42.3
W00006454,55.1,44.9
W00006455,58.2,41.8
W00006456,56.7,43.3
W00006457,33,67
W00006458,38.3,61.7
W00006459,39.8,60.2
W00006460,37.8,62.2
W00006461,45.1,54.9
W00006462,56,44
W00006463,31.4,68.6
W00006466,42.9,57.1
W00006467,59,41
W00006468,53.5,46.5
W00006469,45.9,54.1
W00006470,48.1,51.9
W00006471,43.3,56.7
W00006472,34.6,65.4
W00006473,41.3,58.8
W00006474,28.3,71.7
W00006475,38,62
W00006476,63.3,36.7
W00006484,38.5,61.5
W00006485,46.4,53.6
W00006486,36.3,63.7
W00006487,41.4,58.6
W00006488,49.4,50.6
W00006489,30,70
W00006490,36.7,63.3
W00006491,29.3,70.7
W00006492,27.9,72.1
W00006493,35,65
W00006494,38.8,61.2
W00006495,38.9,61.1
W00006496,50.5,49.5
W00006497,45,55
W00006498,50.6,49.4
W00006499,43.8,56.2
W00006527,20.6,79.4
W00006528,47.2,52.8
W00006529,44.8,55.2
W00006530,50.7,49.3
W00006531,54.5,45.5
W00006532,48.6,51.4
W00006533,63.3,36.7
W00006534,32.9,67.1
W00006535,29.6,70.4
W00006562,44.3,55.7
W00006564,42,58
W00006565,58.1,41.9
W00006566,28,72
W00006567,37.2,62.8
W00006568,13,87
W00006569,39.2,60.8
W00006570,35.4,64.6
W00006571,28.1,71.9
W00006572,37.2,62.8
W00006573,51.5,48.5
W00006574,62.2,37.8
W00006575,36.1,63.9
W00006576,31.8,68.2
W00006577,57.8,42.2
W00006578,53.3,46.7
W00006579,47.3,52.7
W00006580,38.5,61.5
W00006581,37.9,62.1
W00006583,49.4,50.6
W00006584,43.9,56.1
W00006585,39.3,60.7
W00006586,45.6,54.4
W00006587,30.3,69.7
W00006588,35.8,64.2
W00006589,42.4,57.6
W00006590,44.2,55.8
W00006592,38.4,61.6
W00006593,22.8,77.2
W00006594,28.1,71.9
W00006697,40.5,59.5
W00006698,41,59
W00006699,27.2,72.8
W00006700,54.2,45.8
W00006701,49.4,50.6
W00006702,53.7,46.3
W00006703,57.7,42.3
W00006704,39.8,60.2
W00006705,37.9,62.1
W00006706,29.1,70.9
W00006707,30.3,69.7
W00006708,33.9,66.1
W00009893,49.8,50.2
W00009895,50.8,49.2
W00009896,57.1,42.9
W00009898,53.6,46.4
W00009899,53.2,46.8
W00009900,44.2,55.8
W00009901,50,50
W00009902,60.2,39.8
W00009906,43,57
W00009908,58.8,41.2
W00009910,44.8,55.2
W00009913,62.8,37.2
W00009914,68.2,31.8
W00009915,66.7,33.3
W00009949,51.4,48.6
W00009950,43.5,56.5
W00009969,48.7,51.3
W00010267,51.1,48.9
W00010272,43.7,56.3
W00010275,38.4,61.6
W00010284,56.8,43.2
W00010286,65.8,34.2
W00010289,46.2,53.8
W00010291,54.9,45.1
W00010293,59.5,40.5
W00010294,27,73
W00010303,50.5,49.5
W00010306,53.2,46.8
W00010308,49.1,50.9
W00010311,49.2,50.8
W00010313,38.9,61.1
W00010314,56.5,43.5
W00010315,59.1,40.9
W00010395,47.8,52.2
W00010410,40,60
