areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00014858,35.8,43.2,4.3,16.7
E00154778,49.2,38.1,0,12.7
E00154974,30.2,46.8,0,23
E00154976,16.6,25.2,47.2,11
E00154979,20.3,30.1,39.8,9.8
E00154981,23.9,51.4,0,24.6
E00154982,24.8,33.1,31.6,10.5
E00154983,13.5,30.4,1.4,54.7
E00155074,41.3,47.6,1.6,9.5
E00155075,27.9,47.3,3.1,21.7
E00155076,17.7,47.4,28.6,6.3
E00155077,49.6,33.1,0.8,16.5
E00155078,49.6,44,0.8,5.6
E00155079,51.6,39.7,1.6,7.1
E00155080,50,41,0,9
E00155081,26.2,19,34.9,19.8
E00155082,43.1,54.5,0,2.4
E00155083,54.3,36.2,0,9.4
E00155084,42.7,35.9,0.8,20.6
E00155085,41,43.3,0,15.7
E00155086,38.6,44.1,7.9,9.4
E00155087,25,58.9,5.6,10.5
E00155088,27.3,52.5,15.3,4.9
E00155090,37.5,42,0.9,19.6
E00155091,44.7,43.9,0.8,10.6
E00155092,49.6,35.8,0,14.6
E00155109,17.9,19.7,23.4,39
E00155110,17,21.4,21.4,40.2
E00155112,31.2,35.2,4.8,28.8
E00155116,41.4,20.7,0,37.9
E00155117,39.3,43.9,0,16.8
E00155118,22.2,35.6,0,42.2
E00155122,52.8,34.6,0,12.6
E00155126,27.9,27,14.8,30.3
E00155127,16.5,18.3,53,12.2
E00155145,50.4,44.8,0.8,4
E00155146,42.3,30,1.5,26.2
E00155147,30.4,36.6,0.9,32.1
E00155148,37,40.3,0.6,22.1
E00155149,39.7,39.7,1.6,19
E00155150,52.1,26.9,4.2,16.8
E00155151,48.8,43.9,0.8,6.5
E00155152,53.1,36.6,0.7,9.7
E00155153,51.1,38.1,0,10.8
E00155154,49.6,36.5,4.4,9.5
E00155156,44.9,50.3,0,4.8
E00155157,51.5,33.6,0.7,14.2
E00155158,26.5,29.7,12.9,31
E00155159,36.8,41.7,7.2,14.3
E00155160,24,31.4,31.4,13.2
E00155161,16.7,41.3,31.9,10.1
E00155590,52.5,44.1,0.8,2.5
E00155591,42.3,55,0.9,1.8
E00155592,46.3,46.3,0,7.4
E00155593,51.1,43.7,0.7,4.4
E00155594,54.9,36.8,0.8,7.5
E00155595,56.6,37.7,0,5.7
E00155596,28.8,37.3,0,33.9
E00155597,31.7,46.8,1.6,19.8
E00155598,27.8,38.3,28.7,5.2
E00155599,54.4,40.1,0.7,4.8
E00155600,14.2,14.2,59.4,12.3
E00155601,46.6,32.3,1.5,19.5
E00155602,38.2,52.2,0.7,8.8
E00155603,55.3,36.2,0,8.5
E00155604,35.2,43,14.5,7.3
E00155605,56.6,35.7,0,7.8
E00155606,41.8,35.1,17.9,5.2
E00155608,52,38.2,0,9.9
E00155609,53.2,41.9,0.8,4
E00155610,56.2,36.3,0.7,6.8
E00155611,44.2,31.7,15.8,8.3
E00155612,14.9,17.7,53.2,14.2
E00155613,39.6,36.8,0.7,22.9
E00155614,49.3,29.6,0.7,20.4
E00155615,23.4,32.3,40.3,4
E00155616,20.7,30.2,41.4,7.8
E00155617,64.5,33.9,0.8,0.8
E00155618,67.2,23.4,3.9,5.5
E00155619,48.6,41.4,2.9,7.1
E00155620,51.3,19.7,3.9,25
E00155621,40.4,44.9,1.5,13.2
E00155622,47.4,42.1,0.8,9.8
E00155623,52.5,36,3.6,7.9
E00155624,32.8,22.4,27.2,17.6
E00155625,54.2,38.2,0.8,6.9
E00155626,40.9,53.2,0,5.8
E00155627,45.5,48,1.6,4.9
E00155628,44,38.8,13.8,3.4
E00155629,45.9,37.7,10.1,6.3
E00155630,43.5,48.9,1.5,6.1
E00155631,49.2,29.5,0.8,20.5
E00155632,46.1,24,2.6,27.3
E00155760,32.2,29.8,7.4,30.6
E00155761,49.6,41.9,1.6,7
E00155762,47.5,45.4,1.4,5.7
E00155763,47,50.7,2.2,0
E00155764,48.3,44.1,0,7.7
E00155765,69,26.9,0,4.1
E00155802,15.9,31.7,42.9,9.5
E00155803,7.5,16.4,59.6,16.4
E00155804,17.1,38.5,26.5,17.9
E00155805,30.7,36.4,20.5,12.5
E00155806,3.1,8.2,80.4,8.2
E00155807,21.5,26.2,46.9,5.4
E00155808,17.2,31.9,29.3,21.6
E00155809,15.4,34,18.6,32.1
E00155810,25.9,44,0.9,29.3
E00155811,9.7,36.2,35.1,18.9
E00155812,26.4,50.7,1.4,21.6
E00155815,19.7,28.8,46.2,5.3
E00155816,32.7,35.3,0.6,31.4
E00155817,45,45,0.8,9.2
E00155818,27.8,26.6,12.4,33.1
E00155819,15.4,17.3,18.7,48.6
E00155820,11,6.3,74.8,7.9
E00155821,27.6,23.3,1.9,47.1
E00155822,46.9,32.7,2,18.4
E00155823,25.1,50.8,0.6,23.5
E00155825,20.4,22.4,43.9,13.3
E00155826,53.2,39.5,0,7.3
E00155827,29.4,40.4,16.5,13.8
E00155828,48.3,19.5,15.3,16.9
E00155829,61,28.8,1.4,8.9
E00155831,45.8,30,9.7,14.5
E00155834,41,26.7,1.2,31.1
E00155835,19,29.9,1.5,49.6
E00155836,29,43,3.7,24.3
E00155837,38.5,24.3,6.8,30.4
E00155838,20.2,26.1,3.7,50
E00166055,21.8,49.3,9.2,19.7
E00166057,10.6,55.3,29.8,4.3
E00166058,12,17,12,59
E00166062,11.9,40.3,20.9,26.9
E00166063,23.6,10.4,4.9,61.1
E00166065,7.8,13.6,9.1,69.5
E00166102,19.7,60.6,1.5,18.2
E00166104,21.3,43.3,20.5,15
E00170378,36.2,44.8,5.5,13.5
E00170379,4.3,48.9,3.3,43.5
E00170380,7.1,41,32.1,19.9
E00170381,8.1,29,12.1,50.8
E00170382,38.6,31.4,1.4,28.6
E00180581,23.6,40.6,9.4,26.4
E00180582,10.4,43.8,35.4,10.4
E00180591,13.3,63,16,7.7
E00180592,25.6,36.8,30.4,7.2
E00180623,42,12.2,2.3,43.5
E00180638,4,19.9,28.5,47.7
E00190501,37.9,36.4,18.6,7.1
E00190502,54.1,31.1,7.4,7.4
