areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00014858,1.2,20.9,57.1,20.9
E00154778,4.2,4.2,3.4,88.1
E00154974,1.4,29,65.2,4.3
E00154976,13.9,32.5,36.1,17.5
E00154979,10.5,9.7,74.2,5.6
E00154981,2.1,25.4,60.6,12
E00154982,33.8,18.8,38.3,9
E00154983,15.9,45.7,26.5,11.9
E00155074,0.8,26.2,54.8,18.3
E00155075,0.8,41.1,24.8,33.3
E00155076,4.6,21.4,37.6,36.4
E00155077,2.3,45.5,36.4,15.9
E00155078,0.8,2.4,43.2,53.6
E00155079,1.6,11.7,24.2,62.5
E00155080,3.3,19,20.7,57
E00155081,21.8,38.7,25,14.5
E00155082,0,10.7,60.7,28.7
E00155083,5.6,3.2,29.4,61.9
E00155084,2.3,21.4,56.5,19.8
E00155085,0,69.7,22.7,7.6
E00155086,5.5,33.1,33.1,28.3
E00155087,0,18.5,61.3,20.2
E00155088,0,6,55.7,38.3
E00155090,5.2,30.4,30.4,33.9
E00155091,2.4,21.1,45.5,30.9
E00155092,0.8,17.9,32.5,48.8
E00155109,61.9,30.3,6.4,1.4
E00155110,42.2,26.6,8.3,22.9
E00155112,11.2,16,42.4,30.4
E00155116,16.6,16.6,43.2,23.7
E00155117,1.9,14.2,58.5,25.5
E00155118,8.1,20.7,42.2,28.9
E00155122,2.3,1.6,64.8,31.3
E00155126,18.7,45.1,16.3,19.9
E00155127,40.2,38.5,17.1,4.3
E00155145,0.8,3.3,39,56.9
E00155146,15.4,19.2,26.9,38.5
E00155147,7.1,27.7,40.2,25
E00155148,2.6,17.5,27.9,51.9
E00155149,1.6,20.6,23,54.8
E00155150,22.7,39.5,24.4,13.4
E00155151,0.8,5.6,14.5,79
E00155152,1.4,8.3,33.8,56.6
E00155153,0.7,26.6,27.3,45.3
E00155154,2.9,20.1,36.7,40.3
E00155156,0,15.6,36.1,48.3
E00155157,1.5,11.9,40,46.7
E00155158,28.8,31.4,15.4,24.4
E00155159,11.8,28.5,27.1,32.6
E00155160,1.7,32.5,46.7,19.2
E00155161,0.7,12.5,79.4,7.4
E00155590,0,9.4,56.4,34.2
E00155591,0,0,45,55
E00155592,0,2.5,51.6,45.9
E00155593,0,5.2,46.3,48.5
E00155594,1.5,14.2,27.6,56.7
E00155595,0,5.7,27.9,66.4
E00155596,25.4,28.8,29.7,16.1
E00155597,0.8,24.4,47.2,27.6
E00155598,1.7,7.8,73,17.4
E00155599,2.7,2.7,27,67.6
E00155600,66,25.2,4.9,3.9
E00155601,7.6,22.1,32.8,37.4
E00155602,2.2,12.4,60.6,24.8
E00155603,0.7,5.7,19.1,74.5
E00155604,0.6,4.2,29.7,65.5
E00155605,0,7,20.3,72.7
E00155606,19.9,14.7,15.4,50
E00155608,1.3,15.2,53,30.5
E00155609,0,10.5,23.4,66.1
E00155610,0,4.2,11.8,84
E00155611,0.8,10,25,64.2
E00155612,15,55.7,19.3,10
E00155613,3.5,38.9,43.1,14.6
E00155614,24.3,27.6,30.3,17.8
E00155615,9.8,13.8,48,28.5
E00155616,9.6,29.6,47,13.9
E00155617,12.1,9.7,11.3,66.9
E00155618,25.6,25.6,17.1,31.8
E00155619,7,15.5,24.6,52.8
E00155620,11.1,34,39.9,15
E00155621,5.2,24.6,35.1,35.1
E00155622,0,11.5,22.1,66.4
E00155623,6.5,15.8,28.1,49.6
E00155624,37.1,14.5,7.3,41.1
E00155625,0,9.2,25.4,65.4
E00155626,2.4,8.2,22.4,67.1
E00155627,1.6,5.7,41.5,51.2
E00155628,1.7,5.2,47,46.1
E00155629,1.2,11.8,47.2,39.8
E00155630,2.3,5.4,34.6,57.7
E00155631,8.2,15.6,34.4,41.8
E00155632,11.1,35.9,26.1,26.8
E00155760,18.7,26.8,40.7,13.8
E00155761,8.5,24,34.9,32.6
E00155762,2.2,12.4,50.4,35
E00155763,1.5,11.9,48.1,38.5
E00155764,2.1,2.8,21.1,73.9
E00155765,6.9,11.7,9,72.4
E00155802,4,17.5,70.6,7.9
E00155803,54.9,36.1,4.9,4.2
E00155804,9.6,27,58.3,5.2
E00155805,11.4,38.6,45.5,4.5
E00155806,50,40.6,5.2,4.2
E00155807,5.4,38.8,45.7,10.1
E00155808,21,30.3,42,6.7
E00155809,25.9,43.7,25.9,4.4
E00155810,13.7,19.7,51.3,15.4
E00155811,32.3,55.4,9.7,2.7
E00155812,11.6,19.7,51,17.7
E00155815,11.5,5.3,77.1,6.1
E00155816,20.5,25,28.2,26.3
E00155817,0,8.3,55.4,36.4
E00155818,36.5,38.2,21.8,3.5
E00155819,53.5,34.7,9.4,2.3
E00155820,56.8,30.4,10.4,2.4
E00155821,58.9,31.6,5.7,3.8
E00155822,3.9,9.8,25.5,60.8
E00155823,20.8,39.9,17.4,21.9
E00155825,48,23.5,20.4,8.2
E00155826,2.4,15.2,25.6,56.8
E00155827,18.3,13.8,57.8,10.1
E00155828,18.9,45.1,24.6,11.5
E00155829,8.2,17.7,27.9,46.3
