areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00071777,13,51.3,35.7
E00071778,10.3,49.5,40.2
E00071779,4.9,46.3,48.8
E00071785,6.3,56.7,37
E00071786,10.8,50.9,38.3
E00071787,9.7,64.1,26.2
E00071808,15.3,53.2,31.5
E00071811,8.5,61,30.5
E00071812,8.9,60.5,30.6
E00071813,10.1,55.6,34.3
E00071814,14.8,57.4,27.8
E00071815,14.5,59.8,25.6
E00071816,11,58.5,30.5
E00071817,3.6,51.8,44.5
E00071818,10.5,53.2,36.3
E00071827,0,69.1,30.9
E00071828,4.9,68.9,26.2
E00071829,15,54.2,30.8
E00071836,26.2,35.5,38.3
E00071840,11.9,60.4,27.7
E00071841,7.4,76.9,15.7
E00071842,6.3,70.8,22.9
E00071843,6.5,74.2,19.4
E00071844,6.1,75.5,18.4
E00071845,10.1,59.6,30.3
E00071846,13,65.2,21.7
E00071859,10.6,50.4,38.9
E00071860,12.3,61.3,26.4
E00071861,8.9,71.1,20
E00071862,10.8,57.8,31.3
E00071863,6.1,60,33.9
E00071864,12,63.9,24.1
E00071865,6.9,73.3,19.8
E00071866,8.8,44.8,46.4
E00071867,19.1,56.4,24.5
E00071868,1,69.5,29.5
E00071869,7.1,58.7,34.1
E00071870,14.7,44.8,40.5
E00071871,9.4,52.9,37.6
E00071872,12.3,59.3,28.4
E00071873,15.5,60.9,23.6
E00071874,7.2,70.1,22.7
E00071875,12.9,58.9,28.2
E00071876,9.8,70.7,19.6
E00071877,9.6,62.3,28.1
E00071878,11.9,74.6,13.6
E00071879,8.8,53.5,37.7
E00071880,10.1,70.8,19.1
E00071881,11.3,58.3,30.4
E00071882,7.9,74.2,18
E00071883,12.9,58.1,29
E00071884,14.4,65.4,20.2
E00071885,9.5,72.2,18.3
E00071886,9.9,54.5,35.5
E00071887,9.2,85.1,5.7
E00071888,6.7,69.5,23.8
E00071889,8.5,68.9,22.6
E00071890,7,54.8,38.3
E00071891,11.7,72.1,16.2
E00071892,9,73,18
E00071893,7.2,56.8,36
E00071894,9.3,46.2,44.4
E00071895,9.1,55.4,35.5
E00071896,6.3,58.6,35.1
E00071897,6.3,59.5,34.2
E00071898,9,50.5,40.5
E00072063,14.5,45.8,39.8
E00072064,13.6,46.6,39.8
E00072065,16.3,47.5,36.3
E00072066,15.4,57.3,27.3
E00072067,25.3,56.3,18.4
E00072068,13.1,56.6,30.3
E00072069,11.8,67.1,21.2
E00072070,12,47.8,40.2
E00072071,8.6,58.6,32.9
E00072072,12.9,54.8,32.3
