areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00007029,91.4,0,8.6,0
E00007030,93.5,0,6.5,0
E00007032,96.5,0,3.5,0
E00118415,90.7,0,9.3,0
E00118431,93.3,1,5.7,0
E00118436,76.8,0.2,22.7,0.2
E00118437,94.6,0,5.4,0
E00118439,97.9,0.4,1.8,0
E00118440,93.7,0,6.3,0
E00118443,93.2,0,6.8,0
E00118446,95.9,0,4.1,0
E00118447,94,0,5.7,0.3
E00118452,86.6,0,13.4,0
E00119717,92.1,1.1,5.7,1.1
E00119718,92,0.6,7.4,0
E00119722,95.3,0,4.2,0.5
E00119724,94.4,0,5.6,0
E00119725,88.9,0.9,9.9,0.3
E00119726,96.9,0,3.1,0
E00119727,89.8,0.6,8.5,1.2
E00119728,90.2,0.7,8.5,0.7
E00119729,91.4,0.3,7.5,0.8
E00119731,93.8,0,5.9,0.3
E00119732,96.1,0,3.4,0.4
E00119733,87.6,1.9,9.6,1
E00119734,92.5,0,7.1,0.4
E00119735,94.2,0,5.8,0
E00119736,93.8,0,6.2,0
E00119737,98.5,0,1.5,0
E00119738,92,0.7,7,0.3
E00121399,89.3,0,10.7,0
E00121403,75.2,2.4,15.4,6.9
E00121593,85.3,0.6,12.7,1.5
E00121594,94.6,0.3,5.1,0
E00121595,89.1,0.6,9.7,0.6
E00121596,90.7,0.3,8.2,0.8
E00121597,85.5,0.9,11.7,1.8
E00121598,92.4,0,7.6,0
E00121599,90.2,1,8.8,0
E00121600,91.6,0,8.4,0
E00121601,95.7,0,4.3,0
E00121602,94.9,0.3,4.9,0
E00121603,78.5,0,19.7,1.8
E00121604,94.8,0.6,4.7,0
E00121605,97.6,0,2.2,0.3
E00121606,93.6,0,6.4,0
E00121607,90.6,0.9,8.5,0
E00121608,93.2,0.7,5.9,0.3
E00121609,93,0,5.6,1.3
