areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
W00000005,21.2,37.4,30,11.3
W00000006,25,41.7,22.4,10.9
W00000008,22.7,47.9,19.3,10.1
W00000009,20.9,45.6,23.6,9.9
W00000010,4.1,49,34.5,12.4
W00000011,4,40.8,37.6,17.6
W00000012,9,36.1,44.4,10.5
W00000013,18,47.8,23.6,10.7
W00000084,22.7,50.7,21.3,5.3
W00000086,23.7,50.5,20.6,5.2
W00000087,2.4,38.1,48.8,10.7
W00000088,13.2,43.1,35.4,8.3
W00000090,9.8,37.7,39.3,13.1
W00000100,8,36.8,41.6,13.6
W00000101,17.9,44.8,29,8.3
W00000102,5.5,25,50,19.5
W00000103,5.8,41.7,33.3,19.2
W00000104,10.5,41.9,35.5,12.1
W00000105,4.3,34.8,34.8,26.1
W00000106,13.8,36.2,29,21
W00000107,6.2,29.2,30.4,34.2
W00000108,5.2,40,37.1,17.6
W00000111,10,30.9,37.3,21.8
W00000112,8.8,39.2,36,16
W00000138,21.8,38.7,28.9,10.6
W00000141,2.8,36.7,37.6,22.9
W00000142,7.4,32.8,35.2,24.6
W00000156,4.9,37.9,36.9,20.4
W00000157,5.1,35.3,40.4,19.2
W00000158,3.1,34.4,35.9,26.7
W00000159,5.5,45.2,29.5,19.9
W00000160,12,51.1,23.3,13.5
W00000161,12,37.3,34.9,15.7
W00000162,32.2,38.1,25.4,4.2
W00000163,9.1,33.8,37,20.1
W00000164,7.8,48.9,28.9,14.4
W00009977,33.3,42.9,15.1,8.7
W00009978,15.7,47.9,25.6,10.7
W00009979,19.2,43.3,28.3,9.2
W00009980,34.2,43,18.4,4.4
W00009981,10.7,46.3,32.2,10.7
