geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00015710,14.2,13.3,5.2,62.1,5.2
E00015711,9.2,27.2,2.7,57.9,3.1
E00015714,11.3,32.5,4.1,50.5,1.5
E00015715,9,23.5,4.5,61,2
E00015719,11.1,26.5,1.7,55.4,5.4
E00015720,15.4,21.2,4,56,3.3
E00015722,16.1,24.9,4.9,51.9,2.1
E00015723,9.1,28.8,3.3,55.3,3.5
E00015724,11.6,21.2,1.7,63.4,2.1
E00015726,9.9,19.7,3.1,65.5,1.8
E00015729,12.5,23.5,2.1,61.9,0
E00015730,17.3,24.3,2.4,52.9,3.1
E00015731,14,21.6,3.5,57.1,3.8
E00015848,18.6,34.5,3.4,41.9,1.7
E00015853,12.3,35.4,7.4,42.8,2.2
E00015854,42.6,32.8,2.7,19.1,2.7
E00015855,21,27.3,6.3,42.9,2.5
E00015856,12.5,38.4,3.9,42.3,2.8
E00015857,21.4,33.2,3.6,37.5,4.3
E00015859,24,29.4,3.6,40.1,2.9
E00015863,10.7,45,2.9,38.9,2.5
E00015867,14.5,25.4,2.6,56,1.6
E00015868,13.6,22.6,6,51.1,6.8
E00015870,18.7,28,4.5,45.1,3.7
E00015871,13.4,24.4,4.1,54.4,3.7
E00015873,17.9,36.5,3.6,40.5,1.6
E00015874,21.2,35.2,3.8,38.2,1.7
E00015876,17.8,32.4,5.5,37.2,7.1
E00015879,17.4,40.9,3.5,34.7,3.5
E00015880,16,27.9,3.8,48.5,3.8
E00015883,16.1,34.6,5.1,39.7,4.5
E00015884,20.8,30.7,5.6,39.8,3
E00015885,14.8,35.4,4.1,44,1.6
E00015887,15.9,30.7,5.2,45.6,2.6
E00015888,12.1,45.2,5,34.2,3.6
E00015889,12.9,33.1,5,44.6,4.3
E00017037,10.7,24.7,2,57,5.6
E00017038,20.5,26.5,2.1,48.8,2.1
E00017039,19.2,26.8,2.9,47.3,3.8
E00017040,13.6,21.7,3.7,59.2,1.8
E00017041,5.5,26.6,1.5,65.8,0.5
E00017043,15.2,29.2,4.2,47.7,3.8
E00017044,21.5,30.7,4,39.4,4.4
E00017047,13.1,32.3,2.5,47.9,4.2
E00017048,13.4,26.2,1,58.4,1
E00017051,9.5,23,1.9,62.8,2.8
E00017053,17.6,18,2.3,57.5,4.6
E00017054,7.5,24.6,4.4,60.5,3.1
E00017056,8.8,21.2,1.7,66,2.4
E00017058,12.1,43.8,4.8,39.3,0
