geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00003110,85.3,11.1,3.6
E00003111,89.3,8.7,2
E00003112,79.2,12.8,7.9
E00003113,67.4,27.6,5
E00003114,75.2,16,8.8
E00003115,88.8,9.1,2.1
E00003124,86.1,10.5,3.4
E00003125,92.2,6.5,1.3
E00003146,89,9,2
E00003147,88.6,8.3,3.1
E00003148,89.3,7.7,3
E00003149,73.4,17.4,9.2
E00003150,84.3,12.5,3.1
E00003151,83.6,12,4.4
E00003152,89.6,9.1,1.3
E00003153,87.5,9.5,3
E00003154,92.2,7,0.8
E00003155,87.3,10.1,2.5
E00003156,81.7,15.7,2.7
E00003157,89.3,9.1,1.6
E00003158,84.4,11.5,4.2
E00003159,89.9,8.7,1.4
E00003160,79.7,13.4,6.9
E00003161,83.3,12.2,4.4
E00003162,84.4,12.5,3.1
E00003163,90.5,7.3,2.3
E00003164,78,15.4,6.6
E00003165,88.7,8.2,3.1
E00003166,87.8,10.1,2
E00003167,87.6,8.9,3.6
E00003168,78.3,16,5.6
E00003169,77.1,17.2,5.7
E00003170,81,13.9,5.1
E00003171,91.3,6.8,1.9
E00003172,83.3,12.5,4.3
E00003173,87.8,8.8,3.4
E00003174,82.3,13.9,3.9
E00003176,87.5,8.2,4.3
E00003177,85.9,11,3.1
E00003178,86.6,10.5,2.9
E00003179,89.4,6.4,4.2
E00003180,86.6,11.6,1.8
E00003181,84.4,14.2,1.4
E00003182,90,7,3
E00003183,85.5,11.4,3.1
E00003184,79.8,14.3,5.9
E00003185,89.4,7.9,2.7
E00003186,87.2,9.3,3.6
E00003187,90.2,7.9,1.8
E00003188,87.7,9.4,2.9
E00003189,87.8,8.7,3.5
E00003190,87.5,9.2,3.3
E00003191,85.5,11.4,3.2
E00003192,88.8,9.2,2
E00003194,90.2,7.6,2.2
E00003195,86.9,10.1,3
E00003196,79.9,15.3,4.7
E00003197,83.6,12,4.5
E00003198,85.5,8.8,5.7
E00003199,82.2,11.3,6.5
E00003200,87.6,8.4,4.1
E00003201,83.8,12.3,3.8
E00003202,86.8,9.7,3.5
E00003203,81.5,13.4,5
E00003204,88,7.6,4.4
E00003206,78.8,12.6,8.6
E00003207,87,7.7,5.3
E00003208,77.4,14.2,8.4
E00003209,79.3,14.1,6.6
E00003210,83.2,11.9,4.9
E00003211,83.9,10.8,5.3
E00003212,77.3,14.3,8.4
E00003213,86,10.1,3.9
E00003214,77.6,16.5,5.9
E00003215,81.8,12.2,6
E00003216,86,9.8,4.2
E00003217,85.4,10.6,4
E00003218,88.9,9.6,1.5
E00003219,90,8.4,1.6
E00003220,89.6,8.6,1.8
E00003221,90,9.1,0.9
E00003222,87.8,10.3,1.9
E00003223,86.8,10.1,3.1
E00003224,88.1,8.4,3.5
E00003225,85.4,11.5,3.1
E00003226,86.5,10,3.5
E00003227,88.3,8.3,3.4
E00003228,90.9,7.9,1.3
E00003229,89.3,8.5,2.1
E00003230,90.6,7.3,2.1
E00003231,83.7,10.2,6.1
E00003237,86.8,10.1,3.1
E00003238,86.5,10.3,3.2
E00003239,87.5,8.8,3.6
E00003240,78.3,14.6,7.1
E00003267,85.7,10.5,3.9
E00003268,92,5.8,2.2
E00003269,88.5,8.7,2.8
E00003270,88.6,9.8,1.5
E00003271,88.8,9.9,1.4
E00003272,89.8,7.4,2.9
E00003273,85.5,10.1,4.3
E00003275,85.2,11,3.8
E00003276,92.8,6,1.2
E00003277,90.7,7.6,1.7
E00003278,88.4,10.8,0.8
E00003279,81.9,12.6,5.5
E00003285,87.7,10.2,2.1
E00003286,89.2,9.5,1.3
E00003287,88.1,9.3,2.6
E00003288,84.8,11.7,3.4
E00003289,86.4,10.7,2.9
E00003290,91.8,6.9,1.3
E00003291,85.9,10.2,3.9
E00003292,64,20.8,15.2
E00003293,85.4,9.5,5.1
E00003294,80.7,13.5,5.8
E00003295,85.1,10.3,4.6
E00003296,88.5,8.8,2.7
E00003297,88.8,10.3,0.9
E00003298,82.9,12.8,4.3
E00003299,88.8,9.3,1.9
E00003300,87.3,8.8,4
E00003301,92.1,7.6,0.3
E00003302,88.7,8.5,2.8
E00003303,87.1,8.7,4.2
E00003304,75.9,16.9,7.1
E00003305,85.1,9.7,5.2
E00003306,85.5,11.3,3.1
E00003307,87.9,8.3,3.8
E00003308,87.2,9.9,2.9
E00003309,85.5,11.4,3
E00003310,90.4,6.1,3.5
E00003311,88.7,10.2,1.1
E00003312,90.2,6.3,3.5
E00003313,84.4,11.5,4.1
E00003314,88.2,10.7,1.1
E00003315,91,7.8,1.1
E00003316,89.5,9,1.5
E00003318,82.6,13.6,3.8
E00003319,88.2,10,1.8
E00003320,85.4,10.2,4.3
E00003321,87.3,9.4,3.2
E00003322,82.8,14.2,2.9
E00003323,87.2,9.4,3.4
E00003324,83.5,12.7,3.8
E00003325,90.6,8,1.5
E00003326,91.1,6.8,2.1
E00003327,83.8,13.1,3
E00003328,87.4,8.8,3.8
E00003331,89,6.8,4.2
E00003332,90,9.3,0.8
E00003345,87.3,11.5,1.2
E00003493,77.2,15.6,7.2
E00003494,81.1,14.2,4.7
E00003495,78.8,14.3,6.9
E00003496,85.7,12.1,2.2
E00003497,83.3,14.3,2.4
E00003498,81.9,13.3,4.8
E00003499,80.3,14.8,4.8
E00003500,76.3,12.8,10.9
E00003501,81.8,12.3,6
E00003502,78.5,16.2,5.3
E00003503,80.8,11.5,7.7
E00003504,86.8,9.5,3.7
E00003505,83.5,13.6,2.9
E00003506,76.6,16.4,7
E00003507,77.6,15.7,6.7
E00003508,84.4,10,5.6
E00003509,81.3,12.4,6.3
E00003510,87.1,9.4,3.6
E00003512,81.3,12.4,6.3
E00003513,85.4,12.5,2.1
E00003514,82.3,12.5,5.2
E00003516,83.8,10.4,5.8
E00003517,84.1,9.8,6.1
E00003518,84.4,11,4.6
E00003519,83.8,11.6,4.7
E00003520,84.1,9.7,6.2
E00003521,82.8,13.2,4
E00003522,86.3,10.1,3.6
E00003523,79.1,13,7.9
E00003524,85.1,9.6,5.3
E00003525,79.6,14.9,5.5
E00003526,85.5,10.2,4.3
E00003527,79.8,13.7,6.5
E00003528,77.7,16.1,6.3
E00003529,81,12.9,6.1
E00003530,85.3,10,4.7
E00003531,82,13.9,4.1
E00003532,75.6,17.2,7.1
E00003533,83.1,12.5,4.4
E00003534,85.5,10,4.4
E00003535,88.4,10.8,0.8
E00003536,85.6,10.8,3.6
E00003537,82.7,13.7,3.5
E00003538,78.1,14.9,7
E00003539,75.9,18.6,5.5
E00003543,79.1,13.9,7
E00003545,89.5,7.2,3.3
E00003546,91.9,5.4,2.7
E00003554,84,12.5,3.6
E00003555,82.1,13.5,4.4
E00003556,85.7,10.3,4
E00003557,79.3,13.6,7.2
E00003558,80.7,11.8,7.5
E00003559,91.3,6,2.8
E00003560,81.5,12.6,5.9
E00003561,79,14.1,6.9
E00003562,84.3,11.3,4.4
E00003563,77.3,15.1,7.6
E00003564,87.4,9.6,3.1
E00003565,85.3,10.9,3.8
E00003566,85,12.3,2.7
E00003567,88.1,9.1,2.8
E00003568,84.7,11,4.2
E00003569,85.4,11.1,3.5
E00003570,86.5,9.4,4.2
E00003595,78.4,14.4,7.2
E00003596,78.5,15,6.5
E00003597,80.9,13.4,5.6
E00003598,79.8,12.2,8
E00003644,87.5,9.3,3.2
E00003645,83.1,13.2,3.7
E00003646,86.6,8.8,4.5
E00003647,76.4,15.1,8.5
E00003648,82,12.5,5.5
E00003649,80.5,12.9,6.6
E00003650,86.5,9,4.5
E00003651,83,12.8,4.2
E00003653,77.4,14.7,7.8
