geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
W00000014,20,15.5,44.5,20
W00000015,65.2,23.5,3.5,7.8
W00000016,48.1,17.9,30.2,3.8
W00000017,49,13,0,38
W00000018,44.4,26.3,10.1,19.2
W00000019,54.3,12.8,4.3,28.7
W00000020,25.5,8.5,43.4,22.6
W00000021,65.2,12,2.2,20.7
W00000032,38.9,17.7,30.1,13.3
W00000033,53.7,24,4.1,18.2
W00000034,44.6,28.1,3.3,24
W00000035,53.1,34.9,1.7,10.3
W00000036,65.2,26.8,4.5,3.6
W00000048,50.6,18.8,3.2,27.3
W00000049,34.9,18.3,5.6,41.3
W00000050,49.3,9,28.4,13.4
W00000051,63.8,22.8,0.7,12.8
W00000057,49.4,37.3,4.4,8.9
W00000058,70.5,14,4.7,10.9
W00000059,42.2,23.4,18.8,15.6
W00000060,61.3,27.4,0,11.3
W00000061,67.9,26.7,0.8,4.6
W00000062,59.1,20.7,7.3,12.8
W00000063,60.5,26.6,1.6,11.3
W00000070,51.5,38.8,3,6.7
W00000071,63.3,27.9,0,8.8
W00000072,68.4,20.2,1.8,9.6
W00000073,57.1,22.3,0.9,19.6
W00000074,26.7,15.2,33.3,24.8
W00000127,55.6,26.3,4.5,13.5
W00000128,23.8,16.7,45.2,14.3
W00000129,68.7,19.1,1.5,10.7
W00000130,66.3,20,2.5,11.3
W00000131,65.7,15.2,1.9,17.1
W00000174,43.7,15.1,27.7,13.4
W00000175,63.3,25.9,0.6,10.2
W00000176,32,17.2,35.2,15.6
W00000177,42.1,38.3,2.8,16.8
W00000178,54.2,17.4,1.3,27.1
W00000179,51.2,29.1,1.6,18.1
W00000213,49.6,28.1,10.4,11.9
W00000214,38,33.1,8.5,20.4
W00000215,46.9,28.1,4.7,20.3
W00000216,62.9,25,0,12.1
W00000217,35.2,27.2,23.2,14.4
W00000218,19.5,13.8,60.2,6.5
W00000219,58.4,31.2,0,10.4
W00000254,51,20.4,8.2,20.4
W00000255,32.5,23.2,7.9,36.4
W00000256,51.9,34.6,1.9,11.5
W00000257,31.1,18.9,40.5,9.5
W00000258,43.4,26.9,1.7,28
W00000259,31.9,19.3,26.7,22.2
W00000260,39.8,20.3,18,21.8
W00000261,34.8,12.3,8.7,44.2
W00000262,63.9,22.2,4.2,9.7
W00000264,20.6,6.9,66.4,6.1
W00000265,26.8,14.2,31.5,27.6
W00000266,60.7,33.3,2.6,3.4
W00000267,50.4,31.7,0,17.9
W00000268,32.6,29.2,34.8,3.4
W00000269,58,34.1,1.1,6.8
W00000270,54.3,29,6.5,10.1
W00000278,45.5,22,10.6,22
W00000279,34.2,28.3,13.2,24.3
W00000280,21.1,17.3,48.1,13.5
W00000281,41.8,28.4,11.2,18.7
W00000282,41.5,17.9,27.6,13
W00000283,56.2,23.1,3.8,16.9
W00000314,45.9,31.1,10.4,12.6
W00000315,53.5,31.5,0.8,14.2
W00000316,36.4,43.4,4.2,16.1
W00000317,8.4,8.4,14,69.2
W00000318,6.4,3.8,29.5,60.3
W00000319,23.8,6.7,2.9,66.7
W00000322,32.2,20.4,37.5,9.9
W00000323,21.5,16.1,54.4,8.1
W00000324,35.2,28.3,5.7,30.8
W00000325,41.6,37.2,8.8,12.4
W00000326,51.9,35.7,3.9,8.5
W00000327,60.2,25,8.3,6.5
W00000328,17.1,22.5,47.3,13.2
W00000329,26.4,17.4,24.3,31.9
W00000330,39.5,41.4,6.7,12.4
W00000331,31.6,35.6,16.4,16.4
W00000332,31.3,28.7,27,13
W00000333,38.3,14.2,12.8,34.8
W00000334,48.9,21.5,18.5,11.1
W00000335,50.8,16.9,3.8,28.5
W00000336,47.2,15,28.3,9.4
W00000339,50,23.4,5.5,21.1
W00000340,65,21.4,1.7,12
W00000362,44.1,20.5,3.1,32.3
W00000363,50,37.1,0,12.9
W00000364,41.9,27.7,10.1,20.3
W00000365,24.2,19.4,49.2,7.3
W00000366,39.4,36.1,6.5,18.1
W00000367,35.7,31.2,13.6,19.5
W00000368,43.1,42.4,0.7,13.9
W00000369,39,35.3,5.9,19.9
W00000370,53.8,35.8,4.7,5.7
W00000371,57,28.1,7.4,7.4
W00000372,23.1,24,34.7,18.2
W00000373,31.5,20.4,28.7,19.4
W00000374,55.8,24.8,3.5,15.9
W00000375,14.1,25.8,50,10.2
W00000388,58.2,16.4,11.2,14.2
W00000389,25,22.5,21.7,30.8
W00000390,23,31,28.6,17.5
W00000391,10.2,11.8,37.8,40.2
W00000392,11.3,5.6,69.4,13.7
W00000393,28.5,11.7,2.2,57.7
W00000394,14.7,9.4,40.6,35.3
W00000395,28.4,18.7,17.9,35.1
W00000396,21.9,17.5,10.2,50.4
W00000397,22.2,12,20.5,45.3
W00000398,11.1,15.4,47,26.5
W00000412,40.1,32.1,13.9,13.9
W00000413,53.9,21.1,5.3,19.7
W00000414,26,13.4,55.9,4.7
W00000415,47.8,32.8,3,16.4
W00000416,32.1,23.7,17.6,26.7
W00000417,47,31.6,7.7,13.7
W00000418,44.9,26.9,14.1,14.1
W00000420,38.4,17.1,8.2,36.3
W00000422,55.3,17.3,1.7,25.7
W00000439,33.6,26.2,28,12.1
W00000440,37.7,43.9,4.4,14
W00000441,54,39.5,2.4,4
W00000442,48.8,36.6,7.3,7.3
W00000443,56.2,28.5,7.3,8
W00000444,24.2,32.9,30.9,12.1
W00000460,15.2,16,57.6,11.2
W00000461,4.3,6.9,75,13.8
W00000462,11.4,18.9,61.4,8.3
W00000463,32.8,22.1,35.2,9.8
W00000464,17.8,24,52.7,5.4
W00000465,17.5,16.7,59.2,6.7
W00000466,9.6,11.9,70.4,8.1
W00000467,24,16.8,48,11.2
W00000468,6.5,5.6,10.5,77.4
W00000469,37.1,8.9,6.5,47.6
W00000470,9.4,9.4,10.2,71.1
W00000472,1.7,6.7,25.8,65.8
W00000490,44.6,33.9,13.2,8.3
W00000491,20.6,17,13.9,48.5
W00000492,37.5,27.1,25,10.4
W00000493,25.5,27.3,22.7,24.5
W00000494,35.4,31.9,6.9,25.7
W00000495,37.8,23.5,28.6,10.1
W00000496,30.7,26,37.8,5.5
W00000497,26.5,27.9,37.5,8.1
W00000505,34.3,38.7,10.9,16.1
W00000506,50.3,34.7,6.8,8.2
W00000507,42.1,24.3,22.4,11.2
W00000508,46.1,44.9,2.4,6.6
W00000509,61.8,27,3.9,7.2
W00000510,70.7,12.2,1.2,15.9
W00000511,34.4,8.6,32,25
W00000512,42.1,24.1,24.1,9.7
W00000513,48.9,22.3,18.7,10.1
W00000514,55.5,24.2,3.1,17.2
W00000515,25.9,27.6,37.9,8.6
W00000516,48.9,30.5,8.4,12.2
W00000517,45.5,28.7,6.9,18.8
W00000518,62.8,24.8,3.9,8.5
W00000519,22.4,15.4,45.9,16.3
W00000520,39.4,36.3,10,14.4
W00000521,41.6,26.5,15,16.8
W00000522,45.7,27.6,3.1,23.6
W00000523,38.8,32.2,17.4,11.6
W00000524,63.2,23.7,0,13.2
W00000532,46.7,27.5,0.8,25
W00000533,35.5,17.4,10.9,36.2
W00000534,27.4,15.9,22.1,34.5
W00000535,68.1,23.5,1.7,6.7
W00000536,37.5,22.5,20,20
W00000537,27.1,24.6,43.2,5.1
W00000538,65.4,20.5,5.1,9
W00000539,77.9,8.3,2.1,11.7
W00000540,48.8,15,15,21.3
W00000541,53.8,16,5,25.2
W00000542,72.3,18.8,0,8.9
W00000543,64,19,1,16
W00000544,43.5,17.5,24.3,14.7
W00000545,58.1,17.9,14.5,9.4
W00000546,57.1,15.3,8.2,19.4
W00000549,16.7,12.7,64.7,6
W00000582,55.8,26.8,7.2,10.1
W00000583,59.4,19.6,4.2,16.8
W00000584,36.6,11.4,47.2,4.9
W00000585,51,28.4,2.6,18.1
W00000586,36,29.6,21.6,12.8
W00000587,67.4,27.3,0.8,4.5
W00000588,60,21.4,5,13.6
W00000589,40.7,15.3,34.7,9.3
W00000593,24.2,28.2,35.5,12.1
W00000594,56.5,29.8,4.6,9.2
W00000595,43.3,26.9,19.4,10.4
W00000596,43.3,35.1,8.2,13.4
W00000597,55.7,30.3,0.8,13.1
W00000598,52.9,36.4,0.8,9.9
W00000599,42.1,30.2,15.1,12.7
W00000616,61.8,25.5,3.9,8.8
W00000618,51.9,32.6,5.2,10.4
W00000619,54.1,31.1,10.7,4.1
W00000620,52,33.6,1.6,12.8
W00000621,24.8,24.8,43.6,6.8
W00000622,25.6,39.5,25,9.9
W00000623,51.2,22,0.8,26
W00000624,45.2,32.3,8.1,14.5
W00000625,52.8,34.1,3.3,9.8
W00000626,42.4,34.4,4,19.2
W00000627,33.2,20.2,2.1,44.6
W00000628,37.3,26.7,6.2,29.8
W00000629,71,10.7,2.3,16
W00000630,64.4,21.5,0,14.1
W00000631,52.7,26.4,4.5,16.4
W00000632,56.9,30.9,0.6,11.6
W00000633,25.3,35.3,28,11.3
W00000634,6.7,5,30.3,58
W00000635,38.7,21.3,2,38
W00000636,12.3,3.1,23.1,61.5
W00000637,49.2,26.2,5.6,19
W00000638,47.2,34.1,12.2,6.5
W00000639,55.7,24.7,1,18.6
W00000640,40.4,29.2,10.1,20.2
W00000641,52.1,26.9,7.6,13.4
W00000642,32.6,21.3,29.2,16.9
W00000643,51.5,30,0,18.5
W00000644,47.1,26.5,0,26.5
W00000645,43.9,26.5,20.5,9.1
W00000646,50.6,22.2,3.7,23.5
W00000647,57,26.8,0.7,15.5
W00000648,35.4,16.2,33.8,14.6
W00000649,42.2,29.5,19.9,8.4
W00000650,32.1,33.9,20.5,13.4
W00000651,45,33.3,5.4,16.3
