areacd,disability_3a-001,disability_3a-002
E00015710,9.5,90.5
E00015711,13.7,86.3
E00015714,18.7,81.3
E00015715,11.4,88.6
E00015719,15.5,84.5
E00015720,13.3,86.7
E00015722,7.8,92.2
E00015723,15.5,84.5
E00015724,12.3,87.7
E00015726,11.7,88.3
E00015729,11.6,88.4
E00015730,12.1,87.9
E00015731,11.3,88.7
E00015848,13.6,86.4
E00015853,7.5,92.5
E00015854,32.9,67.1
E00015855,14.3,85.7
E00015856,9.3,90.7
E00015857,12.3,87.7
E00015859,8.4,91.6
E00015863,16.7,83.3
E00015867,12.4,87.6
E00015868,13.3,86.7
E00015870,8.9,91.1
E00015871,13,87
E00015873,12.8,87.2
E00015874,13.9,86.1
E00015876,7.8,92.2
E00015879,14.5,85.5
E00015880,8.6,91.4
E00015883,12.3,87.7
E00015884,10,90
E00015885,11.5,88.5
E00015887,16.9,83.1
E00015888,9.6,90.4
E00015889,12.9,87.1
E00017037,8,92
E00017038,17.3,82.7
E00017039,12,88
E00017040,14.7,85.3
E00017041,9.5,90.5
E00017043,15.3,84.7
E00017044,12.9,87.1
E00017047,15.7,84.3
E00017048,10.8,89.2
E00017051,11.4,88.6
E00017053,13.5,86.5
E00017054,11.5,88.5
E00017056,12.6,87.4
E00017058,11.6,88.4
E00017059,12.2,87.8
E00017061,11.8,88.2
E00017062,22.8,77.2
E00017063,13.2,86.8
E00017064,11.9,88.1
E00017065,9.4,90.6
E00017066,15.7,84.3
E00017067,9.6,90.4
E00017068,8.8,91.2
E00017070,12.9,87.1
E00017072,12.5,87.5
E00017073,13.9,86.1
E00017081,19.1,80.9
E00017082,13.1,86.9
E00017084,15.4,84.6
E00017085,7.9,92.1
E00017088,12.8,87.2
E00017089,15,85
E00017090,25,75
E00017091,10.3,89.7
E00017092,22.3,77.7
E00017096,7.7,92.3
E00017137,10.2,89.8
E00017138,14.9,85.1
E00017140,14.7,85.3
E00017141,10.6,89.4
E00017142,14,86
E00017143,12.3,87.7
E00017144,9.8,90.2
E00017145,11.6,88.4
E00017146,10.3,89.7
E00017147,15.4,84.6
E00017148,21.6,78.4
E00017149,8.7,91.3
E00017150,12.6,87.4
E00017151,14.6,85.4
E00017152,12.3,87.7
E00017153,18.4,81.6
E00017157,14.1,85.9
E00017158,14.1,85.9
E00017159,13.2,86.8
E00017160,20.4,79.6
E00017161,14,86
E00017162,5.5,94.5
E00017163,12.8,87.2
E00017164,14.6,85.4
E00017165,11.9,88.1
E00017166,12.7,87.3
E00017167,13,87
E00017168,8.4,91.6
E00017169,14.5,85.5
E00017170,8.8,91.2
E00017171,9.6,90.4
E00017172,10.6,89.4
E00017173,8.1,91.9
E00017174,12.6,87.4
E00017175,11.3,88.7
E00017176,12,88
E00017177,11.7,88.3
E00017178,9.6,90.4
E00017179,13.3,86.7
E00017180,11.8,88.2
E00017181,8.9,91.1
E00017182,15.6,84.4
E00017183,13,87
E00017184,10.9,89.1
E00017185,11.4,88.6
E00017186,11.2,88.8
E00017187,10.6,89.4
E00017188,13.1,86.9
E00017189,11.7,88.3
E00017190,8.2,91.8
E00017191,9,91
E00017192,9,91
E00017193,13.5,86.5
E00017194,12.5,87.5
E00017195,7.3,92.7
E00017232,8.8,91.2
E00017234,12.3,87.7
E00017235,22.5,77.5
E00017237,10.6,89.4
E00017241,16.9,83.1
E00017242,15.3,84.7
E00017243,13.5,86.5
E00017244,23,77
E00017245,4.6,95.4
E00017246,13.2,86.8
E00017247,10.4,89.6
E00017249,15.5,84.5
E00017250,15.1,84.9
E00017252,5.8,94.2
E00017253,11.5,88.5
E00017254,13.6,86.4
E00017255,13.2,86.8
E00017256,19.7,80.3
E00017257,14.4,85.6
E00017259,21.2,78.8
E00017260,20.5,79.5
E00017262,11.2,88.8
E00017263,13.3,86.8
E00017265,10,90
E00017266,10.5,89.5
E00017267,13,87
E00017268,11.4,88.6
E00017269,15.5,84.5
E00017270,13.3,86.7
E00017271,18.2,81.8
E00017272,10.4,89.6
E00017273,9.7,90.3
E00017274,13.5,86.5
E00017275,14.2,85.8
E00017276,6.8,93.2
E00017277,11.4,88.6
E00017278,11.7,88.3
E00017279,12.4,87.6
E00017280,16.7,83.3
E00017281,6.8,93.2
