areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00076718,76.1,2,21.9
E00076720,80.8,1.4,17.8
E00076725,74.5,4.7,20.9
E00076727,79.1,1.3,19.6
E00076728,80.6,0.4,19
E00076730,73.3,3.3,23.3
E00076735,77.6,0.4,22
E00076736,77.3,3.2,19.4
E00076740,74.2,1,24.9
E00076741,76.5,0.9,22.6
E00076743,78.6,1.3,20.1
E00076745,76.2,2.6,21.3
E00076746,81.7,1.7,16.7
E00076748,85.4,0.5,14.1
E00076749,82.7,3.5,13.9
E00076750,85.6,1.6,12.8
E00076751,82.7,0.9,16.4
E00076753,80.7,1.1,18.2
E00076754,85.9,0.8,13.3
E00076755,81.1,2.1,16.8
E00076756,80.8,4.6,14.6
E00076757,75.7,3.8,20.5
E00076759,58.7,2.6,38.8
E00076760,59.8,2,38.2
E00076761,83.4,4.2,12.5
E00076762,53.8,2.2,44
E00076763,69.8,2.2,28
E00076764,74.1,4.4,21.6
E00076765,67.8,4.4,27.8
E00076766,76.4,3.7,19.9
E00076767,56.7,4.5,38.8
E00076768,79,1.8,19.2
E00076769,61.6,1.8,36.6
E00076770,73.7,2.9,23.4
E00076771,75.3,1,23.7
E00076772,70.6,2.2,27.2
E00076773,78.6,4.5,17
E00076774,72.7,2.1,25.1
E00076775,78.9,1.6,19.5
E00076776,73.9,3.9,22.2
E00076777,68.8,1.7,29.5
E00076778,79.3,1.3,19.4
E00076779,55.3,1,43.8
E00076780,79,2.9,18.1
E00076781,83.9,1.2,15
E00076782,77.2,0.4,22.4
E00076786,83.3,0.3,16.4
E00076787,60.2,2.4,37.5
E00076788,69,2.3,28.7
E00076789,85,2.6,12.4
E00076790,82.9,1.6,15.5
E00076791,82.2,0.7,17.1
E00076792,78.5,1.2,20.3
E00076793,89.8,0,10.2
E00076794,92.6,0.4,7
E00076795,83.6,1.8,14.6
E00076796,82.8,0,17.2
E00076797,82.8,2.9,14.3
E00076798,77.5,1.7,20.8
E00076799,85.8,1.1,13.2
E00076800,81.3,0,18.7
E00076801,83.5,0.7,15.8
E00076802,82.9,2.3,14.8
E00076803,84.5,2.5,13
E00076804,82.2,0,17.8
E00076805,86.3,1.8,11.9
E00076806,86.9,1.1,12
E00076807,90.8,2.2,7
E00076808,88.4,0.4,11.2
E00076809,80.4,1.7,17.8
E00076810,90.5,0.9,8.6
E00076811,72.4,0.8,26.8
E00076812,88.4,0,11.6
E00076813,76.7,1.7,21.6
E00076814,75.8,1.6,22.7
E00076815,68.7,6.6,24.7
E00076816,68.1,0.6,31.3
E00076817,72.8,2.9,24.4
E00076818,76,2.7,21.4
E00076819,75.6,3.4,21
E00076820,73.1,1.2,25.7
E00076821,81,0.7,18.3
E00076822,79.1,1.4,19.4
E00076823,80.7,3,16.4
E00076824,78.2,3.8,18
E00076825,76.1,2.3,21.6
E00076826,85.8,1.9,12.3
E00076827,85.8,1.5,12.6
E00076828,83.8,1.7,14.5
E00076829,84.9,1.3,13.8
E00076830,83.5,1.7,14.8
E00076831,79.4,2.8,17.7
E00076832,83.3,1.7,15
E00076833,80.3,1.8,18
E00076834,84.3,2.2,13.4
E00076835,85.4,1.6,13
E00076836,80.5,3.8,15.7
E00076837,73.7,5.1,21.3
E00076838,83.1,3.9,13
E00076839,80.5,6.1,13.4
E00076840,80.4,6.9,12.7
E00076841,86.9,5.1,8
E00076842,89.4,2.3,8.3
E00076843,81,7.4,11.6
E00076844,82.1,2.2,15.7
E00076845,72.2,8.7,19.1
E00076846,88.6,0.7,10.7
E00076847,72.3,9.5,18.2
E00076848,93.9,1.2,4.9
E00076849,76.3,6.9,16.8
E00076850,76,5.2,18.8
E00076851,76.3,12.8,10.9
E00076852,75.5,9.2,15.3
E00076853,84.4,4.3,11.3
E00076854,88.8,0.8,10.4
E00076855,95,1.9,3.1
E00076856,85.4,6.8,7.7
E00076857,92.1,2,6
E00076858,95.6,1.8,2.6
E00076859,86.5,7.9,5.6
E00076860,79.3,6.3,14.4
E00076861,78.7,2.4,18.9
E00076862,83.1,5,11.9
E00076863,75.1,3.4,21.5
E00076864,81.8,1.3,16.9
E00076865,72.5,3.8,23.7
E00076866,74.4,4.1,21.5
E00076867,68.3,6.6,25.2
E00076868,60.5,4,35.5
E00076869,66.5,4,29.4
E00076870,76.1,1.2,22.6
E00076871,81,1.5,17.5
E00076872,75.9,2.8,21.3
E00076873,85,1.6,13.4
E00076874,93.1,0.4,6.5
E00076875,82.1,5.9,12
E00076876,69.8,3.6,26.6
E00076877,72.9,5.2,21.8
E00076878,68,10.9,21.1
E00076879,79.2,1.6,19.1
E00076880,77.1,4.9,18.1
E00076881,75.8,3.7,20.5
E00076882,84.2,4.1,11.7
E00076883,74.9,4.3,20.8
E00076884,66.7,9.2,24.1
E00076885,83.3,1,15.8
E00076886,71.2,5,23.7
E00076887,55.2,12.1,32.8
E00076888,78.5,4,17.5
E00076889,63.7,5.4,30.9
E00076890,69.9,6.1,24
E00076891,58,7.5,34.5
E00076892,71.8,2.2,26
E00076893,55.9,9.7,34.4
E00076894,59.9,13.7,26.4
E00076895,72.2,6.2,21.6
E00076896,83.6,1.6,14.8
E00076897,71.3,9.6,19.1
E00076898,80.5,1.9,17.5
E00076899,86.5,1.3,12.2
E00076900,78.4,7.4,14.1
E00076901,77.7,3.4,19
E00076902,82.5,1.9,15.5
E00076903,80.1,2.1,17.9
E00076904,75.7,0.8,23.5
E00076905,79.1,3.2,17.6
E00076906,87.2,3.8,9.1
E00076907,83.6,2.1,14.3
E00076908,87.4,3.5,9.1
E00076909,79.7,2.4,17.9
E00076910,87.7,0.7,11.6
E00076911,79.5,1.5,18.9
E00076912,66.3,3.8,29.9
E00076913,69.1,1.6,29.3
E00076914,76.8,1.4,21.8
E00076915,85.8,0.9,13.2
E00076916,83.7,2.8,13.4
E00076917,58.1,2.6,39.4
E00076918,74.1,3.2,22.7
E00076919,81.3,0.4,18.4
E00076920,91.3,1,7.7
E00076921,86.2,2.4,11.4
E00076922,76.8,1.2,22.1
E00076923,88.7,1.3,10
E00076924,72.6,0.9,26.5
E00076925,84.6,0.7,14.8
E00076926,89.5,0.7,9.8
E00076927,80.6,2.3,17.2
E00076928,87.9,1.2,10.9
E00076929,73,0.3,26.7
E00076930,85.3,2.2,12.5
E00076931,65.6,1.9,32.5
E00076932,82.5,2.3,15.3
E00076933,70.5,2,27.5
E00076934,81.8,0.8,17.4
E00076935,85.6,0.7,13.8
E00076936,85.4,1.4,13.2
E00076937,79.9,1.5,18.6
E00076938,87.4,0.7,11.9
E00076939,84.8,2.2,13
E00076940,85.1,2.4,12.5
E00076941,85.5,1.7,12.8
E00076942,83.7,1.5,14.8
E00076943,80.9,2.8,16.3
E00076944,85.4,1.7,12.9
E00076945,77.5,1.9,20.6
E00076946,90,2.2,7.7
E00076947,81.8,2.3,15.8
E00076948,82.4,1.3,16.3
E00076949,70.7,3.3,26.1
E00076950,69.8,2.8,27.4
E00076951,85.5,1.6,12.9
E00076952,71.6,4,24.4
E00076953,87.5,0.6,11.9
E00076954,90.4,2.9,6.7
E00076955,87.1,1.9,11
E00076956,88.4,3.4,8.2
E00076957,78.3,3.9,17.9
E00076958,87.3,3.6,9.1
E00076959,78.9,2.3,18.7
E00076960,88.3,2.3,9.4
E00076961,77.2,4.3,18.5
E00076962,58.9,2.5,38.6
E00076963,69.1,3,27.9
E00076964,70.5,9.3,20.2
E00076965,65.4,6.9,27.7
E00076966,68.5,6.9,24.6
E00076967,74.9,3.3,21.8
E00076968,81.2,1.8,17
E00076969,81.3,6.2,12.4
E00076970,55,10.4,34.7
E00076971,78.1,4.4,17.4
E00076972,79.2,2.5,18.3
E00076973,78.6,3.7,17.7
E00076974,67.3,2.4,30.3
E00076975,80.5,2.7,16.8
E00076976,82.2,2.7,15.1
E00076977,78.6,2.6,18.8
E00076978,55.1,8.9,36.1
E00076979,78.1,3.1,18.8
E00076980,70.2,4.9,24.9
E00076981,74.8,10.2,15
E00076982,63.2,10.7,26.1
E00076983,69.7,1.1,29.3
E00076984,59,6.4,34.6
E00076985,67.3,4.2,28.5
E00076986,70.6,12.7,16.6
E00076987,56.1,5.2,38.8
E00076988,68.5,4.8,26.7
E00076989,71.7,5.5,22.8
E00076990,62.6,11.2,26.1
E00076991,69.1,2.3,28.6
E00076992,90.9,2.8,6.3
E00076993,68.3,2.9,28.8
E00076994,82,4.3,13.7
E00076995,76.1,1.8,22.1
E00076996,68.8,4.6,26.6
E00076997,76.3,4.9,18.8
E00076998,80,1.6,18.4
E00077002,78.8,4.8,16.3
E00077003,61.5,6,32.5
E00077004,76.5,7.1,16.4
E00077005,68.8,8.7,22.5
E00077006,78.2,2.7,19.1
E00077007,80.6,6.5,12.9
E00077009,74,3.9,22.1
E00077011,89.1,1,9.9
E00077012,76.9,0.8,22.3
E00077016,88.2,0.3,11.5
E00077017,80.9,0.3,18.8
E00077018,80.1,1.7,18.2
E00077019,80.6,2.1,17.3
E00077020,80.1,4.5,15.4
E00077021,88.8,4.5,6.6
E00077022,86.5,3.2,10.3
E00077023,74.8,2,23.1
E00077024,77.2,1.8,21
E00077025,84.2,3,12.8
E00077026,75.2,6.7,18.1
E00077027,83.3,1.9,14.8
E00077028,81.5,3.9,14.6
E00077029,79.3,4.1,16.7
E00077030,81.3,1.8,16.9
E00077031,77.9,3.7,18.4
E00077033,64.6,1.7,33.7
E00077034,72,0.5,27.5
E00077035,75.2,1.7,23.1
E00077036,81.1,2.1,16.7
E00077037,87.8,2.2,10
E00077038,77.9,1.5,20.6
E00077039,75.2,0.4,24.4
E00077040,77.8,2.2,20.1
E00077042,81.4,1.7,16.9
E00077044,71.1,3.2,25.7
E00077045,78.6,1.6,19.9
E00077046,80.2,0.6,19.2
E00077048,82.5,2.2,15.3
E00077049,77,1.9,21
E00077050,81.5,0.7,17.8
E00077051,72.4,0.4,27.2
E00077052,86,2.2,11.8
E00077053,90.9,0,9.1
E00077054,79.7,1.5,18.8
E00077055,89.6,4.8,5.6
E00077057,78.5,3.3,18.2
E00077058,76.8,5.5,17.6
E00077059,77.2,3.5,19.4
E00077062,85.6,4.4,10
E00077063,74.4,6,19.6
E00077064,87.4,1.6,11
E00077065,59.8,6.4,33.8
E00077066,83.9,5.9,10.2
E00077067,87.5,1.3,11.3
E00077068,90.1,0.6,9.3
E00077069,75.4,2.1,22.5
E00077070,70.9,5,24.1
E00077071,69.7,3.5,26.8
E00077072,73.6,19.6,6.8
E00077073,85.8,2.7,11.4
E00077074,73.2,1.2,25.6
E00077075,85.2,1.5,13.3
E00077076,84.3,2.2,13.5
E00077077,89.2,2.3,8.5
E00077078,68.1,3.6,28.3
E00077079,82.3,2.9,14.8
E00077080,89,2.7,8.3
E00077081,70.8,3.4,25.8
E00077082,79,2.4,18.6
E00077083,72.7,5.7,21.6
E00077084,58.5,27.6,13.9
E00077085,63.4,5.8,30.8
E00077086,75.6,2.2,22.2
E00077087,58,18.6,23.3
E00077088,76.1,10.6,13.3
E00077089,79.4,5.3,15.4
E00077090,78.9,8.3,12.8
E00077091,61.1,7.1,31.8
E00077092,59.5,9.1,31.4
E00077093,80.3,4.2,15.5
E00077094,50,6.2,43.8
E00077095,81.2,6.5,12.4
E00077096,80.6,5.4,13.9
E00077097,75.7,5.6,18.8
E00077098,71.7,6.5,21.8
E00077099,61.1,5.4,33.5
E00077100,78,14.8,7.2
E00077101,76.3,10.6,13.1
E00077102,81.7,6.6,11.8
E00077103,80.8,4.1,15.1
E00077104,68.6,5.2,26.2
E00077105,75.3,2.8,21.9
E00077107,64.7,11.3,24
E00077108,73.8,5.9,20.3
E00077109,65.2,4.5,30.3
E00077110,64.2,13.1,22.7
E00077111,62.9,21.5,15.7
E00077112,57,19.2,23.8
E00077113,73.9,5.7,20.3
E00077114,71.8,12.7,15.5
E00077115,60.4,4.4,35.2
E00077116,50.9,19.6,29.5
E00077117,69.4,12.5,18
E00077118,63.2,8.1,28.7
E00077119,65.7,10.4,23.9
E00077120,60.6,21.9,17.6
E00077121,69,13.1,17.8
E00077122,57.3,18.7,24.1
E00077123,81.8,8.6,9.7
E00077124,66.7,4.3,29.1
E00077125,76.3,1.8,21.9
E00077126,83.7,1.4,14.9
E00077127,72.8,4.4,22.8
E00077128,83,1.7,15.2
E00077129,82,2,16
E00077130,84.4,1.2,14.4
E00077131,68.3,3.6,28.1
E00077132,67,3.7,29.3
E00077133,62.7,2.2,35.2
E00077134,82.6,1.7,15.7
E00077135,79.8,2.8,17.4
E00077136,71.2,1.9,26.9
E00077137,74.1,0.4,25.5
E00077138,64.7,7.9,27.4
E00077139,66.2,3.2,30.6
E00077140,68.1,7.8,24.1
E00077141,48.4,5.3,46.3
E00077142,79.8,0.8,19.4
E00077143,74.9,4.2,20.8
E00077144,56.9,8.3,34.8
E00077145,63.3,2.7,34.1
E00077146,83.2,2.5,14.3
E00077147,76,0.8,23.1
E00077148,83.4,6.9,9.7
E00077149,60.1,11.2,28.6
E00077157,67.8,5,27.2
E00077160,80.1,9,10.9
E00077162,80.4,3.4,16.2
E00077163,69.2,7.7,23.1
E00077165,76.8,9.8,13.4
E00077167,75.9,6.2,17.8
E00077171,72.3,14.2,13.5
E00077172,73.7,4.5,21.9
E00077174,73.1,3.9,23
E00101994,79.8,1.4,18.8
E00101995,86.1,0.6,13.3
E00101996,88.1,1.1,10.8
E00101997,76,1.4,22.6
E00101998,92,3.7,4.3
E00101999,78.7,3.2,18.1
E00102000,82.5,1.8,15.8
E00102001,91.9,0.5,7.6
E00102002,86.3,3.2,10.5
E00102003,90.2,1.5,8.2
E00102004,79.1,3.1,17.8
E00102005,80.8,4.1,15.1
E00102006,88.2,4.3,7.6
E00102007,89.4,2.5,8.2
E00102008,87.8,1.8,10.4
E00102024,78,1.2,20.7
E00102025,88.8,1.5,9.7
E00102026,88.8,1.4,9.7
E00102039,73.9,1.7,24.5
E00102040,88.5,3.8,7.7
E00102041,80.1,6.1,13.8
E00102042,83.3,3.5,13.2
E00102043,97.8,1.1,1.1
E00102044,86.8,5.1,8.1
E00102045,83.8,1.8,14.4
E00102046,87.6,3.6,8.8
E00102047,85.7,4,10.3
E00102048,84.2,4.9,10.9
E00102049,87.2,2.5,10.3
E00102050,75.9,7.2,16.9
E00102051,92.9,1.7,5.4
E00102052,86.3,4.4,9.3
E00102053,88.2,2,9.9
E00102054,86.7,2.4,10.8
E00102055,82.5,2.2,15.2
E00102056,84.6,4,11.4
E00102057,75,10,15
E00102058,89.8,2.1,8.1
E00102059,82.8,3.2,14
E00102060,80.5,1.2,18.3
E00102061,77.6,2.6,19.7
E00102062,91.5,0.5,8
E00102063,70.5,1.8,27.7
E00102064,81.6,3.7,14.7
E00102065,59.7,26.3,14
E00102066,55.4,5.9,38.7
E00102067,67.2,2.3,30.5
E00102068,68,1.8,30.3
E00102069,65.9,3.5,30.5
E00102070,76.9,2.7,20.4
E00102071,85.2,3.1,11.7
E00102072,87.4,2.4,10.1
E00102073,90.5,0.9,8.6
E00102074,84,0.7,15.2
E00102075,90.6,1.7,7.7
E00102076,89.7,0.5,9.8
E00102077,87,1.9,11.1
E00102078,81.8,4.1,14.1
E00102079,86.8,2.6,10.6
E00102080,86.1,3.8,10.1
E00102081,86,3.5,10.5
E00102082,84.5,4.2,11.4
E00102083,86.6,2.4,11
E00102084,81.4,5.1,13.6
E00102097,82.5,0.8,16.7
E00102098,87.6,3.1,9.3
E00102145,80.2,1.7,18.1
E00102151,85.9,1.1,13
E00102152,86.9,1.3,11.8
E00102153,88.4,0.3,11.3
E00102154,86.7,2.3,11
E00102155,83.8,1.8,14.3
E00102156,84.3,1.7,13.9
E00102157,82.1,1.4,16.4
E00102183,91.9,1,7.1
E00102184,81.4,0,18.6
E00102185,81.1,5,13.9
E00102186,82.6,2.4,14.9
E00102187,83.5,2.5,14
E00102188,80.2,5.9,13.9
E00102189,89.7,1.2,9.1
E00102190,89.9,1.7,8.4
E00102191,88,2,10
E00102192,78.2,2.1,19.6
E00102193,80,2.8,17.2
E00102194,80.6,0.5,18.9
E00102195,82.4,3.8,13.8
E00102196,61,1.2,37.8
E00102197,74.6,1.1,24.3
E00102198,82.9,2.9,14.3
E00102199,78.9,4.9,16.2
E00102207,83.4,1.1,15.5
E00102208,85.1,2.5,12.5
E00102213,71.7,3.2,25.1
E00102214,81.9,2.6,15.6
E00102215,73.4,5.9,20.7
E00102216,74.3,2.4,23.4
E00102217,88.8,3.7,7.5
E00102218,84.5,0.9,14.6
E00102219,88.6,3.9,7.5
E00102220,74.6,6.3,19
E00102221,82,2.9,15.1
E00102222,81.3,4.5,14.3
E00102223,80.1,2.8,17
E00102224,75.8,5.7,18.5
E00102226,82.4,6.3,11.3
E00102227,80.4,8.7,10.9
E00102228,78.7,4.6,16.7
E00102229,87.3,5.2,7.5
E00102230,84.8,2.7,12.5
E00102231,68.8,4,27.3
E00102232,88.9,3.9,7.2
E00102233,76.8,6.3,17
E00102234,75,3,22
E00102235,84.8,2.8,12.4
E00102236,83.5,4.3,12.2
E00102237,83,1.1,15.9
E00102238,83,11.7,5.2
E00102239,79.4,8.5,12.1
E00102240,74.9,3.3,21.9
E00102241,83.3,6.7,10
E00102242,80.9,6.3,12.8
E00102257,86.8,4.5,8.7
E00102258,79.9,1.6,18.6
E00102259,84.9,3.1,12
E00102260,84.7,6.6,8.7
E00102261,84.1,3.2,12.7
E00102262,81,3,16
E00102278,87.5,1.4,11.1
E00102279,81.8,1.6,16.6
E00102280,81.9,0.4,17.7
E00102281,88.3,0.3,11.3
E00102282,85.1,0,14.9
E00102283,89.2,0.5,10.3
E00102284,88,1.7,10.3
E00102292,81.3,1.1,17.6
E00102293,84.4,3.4,12.2
E00102294,83.1,0.8,16.1
E00102295,82.1,2.5,15.4
E00102308,83.8,2.5,13.7
E00102309,78.3,2.8,18.9
E00102310,64.5,0.6,34.9
E00102311,80.1,2.9,17
E00102312,61.5,0.6,37.9
E00102313,65.8,3.2,30.9
E00102314,80.9,1.4,17.7
E00102315,72.4,6.1,21.5
E00102316,75.9,2.7,21.3
E00102317,78.4,4.8,16.8
E00102318,77.8,2.6,19.6
E00102319,75.3,3.2,21.6
E00102320,87.4,3.2,9.4
E00102507,86.8,1.3,12
E00102508,86.5,2.1,11.4
E00102509,80.4,0.3,19.2
E00102510,89.5,0.3,10.2
E00102511,85.7,2.3,12.1
E00102512,81.8,0.3,17.9
E00102513,85.5,1.8,12.7
E00102514,84.6,2.6,12.9
E00102546,93.6,0.9,5.6
E00102549,88.1,4.3,7.6
E00102550,85.1,1.4,13.6
E00102551,84.6,1.1,14.3
E00102552,87.4,1.3,11.3
E00102553,69.9,1.5,28.6
E00102554,83.2,1.2,15.6
E00102555,84,0.7,15.3
E00102556,85.3,1.3,13.4
E00102557,88.6,0,11.4
E00102558,82.4,3.7,14
E00102559,82.8,0.8,16.4
E00102560,75.4,0.4,24.2
E00102561,78.6,0.7,20.7
E00102562,80.2,0.4,19.4
E00102563,83.8,1.8,14.4
E00102564,85.2,2.1,12.8
E00102565,84,2.1,13.9
E00165878,74.6,5.6,19.7
E00165880,85.7,3.2,11.1
E00165881,58.2,9,32.8
E00165882,62,27.5,10.5
E00165886,84.6,3.2,12.2
E00165887,71.1,1.8,27.2
E00165888,71.2,1.6,27.2
E00165889,73.3,3,23.6
E00165890,70.5,2.4,27.1
E00165891,78.7,1.5,19.9
E00165900,64.7,4.4,30.9
E00181106,76.6,2.8,20.6
E00181117,78.7,2.7,18.6
E00181119,85.1,4.1,10.8
E00181120,78.6,7.9,13.4
E00181122,78.1,5.5,16.4
E00181124,70.1,2.3,27.6
E00181127,65.9,1.6,32.6
E00181128,77.1,7.6,15.3
E00181145,82.3,0,17.7
E00181156,77.9,3.7,18.4
E00181160,70.6,3.5,25.9
E00181163,77.2,7.3,15.6
E00181164,82.2,9.2,8.6
E00181177,69.4,3.5,27.1
E00181194,72.4,8.5,19.1
