areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00080065,13.5,13.5,62.7,10.3
E00080066,17.9,26.2,54.8,1.2
E00080067,6.8,21.4,66,5.8
E00080068,9.7,21.1,57.1,12
E00080069,13.2,19.6,60.8,6.3
E00080070,13.6,17.6,59.2,9.6
E00080071,7.1,22.4,57.1,13.5
E00080072,13.8,19.4,59.2,7.7
E00080073,7.2,15,67.3,10.5
E00080074,10.5,26.3,57.9,5.3
E00080075,15.4,25.5,47.7,11.4
E00080076,9.9,20.2,61.5,8.5
E00080077,16.5,22,51.2,10.4
E00080078,6.8,22.3,60.1,10.8
E00080079,10.6,21.9,60.3,7.3
E00080080,10.2,22.9,55.1,11.9
E00080081,11.8,17.4,61.1,9.7
E00080082,10.1,19,63.3,7.7
E00080084,9.7,24.1,60,6.2
E00080085,4.8,20.2,65.5,9.5
E00080086,10.8,23.1,57.7,8.5
E00080087,10.6,25.5,63.8,0
E00080088,12,24.1,62.7,1.2
E00080091,10.5,14.5,63.7,11.3
E00080092,6.6,13.6,68.5,11.3
E00080093,14.8,17.9,57.4,9.9
E00080094,6.4,25.6,58.4,9.6
E00080095,12.3,21.1,59.6,7
E00080096,20.3,16.9,50.8,11.9
E00080097,10.7,20.7,57.4,11.2
E00080135,7.8,24.8,54.2,13.1
E00080138,11.7,19.2,58.2,10.8
E00080139,13.2,16.5,60.4,9.9
E00080143,10.8,21.6,58.7,9
E00080144,4.7,20.1,61.1,14.1
E00080145,9.1,13.6,64.2,13.2
E00080147,11.6,15,61.9,11.6
E00080151,11.1,11.1,62,15.7
E00080158,10.8,20.3,61.7,7.2
E00080160,4.4,22.8,61,11.8
E00080164,13.1,19.4,61.3,6.3
E00080168,13.4,15.4,63.7,7.5
E00080170,16.9,12.3,61.5,9.2
E00080171,14.3,18.7,61.5,5.5
E00080178,2.5,15.8,71,10.8
E00080202,12.9,16.4,62,8.8
E00080203,10.9,14.5,62.7,11.8
E00080204,7.3,19.4,64.8,8.5
E00080206,19.8,27.2,53.1,0
E00080217,8.5,15.3,65,11.2
E00080239,8.3,22.2,57.6,11.8
E00080240,15,22.2,56.2,6.5
E00080241,7.5,16.7,66.5,9.2
E00080242,6.9,21.4,63.5,8.2
E00080243,9.2,25.4,58.9,6.5
E00080244,7.8,21.6,61.4,9.2
E00080245,10.2,17.6,63.6,8.5
E00080246,11.3,13.3,71.3,4
E00080247,11.8,24.3,56.3,7.6
E00080248,14.5,22,51.6,11.8
E00080249,15.6,19.9,53.9,10.6
E00080250,12.1,17.8,65,5.1
E00080251,18.7,22,55.3,4
E00080252,13.5,18.2,54.7,13.5
E00080253,8.9,11.1,70,10
E00080254,16.7,20.8,55.2,7.3
E00080255,7.3,18,63.3,11.3
E00080256,7.1,19.2,63.2,10.4
E00080257,9.9,21.5,59.5,9.1
E00080258,15,20.4,57.8,6.8
E00080259,10.5,20.4,61.1,8
E00080260,14.2,16.4,61.9,7.5
E00080261,8.7,24,57.3,10
E00080262,13.4,20.1,57.3,9.1
E00080263,18.8,22.9,56.3,2.1
E00080264,7.2,21.1,60.6,11.1
E00080265,12.2,20.3,58.1,9.3
E00080266,9.3,18.7,62.2,9.8
E00080267,14.5,15.2,60.7,9.7
E00080268,8.7,18.6,66.5,6.2
E00080269,16,16,57.4,10.6
E00080270,9.8,17.3,65.4,7.5
E00080271,11,35.6,50.7,2.7
E00080272,9,23.3,58.6,9
E00080273,13.4,23.2,54.3,9.1
E00080274,13.4,17.2,59.9,9.6
E00080275,13.8,10.6,57.7,17.9
E00080276,8.8,19.9,60.2,11.1
E00080277,11.3,13.7,63.7,11.3
E00080278,11.3,18.8,61.7,8.3
E00080279,15.8,25.1,50.3,8.8
E00080282,6.8,21.9,63,8.2
E00080283,12.5,20.8,55.2,11.5
E00080284,7.5,25.3,56.8,10.3
E00080285,9.3,29,46.7,15
E00080286,11.3,20,60,8.8
E00080287,8.3,22.7,59.1,9.8
E00080288,15.7,16.5,58.3,9.6
E00080289,11.9,21.3,55,11.9
E00080290,7.9,26.7,60.4,5
E00080291,9.1,10,70,10.9
E00080292,9.9,22.7,58.2,9.2
E00080293,9.9,20.5,62.1,7.5
E00080295,11.6,22.5,56.6,9.2
E00080296,5.6,21.5,61.1,11.8
E00080297,11.3,12,64.7,12
E00080298,8.3,19.3,63.3,9.2
E00080299,7.3,24.8,55.5,12.4
E00080300,9.4,21.3,64.6,4.7
E00080301,17.4,29.5,44.7,8.3
E00080302,12.5,22.6,57.1,7.7
E00080303,12.1,27,53.2,7.8
E00080304,6.2,21.7,61.5,10.6
E00080305,20.9,20.2,49.7,9.2
E00080306,10,14.5,60.9,14.5
E00080307,7.7,20.2,59.6,12.5
E00080308,15,19.4,50,15.6
E00080310,11.3,35.2,47.9,5.6
E00080311,11.1,18.5,62.2,8.1
E00080312,10.5,28.3,47.4,13.8
E00080313,12.8,17.7,57.4,12.1
E00080314,10,18.6,50,21.4
E00080315,15.6,15.6,59.4,9.4
E00080316,12.3,19.2,56.9,11.5
E00080317,17.7,20,53.8,8.5
E00080318,12,20.7,58.7,8.7
E00080319,5.3,34.7,58.7,1.3
E00080320,12.2,23.5,58.3,6.1
E00080321,13.2,23.6,50.9,12.3
E00080322,16,35,44,5
E00080323,9.7,18.7,62.7,9
E00080324,14.3,26.2,47.6,11.9
E00080325,16.5,22.7,49.5,11.3
E00080326,16,20,55.2,8.8
E00080327,14.5,15.2,52.9,17.4
E00080328,12,25.9,47.2,14.8
E00080329,10.6,14.4,57.7,17.3
E00080330,13.9,20.4,48.9,16.8
E00080331,13.2,24.2,47.3,15.4
E00080332,11.6,21.1,51.7,15.6
E00080333,23.2,17.9,47.4,11.6
E00080334,24.6,18.8,49.3,7.2
E00080335,17.8,19.5,52.5,10.2
E00080336,13.1,20.8,55.4,10.8
E00080337,9.2,22,51.4,17.4
E00080338,8.8,23.1,63.8,4.4
E00080339,7.7,19.2,62,11.1
E00080340,22,12.7,53.4,11.9
E00080341,6.9,20.8,55.6,16.7
E00080342,9.6,27.4,52.7,10.3
E00080343,17.4,24.2,44.7,13.6
E00080344,9.5,16.9,64.2,9.5
E00080345,18.2,13.2,52.1,16.5
E00080346,16.8,25.2,52.3,5.6
E00080347,19,19,59.5,2.4
E00080348,20.5,16.2,44.4,18.8
E00080349,21.6,24.1,37.9,16.4
E00080350,16.3,16.3,51.3,16.3
E00080351,15,15,54.9,15
E00080352,12.1,24.2,51.5,12.1
E00080353,8.7,17.9,62.5,10.9
E00080354,16.8,18.3,54.2,10.7
E00080355,9.3,22.1,52.9,15.7
E00080356,11.1,18.1,62.6,8.2
E00080357,9.6,17,60.6,12.8
E00080358,9.3,20.4,61.1,9.3
E00080359,12.6,15.9,56,15.4
E00080360,15.4,24,51,9.6
E00080361,8.5,20,62.3,9.2
E00080362,17.5,13.9,55.5,13.1
E00080363,16.7,25,48.8,9.5
E00080364,18.5,24.5,51.1,6
E00080365,9.5,15.6,65.4,9.5
E00080366,8.3,17.9,63.5,10.3
E00080367,15.2,29.1,44.3,11.4
E00080368,15.6,21.1,55.6,7.8
E00080369,10.8,16.5,58.2,14.6
E00080370,21,15.9,41.3,21.7
E00080371,16.7,15.8,54.2,13.3
E00080372,21.3,17.3,48,13.3
E00080373,12.9,21.2,57.1,8.8
E00080375,12.5,21.9,58.1,7.5
E00080376,9.8,18.7,62.6,8.9
E00080377,14.4,29.4,51,5.2
E00080378,13.7,25.3,53.7,7.4
E00080379,14.7,33.3,42.7,9.3
E00080380,0,15.8,73.7,10.5
E00080383,5.3,20.2,62.3,12.3
E00080385,7.2,33.3,55.1,4.3
E00080386,20.6,26.2,44.4,8.7
E00080387,16.7,19,49.2,15.1
E00080388,9.8,20.7,59.8,9.8
E00080390,10.4,20.8,59.6,9.2
E00080391,5.6,23.4,55.1,15.9
E00080392,6.1,22.9,59.5,11.5
E00080393,13.5,22.4,57.1,7.1
E00080394,10.5,23.8,54.7,11
E00080395,9.4,15.3,65.1,10.2
E00080396,6.9,22,63,8.1
E00080398,11.8,25.7,52.9,9.6
E00080399,12.9,18.7,61.9,6.5
E00080402,12.4,19.9,59.6,8.1
E00080473,12,21.3,59.3,7.4
E00080474,8.3,22.2,65.3,4.2
E00080475,11.2,34.5,45.7,8.6
E00080476,11.5,16.4,59,13.1
E00080477,15.2,19.7,51.5,13.6
E00080478,11.3,17.6,52.2,18.9
E00080479,9.5,16.7,63.5,10.3
E00080480,20.3,23.7,47.5,8.5
E00080481,10.7,17.9,61.6,9.8
E00080482,9.4,18,60.2,12.5
E00080483,16.7,20,51.1,12.2
E00080484,6.9,22.4,51.7,19
E00080485,10.5,25.1,56.7,7.6
E00080486,19,17.6,47.2,16.2
E00080487,15,15,59.2,10.8
E00080488,6.2,20.9,61.2,11.6
E00080489,13.1,18,58.2,10.7
E00080490,11.7,22.5,57.7,8.1
E00080491,7.3,28.7,56.7,7.3
E00080492,6.7,26.7,60.7,5.9
E00080493,12.1,20.8,56.1,11
E00080494,11.6,26.6,51.4,10.4
E00080495,10,21.3,59.4,9.4
E00080496,9.6,21,56.3,13.2
E00080497,5.7,21.8,60.9,11.5
E00080498,10.5,17.5,64,7.9
E00080499,13.8,22.6,55.9,7.7
E00080500,8.6,20.9,59.5,11
E00080501,11.9,17.2,63.6,7.3
E00080502,8.9,20.3,58.2,12.7
E00080503,12.9,15.6,59.9,11.6
E00081269,7.6,18.3,58,16
E00081270,9.9,17.3,60.5,12.3
E00081271,4.3,23,58.3,14.4
E00081272,9.4,15.8,57.3,17.5
E00081273,7.8,16.1,60,16.1
E00111319,10.6,25.3,49,15.2
E00111320,12.4,18.4,60.4,8.8
E00111321,17.3,21.6,47.2,13.9
E00111322,11.9,19.3,56.8,11.9
E00111323,7.8,20.6,58.8,12.7
E00111324,12.2,24.3,52.7,10.8
E00111327,11.2,16.8,57.6,14.4
E00111328,14.2,17.9,52.5,15.4
E00111329,11.2,21.2,52.5,15.1
E00111330,22.1,22.9,50.7,4.3
E00111331,13.1,19.7,51.8,15.3
E00111332,14.5,19.7,56.6,9.2
E00111345,17.5,12.7,55.6,14.3
E00111346,8.7,23.7,58.4,9.2
E00111347,8.9,19.3,59.4,12.5
E00111348,13.2,16.8,57.5,12.6
E00111349,9.9,21.2,62.3,6.6
E00111350,15.4,18.6,59.6,6.4
E00111351,10.2,17.8,54.2,17.8
E00111352,12.3,22.2,56.8,8.6
E00111353,11.2,20.8,55.1,12.9
E00111354,8.7,22.4,58.2,10.7
E00111355,12.8,18.9,56.8,11.5
E00111356,9,17.9,56.4,16.7
E00111357,12.3,14,61.4,12.3
E00111358,13.8,19.3,58,8.8
E00111360,18.8,18.8,52.2,10.1
E00111361,9.4,22.4,55.3,12.9
E00111362,11.5,17.5,63.4,7.7
E00111497,12.5,13.1,65.5,8.9
E00111499,8.9,14.4,66.4,10.3
E00111500,6.2,18.6,62,13.2
E00111501,11.9,19.3,58.7,10.1
E00111503,18.4,20.2,49.1,12.3
E00111505,15.3,18.7,56,10
E00111506,12.5,28.1,52.1,7.3
E00111507,14.4,17.1,64.4,4.1
E00111508,14,16.7,58,11.3
E00111509,16.8,19.6,50.3,13.3
E00111510,11.1,25,51.4,12.5
E00111513,11.5,25,52.6,10.9
E00111514,16,23.4,51.1,9.6
E00111515,6.5,18.6,63.8,11.1
E00111517,13.3,19.4,57.6,9.7
E00111518,8.2,19,59.5,13.3
E00111519,14.5,17.7,58.1,9.7
E00111520,8.7,19,61.9,10.3
E00111521,7.7,11.6,63.9,16.8
E00124760,11.4,22.7,52.3,13.6
E00124761,11.3,18.2,50.9,19.5
E00124762,8.5,17.8,63.6,10.1
E00124763,10.5,19.5,55.6,14.3
E00124764,10.2,24.5,56.5,8.8
E00124781,10.5,15.8,59.9,13.8
E00124782,9.7,21.6,56,12.7
E00124783,7.5,19.8,59,13.8
E00124784,9.8,17.7,61,11.6
E00124785,11,16.9,55.8,16.2
E00124786,9.4,20.6,54.7,15.3
E00124787,5,15.6,68.8,10.6
E00124788,7.3,14.5,66.7,11.5
E00124789,9.2,19.1,55.9,15.8
E00124790,9.5,18.3,57.1,15.1
E00124792,9.8,22,55.5,12.8
E00124793,6.8,21.7,55.9,15.5
E00124794,16.1,13.8,60.9,9.2
E00124795,18.6,11.6,55.8,14
E00124796,10.6,17.7,59.3,12.4
E00124797,7.7,22.2,54.7,15.4
E00124798,6,20.8,64.4,8.7
E00124799,11,20.7,47.6,20.7
E00124800,7,23.9,53.5,15.5
E00124801,12,19,54.4,14.6
E00124802,5.5,20.5,63.7,10.3
E00124803,7.5,17.2,64.9,10.4
E00124821,10.8,22.3,57.2,9.6
E00124822,8.5,15.3,64.4,11.9
E00124823,5.9,19.1,58.6,16.4
E00124824,6.2,17.1,64.5,12.3
E00124825,10,16,57.1,16.9
E00124826,2.9,25,55.1,16.9
E00124827,5.9,20.7,61.5,11.9
E00124828,11.4,16.5,59.5,12.7
E00124829,6,30.1,51.9,12
E00124830,10.6,24.4,46.3,18.7
E00124831,6.1,24.5,63.8,5.5
E00124832,8.5,24.4,56.1,11
E00124833,10,24.5,53.6,11.8
E00124834,9.1,20.1,57.8,13
E00124835,11.3,17.3,58.9,12.5
E00124836,12,18.7,59,10.2
E00124837,6.8,16.5,64.2,12.5
E00124838,9.8,22,55.3,13
E00124840,6.3,22.3,54.5,17
E00124841,10.4,16,61.3,12.3
E00124842,8.8,15.2,68.8,7.2
E00124843,16.2,18.9,50,14.9
E00124844,7.6,17.2,57.3,17.8
E00124845,6.6,15.9,62.9,14.6
E00124895,12.3,16.9,60.4,10.4
E00124896,12.3,20.4,55.6,11.7
E00124897,8.3,20.6,59.6,11.5
E00124898,9.1,19.1,64.5,7.3
E00124899,10.9,16.3,62.8,10.1
E00124900,9.2,14.6,65.4,10.8
E00124901,11.1,18.5,59.3,11.1
E00124902,11.3,25,50.8,12.9
E00124903,12.7,13.7,56.9,16.7
E00124904,7.6,21.5,55.7,15.2
E00124905,13.7,20.6,59.5,6.1
E00124906,12,19.2,63.2,5.6
E00124907,14.6,9.8,64.6,11
E00124908,9.5,19,63.8,7.8
E00124909,9.4,17.5,61.9,11.3
E00124910,7.2,24.6,59.9,8.4
E00124911,8.4,27.7,53.8,10.1
E00124912,11.3,18,60,10.7
E00124913,11.4,15.4,57.7,15.4
E00124914,9.1,39.4,45.5,6.1
E00124915,8.6,17.2,65.5,8.6
E00124916,8,17,69.6,5.4
E00124917,14.6,14.6,62.5,8.3
E00124918,6.2,21.5,57.7,14.6
E00124919,7.3,18.3,62.4,11.9
E00124920,8.1,23.2,60.6,8.1
E00124921,6.4,22,53.2,18.4
E00124922,9.3,16.7,58,16
E00124923,12.5,19.5,49.2,18.8
E00124924,16.4,15.7,54.3,13.6
E00124925,3.7,18.5,66.7,11.1
E00124926,9.4,24,57.3,9.4
E00124927,6.7,20,57.8,15.6
E00124928,6.8,21.6,65.9,5.7
E00124929,13.8,18.3,49.5,18.3
E00124930,9.1,20.5,56.8,13.6
E00124931,9.9,23.5,53.1,13.6
E00124932,10.2,20.5,52.3,17
E00124933,15.2,13.9,64.6,6.3
E00124934,9.2,18.4,57.9,14.5
E00124935,9.9,18.6,57.8,13.7
E00124939,9.7,9.7,70.9,9.7
E00124940,12.2,20.6,51.1,16
E00124941,6.5,19.6,64.7,9.2
E00124942,11,20.3,60.2,8.5
E00124943,12.1,22.4,53.3,12.1
E00124944,12.6,20.2,52.9,14.3
E00124945,15.9,15.9,49.3,18.8
E00124946,5.6,15.1,66.7,12.7
E00124947,8,26.3,56.2,9.5
E00124948,7.9,18.1,59.3,14.7
E00124949,10.6,15.6,55.6,18.1
E00124950,6.1,25.2,58,10.7
E00124951,15.2,18.1,55.1,11.6
E00124952,6.8,23.9,53.8,15.4
E00124953,13.5,22,53.9,10.6
E00124955,12.7,20.1,53.7,13.4
E00124956,9.2,15.4,60,15.4
E00124957,9.1,13.1,63.6,14.1
E00166802,7.1,18.2,51.4,23.2
E00166804,5.8,20.2,57.7,16.3
E00166805,9.8,16.1,58.9,15.2
E00166807,3.5,17,64.9,14.6
E00166808,8.4,14.9,66.2,10.4
E00166810,6.2,11.7,62.1,20
E00166811,5.2,13.3,65.9,15.6
E00166814,7.9,17.7,59.1,15.2
E00166870,9.2,14.7,64.2,11.9
E00169993,9.8,20.7,62.2,7.3
E00169994,8.5,21.7,53.5,16.3
E00169995,7.9,15.2,66.1,10.9
E00169996,6.2,19.1,62.3,12.3
E00169997,11.6,15.1,63.3,10
E00169998,12.3,21.1,51.7,14.9
E00169999,13.2,16.4,53.9,16.4
E00170000,10.9,18.2,59.1,11.7
E00170001,11.9,15.9,60.3,11.9
E00170007,10.7,12.5,58.9,17.9
E00170008,18.1,25,50,6.9
E00170009,6.9,15.3,65.3,12.5
E00180459,12.5,18.3,53.8,15.4
E00180465,5.3,21.9,65.1,7.7
E00180466,3.9,20.3,63.3,12.5
E00180480,4.4,15.8,69.6,10.1
E00180486,7.5,15.1,67.9,9.4
E00180490,8.8,11.4,67.2,12.7
E00180492,26.1,30.4,39.1,4.3
E00180497,8.6,15.6,60.9,14.8
E00180502,8,15.5,65.8,10.7
E00180503,9.9,12.1,66,12.1
E00180507,7.7,35.4,56.9,0
E00180508,10.3,16.2,61.8,11.8
E00180513,8.5,17.6,61.4,12.4
E00180522,5.5,15.6,66.6,12.3
E00180531,30.6,16.7,49.1,3.7
E00180542,8.4,24.5,55.9,11.2
E00180544,7.6,23.6,64.6,4.2
E00180545,6.6,13.1,78.7,1.6
E00180550,7.6,39,47.6,5.7
E00180553,4.7,10,72.9,12.4
E00180557,11.5,10.7,68.7,9.2
E00180558,8.5,12.4,66.7,12.4
E00189637,10.2,12,65.3,12.6
E00189652,11.3,13.2,58.5,17
E00189662,6.1,17.7,59.8,16.5
E00189677,7.8,31.2,54.5,6.5
E00189679,5,14.2,67.9,12.8
E00189697,6.5,12.9,61.3,19.4
E00189704,10.8,17.2,48.4,23.7
E00189713,7.1,18.7,60.6,13.5
E00189732,9.6,21,58.6,10.8
E00189748,2.3,19.5,69.5,8.6
E00189762,6.6,19.2,62.1,12.1
E00189784,11.4,24.2,59.1,5.3
E00189791,17.3,9.6,44.2,28.8
