areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00080065,94.3,0.3,5.4
E00080066,93.2,0.6,6.1
E00080067,90.3,0.4,9.3
E00080068,90.5,3.7,5.7
E00080069,85.6,2,12.4
E00080070,85.3,1.9,12.8
E00080071,84.1,1,14.9
E00080072,84.8,2,13.2
E00080073,79.7,0.7,19.7
E00080074,87.5,1.3,11.2
E00080075,92.6,0,7.4
E00080076,85.8,2,12.2
E00080077,77.4,3.8,18.9
E00080078,87.1,2.8,10.1
E00080079,83.4,1.7,14.9
E00080080,87.2,1.4,11.4
E00080081,77.2,2.8,20
E00080082,78.4,1.2,20.3
E00080084,83,1.4,15.6
E00080085,83.8,0.9,15.3
E00080086,86.4,1.2,12.3
E00080087,95.4,1,3.6
E00080088,93.2,0,6.8
E00080091,85.7,1.3,13
E00080092,87.5,1.4,11.1
E00080093,95.8,2.1,2.1
E00080094,86.2,0.4,13.5
E00080095,87,0.4,12.6
E00080096,80.7,2.8,16.6
E00080097,87.9,1.4,10.7
E00080135,86.5,1.6,11.9
E00080138,87.1,3.5,9.3
E00080139,92.1,1,6.9
E00080143,72.3,1.6,26.1
E00080144,73.5,1.5,25
E00080145,77.2,1.9,20.9
E00080147,86.9,2.9,10.2
E00080151,94.8,0.4,4.7
E00080158,79.9,3.4,16.7
E00080160,86.5,1.4,12.1
E00080164,77.8,1.5,20.8
E00080168,75.3,5,19.8
E00080170,91,1.9,7.1
E00080171,82.6,1.5,16
E00080178,82.9,2.7,14.4
E00080202,94.4,0.6,5
E00080203,90.5,0.7,8.8
E00080204,90.1,2.8,7.1
E00080206,96.7,1.3,2.1
E00080217,89.4,0.7,9.9
E00080239,94.2,0.3,5.5
E00080240,93.9,1.6,4.5
E00080241,90.8,0.2,9
E00080242,91.4,0.3,8.3
E00080243,93.9,0.6,5.5
E00080244,95,0,5
E00080245,93.2,1.8,5
E00080246,88.5,2.6,9
E00080247,89.5,1,9.4
E00080248,92,1.6,6.3
E00080249,93,1.8,5.1
E00080250,94.7,0,5.3
E00080251,89.9,1.3,8.8
E00080252,90.3,3.6,6.1
E00080253,95.3,1.8,2.9
E00080254,92.9,0.5,6.6
E00080255,96.2,0.7,3.1
E00080256,92.1,3.1,4.8
E00080257,91.8,3.2,5
E00080258,93.2,1.9,5
E00080259,95.2,1.6,3.2
E00080260,92.1,1,6.9
E00080261,95.9,0.6,3.5
E00080262,91.7,1.8,6.5
E00080263,91.1,4.4,4.4
E00080264,92,0.8,7.3
E00080265,95.5,0,4.5
E00080266,87.7,1.1,11.2
E00080267,91.1,3.1,5.8
E00080268,88.1,0.7,11.3
E00080269,97.2,1.2,1.6
E00080270,94.2,0.3,5.5
E00080271,82.1,3.1,14.8
E00080272,95.4,1.1,3.5
E00080273,92.3,1.1,6.6
E00080274,96.3,2.4,1.4
E00080275,96.7,0.5,2.9
E00080276,96.6,0.3,3.2
E00080277,94.7,1.9,3.4
E00080278,96.2,0.5,3.3
E00080279,96.7,0,3.3
E00080282,95.6,0.7,3.7
E00080283,96.7,0,3.3
E00080284,96.1,1.4,2.5
E00080285,95.9,0,4.1
E00080286,96.3,0,3.7
E00080287,95.9,2.2,1.9
E00080288,96.7,0.4,2.9
