areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00076717,96,0,4
E00076719,94.2,2.6,3.2
E00076721,96.9,0.4,2.6
E00076722,99.3,0,0.7
E00076723,95.1,1.2,3.7
E00076724,98.7,0,1.3
E00076726,94,1.1,4.9
E00076729,97,0.9,2.2
E00076731,93.8,2.6,3.6
E00076732,96.8,0.2,3
E00076733,100,0,0
E00076734,97.7,1,1.3
E00076737,92.4,2.5,5.1
E00076738,97.5,0,2.5
E00076739,95.2,0.7,4.1
E00076742,98.1,0.6,1.3
E00076744,98,1.6,0.4
E00076747,98.3,0,1.7
E00076752,96.9,1,2.1
E00076999,96.5,1,2.5
E00077000,92.8,2.2,4.9
E00077001,90.1,1.3,8.6
E00077008,99.2,0,0.8
E00077010,98.2,0,1.8
E00077013,95.5,1.2,3.3
E00077014,93.4,2.2,4.4
E00077015,98.7,0.4,0.9
E00077032,95.9,0.6,3.5
E00077043,96.4,2,1.6
E00077047,99.3,0,0.7
E00077150,93.3,0.7,5.9
E00077151,92.6,2.7,4.7
E00077152,91,1.7,7.3
E00077153,92.1,1.2,6.7
E00077154,96,2.4,1.5
E00077155,97.3,1.4,1.4
E00077156,90.3,2.4,7.2
E00077158,94.6,2.7,2.7
E00077159,93.8,2.5,3.8
E00077161,94.1,1.7,4.3
E00077164,90.1,1.3,8.7
E00077166,86.7,2.1,11.2
E00077168,97,0.4,2.6
E00077169,92.9,3.8,3.3
E00077170,95.5,1.4,3.1
E00077173,93.2,1.9,4.9
E00077175,95.2,1.4,3.4
E00077176,96.8,0.5,2.7
E00077177,94.4,2.6,3
E00077178,95.3,1.7,2.9
E00100653,99.5,0,0.5
E00100654,97.2,1.9,0.9
E00100655,96.7,1.1,2.2
E00100656,94.6,1,4.5
E00100657,98.2,0.5,1.4
E00100658,93.3,0.4,6.4
E00100659,90.1,3,6.9
E00100670,97.4,0.6,1.9
E00100674,96.5,1,2.6
E00100676,97.6,0.7,1.7
E00100677,96.6,0.9,2.6
E00100678,94.6,1.5,3.9
E00100679,93.6,2.7,3.8
E00100680,97.4,0,2.6
E00100681,94.6,2.7,2.7
E00100682,96.8,0.5,2.7
E00100683,94.1,2.2,3.7
E00100684,94.5,1.2,4.3
E00100685,94.3,0.6,5.1
E00100686,96.6,0.9,2.6
E00100687,94.9,3.1,2
E00100688,96.9,0.3,2.8
E00100689,98.7,0,1.3
E00100690,96.1,2.9,1.1
E00100691,92.6,3.7,3.7
E00100692,97.9,1.4,0.7
E00100693,97.2,0.8,2
E00100694,93.6,1.3,5.1
E00100695,96.3,0.5,3.2
E00100696,97.9,1.3,0.8
E00100697,96,1.6,2.4
E00100698,90.8,6.1,3.1
E00100699,95.6,0.4,4
E00100700,95.9,1.2,2.9
E00100701,92.7,1.7,5.6
E00100702,96.5,0.5,3
E00100703,95.9,0.3,3.8
E00100704,98.4,0.4,1.2
E00100705,92,3,5
E00100706,94.9,1.4,3.7
E00100713,98.4,0.3,1.3
E00100714,96.6,1.2,2.1
E00100715,96,1.9,2.2
E00100716,97.2,0.8,2
E00100721,94,2.8,3.2
E00100737,95.9,1.6,2.5
E00100738,98.3,1.3,0.4
E00100739,96.3,0.9,2.9
E00100740,97.3,1.5,1.2
E00100741,95.2,2.8,2
E00100742,98.1,0.5,1.4
E00100743,96.3,0.5,3.2
E00100745,93.6,0.6,5.8
E00100746,99.7,0,0.3
E00100747,98.1,1,1
E00100748,98,0,2
E00100749,98.5,1.5,0
E00100750,96.4,1.2,2.4
E00100751,98.2,0,1.8
E00100752,96.4,1.3,2.3
E00100753,97.7,0.4,1.9
E00100754,97,1.9,1.1
E00100755,98.3,0.3,1.4
E00100756,93.8,1.9,4.3
E00100757,97.5,1.4,1.1
E00100758,93.2,2,4.8
E00100759,100,0,0
E00100760,94.9,2.2,2.9
E00100761,96.9,0.3,2.7
E00100762,97.3,0,2.7
E00100763,97.5,1.1,1.4
E00100764,96.8,2.4,0.8
E00100765,95.8,1.8,2.4
E00100766,98.8,1.2,0
E00100767,95.4,2,2.6
E00100768,97.6,1.7,0.7
E00100769,94.3,2,3.7
E00100770,97.6,1.1,1.3
E00100771,97.6,0.3,2.1
E00100772,97.7,0.4,2
E00100773,93.2,0.9,5.9
E00100774,97.5,1.1,1.4
E00100775,95.9,0.3,3.8
E00100776,93.3,0.9,5.8
E00100777,96.9,0.8,2.4
E00100778,95.6,1.3,3.1
E00100779,97,1.4,1.6
E00100780,96.5,0,3.5
E00100781,96.5,0.7,2.8
E00100782,88.8,4.2,6.9
E00100783,95.2,0.8,4
E00100784,97.9,0.9,1.2
E00100785,96,0.8,3.3
E00100786,95.5,0.3,4.2
E00100788,91.6,2.5,5.9
E00100789,98,0.4,1.6
E00100790,94.4,1.7,4
E00100791,96.8,1.8,1.5
E00100792,94.7,0.7,4.7
E00100793,98.5,0,1.5
E00100794,97.5,0.4,2.1
E00100795,96.4,1.1,2.5
E00100796,97.6,1.2,1.2
E00100797,93.3,1.1,5.6
E00100798,96.9,1.2,1.9
E00100799,97.8,1.1,1.1
E00100800,97,1,2
E00100801,93.4,0.3,6.2
E00100802,92.4,3.1,4.5
E00100803,93.7,1.4,4.9
E00100804,91.7,1.1,7.2
E00100805,85,0.8,14.2
E00100806,90,1.4,8.6
E00100807,88,2.8,9.2
E00100808,85.8,0.6,13.5
E00100809,93.3,0.7,6
E00100810,95.6,0.4,4
E00100811,94.7,0.8,4.6
E00100812,97.1,0.6,2.3
E00100813,97.3,1,1.7
E00100814,95.8,1.9,2.2
E00100815,95.2,0.3,4.5
E00100816,89.7,0.8,9.5
E00100817,93.1,0.8,6.1
E00100818,96.4,1.3,2.3
E00100819,88.8,0.6,10.6
E00100820,91.4,1.2,7.4
E00100821,91.2,0.4,8.4
E00100822,91.3,1,7.7
E00100823,85.5,1.8,12.7
E00100824,90.1,1,8.9
E00100825,87,1.6,11.4
E00100826,95.3,1.3,3.4
E00100827,98,0.9,1.1
E00100828,96.7,1.2,2.1
E00100829,95.2,0.6,4.1
E00100830,97.8,0,2.2
E00100831,91.3,1.7,6.9
E00100832,98.3,0.4,1.3
E00100833,98.4,0,1.6
E00100834,96.6,0.6,2.8
E00100835,96.9,0.4,2.7
E00100836,99.1,0.6,0.3
E00100837,98.2,0.6,1.2
E00100838,97.6,0.7,1.7
E00100839,98.1,0.8,1.1
E00100840,98.2,0.3,1.5
E00100841,96.3,1.7,2
E00100842,93.9,0.6,5.5
E00100843,90.8,3.3,5.9
E00100844,97.7,0.2,2.1
E00100845,96.7,0.8,2.5
E00100846,94.2,0.3,5.5
E00100847,96.2,0.9,3
E00100848,96.5,0.7,2.8
E00100849,94.7,2.2,3.1
E00100906,93.6,2,4.3
E00100907,95,2.9,2.1
E00100908,98.7,0,1.3
E00100909,94.5,3.6,1.9
E00100910,99.5,0,0.5
E00100911,95.9,1.3,2.8
E00100912,96.3,2.2,1.6
E00100920,97.4,0.3,2.3
E00100921,97.9,0,2.1
E00100922,96.4,2,1.5
E00100923,97.5,0.3,2.2
E00100928,96.4,1.8,1.8
E00100929,95.3,1.7,3
E00100930,95.1,2.3,2.7
E00100931,96.3,1.8,1.8
E00100932,97.5,0.5,2
E00100948,97.2,0,2.8
E00100949,98,0.2,1.7
E00100950,96.7,2.2,1.1
E00100951,97.8,0.6,1.6
E00100952,93.5,2.3,4.2
E00100953,98.4,0.3,1.2
E00100954,97.5,0.9,1.5
E00100955,95.5,2.1,2.4
E00100956,84.7,6.7,8.6
E00100957,90.6,1.8,7.6
E00100958,97.6,0,2.4
E00100959,97.2,0.4,2.4
E00100960,97.7,0.3,2
E00100961,95.7,1.2,3.1
E00100962,96.5,2,1.6
E00100963,97.8,1.1,1.1
E00100964,97.8,0,2.2
E00100966,96.2,1.1,2.6
E00100967,96.9,0,3.1
E00100968,97,0,3
E00100969,98.3,0.4,1.2
E00100970,95.5,3.1,1.4
E00100971,93,0.7,6.3
E00100972,97.4,1.5,1.1
E00100973,89.8,2.5,7.6
E00100974,92.5,2,5.5
E00100975,97.4,1,1.6
E00100976,92.2,2.1,5.8
E00100977,96.2,1,2.8
E00100978,97.3,0,2.7
E00100979,98,0,2
E00100980,95.4,2.6,2
E00100981,96.2,1.2,2.6
E00100982,94.5,3,2.6
E00100983,94.1,3.4,2.4
E00100984,95.5,1.1,3.4
E00100985,90.8,2.8,6.3
E00100986,90.7,2.7,6.6
E00100987,93.9,2.2,3.9
E00100988,96.8,0.7,2.5
E00100989,97.9,0.8,1.3
E00100990,94.7,1.1,4.2
E00100992,97,2.2,0.7
E00100993,98.4,1,0.6
E00100994,93.5,2.3,4.2
E00100995,96.5,0.9,2.6
E00100996,96,0,4
E00100997,90.8,1.9,7.3
E00100998,94.1,0.8,5
E00100999,92.3,3,4.7
E00101000,90.4,1,8.6
E00101001,95.3,1.6,3.1
E00101002,94.3,4.3,1.4
E00101003,96.5,0.4,3.1
E00101004,90.3,1.2,8.5
E00101005,94,2,4
E00101006,97.5,0.6,1.9
E00101007,96.8,0.3,2.9
E00101008,96.1,2.8,1.1
E00101009,93.9,2.4,3.7
E00101010,96.2,1,2.7
E00101011,94.3,1.7,3.9
E00101012,92.3,1.1,6.6
E00101013,78.9,1.9,19.2
E00101014,92.4,1,6.6
E00101015,84.3,2,13.7
E00101016,95.9,0,4.1
E00101017,94.8,1.2,3.9
E00101018,98.3,0.6,1.1
E00101019,94.4,1.2,4.4
E00101020,92.4,4.5,3.1
E00101021,94.6,1.9,3.5
E00101022,94.7,2.5,2.8
E00101023,94.4,2.2,3.4
E00101024,94,3.2,2.8
E00101025,97.2,0.6,2.2
E00101026,93.6,2.1,4.3
E00101027,90.8,3.2,6
E00101028,92.1,3.2,4.7
E00101029,94.8,2.2,3
E00101038,98.8,0,1.2
E00101039,94.5,1.3,4.2
E00101040,95.4,2.6,2
E00101041,96.3,1.1,2.5
E00101042,95.5,0,4.5
E00101043,92.1,2.5,5.5
E00101053,95.7,1.2,3.1
E00101054,95.5,0.9,3.6
E00101055,93.5,3.2,3.2
E00101056,90.7,4,5.3
E00101057,96.5,0,3.5
E00101058,95.6,0.8,3.6
E00101059,93.4,2.6,3.9
E00101060,95,1.5,3.5
E00101061,96.8,2.2,1
E00101062,95.2,2.8,2
E00101063,93.7,1,5.3
E00101064,96.8,1.9,1.3
E00101065,96.4,3.6,0
E00101163,81.2,5,13.8
E00101164,84.5,2.3,13.3
E00101165,88,4,8
E00101166,88.8,0.7,10.5
E00101167,90.3,2.1,7.6
E00101168,76.9,5.7,17.4
E00101169,92.5,1.5,6
E00101170,82.6,3.3,14.1
E00101171,87.6,3.7,8.7
E00101172,93.7,3.7,2.7
E00101173,81.3,2.7,16
E00101174,89.6,3,7.5
E00101175,84.9,3.9,11.2
E00101176,86.5,2.6,11
E00101177,95,2.5,2.5
E00101178,91,3.2,5.8
E00101179,89.4,4.3,6.4
E00101180,85.7,4.1,10.2
E00101189,83.6,5.8,10.6
E00101190,86.5,2.8,10.8
E00101191,87.9,1.1,11
E00101192,91.6,1,7.4
E00101193,94.8,2.8,2.5
E00101194,95.8,0.5,3.6
E00101201,81.5,2.7,15.8
E00101211,87,0.8,12.1
E00101215,76.8,3.5,19.6
E00101217,83.9,4,12.2
E00101222,90.1,2.1,7.8
E00101226,84.8,5.9,9.4
E00101228,83.6,4.7,11.7
E00101253,90.4,3.4,6.2
E00101255,98.5,0,1.5
E00101256,95.9,0.6,3.5
E00101257,93.1,2.7,4.2
E00101258,90.9,2.1,7
E00101259,84.2,2.6,13.2
E00101260,86.4,3,10.7
E00101261,96.6,0.5,2.8
E00101262,81.5,5.1,13.4
E00101263,83.1,2.7,14.2
E00101264,88,3.4,8.6
E00101265,80.2,3.7,16
E00101266,85.9,5.2,8.9
E00101267,86.1,7,7
E00101268,89.1,3.5,7.3
E00101269,83.5,5.9,10.6
E00101270,90.9,1.4,7.7
E00101273,88.9,3.5,7.5
E00101274,80.9,5.4,13.7
E00101275,82.1,4.6,13.3
E00101276,77.1,4.9,18
E00101277,89.7,2.5,7.8
E00101278,87.4,1.1,11.6
E00101279,91.8,0.4,7.8
E00101280,93.2,0.4,6.3
E00101281,67.9,3,29
E00101282,94.6,1.1,4.3
E00101283,80.2,3.5,16.3
E00101285,93.2,0.3,6.5
E00101286,79.4,3.7,16.9
E00101287,92.4,0.7,6.8
E00101288,82.8,3,14.1
E00101289,92.7,1.7,5.6
E00101290,86.9,2.2,10.9
E00101291,87.6,1.1,11.3
E00101292,92.4,0.8,6.8
E00101293,89.5,1.7,8.8
E00101294,88.8,2.7,8.5
E00101295,86.1,1.3,12.6
E00101296,89.2,2.4,8.4
E00101297,87.8,3.5,8.7
E00101299,95.4,1.5,3.1
E00101300,95.3,1,3.7
E00101301,93.9,1.9,4.2
E00101302,89.1,1.1,9.8
E00101303,96.2,1,2.8
E00101304,90.8,1.7,7.5
E00101305,94.5,0,5.5
E00101306,89.7,3.5,6.8
E00101348,76.8,5.6,17.5
E00101359,88.6,3.6,7.9
E00101363,96.5,1.4,2.1
E00101364,83.8,0.9,15.4
E00101365,87.1,3.2,9.6
E00101366,96.7,0.6,2.7
E00101367,95.8,0.3,3.8
E00101368,89,1.4,9.6
E00101369,92.7,0.4,6.9
E00101370,93.7,3.8,2.4
E00101373,91.7,1.2,7.1
E00101375,97,1,2
E00101376,92.8,2.7,4.5
E00101377,98.1,0.3,1.6
E00101378,88,6.5,5.5
E00101400,92.5,2.1,5.4
E00101401,92.6,3.7,3.7
E00101402,93.1,4.3,2.7
E00101403,90.3,1.3,8.4
E00101404,89.8,1.2,9
E00101405,93.7,2.7,3.6
E00101406,95.6,0,4.4
E00101410,94.5,1.5,3.9
E00101411,90.8,5,4.2
E00101413,95.4,0.3,4.3
E00101414,87,3.9,9.2
E00101415,94.9,3,2
E00101416,88.9,4.6,6.5
E00101417,88.9,3.4,7.7
E00101418,97.7,0,2.3
E00101419,91.7,2.4,5.9
E00101420,91.2,1.8,7
E00101421,95.1,0.7,4.2
E00101422,89.5,4.9,5.6
E00101423,97.6,1.2,1.2
E00101424,88.2,1.1,10.7
E00101426,83.3,1.2,15.5
E00101427,93.1,2.9,4
E00101428,89.5,0.7,9.7
E00101430,92.3,1.7,5.9
E00101431,91.8,2.1,6.1
E00101432,93.8,1.7,4.5
E00101433,94.8,0.8,4.4
E00101434,91.4,1.5,7.1
E00101435,91.2,1.6,7.2
E00101436,90.5,1.2,8.3
E00101437,87.6,2,10.4
E00101438,91.7,3.6,4.8
E00101439,87.7,2.4,9.9
E00101440,93.1,0.9,6
E00101441,92.9,1.4,5.7
E00101442,88.2,1.7,10
E00101443,94.5,0,5.5
E00101444,95.1,0.4,4.5
E00101445,91.7,2.3,6
E00101446,93.9,3.5,2.6
E00101447,86.1,1.8,12
E00101448,90.7,1.2,8.1
E00101449,94.8,0.6,4.6
E00102451,91.9,2.1,6
E00102452,93.9,3.4,2.7
E00102453,96.8,0,3.2
E00102455,98.9,0,1.1
E00102456,97.1,1,1.9
E00102458,97.5,0,2.5
E00102459,94.7,1.8,3.5
E00102460,96.2,0,3.8
E00102461,97,1.8,1.2
E00102462,99.1,0.3,0.6
E00102463,95.1,1.8,3.1
E00102464,98.1,0.3,1.6
E00102465,98.6,0.3,1
E00102466,94.3,1.1,4.6
E00102467,95.6,1.6,2.9
E00102468,94,2.6,3.3
E00102469,96.4,2.4,1.2
E00102470,94.8,1.5,3.7
E00102471,96.3,0.7,3
E00102472,90.9,1,8
E00102473,95.5,0,4.5
E00102474,97.4,2.2,0.4
E00102475,90.2,2.6,7.3
E00102476,95.4,2.5,2.2
E00102477,97.3,0.7,1.9
E00102479,93.8,3.4,2.8
E00102480,96.3,1.5,2.2
E00102481,96.3,2.1,1.6
E00102482,96.5,0,3.5
E00102483,96,0.9,3.1
E00102484,92.8,0.8,6.5
E00102485,96.4,1.8,1.8
E00102486,98.7,0.3,1
E00102487,97.3,1.1,1.5
E00102488,97.3,1.2,1.6
E00102489,98,1,1
E00102490,99.7,0,0.3
E00102491,95.4,0.6,4
E00102492,97.4,0.9,1.7
E00102493,95.1,1.2,3.7
E00102494,95.6,1.8,2.6
E00102495,97.8,1,1.3
E00102496,97.5,0.6,1.9
E00102497,93.7,2.9,3.4
E00102516,97.6,1.2,1.2
E00102518,97.2,1.9,0.9
E00102519,98.9,0.7,0.4
E00102520,97.7,0.3,2
E00102523,95.5,1.7,2.8
