geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E00082337,93.1,6.9
E00082338,91.3,8.7
E00082339,89.9,10.1
E00082340,92.5,7.5
E00082343,91.5,8.5
E00082344,86.8,13.2
E00082345,96.5,3.5
E00082346,95.2,4.8
E00082347,88.9,11.1
E00082350,85.5,14.5
E00114400,88,12
E00114470,91.7,8.3
E00117630,88.1,11.9
E00117632,90.4,9.6
E00117634,83.6,16.4
E00117635,84.1,15.9
E00117636,84.8,15.2
E00117637,79.6,20.4
E00117638,82.4,17.6
E00117639,83.4,16.6
E00117640,79.5,20.5
E00117641,64.3,35.7
E00117642,82.1,17.9
E00117643,84.4,15.6
E00117644,79.4,20.6
E00117645,80.3,19.7
E00117646,75.4,24.6
E00117647,82.6,17.4
E00117648,82.7,17.3
E00117649,81.1,18.9
E00117650,80.6,19.4
E00117651,90.6,9.4
E00117660,93.9,6.1
E00117661,94,6
E00117662,93.3,6.7
E00117663,87.5,12.5
E00117666,92.6,7.4
E00117667,90.5,9.5
E00117668,93,7
E00117669,89.4,10.6
E00117670,92.6,7.4
E00117674,91.2,8.8
E00117675,95.4,4.6
E00117676,91.4,8.6
E00117677,88.9,11.1
E00117678,93.5,6.5
E00117679,87.6,12.4
E00117695,89.7,10.3
E00117696,83.9,16.1
E00117697,93.1,6.9
E00117698,87.6,12.4
E00117699,91.9,8.1
E00117700,94.6,5.4
E00117701,93.2,6.8
E00117702,91,9
E00117720,91.9,8.1
E00117721,93,7
E00117722,86.6,13.4
E00117723,92.4,7.6
E00117724,95.6,4.4
E00117725,89.9,10.1
E00117726,95.4,4.6
E00117781,90.7,9.3
E00117782,94.1,5.9
E00117783,92.4,7.6
E00117784,89.4,10.6
E00117785,91.7,8.3
E00117786,87.3,12.7
E00117787,86.6,13.4
E00117788,84.3,15.7
E00117789,87.5,12.5
E00117790,90,10
E00117791,77.1,22.9
E00117792,92.4,7.6
E00117793,87.1,12.9
E00117794,89.4,10.6
E00117795,88.1,11.9
E00117796,87.4,12.6
E00117797,87.2,12.8
E00117798,90.1,9.9
E00117799,87.8,12.2
E00117800,88.9,11.1
E00117801,91.6,8.4
E00117802,82.9,17.1
E00117810,90.8,9.2
E00117812,90.7,9.3
E00117813,76.7,23.3
E00117814,90,10
E00117815,81.3,18.7
E00117816,91.9,8.1
E00117817,83.9,16.1
E00117818,84.6,15.4
E00117819,86.5,13.5
E00117820,84.1,15.9
E00117821,86.7,13.3
E00117822,92.2,7.8
E00117823,79.6,20.4
E00117824,90.8,9.2
E00117825,89.9,10.1
E00117826,90.4,9.6
E00117827,84,16
E00117828,88.9,11.1
E00117829,93.4,6.6
E00117830,85.9,14.1
E00117831,90.1,9.9
E00117857,94.5,5.5
E00117858,95.7,4.3
E00117859,94.2,5.8
E00117862,90.8,9.2
E00117863,93.6,6.4
E00117864,93.2,6.8
E00117865,96.2,3.8
E00117866,92,8
E00117867,93.4,6.6
E00117868,73.9,26.1
E00117869,93.6,6.4
E00117870,94.8,5.2
E00117871,92.5,7.5
E00117872,93.6,6.4
E00117885,90.6,9.4
E00117886,81.2,18.8
E00117887,84.2,15.8
E00117888,76.4,23.6
E00117889,86.7,13.3
E00117890,86.4,13.6
