areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00032565,81.4,15.1,3.6
E00032732,69.1,17.2,13.7
E00032733,82.4,11.3,6.3
E00032734,74.8,13.7,11.5
E00032735,75.5,13,11.5
E00032736,69.9,18.5,11.6
E00032737,74.1,18.2,7.7
E00032738,75.4,13.3,11.2
E00032739,69.2,16.1,14.7
E00032740,68.1,18.4,13.5
E00032741,87.8,8.5,3.7
E00032742,83.4,11.7,4.9
E00032743,79.4,12.5,8.1
E00032744,81.4,12.4,6.2
E00032745,83.4,10.9,5.6
E00032746,83.9,9.2,7
E00032747,83.6,12.2,4.2
E00032748,73.4,14.9,11.7
E00032749,73.9,16.4,9.7
E00032750,69.2,16.8,14.1
E00032751,77.7,15.5,6.7
E00032757,65,17.3,17.7
E00032758,76.7,17.7,5.7
E00032759,86.2,11.4,2.3
E00032760,76.1,16.6,7.3
E00032761,63.8,21.3,15
E00032762,57.6,30.7,11.7
E00032763,80.8,13.9,5.3
E00032764,81.7,11.4,6.8
E00032765,74.9,12.3,12.8
E00032766,78.9,14.6,6.6
E00032767,61,21.3,17.6
E00032768,50,24.5,25.5
E00032769,66.7,19.5,13.8
E00032771,61.5,25.2,13.3
E00032773,66.1,21,12.9
E00032912,81.6,14.1,4.3
E00032913,92.2,6,1.8
E00032914,75,15.3,9.7
E00032915,73.2,15,11.8
E00032916,89.1,8,2.9
E00032917,83.7,11,5.3
E00032918,79.7,15,5.3
E00032919,75.5,18.4,6.1
E00032920,81.5,11.3,7.3
E00032921,75.2,17.5,7.3
E00032922,73.8,21.1,5
E00032923,81.4,12.3,6.3
E00032924,75.5,16.2,8.3
E00032926,86.6,10.2,3.2
E00032927,81,8.6,10.3
E00032928,67.7,17.9,14.4
E00032929,74.9,17.4,7.7
E00032930,76.1,14.8,9.2
E00032931,72.1,17.1,10.9
E00032932,68.5,21.4,10.1
E00032933,65.1,19.9,14.9
E00032934,73.8,16.4,9.8
E00032935,80.5,13.5,6
E00032936,82.7,12.5,4.8
E00032937,78.3,14,7.8
E00032938,78.4,14.2,7.3
E00032939,90.3,7.5,2.2
E00032940,86.1,8.9,5
E00032941,72,19.6,8.4
E00032943,73,17.7,9.3
E00032944,70.8,18.3,11
E00032945,81.6,12.8,5.6
E00032946,88,9.3,2.8
E00032947,57.9,20.1,22
E00032948,70.9,18.4,10.7
E00032949,72.1,15.9,12
E00032950,77.6,16.4,6
E00032951,69.8,20.5,9.8
E00032952,79.6,15,5.4
