areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00000622,48.3,20.3,11,20.3
E00000624,20.2,24.8,23.9,31.2
E00000626,30.5,39.7,9.2,20.6
E00000628,13.4,23.1,23.1,40.3
E00000629,16.8,28.8,24,30.4
E00000630,19.4,23.3,26.2,31.1
E00000631,15.3,21.2,32.2,31.4
E00000632,34.8,14.3,22.3,28.6
E00000633,14.9,21.6,18.7,44.8
E00000634,14.1,18.8,25,42.2
E00000635,34.2,23.9,14.5,27.4
E00000637,20.7,19,19,41.3
E00000638,26.2,20,20,33.8
E00000640,18.8,26.6,21.1,33.6
E00000641,26.1,25.2,21.8,26.9
E00000642,16.7,23.7,21.1,38.6
E00000644,29.2,19.5,9.7,41.6
E00000645,15.6,24.8,22.9,36.7
E00000647,21.7,17.4,21.7,39.1
E00000648,16.2,22.2,28.2,33.3
E00000650,18.5,23,17.8,40.7
E00000651,18.6,26.9,18.6,35.9
E00000653,23,22.2,20,34.8
E00000654,25,28.3,18.3,28.3
E00000655,36,18.4,11.2,34.4
E00000656,18,27,32.8,22.1
E00000657,19.4,26.6,20.1,33.8
E00000659,33.9,28,12.7,25.4
E00000660,20.2,22.6,12.1,45.2
E00000661,16.8,18.4,20,44.8
E00000662,19.3,22.8,22.8,35.1
E00000667,20.4,23.2,15.5,40.8
E00000687,34.5,26.9,11.8,26.9
E00000688,35.5,28.4,14.9,21.3
E00000689,28.9,21.5,9.9,39.7
E00000690,19.6,20.6,24.3,35.5
E00000691,33.6,27.3,17.2,21.9
E00000692,22,29.5,18.2,30.3
E00000693,53.2,17.7,17.7,11.4
E00000694,52.3,22.8,9.6,15.2
E00000695,21.5,32.3,16.2,30
E00000697,15.4,28.5,17.1,39
E00000698,35.1,25,21.5,18.4
E00000699,32.2,37.7,9.6,20.5
E00000700,44.4,23.2,12,20.4
E00000701,28.9,20.2,10.5,40.4
E00000702,36.3,38.7,10.8,14.2
E00000703,19.6,42,11.9,26.6
E00000704,50,25.8,11.4,12.9
E00000705,18,31.6,19.5,30.8
E00000706,28.3,23,20.4,28.3
E00000707,22.8,35.9,18.6,22.8
E00000708,29.6,25.9,19.1,25.3
E00000709,29.4,28.7,23.8,18.2
E00000710,41.7,23.2,12.8,22.3
E00000711,35.7,32.1,16.3,15.8
E00000712,34.9,27,16.4,21.7
E00000713,25.6,30.6,30,13.8
E00000714,26.4,21.5,24.8,27.3
E00000716,32.5,41,14.6,11.8
E00000717,25.6,32.2,19,23.1
E00000720,36.1,23.1,14.3,26.5
E00000723,34.8,23.7,17,24.4
E00000724,39.5,25.6,17.4,17.4
E00000725,24.6,26.2,13.9,35.2
E00000726,16.4,24.3,12.9,46.4
E00000727,24.5,19.4,15.8,40.3
E00000728,21.3,19.9,12.5,46.3
E00000730,17.4,16.7,18.8,47.2
E00000732,21.4,22.8,15.2,40.7
E00000737,11.5,32.7,26.9,28.8
E00000738,25.7,25.7,12.9,35.6
E00000739,16.9,30.6,16.1,36.3
E00000740,31,20,19,30
E00000742,21.1,19.5,23.6,35.8
E00000743,29.2,11.2,16.9,42.7
E00000745,18.7,41.7,25.9,13.7
E00000746,29.9,22.1,19.5,28.6
E00000747,47.2,14.2,12.6,26
E00000748,22.4,15.2,18.2,44.2
E00000749,56.4,17.3,17.3,9.1
E00000750,28.9,21.1,18.4,31.6
E00000751,35.3,20.4,15,29.3
E00000752,22,20.2,20.2,37.6
E00000754,17.4,26.4,31.9,24.3
E00000755,27,25.2,21.6,26.1
E00000756,30.3,37.9,19.7,12.1
E00000757,34.1,27.9,22.5,15.5
E00000758,37.1,23.7,17.5,21.6
E00000761,44.4,29.3,16.2,10.1
E00000763,38.9,17.7,18.6,24.8
E00000767,40,17.1,10.7,32.1
E00000768,35.6,22.6,12.3,29.5
E00000870,25.2,32.7,23.4,18.7
E00000875,29.1,29.1,20.4,21.4
E00000880,37.5,24.2,15.6,22.7
E00000888,34.2,31.5,17.1,17.1
E00000890,16.4,24.2,14.1,45.3
E00000894,36.6,33.8,13.8,15.9
E00000897,45.1,27.5,9.9,17.6
E00000900,38.4,22.5,17.4,21.7
E00000904,49,18.4,11.2,21.4
E00000906,22.5,31.7,20,25.8
E00000908,25.2,40.3,17.6,16.8
E00000914,29.9,38.3,14,17.8
E00000966,35.1,32.1,15.3,17.6
E00000967,22.9,37.4,19.8,19.8
E00000968,16.7,27.2,20.4,35.8
E00000969,33.1,33.1,13.5,20.3
E00000970,25,25,15.6,34.4
E00000971,29.5,30.3,18.2,22
E00000972,15.4,36.2,15.4,33.1
E00000973,41.9,26.4,14.2,17.6
E00000974,28.7,35.2,13.9,22.1
E00000975,33.6,28.9,10.2,27.3
E00000976,20.7,23.3,32.7,23.3
E00000977,26.7,28.6,21.1,23.6
E00000978,23.7,34.2,18.4,23.7
E00000979,23,36.7,14.4,25.9
E00000980,30.2,33.6,20.7,15.5
E00000981,12.8,26.4,12.8,48
E00000982,10,33.8,14.6,41.5
E00000983,13.4,29.1,18.9,38.6
E00000984,33.3,24.2,23.6,18.8
E00000985,28.9,29.7,12.5,28.9
E00000986,24.2,41.8,15.7,18.3
E00000987,16.2,38.5,17.7,27.7
E00000988,21.3,32.8,11.5,34.4
E00000990,43.8,27.3,4.7,24.2
E00000991,59.3,26.2,10.4,4.1
E00000992,29.4,34.4,17.2,19
E00000993,18.2,38.6,11.4,31.8
E00000994,48.9,32.8,12.2,6.1
E00000995,32.5,31.7,20.3,15.4
E00000996,29,36.1,16.1,18.7
E00000997,31.7,27.9,15.8,24.6
E00000998,44.3,30.5,16,9.2
E00000999,34.9,33.1,12.4,19.5
E00001000,42.6,30.5,16.3,10.6
E00001001,41,35.1,13.4,10.4
E00001002,18.5,23,18.5,40
E00001003,30.6,20.9,18.7,29.9
E00001004,12.4,34.3,21.9,31.4
E00001005,31.8,29.9,18.5,19.7
E00001006,19.6,26.1,9.4,44.9
E00001007,16.8,23.2,28,32
E00001008,42.1,22.2,16.4,19.3
E00001009,47.4,28.3,16.2,8.1
E00001010,25.2,31.7,13,30.1
E00001011,15.5,32.6,19.4,32.6
E00001012,51.7,24.1,10.3,13.8
E00001013,42.6,34.2,15.8,7.4
E00001014,22.2,43.3,15.2,19.3
E00001015,16.7,31.2,13.8,38.4
E00001016,55.6,25.4,12.4,6.5
E00001017,11.6,29.1,22.1,37.2
E00001018,30.4,29.6,15.7,24.3
E00001019,24.3,38.3,21.5,15.9
E00001020,11.9,24.6,20.3,43.2
E00001021,21,22.9,29.9,26.1
E00001022,27,27,25.4,20.5
E00001023,22,31.4,17.8,28.8
E00001024,23.4,25,15.3,36.3
E00001025,13.6,29.6,16.8,40
E00001026,40.7,24.9,18.1,16.4
E00001027,19.8,30.2,19.8,30.2
E00001029,38.9,35.7,14.3,11.1
E00001032,31.1,37.8,14.1,17
E00001033,43.1,29.3,16.4,11.2
E00001034,37.8,23.4,17.1,21.6
E00001036,41.4,28.4,15.5,14.7
E00001037,34.2,25.9,11.4,28.5
E00001039,53.2,29.7,9.9,7.2
E00001040,42.1,27,12.7,18.3
E00001041,81.7,16.5,0.9,0.9
E00001042,33.9,30.4,17,18.8
E00001043,12.3,34.4,18.9,34.4
E00001044,41.5,27.7,12.3,18.5
E00001045,29.5,39.4,15.9,15.2
E00001047,8,34.4,16.8,40.8
E00001048,29.1,32.8,16.4,21.7
E00001049,12.4,24,20.7,43
E00001050,35.3,27.2,17.3,20.2
E00001051,39.6,31.3,14.2,14.9
E00001052,27.3,34.7,24,14
E00001053,15.9,39.7,16.7,27.8
E00001054,25.8,45.8,8.3,20
E00001055,31,37.4,11,20.6
E00001056,34.6,30.8,10.3,24.4
E00001058,40.3,29.2,16.9,13.6
E00001059,14,31.5,17.5,37.1
E00001060,44.2,27.9,18.3,9.6
E00001061,32.9,16.2,19.8,31.1
E00001062,24.3,32,8.3,35.4
E00001063,27,19.7,12.4,40.9
E00001064,30.3,23,8.2,38.5
E00001065,18.4,34.4,10.4,36.8
E00001066,35.6,22,14.1,28.3
E00001067,52.8,19.3,11.5,16.5
E00001068,21.2,30.7,10.2,38
E00001069,59.3,15.5,8.8,16.4
E00001071,32.4,29.4,14.7,23.5
E00001072,25.8,20.8,17.6,35.8
E00001073,24,27.9,17.1,31
E00001074,27.3,23.6,17.6,31.5
E00001075,33.3,20.4,8.2,38.1
E00001076,51.8,23.5,12.7,12
E00001077,32.9,28.5,9.5,29.1
E00001078,13.7,29.4,22.5,34.3
E00001079,23.9,15.2,21.7,39.1
E00001081,35.5,21.5,17.4,25.6
E00001082,14.2,26,18.9,40.9
E00001083,23.8,27,15.6,33.6
E00001084,22,16.3,17.9,43.9
E00001085,39.4,20.6,17.6,22.4
E00001086,22.6,25.2,20,32.3
E00001087,26,18.3,18.3,37.4
E00001089,16.2,23,16.9,43.9
E00001090,41,24.6,10.7,23.8
E00001091,27.8,20.6,15.9,35.7
E00001092,25.7,21.1,12.5,40.8
E00001093,24.3,25.7,15.1,34.9
E00001094,20.1,24.8,12.1,43
E00001095,27,29.2,16.1,27.7
E00001096,56.8,10.4,4.8,28
E00001097,25.2,21.3,12.3,41.3
E00001098,11.3,40.7,13.3,34.7
E00001099,23.9,23.1,12.7,40.3
E00001100,29.3,20.3,12,38.3
E00001101,27.6,28.5,11.4,32.5
E00001102,33.1,26.4,14,26.4
E00001103,22.6,26.3,6,45.1
E00001104,41.4,18.4,9.2,30.9
E00001105,18.3,38.3,13.9,29.6
E00001106,35.2,20.4,14.8,29.6
E00001107,19.5,22,20.8,37.7
E00001109,13.9,21.2,31.4,33.6
E00001111,17.7,23.8,21.5,36.9
E00001112,16.8,23,24.8,35.4
E00001113,19.2,22.5,23.3,35
E00001114,31.9,29.3,13.1,25.8
E00001135,15.8,33.1,15,36.1
E00001141,20.8,27.7,19.2,32.3
E00001142,28,22.7,18.7,30.7
E00001143,24.1,32.6,21.3,22
E00001144,27.3,38.7,13.3,20.7
E00001149,26.4,28,20,25.6
E00001150,14.4,25.2,20.1,40.3
E00001151,14,28.9,23.7,33.3
E00001152,21.8,24.2,21,33.1
E00001153,16,25.6,21.6,36.8
E00001155,38.2,26.4,14.5,20.9
E00001156,37.4,33,13.2,16.5
E00001157,25.9,37.1,14,23.1
E00001158,18.8,27.3,18.2,35.7
E00001159,32.4,20.4,31,16.2
E00001160,30.1,34.5,17,18.4
E00001161,33.7,28,19.4,18.9
E00001162,39.8,28.1,21.1,10.9
E00001163,24.6,26.8,16.2,32.4
E00001164,42,30.3,15.1,12.6
E00001165,25.3,31,19.6,24.1
E00001166,42.3,29.3,14.9,13.5
E00001167,20.4,25.2,18.4,35.9
E00001168,21.6,13.6,21.6,43.2
E00001169,30.1,21.9,13,34.9
E00001170,18.8,26.7,21.8,32.7
E00001171,36.2,29.8,15.6,18.4
E00001172,15.5,25.6,21.7,37.2
E00001173,36.4,24.2,17,22.4
E00001174,20.3,33.3,25.5,20.8
E00001175,33.1,22.8,14.2,29.9
E00001176,31.8,24.8,19.4,24
E00001177,13.4,25.4,15.5,45.8
E00001178,24.1,25.5,14.5,35.9
E00001179,21.6,34.7,15,28.7
E00001180,50.4,20.6,13.7,15.3
E00001181,25.5,29.7,13.9,30.9
E00001182,15.5,31.8,23.6,29.1
E00001183,12.3,30.1,13,44.5
E00001184,39.1,22.5,22.5,16
E00001185,26.9,30.3,20,22.8
E00001186,27.7,28.6,7.6,36.1
E00001187,24.5,32,15,28.6
E00001188,34.3,32.8,11.9,20.9
E00001189,37.4,25.8,15.4,21.4
E00001191,36.6,23.8,14,25.6
E00001192,40.6,24.8,13.5,21.1
E00001193,29.6,18.2,13.8,38.4
E00001194,44.7,28.9,17.1,9.2
E00001195,27.3,34.5,10,28.2
E00001196,29.2,29.2,18.1,23.6
E00001197,29.4,31,23,16.7
E00001198,42.6,21.3,14.7,21.3
E00001199,35.2,27.6,15.2,22.1
E00001200,13,23.1,14.8,49.1
E00001201,17.2,20.7,12.9,49.1
E00001202,16.5,30.9,23,29.5
E00001203,48.6,28,14,9.3
E00001204,29.8,26,16.8,27.5
E00001205,27.5,29.2,19.2,24.2
E00001255,18.7,27.1,12.9,41.3
E00001256,16.8,29.4,23.5,30.3
E00001257,18.9,31.1,15.9,34.1
E00001258,29,28.2,20.2,22.6
E00001261,30.1,30.9,19.9,19.1
E00001262,15.4,30.8,14.6,39.2
E00001265,34.6,37.3,11.9,16.2
E00001268,31.5,32.1,16.7,19.8
E00001269,38.8,28.9,13.2,19
E00001270,32.1,24.9,28.5,14.5
E00001271,21.4,34.8,18.9,24.9
E00001272,33.1,25.2,17.3,24.4
E00001273,12,22.5,21.1,44.4
E00001274,20.8,21.6,27.2,30.4
E00001275,25.8,38.8,13.5,21.9
E00001276,23.6,27.6,19.7,29.1
E00001277,17.7,20.6,19.1,42.6
E00001278,17.2,20.7,25.9,36.2
E00001279,19.7,22.8,30.7,26.8
E00001280,30.3,27.5,22,20.2
E00001281,46.2,25,12,16.8
E00001282,19.8,22.3,24,33.9
E00001283,27.5,29.3,16.8,26.3
E00001284,30.1,29.2,17.7,23
E00001285,17.8,29.7,22.9,29.7
E00001286,27,31.4,20.4,21.2
E00001288,31.2,32.9,16,19.8
E00001289,20,30,20,30
E00001290,17.6,24.3,26.5,31.6
E00001291,34.5,22.7,16.6,26.2
E00001292,26.3,26.3,19.5,28
E00001293,22.3,20.9,24.5,32.4
E00001294,22,33.7,21.5,22.9
E00001352,30.9,40.6,14.9,13.7
E00001358,36.8,33.3,16.1,13.8
E00001359,48.9,29.8,9.2,12.2
E00001360,14.2,24.6,18.7,42.5
E00001362,12,20.3,20.3,47.4
E00001363,15,23.3,24.2,37.5
E00001364,16.4,23.8,22.1,37.7
E00001365,19.8,27.5,21.4,31.3
E00001366,11.7,28.1,24.2,35.9
E00001446,16,28,19.2,36.8
E00001447,27.9,32.5,20.8,18.8
E00001448,26.7,36.3,17,20
E00001449,28.1,33.3,25.5,13.1
E00001450,27.5,35.3,14.7,22.5
E00001451,20.2,29.5,21.7,28.7
E00001452,24,35.6,16.3,24
E00001453,31.5,31.5,20.4,16.7
E00001454,47.8,28.7,13,10.4
E00001455,22.4,28.5,32.1,17
E00001456,25.2,29.9,22.8,22
E00001457,34.8,27.7,17,20.6
E00001458,31.8,35.1,16.6,16.6
E00001459,25.8,33.1,21,20.2
E00001460,25.8,29.8,15.2,29.1
E00001461,31.7,20,20.8,27.5
E00001462,26.6,33.1,25.2,15.1
E00001463,23.1,28.8,20.2,27.9
E00001464,15.9,27.3,25,31.8
E00001465,23.9,29,23.9,23.2
E00001466,25.6,35.1,19,20.2
E00001467,30.1,30.1,20.3,19.5
E00001468,18.7,28.8,24.5,28.1
E00001469,38,31.5,16.3,14.1
E00001470,38.5,30.8,17.9,12.8
E00001471,19.3,30.3,25.5,24.8
E00001472,17.9,22.8,22.8,36.6
E00001474,24.3,35.4,16,24.3
E00001475,31,30.3,12,26.8
E00001476,28,24.7,20.7,26.7
E00001477,39.1,27.3,14.5,19.1
E00001478,56.4,22.4,10.4,10.8
E00001479,42.3,27.7,20,10
E00001480,34.1,27.1,20.2,18.6
E00001481,21.5,29.6,19.3,29.6
E00001482,46.9,26.6,12.5,14.1
E00001483,20.2,19.3,24.4,36.1
E00001484,34.5,33.6,15.5,16.4
E00001485,26,26.9,24,23.1
E00001486,23.7,33.8,26.6,15.8
E00001487,20.8,30.8,16.9,31.5
E00001488,23.5,27.2,14,35.3
E00001489,24.1,18.2,26.3,31.4
E00001490,22.1,37.9,18.6,21.4
E00001491,32.9,32.9,18.7,15.5
E00001492,33.3,35,15.6,16.1
E00001493,22.4,35.1,23.9,18.7
E00001494,32.2,24.3,21.7,21.7
E00001495,23.5,22.2,23.5,30.7
E00001496,18.6,26.9,19.2,35.3
E00001497,25.9,19.7,21.1,33.3
E00001498,25.6,36.6,17.1,20.7
E00001499,22.1,28.2,17.6,32.1
E00001500,24.1,33.3,19.1,23.4
E00001503,24.4,30.3,23.5,21.8
E00001504,46.4,21.6,14.4,17.6
E00001505,37.3,24.3,8.3,30.2
E00001506,40.5,28.8,14,16.7
E00001507,53.8,11.5,3.8,30.8
E00001508,28.1,27.3,17.2,27.3
E00001509,35,24.9,13.6,26.6
E00001511,24.4,28.2,20.6,26.7
E00001512,18.6,34,16,31.4
E00001514,36.1,35.2,12.5,16.2
E00001516,15.8,31.5,21.2,31.5
E00001517,22.5,18.8,18.1,40.6
E00001518,29.9,17.9,16.4,35.8
E00001519,19.7,17.4,27.3,35.6
E00001520,33.3,24.4,20.3,22
E00001521,21,25,25,29
E00001522,19.4,17.4,20.1,43.1
E00001523,25.8,28.8,17.2,28.2
E00001524,15.2,23.8,16.2,44.8
E00001525,38.1,28.6,17.1,16.2
E00001526,21.8,27.7,20.2,30.3
E00001527,11.9,14.7,11.9,61.5
E00001528,33.8,21.8,22.6,21.8
E00001529,32.3,26.7,17.4,23.6
E00001530,34.5,30.4,12.8,22.3
E00001531,10.1,25.2,8.4,56.3
E00001534,20.4,28.6,19.7,31.3
E00001535,30,26.9,19.2,23.8
E00001536,21.9,25.4,33.1,19.5
E00001537,26.2,31.1,11.5,31.1
E00001538,36.6,25.2,16.3,22
E00001539,29.4,20.9,20.9,28.8
E00001541,14.2,24.8,24.8,36.3
E00001542,16.7,23.2,25.4,34.8
E00001554,19.7,32.8,21.3,26.2
E00001558,25.4,33.6,20.5,20.5
E00001560,19.5,33.6,21.2,25.7
E00001561,37.2,28.7,19.4,14.7
E00001563,25.2,26.1,18.5,30.3
E00001564,23.4,24.2,21,31.5
E00001565,39.2,29.7,14.9,16.2
E00001566,20.9,24.3,17.4,37.4
E00001567,30.8,30.4,17,21.9
E00001568,15.4,28.5,24.6,31.5
E00001570,21.2,33.1,23.7,22
E00001579,32.6,30.3,13.7,23.4
E00001581,49.7,29.9,14.3,6.1
E00002373,24,20.2,28.7,27.1
E00002426,10.3,26.2,17.8,45.8
E00002427,35.4,23.2,18.3,23.2
E00002428,15.2,19.6,21,44.2
E00002429,23.6,26.8,22,27.6
E00002430,19,21.9,20,39
