geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00041363,7.3,9.1,63.6,20
E00041364,18,21.9,3.1,57
E00041366,14.2,15,6.2,64.6
E00041367,35.4,22.1,30.1,12.4
E00041368,22.7,12.1,47.7,17.4
E00041371,23.5,22.7,35.6,18.2
E00041372,6.3,2.1,88.5,3.1
E00041377,4.2,0,92.3,3.5
E00041378,35.2,35.2,0.8,28.9
E00041381,36,28.9,13.2,21.9
E00041382,2,4,79.8,14.1
E00041383,23.4,18.8,30.5,27.3
E00041384,15,15,15,54.9
E00041385,12.4,18.6,9.3,59.8
E00041386,8.1,48.3,0.4,43.2
E00041388,19.7,17.4,59.8,3
E00041389,27.1,15.6,31.3,26
E00041393,11.7,15.2,1.4,71.7
E00041394,27.4,32.3,12.8,27.4
E00041395,23.6,18.1,38.6,19.7
E00041397,18.5,16,44.5,21
E00041399,11.3,12,53.4,23.3
E00041400,28.8,16.1,5.9,49.2
E00041401,16.9,16.1,4.2,62.7
E00041402,18.8,13.2,29.2,38.9
E00041404,24.6,25.4,42.9,7.1
E00041405,0,0,91.9,8.1
E00041406,10.6,14.1,6.3,69
E00041407,13.8,10.3,19.3,56.6
E00041408,12,22.2,6.5,59.3
E00041409,7.9,6.5,38.1,47.5
E00041410,2.9,4.4,82.4,10.3
E00041411,4.9,6.2,80.2,8.6
E00041413,19.8,7.9,63.4,8.9
E00041414,27.4,33.9,17.7,21
E00041415,29.9,8.7,7.9,53.5
E00041443,63.6,25.4,6.8,4.2
E00041444,30.9,35.3,19.4,14.4
E00041445,57.8,26.6,0,15.6
E00041446,44.6,32.2,1.7,21.5
E00041447,18.9,45.7,0.8,34.6
E00041448,18.7,52,2.7,26.7
E00041449,6.5,9.8,78,5.7
E00041450,26.9,33.7,31.7,7.7
E00041451,16.1,16.1,61,6.8
E00041452,30.8,51.9,1.5,15.8
E00041453,11.6,64.1,6.6,17.7
E00041454,6.4,11.2,71.2,11.2
E00041455,10.9,34.1,43.5,11.6
E00041456,17.3,15.8,57.1,9.8
E00041457,12,20.5,57.3,10.3
E00041458,26.2,31.5,35.4,6.9
E00041459,45.5,34.7,14.9,5
E00041460,41.4,42,0,16.6
E00041461,10.5,34.6,37.3,17.6
E00041462,20.2,25.7,34.9,19.3
E00041463,10.7,26.8,35.7,26.8
E00041464,13,45.2,25.3,16.4
E00041465,19.8,27.6,39.7,12.9
E00041466,8.4,25.7,57.5,8.4
E00041467,53.5,38.8,0,7.8
E00041468,29.7,34.4,1.6,34.4
E00041469,8.3,19,42.9,29.8
E00041470,22,39,1.7,37.3
E00041471,28,29.5,40.9,1.5
E00041472,22.6,51.8,6.6,19
E00041477,56.5,38.9,0,4.6
E00041478,62.8,34.7,0.8,1.7
E00041483,41.7,19.2,26.5,12.6
E00041485,54.8,41.7,0,3.5
E00041486,60,32.2,0,7.8
E00041487,56.4,33.3,4.3,6
E00041488,21.1,14.8,53.9,10.2
E00041489,39.1,29.3,21.1,10.5
E00041490,18.1,22.4,49.1,10.3
E00041492,25.7,28.3,32.7,13.3
E00041493,57,28.1,7.4,7.4
E00041494,4.2,19.2,71.7,5
E00041496,36.4,24.8,32.2,6.6
E00041497,23.1,25.6,44.4,6.8
E00041504,59.5,40.5,0,0
E00041506,50,30.7,19.3,0
E00041507,26.6,23.6,41.4,8.4
E00041508,18.5,26.1,43.7,11.8
E00041509,45.2,19.8,18.3,16.7
E00041510,50,32.5,6.1,11.4
E00041511,70.1,21.3,1.6,7.1
E00041512,52.8,44.1,0,3.1
E00041513,42.9,39.3,8.9,8.9
E00041514,50.9,45.5,0,3.6
E00041515,34.3,33.3,21.3,11.1
E00041516,55.5,39.5,0.8,4.2
E00041517,48.5,46.4,2.1,3.1
E00041518,59.5,35.1,2.7,2.7
E00041519,51.2,46.5,0.8,1.6
E00041520,29.2,28.5,31.4,10.9
E00041521,12.3,11.4,62.3,14
E00041522,17.8,23.7,41.5,16.9
E00041523,13.3,32.7,35.4,18.6
E00041524,47.9,38,0,14
E00041525,12.8,9.6,69.6,8
E00041526,42,22.5,28.3,7.2
E00041527,20.8,14.2,44.2,20.8
E00041528,14.7,28.7,41.2,15.4
E00041529,9.2,5.9,72.3,12.6
E00041530,7,5.8,75.6,11.6
E00041531,27.2,22.8,41.2,8.8
E00041532,25.2,25.2,35.8,13.8
E00041533,10,5.4,73.8,10.8
E00041534,21.6,20.6,51,6.9
E00041535,29.7,27.3,37.5,5.5
E00041571,14.7,7.8,28.4,49
E00041572,7.6,1.5,86.3,4.6
E00041573,13.7,14.3,36.3,35.7
E00041574,14.8,15.7,60,9.6
E00041575,24.6,13.6,55.1,6.8
E00041576,64.4,26.7,0.7,8.2
E00041578,51.9,46.7,1.5,0
E00041579,13.8,19.5,60.2,6.5
E00041581,19.5,13,61,6.5
E00041582,17.2,13.4,59.7,9.7
E00041583,14.6,18.2,27,40.1
E00041584,5.1,15.4,72.6,6.8
E00041585,15,16.5,56.7,11.8
E00041586,22.1,15,31.4,31.4
E00041587,12.3,19.2,24.7,43.8
E00041588,11.5,6.7,74,7.7
E00041589,18.8,15.6,9.4,56.3
E00041590,0.8,4.8,90.5,4
E00041592,55.3,27.3,0,17.4
E00041593,23.8,20,26.7,29.5
E00041594,43.5,44.4,0.8,11.3
E00041595,29.4,21,18.5,31.1
E00041596,20.9,19.4,17.8,41.9
E00041599,15.5,12.1,62.6,9.8
E00041600,25.9,23.3,33.6,17.2
E00041601,25.2,22.6,37.7,14.5
E00041602,54,36,0,10.1
E00041603,30,31.7,23.3,15
E00041604,16.4,29.1,40,14.5
E00041605,44.6,38.8,0,16.5
E00041606,40,48.8,4,7.2
E00041607,57.1,36.3,1.1,5.5
E00041608,32.1,22.4,26.1,19.4
E00041610,27.2,25.2,40.1,7.5
E00041611,41.1,44.4,0,14.4
E00041612,21.6,23.9,21.6,32.8
E00041614,15.1,21.6,25.9,37.4
E00041615,35.2,32.8,13.1,18.9
E00041616,37.1,29.9,3.1,29.9
E00041617,24,24,18.8,33.1
E00041618,36.8,32.8,16.8,13.6
E00041619,9.7,24.3,49.5,16.5
E00041620,50.4,36.1,8.3,5.3
E00041621,44.6,42.4,1.1,12
E00041622,43.5,34.4,14.5,7.6
E00041623,59.3,39,1.7,0
E00041624,59.4,32.9,1.9,5.8
E00041625,22.1,33.7,26.3,17.9
