areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E00029084,99.1,0.9,0,0
E00029085,95.5,0.6,1.3,2.6
E00029086,97.4,1.3,0.6,0.6
E00029087,92.6,3,1.5,3
E00029088,99,0.5,0.5,0
E00029089,97.7,0.8,0.8,0.8
E00029091,100,0,0,0
E00029092,98.4,0.8,0,0.8
E00029094,98.3,0.9,0,0.9
E00029095,97.5,0,0,2.5
E00029096,98.3,0,1.7,0
E00029097,98.4,0.8,0,0.8
E00029098,99.1,0.9,0,0
E00029099,95.8,0.8,1.7,1.7
E00029100,97.7,1.6,0,0.8
E00029101,100,0,0,0
E00029102,100,0,0,0
E00029103,97.6,1.6,0.8,0
E00029104,96.9,1.5,0,1.5
E00029105,97.7,2.3,0,0
E00029106,99.3,0.7,0,0
E00029107,98.3,0,0,1.7
E00029109,99.2,0.8,0,0
E00029110,98.4,0,0,1.6
E00029111,99.4,0.6,0,0
E00029112,96.2,3.1,0,0.8
E00029113,98.5,0.7,0,0.7
E00029115,98.4,0,0,1.6
E00029116,98.5,1.5,0,0
E00029118,99.4,0.6,0,0
E00029121,100,0,0,0
E00029124,96.6,3.4,0,0
E00029132,98.6,0,0,1.4
E00029539,99.3,0.7,0,0
E00029540,97.4,1.8,0.9,0
E00029541,96.6,2.5,0,0.8
E00029542,96.4,0.7,0,2.9
E00029544,97.4,1.5,0.5,0.5
E00029545,97,0.8,0.8,1.5
E00029546,94.6,4,0.7,0.7
E00029548,99.1,0.9,0,0
E00029555,98.5,0,0,1.5
E00029558,99.3,0.7,0,0
E00029561,98.3,1.7,0,0
E00029565,97,0.8,0.8,1.5
E00029571,99.2,0,0,0.8
E00029573,96.2,1.5,0.8,1.5
E00029575,91.5,3.9,0,4.7
E00029576,95.8,2.5,0.8,0.8
E00029577,99.2,0,0,0.8
E00029578,96.3,1.9,0.9,0.9
E00029580,100,0,0,0
E00029583,97.1,1,0,1.9
E00029585,97.5,1.7,0,0.8
E00029586,98.2,0.9,0.9,0
E00029588,97.5,0,0,2.5
E00029589,97.7,1.5,0,0.8
E00029769,96.2,2.3,0,1.5
E00029770,95.2,1.8,0,3
E00029771,98.5,1.5,0,0
E00029772,98.3,1.7,0,0
E00029773,97.2,0,0,2.8
E00029774,97.4,1.7,0,0.9
E00029775,98.2,1.2,0,0.6
E00029776,96.3,3.1,0,0.6
E00029777,94,3.8,0.8,1.5
E00029778,98.2,0.9,0,0.9
E00029779,97.7,1.1,0.6,0.6
E00029780,98.3,0.9,0,0.9
E00029781,98.4,0,0,1.6
E00029782,99.1,0,0,0.9
E00029783,96.4,0.6,1.2,1.8
E00029784,100,0,0,0
E00029785,100,0,0,0
E00029786,99.2,0.8,0,0
E00029787,99.3,0.7,0,0
E00029788,98.6,0.7,0,0.7
E00029789,98.5,1.5,0,0
E00029790,100,0,0,0
E00029791,100,0,0,0
E00029792,98.6,1.4,0,0
E00029793,96.1,3.9,0,0
E00029794,99.2,0.8,0,0
E00029795,99.2,0,0.8,0
E00029796,99.2,0.8,0,0
E00029797,100,0,0,0
E00029798,98.3,0.8,0,0.8
E00029799,99.2,0.8,0,0
E00029800,100,0,0,0
E00029801,95.8,1.7,0.8,1.7
E00029802,98.4,0,0,1.6
E00029803,98.3,0.9,0,0.9
E00029804,98.2,0.9,0,0.9
E00029805,93.5,3.7,0.9,1.9
E00029806,97.5,2.5,0,0
E00029861,100,0,0,0
E00029862,93.9,2.6,0,3.5
E00029863,97.5,0.8,1.7,0
E00029864,97.8,0,0.7,1.5
E00029866,99.3,0,0,0.7
E00029868,96.8,1.6,0,1.6
E00029869,96.4,0,2.9,0.7
E00029870,98.4,1.6,0,0
