areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00063413,62.4,32.8,2.4,2.4
E00063416,61.5,29.9,7.7,0.9
E00063716,54.2,30.8,13.3,1.7
E00063717,37.1,45.7,15.2,2
E00063718,26.9,44.8,19.4,9
E00063719,49.2,40.5,9.2,1.1
E00063720,32.1,47.1,19.3,1.4
E00126160,31.1,47,14.4,7.6
E00126161,51,33.3,12,3.6
E00126162,53.4,37.9,4.9,3.9
E00126163,64,27,8.1,0.9
E00126164,44.2,41.3,11.6,2.9
E00126165,50,41.1,8.9,0
E00126166,30.7,51.2,14.2,3.9
E00126167,70.9,24.1,4.3,0.7
E00126168,48.8,37.8,10.2,3.1
E00126169,41.4,44.7,10.5,3.3
E00126170,51.4,38.7,6.3,3.5
E00126171,31.9,54,10.6,3.5
E00126172,46.2,40.7,11.7,1.4
E00126173,75.4,22.8,0.9,0.9
E00126174,30.1,35.4,25.7,8.8
E00126175,3.5,39.2,48.3,9.1
E00126176,61.9,29.7,6.8,1.7
E00126177,46,38.9,11.9,3.2
E00126178,59.4,30.4,8.7,1.4
E00126179,72.3,23.6,4.1,0
E00126180,67.2,26.1,5.2,1.5
E00126181,28.4,51.4,16.5,3.7
E00126182,12.3,44.9,36.2,6.5
E00126183,12.1,52.3,25,10.6
E00126184,8.5,48.6,35.9,7
E00126185,15.4,39,33.3,12.2
E00126186,5.1,38.5,49.6,6.8
E00126187,9.8,46.4,26.8,17
E00126188,17.2,45.5,27.6,9.7
E00126189,11.3,32.1,37.7,18.9
E00126190,4.3,38.3,36.5,20.9
E00126191,11.6,43.2,32.2,13
E00126192,19.2,48.6,25.3,6.8
E00126193,17.2,50,23.3,9.5
E00126194,11.4,52.3,30.3,6.1
E00126195,26.1,45.7,25.4,2.9
E00126196,18.4,52.8,24.8,4
E00126197,19.9,38.2,34.6,7.4
E00126198,7.9,46.1,33.6,12.5
E00126199,10.3,32.7,41.7,15.4
E00126200,18,42.6,28.7,10.7
E00126201,46,41.3,11.9,0.8
E00126202,27.9,46.7,18.9,6.6
E00126203,19.9,51.8,24.1,4.3
E00126204,36.4,38.8,15.7,9.1
E00126205,31.9,46.4,16.7,5.1
E00126206,44.9,38.1,14.4,2.5
E00126207,71.3,27,0.9,0.9
E00126208,33.6,38,22.6,5.8
E00126209,34.3,44.4,18.5,2.8
E00126210,42.3,40.5,15.3,1.8
E00126211,40.3,44.5,13.4,1.7
E00126212,21.5,40.7,32.6,5.2
E00126213,42,43.7,12.6,1.7
E00126214,25.8,49.5,22.6,2.2
E00126215,31.3,53.1,14.8,0.8
E00126216,29.9,60.6,7.9,1.6
E00126217,42.1,42.9,14.3,0.7
E00126218,31,39.4,22.5,7
E00126219,20.5,55.9,16.5,7.1
E00126220,33.3,52,11.4,3.3
