areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00000001,62.8,13.8,7.4,16
E00000003,54.1,27.9,1.8,16.2
E00000005,46,17.5,3.2,33.3
E00000007,23,10.3,1.1,65.5
E00000010,10.3,9.5,55.6,24.6
E00000013,28.9,27.6,2,41.4
E00000018,45.5,18.2,4.2,32.2
E00000019,23.7,15.3,3.2,57.8
E00000020,33.9,22.3,1.8,42
E00000021,31.7,17.4,1.8,49.1
E00000022,26.9,15.4,42.3,15.4
E00000023,12.9,14.7,34.5,37.9
E00000024,22.4,10.5,0.7,66.4
E00000025,15,8.7,8.3,68
E00000028,10.7,14.7,2,72.7
E00004169,11.4,6.7,26.8,55
E00004173,17.8,7.9,26.7,47.5
E00004175,10.4,7,61.7,20.9
E00004177,17.9,14.9,7.5,59.7
E00004179,9.2,3.7,77.3,9.8
E00004180,5.3,6.4,30.9,57.4
E00004181,8.9,3.3,76.1,11.7
E00004182,15.5,11.3,35.2,38
E00004183,2,0,89.8,8.2
E00004184,8.9,8.9,62.4,19.8
E00004190,41.1,19,6.9,33.1
E00004193,20.6,10.3,11.8,57.4
E00004195,8,1.4,22.5,68.1
E00004197,22.8,23.9,6.5,46.7
E00004520,3.4,3.4,79,14.3
E00004521,27.8,16.7,13,42.6
E00004522,11.9,15.3,33.3,39.5
E00004523,14.6,6.6,39.4,39.4
E00004524,12.7,7,5.6,74.6
E00004525,4,8.7,54,33.3
E00004526,6.9,5.2,74.1,13.8
E00004527,11.3,8.2,46.4,34
E00004528,11.1,5.2,42.2,41.5
E00004529,14.6,10.1,33.5,41.8
E00004530,14.6,6.2,38.5,40.8
E00004531,6.5,18.5,46.3,28.7
E00004532,22.6,11.6,9,56.8
E00004534,0,0.9,96.3,2.8
E00004535,16.7,8.8,13.7,60.8
E00004536,24,26.7,2.1,47.3
E00004537,11.8,7.4,41.2,39.7
E00004538,2.2,2.2,84.9,10.8
E00004539,7.7,7.7,66.2,18.5
E00004540,13.2,4.2,65.3,17.4
E00004541,0,4,90.1,5.9
E00004542,6.6,7.2,45.3,40.9
E00004543,6.7,1.1,46.7,45.6
E00004544,8.8,5.5,73.6,12.1
E00004545,5.4,8.8,69.4,16.3
E00004546,17.6,2.5,52.9,26.9
E00004547,7.3,12.8,38.4,41.5
E00004548,13.3,9.6,37.8,39.3
E00004549,10.5,5.7,77.1,6.7
E00004550,7.9,6.3,57.5,28.3
E00004551,13.7,14.1,20.5,51.7
E00004552,4.2,5.1,72.9,17.8
E00004553,4,10.1,60.6,25.3
E00004554,14.5,12.1,16.4,57
E00004555,7.4,5.8,68.6,18.2
E00004556,7.8,8.5,45.7,38
E00004557,10.6,3.5,69.4,16.5
E00004558,13.7,15.3,39.5,31.5
E00004559,24.6,10.5,36,28.9
E00004560,8.3,4.5,65.4,21.8
E00004561,6,4.8,43.4,45.8
E00004646,10.6,7.7,67.3,14.4
E00004647,5,9.3,32.9,52.9
E00004649,10.2,12.2,8.2,69.4
E00004650,9.9,6.6,53.7,29.8
E00004651,17,13.8,21.3,47.9
E00004652,7.9,7.9,59.5,24.6
E00004655,20,15,17.5,47.5
E00004658,9,6,40.7,44.3
E00004659,7.3,2,33.1,57.6
E00004660,1,0,73.7,25.3
E00004661,9.3,11.9,50.8,28
E00004662,14.7,4.9,59.8,20.6
E00004663,3.6,12.6,64.9,18.9
E00004664,3.3,3.3,53.7,39.7
E00004665,0.9,6.1,84.3,8.7
E00004666,6.1,6.8,50.8,36.4
E00004667,28.9,16.7,3.3,51.1
E00004668,2.6,3.9,88.3,5.2
E00004669,3.8,4.8,70.5,21
E00004670,6.5,1.9,71.3,20.4
E00004671,5.3,8.6,71.7,14.5
E00004672,23.1,13.5,13.5,50
E00004673,3.3,4.1,80.3,12.3
E00004674,6.1,4.1,74.5,15.3
E00004675,4.8,1.2,83.3,10.7
E00004676,32.1,8.3,2.4,57.1
E00004678,16.1,8,44.8,31
E00004679,8.5,9.6,64.9,17
E00004680,32.6,5.4,1.1,60.9
E00004723,12.1,6.5,66.4,15
E00004724,5.6,4,41.3,49.2
E00004727,3.8,2.9,69.5,23.8
E00004728,7.7,11.1,59.8,21.4
E00004729,1,5.2,84.5,9.3
E00004730,1.4,2.9,90,5.7
E00004731,6,7.9,55.6,30.6
E00004744,2.8,6.5,70.4,20.4
E00004751,9.2,4.2,66.7,20
E00004763,4,7.9,71.3,16.8
E00004765,8.1,7.1,61.6,23.2
E00008866,5.4,10.8,60.8,23.1
E00008871,3.1,30.4,49.1,17.4
E00008875,2.7,5.3,74.3,17.7
E00008877,9.7,14.2,43.3,32.8
E00008879,16.1,18.4,12.6,52.9
E00008885,14.3,16.1,40.2,29.5
E00008886,5,22.7,26.1,46.2
E00008889,12.1,17.9,33.2,36.8
E00008890,5.3,12.4,67.3,15
E00008891,2.8,12.5,70.1,14.6
E00008892,1,10.3,64.9,23.7
E00008896,5.1,0.8,78.8,15.3
E00013385,8.9,5.5,60.3,25.3
E00013390,8,16,14.9,61.2
E00013391,7.2,4.8,69.6,18.4
E00013392,0.7,5.2,78.4,15.7
E00013393,2.9,1.9,84.5,10.7
E00013395,0,9.2,69.4,21.4
E00013411,7.1,5.7,58.6,28.6
E00013415,5.6,3.7,80.6,10.2
E00013416,0,4.5,80.5,15
E00013417,7.2,7.2,61.2,24.5
E00013419,7.7,15.9,9.9,66.5
E00013420,12.4,16.9,26.6,44.1
E00013421,10.8,10.8,55.4,23
E00013422,3.3,6.5,7.2,83
E00013423,12.5,15,40,32.5
E00013424,8.7,11.8,40.9,38.6
E00013425,5.2,28.6,46,20.2
E00013426,3.2,8,76,12.8
E00013428,6.3,18.9,23.2,51.6
E00013429,8.8,6.1,57.9,27.2
E00013430,10.9,19.6,32.6,37
E00013431,31.4,38.6,2.9,27.1
E00013432,1.4,0.7,91.1,6.8
E00013434,17,12.8,4.3,66
E00013435,12,2.6,71.4,14.1
E00013437,4.9,4.9,72.5,17.6
E00013439,7.7,14.1,15.4,62.8
E00013441,7.8,4.3,66.1,21.7
E00013442,3.6,9,59.3,28.1
E00013443,5.9,3.7,63.6,26.7
E00013444,4.7,1.8,86.5,7.1
E00013445,9.9,0,76.2,13.9
E00013446,10.6,20.2,19.2,50
E00013447,6.8,5.4,61.2,26.5
E00013448,3.7,6.5,72.2,17.6
E00013449,8.8,9.8,70.6,10.8
E00013450,12.7,8.9,69.6,8.9
E00013452,7,4.4,70.2,18.4
E00013454,7,6.3,41.4,45.3
E00013455,14.1,20,24.4,41.5
E00013457,5.1,8.1,72.7,14.1
E00013458,10.9,13.7,51.2,24.2
E00013460,13,15.3,38.4,33.3
E00013461,7.5,18.3,60.1,14.1
E00013462,3,2,92.1,3
E00013463,0.8,1.5,95.4,2.3
E00013465,18.1,25,13.8,43.1
E00013483,7,11.3,62.6,19.1
E00013484,22.6,20.8,13.2,43.4
E00013485,19.5,15.9,35.4,29.2
E00013486,8.2,6.6,50,35.2
E00013487,9.6,20.2,38.4,31.8
E00013488,3,10.7,44.2,42.1
E00013489,3.8,9.4,13.8,73.1
E00013543,11,1.7,62.7,24.6
E00013544,16.9,20.9,43.2,18.9
