areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02001682,21.7,42.4,28.1,7.7
E02001683,18.7,44.6,29.2,7.4
E02001684,43.2,41.4,13.1,2.3
E02001685,35.3,41.2,19.3,4.2
E02001686,24.7,43.6,24,7.7
E02001688,40.6,42.7,13.8,2.9
E02001689,51.7,35,11.1,2.3
E02001690,28.3,42.6,22.9,6.2
E02001691,43.1,40.9,13.5,2.5
E02001692,43.8,40.7,12.8,2.7
E02001693,46.2,38,13.6,2.3
E02001694,26.3,44.2,23.7,5.8
E02001695,23.2,46.2,23.9,6.7
E02001696,36.3,41.6,18.5,3.6
E02001697,23.4,44.1,26.7,5.8
E02001698,17.6,42.8,31.6,7.9
E02001699,35.5,41.3,18.6,4.5
E02001700,22.6,42.4,27.4,7.6
E02001701,19.1,46.1,27.9,6.9
E02001702,45.3,37.1,14.3,3.4
E02001703,19.7,40.8,29.5,10.1
E02001704,39.9,41.1,15.4,3.6
E02001706,26.4,41.2,25.1,7.4
E02001707,29.5,41.6,23,5.9
E02001709,17.9,44.2,31.4,6.5
E02001710,40.3,41.8,14.8,3.1
E02001711,34.2,41.9,19.5,4.3
E02001712,24.9,48.9,21.4,4.7
E02001713,22.3,43.7,27.7,6.3
E02001714,18,45.6,29.7,6.7
E02001715,36.3,42.4,17.7,3.5
E02001718,34.6,44.3,17.4,3.8
E02001719,24.4,49.1,21.9,4.7
E02001720,27,39.9,23.7,9.4
E02001721,29.1,42.9,22.2,5.8
E02001722,35.1,42.2,18.3,4.4
E02001723,34.9,42.3,18.1,4.7
E02001724,32.8,42.1,18.3,6.8
E02001725,47.2,38.4,11.2,3.3
E02001726,32.8,43.8,18.9,4.5
E02001727,36.3,41.8,17.4,4.4
E02001728,29.2,44.4,21.9,4.5
E02001729,47.8,36.1,12.2,3.9
E02001732,38.6,40.8,17.3,3.3
E02001734,44.7,38.5,13.8,3
E02001735,55.1,34.6,8.3,2
E02001737,55.9,34.2,8.5,1.3
E02001738,10.4,42.6,36,11
E02001739,25.9,45.5,22.8,5.7
E02001740,13.6,41.2,36.8,8.4
E02001741,19.8,47.2,27,6
E02001742,16.9,48.7,28.2,6.1
E02001743,24.5,47.5,22.6,5.4
E02001744,18.3,46.9,29.3,5.4
E02001745,25.6,47.6,22.4,4.4
E02001746,25.5,45.2,23.4,6
E02001747,21.5,45.2,26.9,6.4
E02001748,20.9,47,26.3,5.8
E02001749,25.7,44,25.3,5
E02001750,16,42.7,32,9.2
E02001751,26.7,44.6,24,4.8
E02001752,34,43,18.2,4.9
E02001753,27,47.1,22,3.9
E02001754,20.7,47.4,25.6,6.2
E02001755,21.6,42.3,29.3,6.8
E02001756,36.4,45.2,15.3,3
E02001757,27,45.9,21.6,5.5
E02001758,26.6,45.4,22.5,5.5
E02001759,38.3,43.5,15.8,2.4
E02001760,43.3,41.3,12.4,3.1
E02001761,30.9,46.8,18.6,3.7
E02001762,19.9,48.7,25.6,5.9
E02001763,40,40.6,15.2,4.3
E02001764,44.2,40.1,12.8,2.8
E02001765,41.3,40,15.6,3.1
E02001766,36.4,43.1,17,3.5
E02001767,40.2,41.9,14.2,3.7
E02001768,34.4,44.5,16.7,4.3
E02001769,51.2,35.6,11.2,2
E02001770,30.9,45.1,19,5
E02001771,33.4,41.2,20.3,5.1
E02001772,33.3,42.4,19,5.4
E02001773,18,45.6,28.4,8
E02001774,42.7,40.2,13.9,3.3
E02001775,34.9,42.3,18.4,4.4
E02001776,34.5,43.8,17.7,3.9
E02001777,25.2,45.1,23.8,6
E02001778,44,39.7,13.1,3.2
E02001779,39.5,40.3,16.6,3.5
E02001780,29.2,42.1,24.1,4.7
E02001781,40.3,41.6,14.8,3.3
E02001782,31.1,40.5,23.4,5
E02001783,40.5,40.7,15.7,3.2
E02001784,31.7,42.2,20.5,5.6
E02001785,26.3,42.6,23.4,7.8
E02001786,33.7,42.2,19.2,4.8
E02001787,29.7,45.3,20.2,4.8
E02001788,30.2,41.4,22.2,6.1
E02001789,10.1,40,37.1,12.8
E02001790,18.4,41.8,31.5,8.2
E02001791,16.2,43.7,31.3,8.8
E02001792,17.7,43.6,29.7,9
E02001793,44.7,37.8,14.1,3.3
E02001794,41.1,39.1,16,3.8
E02001795,42.9,39.6,14.2,3.4
E02001796,31.8,44.9,18.4,4.9
E02001797,19,41.7,31.4,7.9
E02001798,33.3,41.9,19.2,5.6
E02001799,43.7,39.2,13.9,3.2
E02001800,28.2,44.2,22.3,5.4
E02001801,43.4,40.4,13,3.2
E02001802,40.4,40.4,15.3,3.8
E02001803,51.8,35.2,10.8,2.2
E02001804,30.8,43.6,20,5.6
E02001805,27,43.5,23.1,6.5
E02001806,53,33.9,10.3,2.8
E02001807,23.6,41.6,27.8,7.1
E02001808,29,45.8,19.1,6.1
E02001809,26.2,44,23.5,6.3
E02001810,25.2,43.3,25,6.5
E02001811,38.6,39.8,16.9,4.6
E02001812,15.5,43.1,31.8,9.6
E02001813,40.9,39.7,15.3,4.1
E02001814,30.1,41,22.5,6.4
E02001815,18,38.9,33,10.1
E02001816,40.8,40,15.5,3.7
E02001817,31.4,40.2,21.9,6.6
E02001818,27.1,40.6,25.5,6.8
E02001819,15.9,41.8,31.8,10.4
E02001820,21.7,39.3,31,8
E02001821,19.8,39,30.6,10.7
E02001822,18.5,40.7,29.3,11.5
E02001823,24.6,42,26.9,6.6
E02001824,28.5,41.5,23.4,6.6
E02001825,26.7,42.3,23.8,7.3
E02001826,29.5,41.5,23.2,5.8
E02002483,17.9,41.1,31.5,9.5
E02002484,40,39.9,15.8,4.3
E02002485,36.6,42.8,16,4.5
E02002489,46,36,13.8,4.3
E02002490,40.1,38.7,16.4,4.8
E02002491,34.2,41.6,18.4,5.8
E02002492,26.7,44.2,23,6.2
E02002493,13.6,43.3,32.9,10.2
E02002494,42.8,38.4,14.5,4.3
E02002496,55.8,32.4,8.9,2.9
E02002497,55,33.6,9.4,2
E02002498,62.4,30,6.1,1.5
E02002499,43.8,38.4,14.9,2.8
E02002500,32.1,44.8,17.7,5.4
E02002501,36.6,42.1,17.8,3.5
E02002502,47,37,12.4,3.6
E02002503,33.5,42.6,18.3,5.6
E02002504,21,46.5,23.9,8.6
E02002505,45,40,11.5,3.5
E02002506,45.2,39.1,12.4,3.4
E02002507,14.3,43.9,32.3,9.5
E02002508,15.1,43,30.9,11
