areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02001682,57.1,3.3,39.6
E02001683,57.8,2.8,39.4
E02001684,52.6,5.4,42.1
E02001685,55.6,3.9,40.5
E02001686,54.4,2.7,42.9
E02001688,58.1,4.7,37.2
E02001689,50.9,5.4,43.7
E02001690,55.4,3.8,40.8
E02001691,59.8,4.6,35.6
E02001692,50.3,5.4,44.3
E02001693,47,4,49
E02001694,56.1,3.5,40.4
E02001695,56,2.1,41.9
E02001696,51.5,3.8,44.6
E02001697,60.8,2.3,36.9
E02001698,47.9,1.9,50.2
E02001699,51,3.3,45.7
E02001700,57.1,2.6,40.3
E02001701,55.5,2.5,42
E02001702,47.4,4.9,47.6
E02001703,50.9,2.7,46.4
E02001704,51.1,4.3,44.6
E02001706,57.1,2.9,39.9
E02001707,51.5,3.1,45.4
E02001709,57.7,2.3,39.9
E02001710,50.5,4.7,44.8
E02001711,53,3.6,43.4
E02001712,57.9,2.7,39.4
E02001713,57.7,2.4,39.9
E02001714,61.8,2.3,35.9
E02001715,52.5,4.1,43.4
E02001718,54.4,3.5,42.1
E02001719,59.4,3.1,37.5
E02001720,36.4,5.4,58.1
E02001721,53.8,2.9,43.2
E02001722,52,3.7,44.3
E02001723,55.3,4,40.7
E02001724,45,5.1,49.9
E02001725,61.5,5.7,32.8
E02001726,53.8,4.3,41.9
E02001727,53.8,3.6,42.6
E02001728,56,3.5,40.5
E02001729,44.2,7.9,48
E02001732,53.7,4,42.3
E02001734,48.7,4.6,46.7
E02001735,46.5,5.1,48.5
E02001737,43.6,6.1,50.3
E02001738,49.1,1.3,49.7
E02001739,54.3,3.3,42.4
E02001740,58.2,2.4,39.4
E02001741,54.3,2,43.6
E02001742,55.4,1.7,42.9
E02001743,60.2,2.7,37.1
E02001744,64.3,2.6,33.1
E02001745,60.7,3,36.3
E02001746,56.9,3,40.2
E02001747,51.4,2.2,46.3
E02001748,63.2,3.2,33.5
E02001749,56.1,2.7,41.2
E02001750,56.8,2.3,40.9
E02001751,59.3,3,37.7
E02001752,53.4,4.4,42.3
E02001753,54.7,2.7,42.6
E02001754,58.8,2.4,38.8
E02001755,61.7,2.6,35.7
E02001756,59.3,3.6,37.1
E02001757,53.7,2.6,43.7
E02001758,57.1,3.3,39.6
E02001759,57.1,4.1,38.9
E02001760,52.7,5.4,41.9
E02001761,53.9,3.2,42.9
E02001762,62.3,3.1,34.6
E02001763,53.1,4.9,42
E02001764,50.4,5.7,43.9
E02001765,53.5,4.5,42
E02001766,58.4,5.3,36.3
E02001767,54.4,4.1,41.4
E02001768,51.1,5.2,43.7
E02001769,45.5,6.6,47.8
