areacd,country_of_birth_3a-001,country_of_birth_3a-002
E02001682,96.3,3.7
E02001683,97.5,2.5
E02001684,88.8,11.2
E02001685,96.6,3.4
E02001686,97.1,2.9
E02001688,85.4,14.6
E02001689,80.9,19.1
E02001690,95.2,4.8
E02001691,80.7,19.3
E02001692,88.6,11.4
E02001693,93.7,6.3
E02001694,95.6,4.4
E02001695,96.2,3.8
E02001696,95.8,4.2
E02001697,94.6,5.4
E02001698,97.4,2.6
E02001699,96.1,3.9
E02001700,95.7,4.3
E02001701,96.6,3.4
E02001702,91.1,8.9
E02001703,96.5,3.5
E02001704,95,5
E02001706,93.9,6.1
E02001707,94.5,5.5
E02001709,87.3,12.7
E02001710,86.1,13.9
E02001711,91.2,8.8
E02001712,87,13
E02001713,86.8,13.2
E02001714,84.1,15.9
E02001715,82.5,17.5
E02001718,89.5,10.5
E02001719,88.3,11.7
E02001720,89.4,10.6
E02001721,95.7,4.3
E02001722,93.5,6.5
E02001723,79.3,20.7
E02001724,86.9,13.1
E02001725,81,19
E02001726,80.5,19.5
E02001727,92,8
E02001728,95.8,4.2
E02001729,57.1,42.9
E02001732,85.9,14.1
E02001734,78.7,21.3
E02001735,88.2,11.8
E02001737,85.8,14.2
E02001738,96.1,3.9
E02001739,97,3
E02001740,95.4,4.6
E02001741,95.5,4.5
E02001742,96.4,3.6
E02001743,92.8,7.2
E02001744,96.5,3.5
E02001745,96.4,3.6
E02001746,94.6,5.4
E02001747,96.3,3.7
E02001748,94.3,5.7
E02001749,95.4,4.6
E02001750,95.8,4.2
E02001751,94.6,5.4
E02001752,92.9,7.1
E02001753,94,6
E02001754,95.6,4.4
E02001755,92.9,7.1
E02001756,90.2,9.8
E02001757,96.3,3.7
E02001758,96.6,3.4
E02001759,93.6,6.4
E02001760,93.8,6.2
E02001761,96.6,3.4
E02001762,95.2,4.8
E02001763,96,4
E02001764,91.8,8.2
E02001765,92.6,7.4
E02001766,90.1,9.9
E02001767,93.6,6.4
E02001768,86.8,13.2
E02001769,86.7,13.3
E02001770,95.5,4.5
E02001771,96.9,3.1
E02001772,94,6
E02001773,96.8,3.2
E02001774,95.5,4.5
E02001775,97.6,2.4
E02001776,96.2,3.8
E02001777,95.3,4.7
E02001778,94.3,5.7
E02001779,96.1,3.9
E02001780,96.8,3.2
E02001781,97.4,2.6
E02001782,97.4,2.6
E02001783,96.2,3.8
E02001784,98,2
E02001785,97.6,2.4
E02001786,98.3,1.7
E02001787,97.2,2.8
E02001788,96.3,3.7
E02001789,96.6,3.4
E02001790,97.5,2.5
E02001791,97.7,2.3
E02001792,98.1,1.9
E02001793,97,3
E02001794,97.9,2.1
E02001795,96.2,3.8
E02001796,92.1,7.9
E02001797,96.3,3.7
E02001798,97.5,2.5
E02001799,95.9,4.1
E02001800,97.2,2.8
E02001801,72,28
E02001802,94.7,5.3
E02001803,74.1,25.9
E02001804,96.7,3.3
E02001805,92.7,7.3
E02001806,87.5,12.5
E02001807,96.9,3.1
E02001808,84,16
E02001809,97,3
E02001810,97,3
E02001811,97.2,2.8
E02001812,94.5,5.5
E02001813,96.5,3.5
E02001814,95.4,4.6
E02001815,96.3,3.7
E02001816,97.7,2.3
E02001817,98.1,1.9
E02001818,96.9,3.1
E02001819,97.3,2.7
E02001820,97.2,2.8
E02001821,97.8,2.2
E02001822,97.1,2.9
E02001823,98,2
E02001824,96.8,3.2
E02001825,97.5,2.5
E02001826,97.5,2.5
E02002483,97.9,2.1
E02002484,96.3,3.7
E02002485,95.6,4.4
E02002489,93.5,6.5
E02002490,92.9,7.1
E02002491,96.6,3.4
E02002492,97.2,2.8
E02002493,97.6,2.4
E02002494,97.8,2.2
E02002496,60.2,39.8
E02002497,85.2,14.8
E02002498,57,43
E02002499,95.3,4.7
E02002500,83.8,16.2
E02002501,87.4,12.6
E02002502,96.1,3.9
E02002503,90.2,9.8
E02002504,84.6,15.4
E02002505,96.4,3.6
E02002506,89.3,10.7
E02002507,93,7
E02002508,91.5,8.5
E02002509,93.5,6.5
E02002510,95.9,4.1
E02002512,97.2,2.8
E02002513,96.8,3.2
E02002514,96.8,3.2
E02002515,95,5
E02002516,97.2,2.8
E02002517,97.1,2.9
E02002518,97.6,2.4
E02002519,97.1,2.9
E02002520,97.6,2.4
E02002521,95.4,4.6
E02002523,95.6,4.4
E02002524,98.4,1.6
E02002525,98,2
E02002526,98,2
E02002527,97.8,2.2
E02002529,97.9,2.1
E02002530,98.4,1.6
E02002532,97.2,2.8
E02002533,97.5,2.5
E02002534,97.4,2.6
E02002535,97.6,2.4
E02002536,97.1,2.9
E02002537,96.3,3.7
E02002538,97,3
E02002539,95.3,4.7
E02002540,97.3,2.7
E02002541,96.3,3.7
E02002542,96.1,3.9
E02002543,94.8,5.2
E02002544,94.6,5.4
E02002545,96.7,3.3
E02002546,91,9
E02002547,96.3,3.7
E02002549,97.2,2.8
E02002550,92.5,7.5
E02002551,85.3,14.7
E02002552,95.1,4.9
E02002553,95,5
E02002554,97,3
E02002555,94,6
E02002556,93.7,6.3
E02002558,92.6,7.4
E02002559,95.7,4.3
E02002560,96.1,3.9
E02002561,95,5
E02002562,91.5,8.5
E02002563,94.8,5.2
E02002564,95,5
E02002567,90.5,9.5
E02002568,92.3,7.7
E02002569,94.7,5.3
E02002570,89.7,10.3
E02002571,89,11
E02002572,88.8,11.2
E02002573,95.4,4.6
E02003988,96.2,3.8
E02004008,97.2,2.8
E02004009,97.6,2.4
E02004010,87.9,12.1
E02004011,94.1,5.9
E02004013,97.3,2.7
E02004014,96.2,3.8
E02004017,93.1,6.9
E02004018,90.4,9.6
E02004019,96.1,3.9
E02004020,95.3,4.7
E02004023,94.9,5.1
E02004024,96.4,3.6
E02004025,96.2,3.8
E02004290,97.4,2.6
E02004291,97.5,2.5
E02004292,97.3,2.7
E02004293,96.1,3.9
E02004294,96.9,3.1
E02004295,97.5,2.5
E02004296,96.2,3.8
E02004297,97,3
E02004298,96.7,3.3
E02004299,97.3,2.7
E02004300,96.8,3.2
E02004301,97.1,2.9
E02004302,96.4,3.6
E02004303,96.7,3.3
E02004304,96.1,3.9
E02004305,95.2,4.8
E02004306,97,3
E02004307,97,3
E02004308,92.6,7.4
E02004309,87.7,12.3
E02004310,94.9,5.1
E02004311,96.8,3.2
E02004312,94.8,5.2
E02004313,84,16
E02004314,78.4,21.6
E02004315,84.5,15.5
E02004316,95.3,4.7
E02004317,95.2,4.8
E02004318,92.9,7.1
E02004319,96.2,3.8
E02004320,97.9,2.1
E02004321,96.4,3.6
E02004322,96.9,3.1
E02004323,97,3
E02004324,97.5,2.5
E02004325,97.3,2.7
E02004326,97,3
E02004327,97.4,2.6
E02004328,97.8,2.2
E02004329,97.6,2.4
E02004330,98,2
E02004331,97.1,2.9
E02004332,97.4,2.6
E02004333,97.7,2.3
E02004334,97.7,2.3
E02004335,95.2,4.8
E02004336,97,3
E02004337,97.3,2.7
E02004338,97,3
E02004339,97.1,2.9
E02004340,96.8,3.2
E02004341,95.7,4.3
E02004342,94,6
E02004343,97.1,2.9
E02004344,96.5,3.5
E02004345,97.6,2.4
E02004348,97,3
E02004349,97.8,2.2
E02004350,97.6,2.4
E02004351,97.2,2.8
E02004352,96.7,3.3
E02004353,96.8,3.2
E02004354,95.9,4.1
E02004355,96.5,3.5
E02005702,95.9,4.1
E02005703,95.7,4.3
E02005704,97.5,2.5
E02005705,96.2,3.8
E02005706,93.4,6.6
E02005707,96.6,3.4
E02005708,97.2,2.8
E02005709,96.4,3.6
E02005710,95.5,4.5
E02005711,97,3
E02005712,96.5,3.5
E02005713,98.4,1.6
E02005715,96.8,3.2
E02005717,97.7,2.3
E02005718,97.7,2.3
E02005719,96.5,3.5
E02005720,96.9,3.1
E02005721,96.7,3.3
E02005722,96.1,3.9
E02005723,95.2,4.8
E02005724,96.4,3.6
E02005725,94.2,5.8
E02005726,93.3,6.7
E02005727,96.5,3.5
E02005728,98,2
E02005729,96.2,3.8
E02005730,95.4,4.6
E02005731,96.5,3.5
E02005733,97,3
E02005734,97.6,2.4
E02005735,95.2,4.8
E02005736,96.2,3.8
E02005739,97.8,2.2
E02005740,96.8,3.2
E02005741,97.3,2.7
E02005750,96.3,3.7
E02005751,96.4,3.6
E02005752,96.2,3.8
E02005754,95.4,4.6
E02005755,94.7,5.3
E02005756,95.5,4.5
E02005757,93.8,6.2
E02005758,93.5,6.5
E02005761,95.7,4.3
E02005782,95.6,4.4
E02005783,94.2,5.8
E02005784,94.3,5.7
E02005785,81.5,18.5
E02005786,95.8,4.2
E02005787,95.5,4.5
E02005788,96.3,3.7
E02005789,96.6,3.4
E02005790,93.5,6.5
E02005795,96.4,3.6
E02005796,97,3
E02005797,96.6,3.4
E02005798,96.8,3.2
E02005799,95.7,4.3
E02005800,87.6,12.4
E02005801,93.2,6.8
E02005802,89.9,10.1
E02005803,90.6,9.4
E02005804,84.7,15.3
E02005805,95.7,4.3
E02005806,95.3,4.7
E02005807,97.3,2.7
E02005808,97.4,2.6
E02006811,94.4,5.6
E02006812,97.3,2.7
E02006841,77.5,22.5
E02006842,86,14
E02006893,96.5,3.5
E02006909,97.1,2.9
E02006910,94.9,5.1
E02007022,96.3,3.7
E02007042,94.8,5.2
E02007043,93.6,6.4
E02007058,84.4,15.6
E02007059,93,7
E02007060,80.7,19.3
E02007061,80.8,19.2
E02007062,93,7
E02007063,93.1,6.9
E02007094,96.5,3.5
E02007095,90.2,9.8
E02007096,87.2,12.8
E02007097,84.1,15.9
E02007098,87.7,12.3
E02007099,61.2,38.8
E02007100,72.2,27.8
E02007101,53,47
E02007102,61.8,38.2
E02007103,76.2,23.8
E02007104,64.2,35.8
E02007105,97.8,2.2
E02007106,97.3,2.7
E02007107,96.3,3.7
