areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02001682,36.2,34.4,19.5,9.9
E02001683,40.8,35.8,9.6,13.8
E02001684,20.8,20.6,37,21.6
E02001685,19.6,29.3,36,15.2
E02001686,40.9,32,13,14.1
E02001688,15.6,25.8,35.2,23.4
E02001689,19.7,16.8,28.8,34.7
E02001690,34.3,29.8,18.6,17.3
E02001691,20,25.1,15.4,39.6
E02001692,18.4,17.5,50.7,13.4
E02001693,22.6,20.2,45,12.2
E02001694,37.1,33,15.7,14.1
E02001695,41.3,33.2,16.5,9
E02001696,24.8,25.8,39.9,9.5
E02001697,37.8,36.7,12.2,13.3
E02001698,57.5,29.3,5.2,8
E02001699,32,24.9,31.4,11.8
E02001700,38.9,35,15.7,10.4
E02001701,47.3,36.7,4.8,11.2
E02001702,21.2,18.5,51.4,9
E02001703,45.5,30.3,17.6,6.5
E02001704,27.3,23.2,38.1,11.5
E02001706,26.1,32.7,32.5,8.7
E02001707,31.6,30.2,23.1,15.1
E02001709,41,32.9,4.2,21.9
E02001710,24.1,22,38.1,15.8
E02001711,26.2,26,35.1,12.6
E02001712,37.8,31.7,10.4,20.1
E02001713,40.6,33.6,9.7,16.2
E02001714,41.6,38.5,4.4,15.5
E02001715,22.1,24.4,38.9,14.6
E02001718,20.8,31.3,34.3,13.5
E02001719,38,32.9,11,18.2
E02001720,22.9,15.2,5.5,56.5
E02001721,30.8,28.1,28.3,12.8
E02001722,30.5,27.4,29.5,12.5
E02001723,21.8,29.5,24.7,24
E02001724,18.6,17.5,9.9,54
E02001725,11.4,17.6,26.8,44.2
E02001726,26.8,30.3,25.3,17.6
E02001727,32.4,27.7,27.4,12.5
E02001728,32.2,30.3,20.6,16.9
E02001729,14.9,14.6,29.4,41
E02001732,22,27.3,33.8,16.9
E02001734,21.4,19.8,38.1,20.6
E02001735,10.9,13.4,64.4,11.2
E02001737,11.4,14.1,65.5,9
E02001738,58.9,33.7,1.9,5.6
E02001739,31.5,29.2,29.3,10.1
E02001740,46,41.8,4,8.2
E02001741,43.7,34,11.9,10.4
E02001742,48.4,35.8,6,9.8
E02001743,34.4,37.7,5.4,22.5
E02001744,28.7,43.5,16.2,11.5
E02001745,30,36,22.5,11.4
E02001746,35.3,34.7,14.6,15.4
E02001747,50.8,31.6,8.4,9.1
E02001748,24.8,39.8,21.3,14.2
E02001749,35.4,32.7,19.5,12.4
E02001750,45.3,37.6,8.6,8.5
E02001751,31.2,36.4,20.7,11.7
E02001752,25.3,26.8,34.4,13.5
E02001753,35,26.8,17.2,20.9
E02001754,40.9,34.5,5.5,19.1
E02001755,33.3,41.1,14.4,11.2
E02001756,19.8,27.9,38.3,14
E02001757,40.9,29.4,18.5,11.2
E02001758,35.8,31.8,22.1,10.4
E02001759,27,26.9,14.3,31.7
E02001760,18.9,18.5,39.7,22.9
E02001761,34.4,28.2,23.8,13.7
E02001762,36.6,40.9,11.5,11.1
E02001763,20.5,24.9,41.6,13
E02001764,16.4,20.5,40.5,22.6
E02001765,17.1,25.4,37.2,20.3
E02001766,22.2,26.6,20,31.2
E02001767,27,26.8,25.5,20.8
E02001768,30,29.3,16.2,24.5
E02001769,17.2,16.7,43.2,22.9
E02001770,35.5,31.7,8.6,24.2
E02001771,33.4,23.7,34.9,8
E02001772,36.5,25.4,19.3,18.8
E02001773,54.8,32,6.6,6.6
E02001774,23.3,21.4,39.5,15.7
E02001775,25.1,24.6,41.4,9
E02001776,22.7,29.1,33.4,14.8
E02001777,29.4,39,14.9,16.6
E02001778,22.8,23.4,25.1,28.7
E02001779,24.2,21.4,41.4,13
E02001780,30.9,27.1,35.2,6.8
E02001781,20.3,20.4,48.9,10.3
E02001782,26,31.3,35,7.7
E02001783,19.8,21.8,47.3,11.1
E02001784,28.2,24.5,40.6,6.6
E02001785,35.5,28.4,28.3,7.8
E02001786,28.7,26,35.4,9.9
E02001787,33.5,26.1,31.5,8.9
E02001788,31.7,27.8,27.2,13.2
E02001789,56.5,36.5,1.6,5.4
E02001790,42.2,34.1,15.1,8.6
E02001791,52.4,38.1,1.5,8
E02001792,54.4,33.4,2.6,9.6
E02001793,16.8,17.9,50.2,15
E02001794,22.8,20,44.8,12.4
E02001795,25,21,33.9,20
E02001796,35.9,25.1,16.8,22.2
E02001797,44.4,35.5,10.9,9.2
E02001798,27,24.1,36.8,12
E02001799,21.6,19.5,42.2,16.8
E02001800,30.5,27.4,29.9,12.2
E02001801,27.7,24.9,10.1,37.2
E02001802,15.6,25.8,47.2,11.4
E02001803,15,16,28.1,40.8
E02001804,28.4,29.3,30.7,11.6
E02001805,45.5,29.5,7.7,17.3
E02001806,18.3,13.4,37,31.3
E02001807,26.5,34.9,24.9,13.7
E02001808,36.9,33.9,3,26.2
E02001809,38.3,25.2,24.5,12
E02001810,32.8,31.2,24.2,11.8
E02001811,27.7,20.2,41.2,10.9
E02001812,53.8,33.6,1.7,10.9
E02001813,18.8,19.3,51.9,10
E02001814,32.9,28.5,26,12.7
E02001815,43.3,29.9,17.8,8.9
E02001816,22.5,19.8,45,12.7
E02001817,26.5,28.2,31.8,13.4
E02001818,25.9,32.5,29,12.6
E02001819,50.3,31.7,8,10
E02001820,30.9,35.8,25,8.3
E02001821,39.7,34.2,18,8.1
E02001822,37.5,36.9,10.6,15
E02001823,28.4,34.5,24.1,13
