areacd,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02001682,36.4,20.9,29.1,13.6
E02001683,26.1,31.8,27.8,14.3
E02001684,53.4,8.5,24.4,13.7
E02001685,47,16.3,22.1,14.6
E02001686,41,17.2,27.1,14.6
E02001688,47.7,12.7,27.7,12
E02001689,54.8,8.8,24.7,11.8
E02001690,44.4,14.2,29,12.4
E02001691,48.3,9.3,31.1,11.2
E02001692,57.7,8.5,18.5,15.3
E02001693,55.2,8.7,21.6,14.5
E02001694,48.5,13,24,14.5
E02001695,47.6,11.4,28.7,12.4
E02001696,56.8,8.8,19.8,14.6
E02001697,45.1,12,33,9.9
E02001698,39,15.5,34.3,11.3
E02001699,53.3,9.8,21.7,15.2
E02001700,43.9,14.9,28,13.1
E02001701,42,13,34.4,10.6
E02001702,55.5,10.1,19.2,15.1
E02001703,28.3,25.3,33.2,13.3
E02001704,53,11.4,21.1,14.4
E02001706,44.3,16.4,25.9,13.3
E02001707,43.2,19.4,23.6,13.8
E02001709,38.6,12,41.6,7.8
E02001710,51.4,9.5,24.4,14.6
E02001711,47.1,13.5,25.3,14
E02001712,40.4,10.1,44,5.5
E02001713,37.3,12.6,43.1,6.9
E02001714,41.1,9.7,40.7,8.5
E02001715,47.4,10.5,27.5,14.7
E02001718,48.6,13,22,16.5
E02001719,42.7,8.3,39,9.9
E02001720,41.6,15,37.5,5.9
E02001721,39.1,19.6,25.2,16
E02001722,51.4,13.1,20.5,15.1
E02001723,48.1,11.8,24.9,15.1
E02001724,40.5,14.3,39.6,5.5
E02001725,46.1,8.9,36.9,8
E02001726,48,11.4,23.4,17.2
E02001727,50.8,7.3,25.2,16.7
E02001728,47.6,13.3,23.4,15.6
E02001729,44.2,11.9,27.4,16.5
E02001732,49.4,13.2,21.7,15.7
E02001734,51.7,11.6,20.9,15.9
E02001735,63,8,14,15
E02001737,57.5,9.3,17.2,16.1
E02001738,32.1,20.6,38.7,8.6
E02001739,44.1,14.2,27.2,14.5
E02001740,26.9,21,44,8
E02001741,38.6,18.3,30.7,12.4
E02001742,31.9,18.7,40.5,8.9
E02001743,26.6,22,42,9.5
E02001744,38.4,15.3,35,11.2
E02001745,47.5,11.9,28.8,11.8
E02001746,35.6,18.9,35.3,10.3
E02001747,28.7,23.9,36.6,10.8
E02001748,42.2,11.2,34.2,12.5
E02001749,43.9,10.3,33.9,11.9
E02001750,35.3,19.7,31.1,13.9
E02001751,46.3,9.2,32.4,12.2
E02001752,51.3,13.2,22,13.5
E02001753,25.5,22.8,41.3,10.4
E02001754,30.3,21.2,39.1,9.4
E02001755,42.9,9.7,37.2,10.2
E02001756,47.4,8.8,32,11.8
E02001757,45.1,15.8,23.6,15.5
E02001758,48.1,12.1,26.8,13
E02001759,38,19.2,31.4,11.4
E02001760,54.8,13.1,17.2,14.9
E02001761,50.9,9.8,24.6,14.8
E02001762,48.5,9.7,29,12.8
E02001763,53.9,10.7,21.7,13.8
E02001764,43.5,16.1,25.8,14.6
E02001765,50.4,10.3,26.2,13.1
E02001766,49.7,9.5,27,13.8
E02001767,51.1,8,26.7,14.2
E02001768,35.7,21.8,27.2,15.3
E02001769,42.7,18.6,22.4,16.3
E02001770,38,20.3,27.1,14.6
E02001771,43.7,19,19.8,17.4
E02001772,44.7,16.7,24,14.7
E02001773,39.6,17.8,28.2,14.5
E02001774,50.3,13,21.3,15.4
E02001775,47.2,17.7,18.7,16.4
E02001776,50,12.2,23.9,13.9
E02001777,46.3,11.3,29,13.3
E02001778,47.8,15,21.5,15.7
E02001779,48.8,15.1,18.2,17.8
E02001780,44.8,16.8,21.5,16.9
E02001781,55,12.2,15.9,17
E02001782,51.7,9.6,24.4,14.3
E02001783,53.8,15.1,15.6,15.4
E02001784,52.3,10,21.4,16.3
E02001785,40.1,18.6,26.1,15.2
E02001786,49.2,15,18.3,17.5
E02001787,52.7,9.9,22.1,15.3
E02001788,49.7,13.9,22,14.4
E02001789,34.9,17.9,36.2,11
E02001790,41.1,15.4,30.7,12.7
E02001791,39.1,18.9,29.6,12.4
E02001792,37,18.3,32.2,12.5
E02001793,60,11.9,13.5,14.5
E02001794,55.6,13,15.8,15.5
E02001795,49.7,14.9,19.5,15.9
E02001796,42.1,17.9,25.4,14.5
E02001797,45.5,13.6,28.4,12.5
E02001798,55.9,11.9,16.9,15.3
E02001799,57.3,9.4,18.6,14.8
E02001800,49.6,13.2,23,14.2
E02001801,52.6,17.4,16.3,13.7
E02001802,58.9,12.4,15,13.7
E02001803,44.6,19.4,23.9,12.1
E02001804,52.7,12.6,19.8,14.9
E02001805,50.6,15.4,20.6,13.4
E02001806,46.5,18,21,14.5
E02001807,45.6,16.2,26,12.2
E02001808,44,18.5,24.9,12.6
E02001809,46.8,14.3,26.8,12.2
E02001810,42.9,18.6,26.8,11.7
E02001811,52.5,13.1,19,15.4
E02001812,38.2,17.3,32.3,12.2
E02001813,54.8,12.9,16.5,15.9
E02001814,44.3,17.6,23,15.1
E02001815,38.8,19.8,30.1,11.3
E02001816,50.3,14.5,20.3,14.9
E02001817,44.8,16.4,23.8,15.1
E02001818,41.1,21,23.9,13.9
E02001819,38.8,18,29.4,13.7
E02001820,40.6,20.4,25.6,13.4
E02001821,40.1,19.8,26.2,14
E02001822,40.5,18.7,26.5,14.3
E02001823,41.4,19.7,24.1,14.8
E02001824,41.6,19,25.1,14.4
E02001825,36.3,26.7,22.7,14.3
E02001826,31.6,29.8,22.3,16.3
E02002483,36.8,30.6,18.2,14.4
E02002484,42.5,27,13.8,16.7
E02002485,48.1,24.7,13.2,14
E02002489,45.3,23.4,15.9,15.4
E02002490,48.2,19.7,14.1,18
E02002491,51.4,21,12.2,15.4
E02002492,49.4,20,14.3,16.3
E02002493,42,22.9,20.5,14.6
E02002494,53.5,17.2,10.6,18.7
E02002496,51.4,15.2,14.5,18.9
E02002497,59.1,14.4,9.9,16.6
E02002498,53.6,17.6,10.7,18.2
E02002499,64.8,12.6,7.4,15.2
E02002500,52.6,11.8,19.9,15.7
E02002501,58.3,10.5,14.4,16.7
E02002502,61.7,11.9,9.5,17
E02002503,58.4,11.7,14.2,15.7
E02002504,50.6,12.2,20.7,16.5
E02002505,63.4,10.6,9.2,16.8
E02002506,65.5,9.9,9.9,14.8
E02002507,50.2,12.9,21.8,15.2
E02002508,49.6,13.4,21.2,15.7
E02002509,58.7,11.6,13.7,16
E02002510,47.2,16.3,21.2,15.3
E02002512,44.8,14.2,25.9,15.1
E02002513,49.9,16.3,17,16.7
E02002514,48.2,15.4,19.5,16.9
E02002515,40.5,26.1,17.4,15.9
E02002516,39.4,27.8,15.4,17.3
E02002517,41.2,23.6,15.8,19.4
E02002518,32.1,31,22.2,14.7
E02002519,40.2,28.6,14.4,16.8
E02002520,30.7,31.9,21.8,15.5
