areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02001682,10.8,67.5,21.7
E02001683,10.6,67.7,21.7
E02001684,11.1,56.5,32.4
E02001685,10.2,58.1,31.6
E02001686,10.2,68.9,20.9
E02001688,12.4,51.1,36.5
E02001689,10.7,50.2,39.1
E02001690,9.8,64.8,25.4
E02001691,14.1,50.9,35
E02001692,10.2,50.1,39.7
E02001693,8.8,56.9,34.3
E02001694,10.7,66.1,23.2
E02001695,9.7,65.2,25
E02001696,9,58.3,32.6
E02001697,9.8,66.8,23.4
E02001698,6.4,77,16.7
E02001699,8.9,60.6,30.5
E02001700,9.3,64.7,26
E02001701,9.7,71.1,19.2
E02001702,9.1,53.2,37.7
E02001703,9,68.7,22.3
E02001704,9.3,60.2,30.6
E02001706,10.1,60.4,29.5
E02001707,8.5,64.1,27.4
E02001709,9.7,70.1,20.2
E02001710,9.8,54.8,35.5
E02001711,10.1,56.1,33.8
E02001712,14.7,64.3,21
E02001713,11.9,64.4,23.7
E02001714,11.1,64.7,24.2
E02001715,10.2,50.7,39.1
E02001718,10,54.5,35.4
E02001719,13.2,63.4,23.4
E02001720,41.8,41.2,17
E02001721,10.8,62.6,26.6
E02001722,9.1,60.4,30.5
E02001723,10.9,48.5,40.6
E02001724,37.9,43,19
E02001725,24.7,44.8,30.5
E02001726,11.5,48.7,39.8
E02001727,9.5,60,30.5
E02001728,9.5,60,30.5
E02001729,24.3,31.7,44
E02001732,9.7,55.2,35.2
E02001734,10.5,47.1,42.3
E02001735,8.8,48.1,43.2
E02001737,9.9,47.4,42.7
E02001738,7.4,76,16.6
E02001739,9.7,65,25.4
E02001740,9.9,72.4,17.7
E02001741,7.9,71.6,20.5
E02001742,8,72.9,19.1
E02001743,13.4,61.5,25.1
E02001744,10.2,66.9,22.9
E02001745,10.3,63.3,26.4
E02001746,10.3,65,24.7
E02001747,7,75.7,17.4
E02001748,12.7,59.3,28
E02001749,10.9,65.9,23.2
E02001750,8.2,70,21.8
E02001751,9.9,67,23.1
E02001752,10.6,55.6,33.8
E02001753,9.4,69.1,21.5
E02001754,10,72.3,17.7
E02001755,10.7,67.3,22
E02001756,10.8,58.6,30.6
E02001757,8.4,65.6,26
E02001758,10,62.6,27.3
E02001759,10.5,61.3,28.2
E02001760,12.1,52.2,35.8
E02001761,9.5,64.2,26.3
E02001762,11.6,66.5,22
E02001763,11.9,55,33.1
E02001764,10.7,55.4,33.8
E02001765,10.7,53.7,35.5
E02001766,13.3,54.8,31.9
E02001767,10.7,57,32.3
E02001768,11.9,52.9,35.2
E02001769,9.7,51.2,39.1
E02001770,11.9,64.1,24
E02001771,8.5,62.8,28.7
E02001772,10.6,63.2,26.3
E02001773,8.1,71.5,20.4
E02001774,9.6,56.8,33.6
E02001775,9.7,56.9,33.4
E02001776,10.9,56.8,32.3
E02001777,11.6,62.4,26
E02001778,9.5,56.6,33.9
E02001779,10.1,57.6,32.3
E02001780,8.6,62.6,28.8
