areacd,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E02001682,30.2,36.9,16.6,16.4
E02001683,30.7,39.9,15.7,13.8
E02001684,38.9,33.2,13.9,13.9
E02001685,34.5,34,16,15.5
E02001686,34.5,37.9,14.6,13
E02001688,43.8,31.3,13.2,11.7
E02001689,39.7,28.5,14.4,17.4
E02001690,34.6,35,16.4,14
E02001691,37.9,33.1,12.9,16.1
E02001692,30.9,32.3,19,17.8
E02001693,40.2,32.3,15,12.5
E02001694,29.5,38.3,17,15.2
E02001695,31.2,38.9,14.7,15.2
E02001696,28.8,35.9,18.6,16.6
E02001697,30.8,37.8,16,15.4
E02001698,30.3,40.2,14.5,15.1
E02001699,35,34.2,16.4,14.4
E02001700,29.1,37.9,16.9,16.1
E02001701,31.9,35.1,15.9,17.1
E02001702,35.5,29.3,17.4,17.7
E02001703,29.5,38.9,16.2,15.3
E02001704,40.5,31.5,14.6,13.3
E02001706,28.1,36.6,16.9,18.5
E02001707,32.5,36.4,16,15.2
E02001709,28.3,37.8,14,19.9
E02001710,37.2,31.1,15.7,16
E02001711,33.8,32.1,16.4,17.7
E02001712,34.1,36.1,13.3,16.5
E02001713,31.7,35.4,14.2,18.7
E02001714,25.4,35.3,18.5,20.7
E02001715,32.2,29.4,16.8,21.6
E02001718,35.5,31.3,16.7,16.5
E02001719,29.2,37.3,17.2,16.3
E02001720,25,31.1,14.9,28.9
E02001721,34.5,34.9,15.9,14.7
E02001722,33.4,32.5,16.5,17.5
E02001723,28.8,29.2,18.6,23.4
E02001724,34.7,33.2,10.4,21.7
E02001725,38.8,34.8,13.7,12.6
E02001726,31.5,29.2,16.4,22.8
E02001727,34.7,35.1,15,15.1
E02001728,33.3,35.3,16.3,15
E02001729,31.5,24.1,14.8,29.6
E02001732,33.6,32.2,16.1,18.1
E02001734,33.8,29.9,16.6,19.8
E02001735,34.8,28.5,19.6,17.1
E02001737,42.1,26.4,16.9,14.6
E02001738,25.4,39.1,14.5,21.1
E02001739,35.9,35.2,16.3,12.6
E02001740,22.4,34.5,16.1,27
E02001741,36.3,37.7,13.3,12.8
E02001742,31.1,37.9,14.6,16.5
E02001743,34.6,31.3,15.9,18.2
E02001744,31.5,35.5,17.8,15.3
E02001745,32.1,35,18,14.8
E02001746,32.7,33.1,16.7,17.5
E02001747,33.9,36.9,13.3,15.9
E02001748,28.3,35,18.6,18.2
E02001749,34.3,36.2,15,14.5
E02001750,27.2,37,17.4,18.4
E02001751,31,37.3,16.9,14.9
E02001752,33.8,31.9,16.5,17.8
E02001753,42.8,34.2,11.6,11.4
E02001754,36.2,38.3,12.3,13.2
E02001755,29.5,36.5,16,17.9
