areacd,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02001682,83.3,1.9,14.8
E02001683,84,1.3,14.7
E02001684,71,7,22.1
E02001685,76.7,1.8,21.5
E02001686,84.3,1.5,14.2
E02001688,72.5,8.1,19.4
E02001689,67.9,11,21
E02001690,82.4,2.8,14.7
E02001691,67.5,13.2,19.4
E02001692,70.6,5.8,23.6
E02001693,74.5,3.3,22.2
E02001694,81.4,2.5,16.1
E02001695,86.6,1.7,11.7
E02001696,77.6,1.9,20.5
E02001697,86.1,2.5,11.4
E02001698,88.7,1.1,10.2
E02001699,79.6,2.6,17.8
E02001700,84.2,2,13.8
E02001701,88.2,1.8,10
E02001702,70.8,5.1,24.1
E02001703,83.5,1.6,14.9
E02001704,78,2.3,19.7
E02001706,77.2,4.1,18.7
E02001707,79.5,3.1,17.3
E02001709,86.6,6.5,7
E02001710,72.8,8,19.2
E02001711,77.9,4.1,18
E02001712,84,7.8,8.2
E02001713,86.1,6.1,7.8
E02001714,84.3,8.5,7.2
E02001715,71.8,9.6,18.6
E02001718,75.3,6.3,18.4
E02001719,83.3,6.4,10.3
E02001720,90.3,6.4,3.3
E02001721,80.5,2.4,17.2
E02001722,77.2,3.9,18.9
E02001723,75.5,9.9,14.5
E02001724,86.5,8.7,4.8
E02001725,74.3,14.1,11.6
E02001726,75.6,9.2,15.2
E02001727,79.4,4.5,16.1
E02001728,80.7,2.5,16.8
E02001729,62.2,27,10.9
E02001732,71.2,9.3,19.6
E02001734,66.3,13,20.6
E02001735,65.4,8.4,26.2
E02001737,64.2,9.6,26.2
E02001738,91.3,1.8,6.9
E02001739,81.5,1.4,17.1
E02001740,90.6,2.3,7.1
E02001741,85.6,2.2,12.2
E02001742,89.4,1.7,8.9
E02001743,86.1,3.2,10.7
E02001744,85.4,1.7,13
E02001745,83.8,1.8,14.4
E02001746,85.4,2.1,12.5
E02001747,87.2,1.8,10.9
E02001748,84,2.5,13.4
E02001749,84.5,2.2,13.3
E02001750,87.6,1.7,10.7
E02001751,82.3,2.9,14.8
E02001752,78.1,2.5,19.4
E02001753,87.6,3.3,9.1
E02001754,88.8,1.7,9.5
E02001755,85.2,3.1,11.7
E02001756,76.2,6.2,17.6
E02001757,83.3,1.3,15.4
E02001758,84.8,1.4,13.8
E02001759,81.3,3.4,15.3
E02001760,70.8,3.6,25.5
E02001761,80.7,1.7,17.6
E02001762,87,1.7,11.3
E02001763,74.6,2.2,23.2
E02001764,72.7,5,22.4
E02001765,72.7,4.3,23
E02001766,75.2,6.8,18
E02001767,76.7,3.6,19.7
E02001768,79.7,6.2,14.1
E02001769,70.9,6.2,22.9
E02001770,82.8,2.4,14.9
E02001771,79.3,1.3,19.4
E02001772,77,3.1,19.9
E02001773,86.9,1.3,11.8
E02001774,73,2.1,24.9
E02001775,78.3,1,20.7
E02001776,77.6,2.2,20.3
E02001777,82.9,2.4,14.7
E02001778,72.6,2.8,24.6
E02001779,74,2,24
E02001780,80.5,1.6,17.9
E02001781,72.8,1.5,25.7
E02001782,79.8,1.3,18.9
E02001783,70.9,2.1,27
E02001784,78.7,0.8,20.5
E02001785,84,0.9,15.1
E02001786,77.9,1.1,21
E02001787,80,1.4,18.6
E02001788,80.3,1.7,18
E02001789,91.5,1.3,7.2
E02001790,86.5,0.9,12.6
E02001791,88.9,1.2,9.9
E02001792,87.7,0.7,11.6
E02001793,72.6,1.8,25.5
E02001794,72.2,1.4,26.4
E02001795,73.7,2.2,24.1
E02001796,79.6,5,15.4
E02001797,86.4,1.8,11.8
E02001798,77.3,1.3,21.4
E02001799,70.2,2.8,26.9
E02001800,79.9,1.3,18.9
E02001801,63.9,16.3,19.8
E02001802,70.9,3,26
E02001803,64.7,18.4,16.9
E02001804,78.1,1.9,20.1
E02001805,78.8,3,18.2
E02001806,68.2,6.8,25
E02001807,81.2,1.3,17.5
E02001808,78.2,7.1,14.7
E02001809,81,1.4,17.6
E02001810,82.5,1.5,16
E02001811,74.5,1.6,23.9
E02001812,88,1.8,10.2
E02001813,71.8,1.6,26.6
E02001814,77.5,2.5,20
E02001815,86.3,1.3,12.4
E02001816,77,0.8,22.3
E02001817,77.6,1.1,21.3
E02001818,80.5,1.8,17.7
E02001819,87.3,1.2,11.5
E02001820,81.2,1.2,17.6
E02001821,85,1.1,13.8
E02001822,82.3,1.5,16.2
E02001823,79.1,0.9,20
E02001824,77.4,2.1,20.5
E02001825,77.1,1.6,21.3
E02001826,75.8,1.3,22.9
E02002483,84.2,0.7,15.1
E02002484,67.1,2,30.9
E02002485,69.3,2.4,28.3
E02002489,67.8,2.8,29.3
E02002490,68.5,4.3,27.2
E02002491,73,1.1,25.9
E02002492,75.1,1.3,23.7
E02002493,85.6,0.9,13.5
E02002494,66.8,0.8,32.4
E02002496,58.3,24,17.6
E02002497,59.1,9.6,31.3
E02002498,47,29.6,23.4
E02002499,69.9,2.9,27.2
E02002500,76.6,6.4,17
E02002501,71.2,7.5,21.3
E02002502,67.9,2.4,29.7
E02002503,73.2,4.9,21.9
E02002504,82.2,5.3,12.5
E02002505,69.4,2.1,28.6
E02002506,65.6,7.1,27.3
E02002507,86.4,2.4,11.2
E02002508,86.7,2.5,10.8
E02002509,77.1,3.2,19.6
E02002510,85.7,1.6,12.7
E02002512,89.1,1.2,9.7
E02002513,77.2,1.4,21.4
E02002514,83.7,1.3,15
E02002515,71.5,1.7,26.8
E02002516,77.6,1.1,21.3
E02002517,74.3,1.2,24.5
E02002518,85.9,0.8,13.3
E02002519,71.4,1,27.6
E02002520,83.9,0.8,15.3
E02002521,79.5,2,18.5
E02002523,60.3,2.6,37.1
E02002524,75.3,0.5,24.2
E02002525,76.4,0.8,22.7
E02002526,77.1,0.6,22.2
E02002527,65,0.7,34.3
E02002529,80.7,0.7,18.5
E02002530,73.1,0.7,26.1
E02002532,76.5,1.2,22.3
E02002533,85.1,1.1,13.8
E02002534,86.9,0.6,12.5
E02002535,87.4,0.9,11.7
E02002536,78.5,1.3,20.3
E02002537,69.5,1.8,28.7
E02002538,76.6,1.2,22.2
E02002539,87.7,1.6,10.8
E02002540,86.4,0.9,12.7
E02002541,79.6,1.4,19.1
E02002542,70.2,1.7,28.1
E02002543,71.5,2.3,26.2
E02002544,70.1,3.2,26.6
E02002545,85,1.4,13.6
E02002546,68.5,4.4,27.2
E02002547,84.7,1.1,14.2
E02002549,85,1.2,13.9
E02002550,83,2.7,14.3
E02002551,64.8,6.8,28.5
E02002552,78.3,2.4,19.3
E02002553,77.4,2.2,20.4
E02002554,71.1,1.3,27.6
E02002555,84.6,2.9,12.5
E02002556,90.2,2.4,7.4
E02002558,87.4,3.4,9.2
E02002559,87.3,1.7,10.9
E02002560,82.4,1.6,16
E02002561,81.7,2.5,15.8
E02002562,68.2,5.3,26.5
E02002563,74.6,2.5,22.9
E02002564,75.5,2.6,21.9
E02002567,70,6.6,23.5
E02002568,87.4,3.7,8.9
E02002569,87.3,2,10.7
E02002570,68.4,6.8,24.8
E02002571,68.6,8.4,22.9
E02002572,68.6,8.1,23.3
E02002573,85.2,2.1,12.6
E02003988,79.9,1.5,18.6
E02004008,80.6,1.2,18.2
E02004009,82.6,1.1,16.3
E02004010,69.7,9.4,20.9
E02004011,80.8,4.1,15.1
E02004013,80.4,1.4,18.2
E02004014,77.5,1.5,21
E02004017,80.1,4.8,15.1
