geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00089048,41.8,36.4,5.5,16.4
E00089054,42.4,41,7.6,9
E00089055,40.7,44.1,0,15.3
E00089056,38.6,33.1,17.2,11
E00089244,53.7,38.8,0.7,6.7
E00089245,39.7,27.9,20.6,11.8
E00089256,40.1,40.1,2.9,16.8
E00089257,38.4,24.2,30.3,7.1
E00145147,35.5,21.1,0.6,42.8
E00145148,67.2,18.9,4.1,9.8
E00145149,50,19.9,16.7,13.5
E00145150,58.3,25,1.5,15.2
E00145151,41.6,25.9,19.3,13.3
E00145152,26.7,23,3,47.4
E00145153,63.3,23.4,0.8,12.5
E00145154,31.3,29.9,1.4,37.5
E00145155,25.4,23,1.6,50
E00145156,45.4,37.8,0.8,16
E00145157,38.3,37.6,1.4,22.7
E00145158,35.8,38.3,0,25.8
E00145159,53.8,38.7,0.9,6.6
E00145160,44.2,22.5,18.8,14.5
E00145161,32.7,31.9,23.9,11.5
E00145162,33.6,37.2,1.8,27.4
E00145163,35.9,26.1,8.5,29.6
E00145164,76.3,16.8,0,6.9
E00145165,44.8,34.5,2.6,18.1
E00145166,40,20,4.3,35.7
E00145167,36.2,41.5,5.4,16.9
E00145168,9.9,13.2,70.2,6.6
E00145169,43,39.8,2.3,14.8
E00145170,41.5,32.4,0,26.1
E00145171,34.1,14.1,38.5,13.3
E00145172,47.4,23.2,1.5,27.8
E00145173,41.2,29.4,17.6,11.8
E00145174,38.1,25.2,0,36.8
E00145175,61,24.6,0.8,13.6
E00145176,49.6,32.6,1.6,16.3
E00145177,11.6,17,59.8,11.6
E00145178,30.3,22.1,35.2,12.4
E00145179,42.7,38.9,3.1,15.3
E00145180,34.3,27.1,5,33.6
E00145181,43.3,26.9,9,20.9
E00145182,31.7,22.8,25.2,20.3
E00145183,53.5,22.5,0,23.9
E00145184,60.8,23.2,0,16
E00145185,48.2,33.1,6.5,12.2
E00145186,17.1,21.4,41,20.5
E00145187,44.6,29.8,0.8,24.8
E00145188,58.9,25,0.8,15.3
E00145189,36.1,36.8,0.7,26.4
E00145190,49.6,29.3,16.3,4.9
E00145194,58.1,27.4,6.5,8.1
E00145211,46.1,36.6,4.7,12.6
E00145212,43.4,38,0,18.6
E00145213,37.2,41.4,6.9,14.5
E00145215,51.9,29.6,5.6,13
E00145216,52.9,33.3,2,11.8
E00145249,37,36.2,1.6,25.2
E00145250,55.4,36.6,1,6.9
E00145251,55.7,29.6,0,14.8
E00145252,33.5,33.5,10.8,22.2
E00145253,49.3,21.8,0,28.9
E00145254,54.7,25.3,4.7,15.3
E00145255,70.9,22.7,0,6.4
E00145256,30.1,31,27.8,11.1
E00145257,47.2,35.9,5.6,11.3
E00145258,53.2,31.5,2.4,12.9
E00145259,63.8,23.6,0,12.6
E00145260,31.5,43.5,16.5,8.5
E00145261,47.9,28.9,13.2,9.9
E00145262,39.6,28.8,18.9,12.6
E00145263,23.6,45.1,20.5,10.8
E00145264,44.6,24.5,15.8,15.1
E00145265,19.6,31.2,24.6,24.6
E00145266,11,16.2,27.2,45.5
E00145267,31.5,18.5,26.7,23.3
E00145268,9.1,28,41.1,21.7
E00145269,3.2,11.6,69.7,15.5
E00145270,9,21.5,44.4,25
E00145271,12.3,9.7,62.3,15.6
E00145272,22.4,14.3,54,9.3
E00145273,25.8,25,34.2,15
E00145274,15.8,17.3,54.7,12.2
E00145275,15.5,24.6,8.5,51.4
E00145278,33.6,16.4,11,39
E00145279,10.9,19.7,50.4,19
E00145280,38,38,0.7,23.4
E00145281,43.1,37.8,1.6,17.6
E00145282,30.8,25.6,2.6,41
E00145283,21.1,8.6,60.9,9.4
E00145284,24.4,42.3,21.1,12.2
E00145285,18.3,17.5,58.7,5.6
E00145286,19.6,21.7,35.7,23.1
E00145287,21.3,22,29.8,27
E00145288,15.9,18.6,54.5,11
E00145289,7.7,1.1,85.7,5.5
E00145290,15.8,41,18.7,24.5
E00145291,5.9,2.5,89.8,1.7
E00145292,8.7,27,57.4,7
E00145293,6.3,12.5,71.1,10.2
E00145294,5.7,22,59.3,13
E00145295,11.7,13.3,64.8,10.2
E00145296,25,25,31.6,18.4
E00145297,26.7,25.8,25.8,21.7
E00145298,24.8,25.5,15.2,34.5
E00145299,26.2,17.7,43.3,12.8
E00145300,14,15.4,63.2,7.4
E00145302,12.1,6.9,25.9,55.2
E00145303,4.1,5.7,11.5,78.7
E00145308,4.6,5.3,61.1,29
E00145309,13.7,22.2,25.6,38.5
E00145310,10.1,6.4,66.1,17.4
E00145311,25,12.1,17.2,45.7
E00145312,11.9,8.9,23.7,55.6
E00145313,23.7,4.2,8.5,63.6
E00145314,23.9,11,17.4,47.7
