geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00045714,12,64,24
E00045715,16.7,54.6,28.7
E00046260,11.2,55.2,33.6
E00046261,10.1,54.3,35.7
E00046262,17.1,45,37.9
E00046263,18.5,69.1,12.3
E00046264,14.2,46.2,39.6
E00046267,1.7,60.5,37.8
E00046268,16.7,66.7,16.7
E00046269,6.5,59.8,33.6
E00046270,7.5,63.9,28.6
E00046271,9,55.9,35.2
E00046272,7.4,58,34.6
E00046273,8.4,51.8,39.8
E00046274,9.1,48.9,42
E00046275,20,42.7,37.3
E00046276,9.9,55.2,34.8
E00046277,8.6,66.7,24.7
E00046278,13.3,48.9,37.8
E00046279,12.1,49,38.9
E00046280,8.9,42.6,48.5
E00046281,8,45.6,46.4
E00046283,14.7,46,39.3
E00046303,9.3,43.4,47.3
E00046304,6.9,47.5,45.5
E00046305,15.1,37.7,47.2
E00046306,9.2,52.9,37.9
E00046307,10.1,50.6,39.2
E00046308,10.9,48.7,40.3
E00046309,11.3,46,42.7
E00046310,14.6,45.6,39.9
E00046311,6.5,57.7,35.8
E00046312,15.2,42.4,42.4
E00046313,10,63.6,26.4
E00046314,8,49.6,42.3
E00046315,15,41.7,43.3
E00046316,9.8,42,48.2
E00046317,12.5,51.8,35.7
E00046318,10.5,44.7,44.7
E00046319,9.2,50,40.8
E00046320,8.3,55.8,35.8
E00046321,16.5,45.9,37.6
E00046322,9.8,55.9,34.3
E00046323,5.4,61.2,33.3
E00046324,7.3,53.2,39.4
E00046325,6.1,52.5,41.4
E00046326,7.1,43.4,49.6
E00046327,12.7,47.3,40
E00046328,10.3,39.2,50.5
E00046329,9.1,57,33.9
E00046330,9.8,66.3,23.9
E00046331,5.9,68.1,26.1
E00046332,4.8,57.1,38.1
E00046333,9.1,49.4,41.6
E00046334,13.7,43.5,42.7
E00046335,8.8,61.9,29.2
E00046336,14.4,51.5,34
E00046337,5,52.1,42.9
E00046338,10.4,61.5,28.1
E00046339,15.6,42.2,42.2
E00046340,12.7,53.2,34.1
E00046341,8.2,52.4,39.5
