geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E00045714,79.8,4.8,15.4
E00045715,79,4.9,16.2
E00046260,67.1,13.1,19.7
E00046261,63.3,11.4,25.3
E00046262,62.8,9.6,27.7
E00046263,84.8,9.7,5.4
E00046264,68.8,13.4,17.8
E00046267,77.7,11.2,11.2
E00046268,89.9,3.6,6.4
E00046269,69.8,10.1,20.1
E00046270,81.7,3.1,15.3
E00046271,71.5,11.9,16.6
E00046272,59.5,9.2,31.3
E00046273,78.6,9,12.4
E00046274,71.1,9.8,19
E00046275,63.9,12.3,23.8
E00046276,69.7,13.1,17.2
E00046277,86.6,7.6,5.7
E00046278,63.3,10.5,26.2
E00046279,59.8,15.9,24.4
E00046280,63.9,16.1,20
E00046281,68.2,5.7,26.1
E00046283,73.9,10.8,15.3
E00046303,72.7,10.4,16.9
E00046304,65.5,7.7,26.8
E00046305,64.3,9.4,26.3
E00046306,66.2,11.8,22.1
E00046307,73.6,6.1,20.3
E00046308,68.7,10.5,20.8
E00046309,72.3,6.3,21.4
E00046310,65.2,8.3,26.5
E00046311,60.8,10.3,28.9
E00046312,61.4,14.2,24.5
E00046313,62,13.1,24.9
E00046314,64.8,10.9,24.4
E00046315,67.2,8.5,24.3
E00046316,61.3,13.8,24.8
E00046317,55.3,5.7,38.9
E00046318,62.9,11.9,25.3
E00046319,71.8,10.6,17.6
E00046320,61.4,12.8,25.8
E00046321,53.4,14.8,31.8
E00046322,64.1,10,25.9
E00046323,61.6,9.9,28.5
E00046324,66.3,8.6,25.1
E00046325,68.1,10.7,21.1
E00046326,54,17.3,28.7
E00046327,65.5,11.6,22.9
E00046328,68.5,5.9,25.6
E00046329,62.2,11.1,26.7
E00046330,74.5,9.9,15.6
E00046331,64.5,7.3,28.2
E00046332,66.8,10.4,22.8
E00046333,66.6,7.7,25.7
E00046334,68.7,8.9,22.4
E00046335,67.2,14.6,18.2
E00046336,65.9,14.3,19.8
E00046337,62.5,13.2,24.3
E00046338,67.5,9.1,23.4
E00046339,62.9,12.1,24.9
E00046340,65.6,11.5,22.9
E00046341,66.8,8.5,24.6
E00046342,54.7,10.2,35.1
E00046343,64.3,16.6,19.2
E00046759,81.4,6.4,12.2
E00046760,77.7,6.9,15.4
E00046761,76.7,12.3,11
E00046762,75.4,7.6,17
E00046763,78.5,4,17.6
E00046764,66.2,18.4,15.4
E00046765,79.3,3.8,16.9
E00046766,82.4,6,11.6
E00046767,85.2,4.6,10.3
E00046768,72.5,9,18.4
E00046769,80.6,7.8,11.7
E00046770,69.5,5.8,24.7
E00046771,79.4,10.1,10.5
E00046772,82,5.2,12.8
E00046774,75.9,7.8,16.3
E00046775,80.4,6.9,12.8
E00046776,75.5,10,14.5
E00046787,76.7,4.3,18.9
E00046788,73.4,10.4,16.2
E00046789,76.8,1.5,21.7
E00046790,68.4,4.1,27.5
E00046791,70.9,5.8,23.4
E00046792,75.1,8.4,16.5
E00046793,88.3,3.3,8.4
E00046794,71.5,3.2,25.3
E00046795,71.6,8.7,19.7
E00046796,67.7,9.6,22.7
E00046797,69.7,10.5,19.8
E00046798,87.6,3,9.5
E00046799,71.3,6.3,22.4
E00046800,69.3,8.6,22
E00046801,73.9,11.6,14.5
E00046802,70.7,6.7,22.7
E00046803,80.6,4.6,14.8
E00046804,69.3,11.5,19.2
E00046805,84.4,3.2,12.3
E00046806,79.6,7.1,13.3
E00046807,79.4,2.1,18.4
E00046808,82.7,5.1,12.1
E00046809,76.4,9,14.6
E00046810,78.3,5.2,16.5
E00046811,80.5,2.7,16.7
E00046812,74.2,5.6,20.2
E00046813,79.6,8.8,11.6
E00046814,82.6,6.7,10.8
E00046815,79.5,0.9,19.6
E00046816,73.1,10.5,16.4
E00046817,80.1,4,15.9
E00046818,74.4,8.3,17.3
E00046819,70,6.8,23.2
E00046820,78.3,10.5,11.1
E00046821,68.5,11.9,19.6
E00046822,76.9,4,19.1
E00046823,79,7.3,13.7
E00046824,74,6.8,19.2
E00046825,73.8,4.2,22
E00046826,79.9,5.6,14.6
E00046827,73.5,6.8,19.7
E00046828,73.1,10.5,16.4
E00046829,75.4,7.8,16.8
E00046830,72.2,10.1,17.8
E00046831,74.9,7.7,17.4
E00046832,79.8,9.4,10.8
E00046833,79.1,6.1,14.7
E00046838,82.3,11.3,6.4
E00046839,57.3,9.7,33
E00046844,80.8,5.1,14.1
E00046875,79.8,11.3,8.9
E00046876,80.9,10.6,8.4
