areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
W00000231,57.7,34.2,7.2,0,0.9
W00000232,48.8,33.9,16.5,0.8,0
W00000233,53.8,24.6,18.5,3.1,0
W00000234,69.7,25,5.3,0,0
W00000235,49.4,39.3,10.7,0.6,0
W00000241,46.6,22.4,30.2,0.9,0
W00000242,36.8,19.8,42.5,0.9,0
W00000243,17.4,36.5,43.5,2.6,0
W00000244,30.1,31.6,36.8,1.5,0
W00000245,46.3,31.6,22.1,0,0
W00000246,65.7,27,6.6,0.7,0
W00000247,28.5,34.1,32.5,4.1,0.8
W00000248,68.5,24.7,6.8,0,0
W00000249,50.8,35.6,12.7,0.8,0
W00000263,46.9,37.7,13.8,1.5,0
W00000284,65.6,24.7,8.6,1.1,0
W00000285,49.6,44.3,6.1,0,0
W00000286,54.3,28.3,16.7,0.7,0
W00000287,52.3,33.8,13.8,0,0
W00000288,59.7,28.6,9.1,2.6,0
W00000289,59,27.1,13.9,0,0
W00000290,41.2,41.2,17.6,0,0
W00000291,60.3,28.8,10.3,0.7,0
W00000292,43.4,44.8,11.9,0,0
W00000304,41.6,44.2,14.3,0,0
W00000305,43.1,40.8,14.6,1.5,0
W00000306,45.5,39,14.9,0.6,0
W00000307,61,29.6,8.8,0.6,0
W00000341,49.5,34.1,11,3.3,2.2
W00000342,50.4,39.7,9.9,0,0
W00000343,65.2,26.1,7.8,0.9,0
W00000344,30.5,53.1,14.8,1.6,0
W00000345,20,34.3,43.8,0,1.9
W00000346,37.9,45.5,15.9,0.7,0
W00000347,45.8,23.4,29,0.9,0.9
W00000348,58.8,27.1,12.9,1.2,0
W00000349,26.1,40.3,32.1,0.7,0.7
W00000350,30,59.1,10.9,0,0
W00000351,50.9,39.7,7.8,0.9,0.9
W00000352,55.2,32.3,10.4,1,1
W00000353,43.1,48.8,8.1,0,0
W00000354,54.8,25,20.2,0,0
W00000355,46.7,38.3,14.2,0.8,0
W00000356,43.4,46.7,9,0.8,0
W00000382,59,33.3,6.8,0.9,0
W00000383,48,28.4,21.6,2,0
W00000384,46.5,28.7,20.9,3.9,0
W00000385,41.3,46.7,12,0,0
W00000386,47.7,34.2,18.1,0,0
W00000387,47.7,44.5,7.8,0,0
W00000406,46.9,34.6,16,2.5,0
W00000408,56.3,33.1,9.9,0,0.7
W00000427,57.3,30.8,12,0,0
W00000428,35.2,50.4,12.8,1.6,0
W00000429,52.4,36.3,11.3,0,0
W00000430,48.3,29.9,20.4,1.4,0
W00000431,51.1,34.5,12.2,2.2,0
W00000432,43.3,43.3,12.5,0.8,0
W00000433,65.2,28.7,5.2,0.9,0
W00000434,61.7,30,6.7,1.7,0
W00000445,53.6,34.8,10.7,0.9,0
W00000446,40.7,43,16.3,0,0
W00000447,57.4,36.2,5,1.4,0
W00000590,33.6,40.5,22.1,3.1,0.8
W00000591,53.2,33.1,11.3,2.4,0
W00000592,31,51.9,15.5,1.6,0
W00000603,45.9,34.4,18,1.6,0
W00000604,60,27.7,12.3,0,0
W00000605,9.7,39.8,46.6,2.9,1
W00000606,48.7,37.8,13.4,0,0
W00000607,36.7,37.5,25,0.8,0
W00000608,53.7,32.4,13.2,0.7,0
W00000609,26.3,54.2,18.6,0,0.8
W00000610,33.7,50.3,16,0,0
W00000611,43.6,33.1,21.8,1.5,0
W00000612,28.6,50,21.4,0,0
W00000613,69.1,22.1,8.8,0,0
W00000614,37.7,48.5,12.3,1.5,0
W00000615,42,35,22,1,0
W00002288,59.1,31.8,9.1,0,0
W00002289,69.4,21.3,7.5,1.9,0
W00002290,54.1,33.9,10.1,1.8,0
W00002311,47.7,38.4,14,0,0
W00002312,63.6,27.2,8.6,0.6,0
W00002352,54.2,36.6,9.2,0,0
W00002353,54.1,32.4,13.5,0,0
W00002354,56.3,30.2,13.5,0,0
W00002355,50,33.6,15.6,0.8,0
W00002356,53.8,36.4,7.6,1.5,0.8
W00002357,40.7,45.2,11.9,2.2,0
W00002358,41.2,39.2,18.2,0.7,0.7
W00002409,56.1,31.8,12.2,0,0
W00002410,49.3,35.1,14.9,0.7,0
W00002411,59.9,27.5,12,0,0.7
W00002516,40.5,34.9,23.8,0,0.8
W00002517,38.2,38.2,20.6,1.5,1.5
W00002518,31.1,40.9,26.5,0.8,0.8
W00002519,28.1,43,28.1,0.7,0
W00002520,42.5,37.5,20,0,0
W00002521,39.1,45.3,15.6,0,0
W00002522,51.9,28.2,19.8,0,0
W00002523,35.9,33.6,29.7,0.8,0
W00002778,30,40.9,28.2,0.9,0
W00002779,29.5,34.7,35.8,0,0
W00002780,39.6,39.6,20.9,0,0
W00002783,62.3,27.9,9.8,0,0
W00002792,45.5,36.6,17.9,0,0
W00002793,35.8,41.9,19.6,2.7,0
W00002794,55,28.2,15.3,1.5,0
W00002795,46.7,35.8,16.7,0.8,0
W00002796,55.6,26.2,13.5,4.8,0
W00010652,57.4,30.4,11.5,0.7,0
