geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E00025621,5.1,26.9,60,8
E00025627,17.1,24.3,48.6,9.9
E00025762,7.1,28.3,56.6,8
E00025763,10.2,24.8,58,7
E00025764,9.1,24.8,59.5,6.6
E00025766,9.3,30.5,51.7,8.5
E00025767,11.5,25.3,53.8,9.3
E00025768,8.3,32.6,55.6,3.5
E00025769,12.5,23.8,55,8.8
E00025771,11.7,31.9,53.2,3.2
E00025773,9,27.7,56.8,6.5
E00025774,12.9,26.6,55.6,4.8
E00025775,11.8,27.5,52,8.8
E00025776,11.9,25.4,61.2,1.5
E00025777,9.6,34.2,50,6.1
E00025778,11.5,27.6,55.1,5.8
E00025779,15,20.6,54.2,10.3
E00025780,18.2,20.5,56.8,4.5
E00025781,9.8,28.5,54.5,7.3
E00025782,10.2,26.5,56.1,7.1
E00025786,7,31.5,57.3,4.2
E00025832,8.7,26.1,57.8,7.4
E00025834,9.3,26.9,53.8,9.9
E00025835,12.4,21.3,61.5,4.7
E00025836,13.4,23.8,56.3,6.5
E00025838,7.3,22.5,67.5,2.6
E00025840,22.5,25.4,50.7,1.4
E00025841,11.7,24.1,59.3,4.9
E00025843,8.2,27,56,8.8
E00025844,10.8,22.3,61.1,5.7
E00025845,8.1,25,60,6.9
E00025846,8.7,27.8,58.3,5.2
E00025850,7.2,23.8,63.5,5.5
E00025851,11.3,22.6,60.9,5.3
E00025852,9.7,17.9,65.5,6.9
E00025853,8.1,23.6,59.6,8.7
E00025855,13.8,25.2,54.5,6.5
E00025856,16.5,15.4,61.2,6.9
E00025858,8.3,34.9,53.2,3.7
E00025859,3.8,41,51.4,3.8
E00026257,12.1,25,59.7,3.2
E00026258,11.7,28.3,58.3,1.7
E00026259,8,24.1,63.2,4.6
E00026260,13.9,23.5,62.6,0
E00026261,8.1,26.8,57.7,7.3
E00026262,15.5,23.7,55.7,5.2
E00026263,10.7,23,61,5.3
E00026264,10.6,33.3,51.5,4.5
E00026265,14,32,48,6
E00026266,16.9,22.9,50,10.2
E00026267,11.1,19,64.7,5.2
E00026268,8.3,27.8,57.9,6
E00026269,14.4,25.5,54.2,5.9
E00026270,19.4,25.2,51.8,3.6
E00026272,13.1,23,56.6,7.4
