geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00135405,98.6,0,1.4
E00135406,94,2.2,3.7
E00135407,98.1,0.5,1.4
E00135408,98.3,0.4,1.3
E00135409,96.2,0,3.8
E00135410,89,1.8,9.2
E00135411,96.9,0,3.1
E00135412,93.9,1.5,4.6
E00135878,99.6,0,0.4
E00135879,99.2,0.4,0.4
E00135880,98.3,0.9,0.9
E00135881,95.4,2.3,2.3
E00135885,97,0.4,2.6
E00135886,95.8,0,4.2
E00135888,98.1,0.6,1.3
E00135897,98.7,0.3,1
E00135898,86.1,3,10.8
E00135899,94.4,0,5.6
E00135900,93.1,1.7,5.2
E00135901,97.3,0,2.7
E00135902,97.6,1.4,1
E00135903,96.6,0.9,2.6
E00135904,92.7,1.4,5.9
E00135905,91.3,1.3,7.5
E00135906,96,0.4,3.6
E00135907,94.1,1.7,4.2
E00135908,91.8,3.1,5.1
E00135909,97.5,0.8,1.6
E00135910,92.4,0.9,6.6
E00135911,95.5,0.5,4
E00135928,96.8,2.3,0.9
E00135929,95.2,1.2,3.6
E00135930,96.9,0.8,2.4
E00135931,97.6,0.5,1.9
E00135933,96.3,0.3,3.3
E00135937,89.6,1.9,8.5
E00135946,89.9,2.5,7.6
E00135947,98.5,0.5,1
E00135948,97.8,0,2.2
E00135949,98.5,0,1.5
E00135950,97.1,0,2.9
E00135951,92.9,0,7.1
E00135952,98.4,0,1.6
E00135953,97.3,0.8,1.9
E00135954,95.1,2.9,2
E00135964,94,2.8,3.2
E00136062,95.1,1.8,3
E00136063,98.7,0.4,0.9
E00136064,95.7,1.4,2.9
E00136065,96.3,0.5,3.2
E00136066,97,0.3,2.7
E00136069,97.2,1.6,1.3
E00136071,94.5,0.5,5
E00136072,98,0.8,1.1
E00136073,91,2.8,6.2
E00136074,97.1,0.5,2.5
E00136075,96.9,1.6,1.6
E00136076,95.4,2.3,2.3
E00136077,94.9,1,4.1
E00136078,97.2,0,2.8
E00136079,98.6,0,1.4
E00136080,97.8,2.2,0
E00136081,91.5,1.4,7
E00136082,96,1,3
E00136083,99.2,0.4,0.4
E00136084,93,1.9,5.1
E00136088,99.3,0,0.7
E00136110,95.6,0.5,3.9
E00136111,95.1,2,3
E00136112,99,0,1
E00136113,98.4,0.6,1
E00136114,95.3,1.3,3.4
E00136115,94.8,0.4,4.8
E00136116,97.6,0.8,1.6
E00136117,94.5,3.7,1.8
E00136118,96.1,1.5,2.5
E00136119,95.3,0.4,4.3
E00136120,96.7,0.4,2.9
E00136121,98.7,0,1.3
E00136122,99.3,0,0.7
E00136123,97.5,0,2.5
E00136124,98.6,0.7,0.7
E00136125,98.6,0,1.4
E00136126,97.8,1.1,1.1
E00136127,97.3,0.7,2.1
E00136128,94.9,2.7,2.4
E00136129,94.8,1.2,4
E00136130,97.9,0.8,1.3
E00136131,97.4,1,1.6
E00136132,95.8,0.7,3.5
E00136133,98.8,0.6,0.6
E00136134,97.8,0.3,1.9
E00136135,98.4,0,1.6
E00136136,94.9,1.6,3.5
E00136154,96.6,0.6,2.8
E00136155,98.9,0.7,0.4
E00136156,95.2,1.3,3.6
E00136157,95.7,1.3,3
E00136158,99.5,0,0.5
E00136159,94.9,0.4,4.8
E00136160,99,0.5,0.5
E00136161,98.1,0.6,1.3
E00136162,94,0.7,5.3
E00136163,97.8,0.6,1.5
E00136164,96.5,0,3.5
E00136165,98.5,1.1,0.4
E00136166,97,3,0
E00136177,98.8,0.4,0.8
E00136178,96.7,2.9,0.4
E00136179,97.7,0.4,2
E00136180,96.7,1.4,1.8
E00136181,96.2,1.9,1.9
E00136182,98.8,0.4,0.8
E00136183,97.6,0,2.4
E00136184,94.4,0.4,5.2
E00136193,98.6,0.5,0.9
E00169869,94.7,2,3.3
E00169870,98.6,0,1.4
E00169871,97.4,2,0.7
E00184661,97.1,1,1.9
E00184667,97.6,1.2,1.2
E00184727,92.5,2.4,5.1
