areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00080148,84.9,0,15.1,0
E00080149,89.2,0.5,10.4,0
E00080150,94.2,0,5.4,0.4
E00080152,80.7,0,17.4,1.9
E00080153,83.1,0,13,3.9
E00080154,92.6,0,7.4,0
E00080155,92.1,0,7.6,0.3
E00080156,90.2,0,9.8,0
E00080157,81.4,0,16,2.5
E00080159,95.4,0.8,2.9,0.8
E00080162,85.9,0,13.5,0.6
E00080163,88.8,0.3,10.3,0.6
E00080165,84.8,0,14.3,0.9
E00080166,91.1,0,8.6,0.3
E00080167,83.5,0,16.5,0
E00080169,85,0,14.1,1
E00080172,95.4,0,4.2,0.4
E00080173,94.4,0,3.3,2.3
E00080174,93.2,0.5,5.5,0.8
E00080175,92,0,8,0
E00080176,87,0,11.6,1.4
E00080177,87.9,0,11.2,0.9
E00080179,85.9,0.3,10.4,3.4
E00080180,90.5,0.7,7.7,1.1
E00080181,96.4,0.4,3.2,0
E00080182,90.9,0,9.1,0
E00080183,96,0.3,3.4,0.3
E00080184,90.8,0,9.2,0
E00080185,95.1,0,4.6,0.3
E00080186,96.2,0,3.8,0
E00080187,93.4,0.7,4.4,1.5
E00080188,92.2,0.6,6.6,0.6
E00080189,89.5,0.9,9.6,0
E00080190,91.2,0,8.8,0
E00080191,90.4,0,9.1,0.5
E00080192,87.5,0,9.9,2.6
E00080193,87.6,0.4,10.7,1.2
E00080194,94.2,0,5.5,0.3
E00080195,87.3,0,12.7,0
E00080196,94.8,0.3,4.9,0
E00080197,89.9,0.7,9.4,0
E00080198,88.7,0.4,10.2,0.7
E00080199,91.9,0,8.1,0
E00080200,94.5,0.6,3.9,1
E00080201,93.2,0,6.4,0.4
E00080205,95.6,0,4.4,0
E00080207,91.6,0,6.5,1.9
E00080208,95.7,0,4.3,0
E00080209,92.8,0.3,6.9,0
E00080210,94.2,0,5.4,0.4
E00080211,95.1,0.3,4.2,0.3
E00080212,87.6,0,11.7,0.8
E00080213,96.9,0,3.1,0
E00080214,88,0,11.4,0.7
E00080215,93.7,0,6,0.3
E00080216,92.3,0,6.8,0.9
E00080218,93.5,0,6.5,0
E00080219,92.6,0,7.2,0.2
E00080220,96.8,0,3.2,0
E00080221,96.7,0,3,0.3
E00080222,91.2,0.6,6.9,1.2
E00080223,86.3,0,13.7,0
E00080225,92.3,0,7.7,0
E00080226,89.1,0.5,8.6,1.8
E00080227,95.3,0,4.7,0
E00080228,97.5,0.3,1.9,0.3
E00080229,98.6,0,1.4,0
E00080230,91.2,0,8.3,0.4
E00080231,94.6,0,5,0.4
E00080232,86,0,14,0
E00080233,92,0,8,0
E00080234,93.8,0,6.2,0
E00080235,89,0,9.5,1.5
E00080236,92.6,0.3,6.7,0.3
E00080237,91,0,9,0
E00080238,91.7,0,8.3,0
E00080374,80.2,0,18.6,1.1
E00080381,91.8,0,8.2,0
E00080384,72.6,0.8,24.9,1.8
E00080397,90.2,0,9.3,0.5
E00080400,92.1,0.2,7.4,0.2
E00080401,92,0.3,7.1,0.5
E00080403,86.2,1.3,12.6,0
E00080404,82.5,0.3,7.6,9.6
E00080405,93.2,0,6.4,0.4
E00080406,88.4,0,10.8,0.8
E00080407,86.8,0,11.5,1.7
E00080408,91,0.3,7.8,1
E00080409,95.4,0,3.9,0.7
E00080410,89.2,0,10.8,0
E00080411,89.4,0,9.6,1
E00080412,90.1,0.2,8.6,1.1
E00080413,87.8,0.3,10.5,1.4
E00080414,93.3,0.3,5.8,0.6
E00080415,91,0,8.4,0.6
E00080416,88.8,0,10.1,1.2
E00080417,90.2,0.6,7.1,2.1
E00080418,91.7,0,7.3,1
E00080419,91.1,0,8.9,0
E00080420,90.6,0,8.6,0.8
E00080421,86.7,0,13.3,0
E00080422,91,0,8.4,0.6
E00080423,92,0,5.7,2.2
E00080424,95.9,0,4.1,0
E00080425,91.7,0,6.3,2
E00080426,78.3,0,20.2,1.5
E00080427,89.8,0,10.2,0
E00080428,94.9,0,5.1,0
E00080429,90.4,0,8.8,0.7
E00080430,88.6,0,9.4,2
E00080431,85.6,0,14.4,0
E00080432,86,0,13.6,0.3
E00080433,85.2,1.1,12.3,1.4
E00080434,84.7,0.3,11.9,3.1
E00080435,94.4,0,4.9,0.7
E00080436,85.9,0,14.1,0
E00080437,86.5,0,12.7,0.9
E00080438,89.4,0,9.8,0.8
E00080439,86.3,0,10.8,2.9
E00080440,89.8,0,9.4,0.8
E00080441,90.5,0,8.7,0.8
E00080442,88,0.3,10.8,0.9
E00080443,83.4,0.8,15.4,0.4
E00080444,89.1,1.2,9.3,0.4
E00080445,96.1,0,3.9,0
E00080446,94.6,0,5.4,0
E00080447,90.3,0.3,9.3,0
E00080448,95.4,0.3,3.9,0.3
E00080449,96.1,0.3,3.6,0
E00080450,94.5,0,5.5,0
E00080451,92.6,1,6.1,0.3
E00080452,93,0,5.4,1.6
E00080453,94.2,0,5.1,0.6
E00080454,92.7,0,6.3,1
E00080455,95.2,0,4.8,0
E00080456,91.2,0.3,8.4,0
E00080457,87.9,0.3,11.4,0.3
E00080458,94.4,0.6,4.7,0.3
E00080459,95,0.3,4.1,0.6
E00080460,90.4,0,7.4,2.2
E00080461,93.7,0,6.3,0
