geography_code,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E00063398,12.3,14.8,72.9
E00063412,9.3,17.6,73.1
E00063414,4.5,21.6,73.9
E00063415,0.6,81.5,17.9
E00063419,11.5,16.5,71.9
E00063420,19.4,14.5,66.1
E00063421,21.6,17.2,61.2
E00063422,19.7,17,63.3
E00063423,11.4,10.6,78
E00063425,9.7,41.9,48.4
E00063426,11.7,12.3,76
E00063427,22.1,23.8,54.1
E00063428,25.5,8.1,66.4
E00063429,24.8,12.4,62.8
E00063430,11.8,38.7,49.6
E00063431,4.3,18.7,77
E00063432,10.1,9.5,80.4
E00063433,15.4,21,63.6
E00063434,17.6,9.6,72.8
E00063435,8.7,18.1,73.2
E00063436,8.5,28.9,62.7
E00063437,11.5,17.6,71
E00063438,11.1,24.6,64.3
E00063439,3.8,18.3,77.9
E00063440,2.2,42.5,55.2
E00063441,5.6,21.3,73.1
E00063443,5.5,24.2,70.3
E00063444,9.2,10.8,80
E00063445,2.4,18.4,79.2
E00063446,5.2,14.1,80.7
E00063447,10.5,12.1,77.4
E00063448,8.8,10.6,80.5
E00063449,5.4,15.5,79.1
E00063450,9.2,23.5,67.2
E00063452,8.3,21,70.7
E00063453,14.3,10.3,75.4
E00063454,14.3,27.1,58.6
E00063455,16.7,20.6,62.7
E00063456,15,62.8,22.1
E00063457,12.1,31.5,56.5
E00063458,23.2,9.6,67.2
E00063459,21.9,15.8,62.3
E00063460,30.8,20.3,48.9
E00063461,21.4,12.7,65.9
E00063463,11.6,17,71.4
E00063464,9.3,31.8,58.9
E00063465,12.4,11.6,76
E00063466,7.8,12.4,79.8
E00063467,6,25.6,68.4
E00063468,10.3,14.5,75.2
E00063547,13.1,40.2,46.7
E00063549,12,12,76.1
E00063550,11.7,14.8,73.4
E00063551,8.2,26.2,65.6
E00063552,4,31.2,64.8
E00063553,4.8,42.7,52.4
E00063554,2.4,40.2,57.5
E00063555,7.1,24.3,68.6
E00063556,2.3,24.2,73.4
E00063557,3.9,43.1,52.9
E00063558,1.4,59.9,38.8
E00063560,8.6,23.4,68
E00063561,11.2,25.5,63.3
E00063562,13.5,16.7,69.9
E00063563,14.4,23.2,62.4
E00063564,17.2,9.4,73.4
E00063680,8.2,17.3,74.5
E00063681,6.1,47,47
E00063682,3.7,27.8,68.5
E00063683,6.3,18.9,74.8
E00063684,5.9,28.6,65.5
E00063685,5.1,27.4,67.5
E00063686,4.3,31,64.7
E00063687,4.3,26.1,69.6
E00063688,11.3,11.3,77.4
E00063689,6.3,30.4,63.4
E00063690,19.6,17,63.4
E00063691,4.3,34.2,61.5
E00063692,11.5,19.1,69.5
E00063693,3.9,21.7,74.4
E00063694,1.7,52.9,45.5
E00063695,4.1,22.8,73.1
E00063696,3.7,22.2,74.1
E00063697,0,45.1,54.9
E00063698,2.4,35.8,61.8
E00063699,4.8,34.9,60.3
E00063700,10.1,27.5,62.3
E00063726,19.2,8.2,72.6
E00063727,17.1,20.7,62.1
E00063728,15.2,10.6,74.2
E00063729,25.4,13.8,60.8
E00063730,6.7,40.8,52.5
E00063731,17.2,18.9,63.9
E00063733,4.7,67.3,28
E00063734,16.7,13,70.4
E00063735,16.2,37.3,46.5
E00063736,10.3,19.9,69.9
E00063737,11.7,14.1,74.2
E00063738,12.6,15.2,72.2
E00063739,17.8,18.8,63.4
E00063740,13.3,12.5,74.2
E00063741,16.7,9.2,74.2
E00063742,15.7,24,60.3
E00063788,4.3,42.6,53.2
E00063793,9.6,47.8,42.6
E00063794,10.9,40,49.1
E00063795,8.6,33.3,58.1
E00063796,6.3,27.9,65.8
E00063798,6.9,24.1,69
E00063799,11,31.6,57.4
E00126961,3.6,22.6,73.8
E00128063,6.3,20.5,73.2
E00128064,4.4,20.6,75
E00128065,0.8,28.3,70.9
E00128066,5.8,47.6,46.6
E00128067,8.7,40.5,50.8
E00128068,8.1,29.6,62.2
E00128069,14.2,44.6,41.2
E00128070,8.4,36.4,55.1
E00128071,8,36.8,55.2
E00128072,14.1,43,43
E00128073,1.9,43.7,54.4
E00128074,9.6,26.1,64.3
E00128075,5,24.8,70.2
E00128076,6.8,30.1,63.2
E00128077,7.5,37.7,54.7
E00128078,6.1,39.4,54.5
E00128079,5.9,20,74.1
E00128080,10.1,17.6,72.3
E00128081,10.7,22.1,67.1
E00128082,6,42.7,51.3
E00128083,4.9,39.3,55.8
E00128084,4.4,38.6,57
E00128085,7.3,24.8,67.9
E00128086,3.5,31.9,64.6
E00128087,9.5,19,71.6
E00128088,5.1,19,75.9
E00128089,5.9,37.6,56.4
