geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02000001,58.9,7.9,33.1
E02000038,75,5,20
E02000039,79.5,3.4,17.1
E02000040,79.1,4.7,16.3
E02000041,72.1,3.9,24
E02000042,67.9,5.6,26.5
E02000043,72.3,5.2,22.5
E02000044,72.7,4.2,23.1
E02000045,73.8,5.3,20.9
E02000046,65.4,6.6,28
E02000047,66.7,3.6,29.7
E02000048,76.4,4.6,19
E02000049,72.2,4.8,23
E02000050,73.2,5.3,21.6
E02000051,73.2,4.3,22.5
E02000052,71.7,5.8,22.5
E02000054,66.1,4.8,29.1
E02000055,63.6,4.7,31.7
E02000056,78,5.2,16.8
E02000057,73.1,3.8,23.1
E02000058,72.8,6.2,21.1
E02000059,61.9,5.3,32.8
E02000060,79.6,2.9,17.5
E02000061,65.4,6.4,28.2
E02000062,67.6,4.7,27.8
E02000063,64.8,5.1,30.1
E02000064,68.6,5.5,25.9
E02000093,64.3,5.2,30.6
E02000094,66.3,4.7,28.9
E02000095,63.6,5.2,31.2
E02000096,72.3,5.4,22.4
E02000097,63.9,4.5,31.7
E02000098,69,4.7,26.3
E02000099,59.9,4.8,35.3
E02000100,70.1,4.5,25.4
E02000101,67.5,3.7,28.8
E02000102,67.2,3.2,29.7
E02000103,67,4.3,28.7
E02000104,66,4.6,29.4
E02000105,60.6,4.7,34.6
E02000106,60.9,4,35.1
E02000107,62.1,4.9,33
E02000108,63,4.9,32.1
E02000110,66.1,5.6,28.3
E02000111,53.2,4.2,42.6
E02000112,49.4,4.1,46.5
E02000113,76.5,4.2,19.3
E02000114,58.5,5.5,36
E02000115,64.6,5.8,29.6
E02000116,61.3,4.6,34
E02000117,69.5,3.5,27
E02000118,52.3,4.3,43.4
E02000119,74.5,3.3,22.1
E02000120,63,6.5,30.5
E02000121,54.1,4.4,41.5
E02000122,72.5,5.9,21.6
E02000123,65.7,4.9,29.4
E02000124,67.7,6.9,25.3
E02000125,72.4,5.4,22.2
E02000126,72.7,4.9,22.5
E02000130,81.4,4.3,14.3
E02000131,75.8,4.8,19.4
E02000132,78.6,4.8,16.5
E02000135,78.4,3.8,17.8
E02000137,83.4,3.9,12.7
E02000138,83.9,3.7,12.4
