geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02000001,16.8,2.7,5.5,69.4,5.6
E02000038,18.5,7.3,6.4,60,7.8
E02000039,15.8,7.6,4.6,63.7,8.2
E02000040,19.7,9.4,6.1,54.8,9.9
E02000041,24.1,8.5,3.7,53.4,10.3
E02000042,26.1,5.1,5.7,52.3,10.8
E02000043,27.8,3.4,5.7,54,9
E02000044,22.3,14.7,5.5,48.5,9
E02000045,14.7,10.1,7.6,59.7,7.9
E02000046,21.5,3.5,5.4,61.1,8.5
E02000047,26.7,16.2,6,42.5,8.5
E02000048,18.6,7.1,4.6,56.9,12.8
E02000049,22.4,23.6,6.7,36.3,10.9
E02000050,18.7,8.4,6.2,58.2,8.5
E02000051,17.4,5.6,4.5,60.8,11.7
E02000052,12.9,6,6.5,67.9,6.6
E02000054,21.3,8.1,4.2,52.6,13.8
E02000055,15.8,7.6,4.3,60.5,11.8
E02000056,11.2,2.5,4.7,69.9,11.7
E02000057,12.7,4.3,3,67.9,12.1
E02000058,12.7,3.7,4,68.8,10.7
E02000059,29.6,9.8,5,46.4,9.2
E02000060,11,2.9,2.5,69.6,14
E02000061,18.8,3.5,4.6,61.8,11.3
E02000062,20.8,13.9,7.2,42.4,15.7
E02000063,20.6,9.2,6.4,45.6,18.2
E02000064,16.1,12.9,6.2,54,10.8
E02000093,46.1,8.3,3.3,34.8,7.4
E02000094,37.3,12.7,3.8,37.6,8.7
E02000095,47.7,7.6,2.5,33.6,8.7
E02000096,55.8,3.3,2.6,31.3,7
E02000097,35.1,10.8,3.5,40.7,9.9
E02000098,35.3,13.5,4,32.7,14.4
E02000099,37.6,11,3.5,36.7,11.2
E02000100,53.8,7.5,3.3,26,9.4
E02000101,30,21.8,4.5,30.3,13.4
E02000102,29.5,22.4,4.3,29.9,13.9
E02000103,19.4,21.3,6.3,36.4,16.6
E02000104,42.7,12.2,3.7,30.7,10.8
E02000105,49.8,13.3,3.7,25.5,7.7
E02000106,24.2,19,5.6,37.1,14.1
E02000107,21.7,12.6,6.2,47.7,11.8
E02000108,46.8,14.4,3.8,26.4,8.6
E02000110,20.6,12.9,7.7,48.9,9.9
E02000111,65.2,10.2,2.6,15.4,6.6
E02000112,56.9,13.9,3.4,19.9,5.9
E02000113,18.3,44.8,5.5,20.3,11
E02000114,19.3,14.7,8,48.1,9.9
E02000115,11.6,14.4,7.5,54,12.5
E02000116,20.6,21.2,7.8,35.4,15
E02000117,15.2,40.7,6.4,27.6,10.1
E02000118,64,11.6,2.3,16,6.2
E02000119,16.4,42.3,5.9,21.8,13.6
E02000120,12.1,14.3,7.4,56.7,9.5
E02000121,64.2,10.7,2.6,14.6,7.8
E02000122,15.3,9.9,7.8,57.1,9.9
E02000123,13.8,30.6,7.8,38.2,9.6
E02000124,9.8,11.6,8.1,64,6.5
E02000125,12.5,16.7,7.5,56.4,6.9
E02000126,13.8,35.9,7,31.8,11.5
E02000130,6.3,14,8.4,68,3.3
E02000131,5.3,18.6,9.6,63.2,3.3
E02000132,8.8,9.5,7.8,70.8,3.1
E02000135,6.6,27,9,53.8,3.6
E02000137,8.5,6.3,6.7,76.6,1.9
