geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02000001,22.7,14.1,14.9,48.4
E02000038,27.8,31.9,10,30.3
E02000039,31.8,35.7,4.3,28.2
E02000040,26.7,36.8,17.7,18.8
E02000041,28.2,25.1,10.9,35.8
E02000042,25.1,22.4,6.8,45.7
E02000043,36.9,33.4,2.2,27.4
E02000044,18.8,26.6,27.5,27.1
E02000045,21.5,26.5,21.2,30.7
E02000046,23.8,22.9,3.8,49.5
E02000047,16.5,20.8,31,31.7
E02000048,31.4,32.8,5.3,30.5
E02000049,7.3,23.3,50.6,18.8
E02000050,23.3,25.4,25.1,26.3
E02000051,32.5,22.7,5.4,39.4
E02000052,25.5,25.5,16.1,32.8
E02000054,22.3,24.7,6.2,46.7
E02000055,20.3,17.9,12.1,49.7
E02000056,37.5,31,6,25.5
E02000057,23.1,22.8,7.8,46.3
E02000058,32.9,23.5,5.8,37.7
E02000059,19.7,24.6,16.2,39.5
E02000060,24.6,20.9,8.4,46.1
E02000061,25.4,19.4,3.6,51.5
E02000062,15.9,15.7,27.4,41
E02000063,24.7,20.5,7.9,47
E02000064,19.1,22.2,24.8,33.9
E02000093,31.5,26.9,10.3,31.2
E02000094,24,31.1,15.1,29.8
E02000095,33.1,22.1,11.3,33.6
E02000096,41.4,30,4.3,24.3
E02000097,30.6,26.6,10.2,32.6
E02000098,24.5,22.6,22.4,30.6
E02000099,24.8,20.8,13.7,40.7
E02000100,38,28.8,10.4,22.8
E02000101,19.2,18,30.7,32.2
E02000102,23.2,16.5,22.6,37.7
E02000103,22.4,18.7,25.7,33.2
E02000104,27.9,25,15.3,31.8
E02000105,22.5,22.5,13.5,41.6
E02000106,20.6,14.1,18.6,46.8
E02000107,17,17.1,18.6,47.2
E02000108,24.4,29.1,13.1,33.3
E02000110,24,20.5,21.2,34.2
E02000111,21.9,20,14.1,43.9
E02000112,24.5,17.6,12.1,45.7
E02000113,10.6,10.1,58.3,21.1
E02000114,15.4,15.5,20.3,48.7
E02000115,14,16.7,26.3,43
E02000116,10.5,13.5,34,42
E02000117,9.5,14.6,46.7,29.2
E02000118,22.5,24.7,17.4,35.4
E02000119,5,16.4,53.7,24.9
E02000120,13.7,18.1,23.8,44.4
E02000121,21.6,24.1,14,40.3
E02000122,25.9,27.8,18,28.2
E02000123,10.1,13.6,34.7,41.6
E02000124,19.9,23.8,20.4,35.9
E02000125,23.8,25.5,20.7,30.1
E02000126,5.5,12.5,62.1,19.9
E02000130,23.1,37.1,17.5,22.3
E02000131,10.6,31.8,22.8,34.8
E02000132,23.6,30,13.1,33.2
E02000135,8.1,20.4,46.5,25.1
E02000137,33.5,35.5,6.6,24.4
E02000138,38,28.8,4,29.2
E02000139,24.2,41.8,13.6,20.4
E02000141,24.9,38.9,13.5,22.7
E02000147,43.1,38,4.2,14.8
E02000150,36.3,44.1,9.2,10.4
E02000156,45.5,37.6,5.3,11.6
E02000166,25.5,19.7,35.8,18.9
E02000167,33.9,19.2,9.4,37.6
E02000168,20.4,20.6,28.1,30.8
E02000169,29.4,21.9,8.8,39.8
E02000170,20.7,24.2,11.8,43.3
E02000171,22.1,20.8,26.9,30.3
E02000172,10.7,12.5,55.4,21.4
E02000173,20.8,15,16.7,47.5
E02000174,13.6,15.5,42.4,28.4
E02000175,13.7,16.3,21.1,48.8
E02000176,21.8,17.2,10.2,50.8
E02000177,12,13.2,46.6,28.2
E02000178,8.8,15.7,32,43.5
E02000179,20.8,15.1,29.3,34.7
E02000180,13.1,14.5,38.8,33.5
