geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02000001,53.4,32.1,10.6,3.8
E02000038,15.1,29.7,30.3,24.9
E02000039,10,24.5,24.8,40.7
E02000040,14.7,32.7,27.6,25
E02000041,13.1,26.7,33.1,27.1
E02000042,26.1,33.1,22,18.8
E02000043,6.2,14.7,33.3,45.8
E02000044,12.4,32.1,39.4,16
E02000045,19.5,36.3,29.2,15
E02000046,21.8,31.5,21,25.6
E02000047,17.8,37.5,34.7,10.1
E02000048,9.7,31.7,28,30.6
E02000049,23.9,39.9,27.3,8.9
E02000050,18.6,29.6,27.7,24.1
E02000051,16.5,38.3,15.2,30
E02000052,21.8,31.5,27.2,19.5
E02000054,23.2,30.1,20.2,26.5
E02000055,22.6,33.1,18.7,25.6
E02000056,7.4,24.5,19.2,48.8
E02000057,17.1,23.6,26.4,32.9
E02000058,16,23.7,28.2,32
E02000059,25.8,35,25.8,13.4
E02000060,21.7,18.8,18.2,41.3
E02000061,27.9,25.7,13.7,32.7
E02000062,22,33.3,31.6,13.1
E02000063,21.4,20.6,35.1,22.9
E02000064,19,42.7,21.7,16.6
E02000093,8.5,21.5,43.3,26.6
E02000094,15,25.8,37.8,21.5
E02000095,7.8,21.9,41.5,28.9
E02000096,8.9,14.6,28.2,48.2
E02000097,9.5,19.6,45.7,25.2
E02000098,13.1,22.8,35,29.1
E02000099,12.2,26.4,37.3,24
E02000100,10.4,8.7,36.8,44.1
E02000101,19.7,37.2,22,21.1
E02000102,21,21.5,39.1,18.4
E02000103,18.3,34.2,27.5,19.9
E02000104,16,23.5,32.7,27.9
E02000105,17.2,32.7,27.5,22.5
E02000106,20,29.1,29,21.9
E02000107,29.8,31.9,16.9,21.4
E02000108,16.3,25.3,37,21.4
E02000110,23,22,27.6,27.3
E02000111,14,35.9,30.8,19.2
E02000112,16.6,26.8,36.7,19.9
E02000113,19.8,34.2,33.3,12.7
E02000114,32.9,33.7,17.2,16.2
E02000115,36.6,38.6,14.1,10.7
E02000116,24.9,43.7,19.6,11.8
E02000117,27.5,35.6,25.4,11.5
E02000118,17.4,23.9,40.4,18.3
E02000119,28.2,37.7,24.4,9.7
E02000120,38,33.7,16,12.2
E02000121,19.4,32.4,32,16.2
E02000122,17.9,27.4,21.3,33.4
E02000123,30.9,35.9,20.9,12.3
E02000124,22.1,37.5,18.5,21.9
E02000125,16.8,30.7,27.9,24.6
E02000126,34.2,42.1,17,6.7
E02000130,20.3,28.9,29.2,21.6
E02000131,35,41.3,17.2,6.5
E02000132,28.6,41.8,17.9,11.7
E02000135,32.8,38.5,22.5,6.3
E02000137,19.4,31.7,21.1,27.7
E02000138,18.8,37.4,18.4,25.4
E02000139,18.4,29,29.9,22.7
E02000141,19.7,29.7,35.2,15.4
E02000147,10.3,16.3,22,51.5
E02000150,7.3,10,48.1,34.7
E02000156,8.4,14.4,38.2,38.9
E02000166,27.9,25.6,23.4,23.1
E02000167,24.6,31.6,21.1,22.7
E02000168,31.9,29.8,20.6,17.6
E02000169,17.3,31.3,29.5,21.9
E02000170,27.6,28.6,20.3,23.5
E02000171,27.5,34.6,20.3,17.6
E02000172,33.2,33.8,23.6,9.3
E02000173,34.8,30.6,21.3,13.3
E02000174,33.9,31.9,21.9,12.3
E02000175,37,33.9,17.5,11.5
E02000176,34.9,37.7,18.4,9
E02000177,31.7,35.6,23.4,9.3
E02000178,42,33.7,16.6,7.6
E02000179,28,35.6,25.2,11.2
E02000180,34,35.1,19.9,11
E02000181,27.5,41.5,22.8,8.2
E02000182,25,37.3,24.1,13.6
E02000183,35,31.1,19.9,14.1
E02000184,30.9,39.1,21.3,8.7
E02000185,42.6,32.8,17.6,7
E02000186,39.5,32.2,16.6,11.6
E02000187,35.1,37.4,20.1,7.5
E02000188,33.6,34.4,21.7,10.4
E02000191,44.2,37.8,12.2,5.8
E02000192,39.8,37.2,17.3,5.7
E02000193,48.5,30.7,14.3,6.5
E02000194,29,37.8,21,12.3
E02000195,8.3,21.5,37.8,32.4
E02000196,17.3,16,32.6,34.2
E02000197,11.1,30.8,35.7,22.5
E02000198,17.8,38.2,33.1,10.9
E02000199,10.7,24.3,50.1,15
E02000200,29.2,35.2,23.2,12.4
E02000201,33.8,34.8,23.4,8.1
E02000202,9.3,19,53,18.6
E02000203,26.6,29.9,31.1,12.4
E02000204,12.2,19.2,46.8,21.8
E02000206,25.4,41.6,24.8,8.2
E02000207,17.4,32.8,38.1,11.7
E02000208,29.5,35.6,25.3,9.7
E02000209,10.8,31.5,46.4,11.3
E02000210,10.9,31.4,46.5,11.1
E02000211,5.6,19.4,49.3,25.7
E02000212,13.3,36.9,40.8,9
E02000213,36.1,42.5,13.9,7.5
E02000214,6.5,13.1,46.6,33.8
E02000215,33.7,36,20.9,9.3
E02000216,20.4,33.3,20,26.3
E02000217,26.9,42.8,22,8.2
E02000218,3.9,26.5,51.9,17.7
E02000219,3.1,17.7,40.3,38.9
E02000221,13.3,34.5,38.1,14.1
E02000222,20.6,40.1,18,21.4
E02000223,9.4,27.5,57.7,5.4
E02000224,18.2,35.4,26.6,19.8
E02000225,5,24.5,59.6,10.8
E02000226,1.8,7,44.7,46.6
E02000227,15.1,22,48.2,14.7
E02000228,4.9,12.8,29.5,52.8
E02000229,12.7,30.7,48.2,8.3
E02000230,16.5,26.1,24.1,33.3
E02000231,5,12.8,16.5,65.6
E02000232,2.7,15.7,48.9,32.6
E02000233,7.1,24,44.9,24
E02000234,13.4,24.1,31.4,31.1
E02000235,3.8,21.5,36.8,37.9
E02000236,1.9,11.6,52.2,34.2
E02000237,5.8,19,47.3,27.9
E02000238,20.5,22.4,42.3,14.8
E02000239,6.9,10.3,57,25.8
E02000240,12.5,41.9,35,10.5
E02000241,11.4,30.9,43.5,14.3
E02000242,12,15.6,51.8,20.6
E02000243,18.5,22.3,41.5,17.7
E02000244,18.7,19.4,45.3,16.6
E02000245,23.6,41.9,25.3,9.2
E02000246,13.9,29.3,43.5,13.4
E02000247,18.4,37.3,33.3,11
E02000248,20.3,33.1,26.9,19.8
E02000249,14.3,30,38.3,17.4
E02000250,11.5,22.1,28.7,37.8
E02000251,5.9,14.6,56.3,23.1
E02000252,34.6,28.7,23.4,13.3
E02000253,18.3,35.6,35.3,10.7
E02000254,5.5,16.4,53.5,24.6
E02000255,19.8,29.3,22.2,28.6
E02000256,25.1,37.2,12.2,25.5
E02000258,21.6,26.3,26.9,25.2
E02000259,11.5,25.8,33.3,29.4
E02000260,12.6,23.5,37.1,26.8
E02000261,26.3,32.4,22.3,19
E02000262,32.3,34.9,15.5,17.3
E02000263,11.7,18,47.5,22.8
E02000264,25.9,28.1,14,32
E02000265,31.1,31.2,21.1,16.6
E02000266,19.9,31.6,32.8,15.7
E02000267,20.1,32.2,30.5,17.3
E02000268,20.1,27.4,25.4,27.1
E02000269,16.7,27.1,25.2,31.1
E02000270,34,41.1,16.8,8
E02000271,16.4,23.8,25,34.8
E02000272,11.1,19.6,34.4,35
E02000275,19.5,24.8,28.7,27
E02000276,20.1,28,26,25.8
E02000308,15.1,25.8,38.1,21
E02000309,13.9,37.6,36.7,11.8
E02000311,14.6,22.8,45.9,16.7
E02000312,25.5,28.9,25.8,19.9
E02000345,27.3,26.6,17.8,28.3
E02000346,32,39.6,22.9,5.6
E02000347,24,36.3,18.5,21.2
E02000348,25.2,38.1,21.7,15
E02000350,30.6,28.2,18.6,22.6
E02000351,33.9,37.5,19,9.5
E02000352,26,38,20.2,15.8
E02000353,25.6,26.2,26.4,21.7
E02000354,34.7,31.6,22,11.7
E02000355,24.3,22.1,27.8,25.7
E02000356,29.9,30.6,21.8,17.7
E02000357,26.7,31.2,34,8
E02000358,30,33,25,12.1
E02000359,17.9,20.1,42.1,19.8
E02000360,30.8,41.2,21.7,6.2
E02000361,36,35.3,19.9,8.8
E02000362,27.5,34.3,26.9,11.4
E02000363,25,41.8,25.6,7.5
E02000364,31.3,30.9,25.3,12.6
E02000366,29.4,31.3,25.7,13.7
E02000367,28.3,41.1,22.7,7.9
E02000368,29.6,34.6,26.9,8.9
E02000369,29.8,44.2,19.4,6.6
E02000370,34.3,38.8,20.8,6.1
E02000372,30.9,34,25.1,10
E02000373,19.8,37.8,31.5,10.9
E02000374,19.4,28.1,32.5,20
E02000375,41.2,33,15.3,10.5
E02000376,42.2,31.3,15,11.5
E02000377,38.8,28.8,17.1,15.3
E02000378,45.8,33.5,11.7,9
E02000379,28.1,32.3,17.5,22.1
E02000380,30.2,31.1,20.6,18.1
E02000381,35.5,33,13.9,17.6
E02000382,33.6,32.4,17.6,16.4
E02000383,37.5,34.8,18.6,9.1
E02000384,37.8,34,18,10.2
E02000385,41.4,31.3,16.9,10.3
E02000386,34.2,36.5,20.3,8.9
E02000387,29.5,26.5,23.9,20.2
E02000388,36.3,33.4,16.6,13.7
E02000389,19.8,31.3,22.6,26.2
E02000390,25.9,27,26.3,20.9
E02000391,23.4,28.8,19.6,28.2
E02000392,25.8,33.3,18.9,21.9
E02000393,17.7,38.6,19.2,24.4
E02000394,26.1,48,17.1,8.8
E02000395,22.1,31.8,21.2,24.9
E02000396,18.4,33.6,20.8,27.2
E02000397,34.5,37.2,17.9,10.5
E02000398,28.7,34.7,25.3,11.3
E02000400,19.8,33.4,28,18.8
E02000401,11.6,34.2,44.8,9.4
E02000402,18.3,37.3,36.9,7.5
E02000403,28.7,33.4,23.1,14.8
E02000404,20.5,31.1,34.9,13.5
E02000405,13.6,23.7,20.8,41.9
E02000406,17.1,38.6,33.3,10.9
E02000407,30,36,21.3,12.7
E02000408,22.9,35.5,30.8,10.9
E02000409,28.6,31.7,26.4,13.3
E02000410,23.1,32,12.7,32.2
E02000411,25.3,39.7,25.5,9.5
E02000412,34.3,30.1,22.7,12.8
E02000413,16.6,26.2,23.9,33.3
E02000414,20.3,27.8,33.2,18.7
E02000415,24.9,27.4,30.1,17.6
E02000416,35.7,36.7,18.3,9.3
E02000417,23.2,31.4,17.6,27.9
E02000418,14.8,23.9,21.6,39.8
E02000419,30,32.5,19.9,17.6
E02000420,33.8,32.6,23.1,10.5
E02000421,32.6,33.2,22.2,12
E02000422,26,31.5,29.1,13.4
E02000423,25.6,24.1,27.5,22.8
E02000424,28.4,33.4,17.9,20.3
E02000425,20.3,17.7,28.6,33.4
E02000426,17.3,34.4,19.3,29
E02000427,31.3,28.6,18.3,21.8
E02000428,27.4,31.4,26,15.2
E02000429,30.2,35.9,14.2,19.8
E02000430,34.5,34,14,17.5
E02000431,27.2,38.3,15,19.6
E02000432,31.7,37.2,14.4,16.8
E02000434,13.8,25.9,30.2,30
E02000435,10.5,23.9,35.3,30.2
E02000436,4,10.4,31.3,54.4
E02000437,10.6,21.5,42.1,25.8
E02000438,12.7,29.4,33.6,24.3
E02000439,12.5,23.6,42.5,21.5
E02000440,3.3,9.2,47.2,40.4
E02000441,13.4,30,29.8,26.8
E02000442,7.8,13.7,52.7,25.7
E02000443,17.9,22.2,44,15.8
E02000444,4.8,20.1,47.3,27.8
E02000445,17.7,28,37,17.4
E02000447,7.7,17.5,38.9,35.9
E02000448,10.7,26.1,21.1,42.2
E02000449,9.5,17.1,49.7,23.7
E02000451,6.5,12,46.3,35.1
E02000452,25,34.9,23.6,16.6
E02000453,18.1,27.8,30.2,23.9
E02000454,2,16,36.1,45.9
E02000455,30.7,41.8,15.7,11.8
E02000456,15.1,18.4,41.1,25.4
E02000457,16.5,15.8,42.8,24.9
E02000459,25.9,31,30.2,12.9
E02000460,12.6,31.7,39,16.6
E02000461,17,41.9,21.3,19.8
E02000462,12.5,21.3,45.9,20.2
E02000463,9.4,20.5,52.3,17.9
E02000494,14.4,23.5,19.7,42.3
E02000495,18.8,35,28.7,17.5
E02000496,14.3,32,37.4,16.4
E02000497,10.8,29.8,37.4,22
E02000498,16,27.2,35.2,21.6
E02000499,8,18.4,44.3,29.3
E02000500,10.8,22.8,30.4,36.1
E02000501,6.4,26.4,46.3,20.9
E02000502,9.7,37.5,34.4,18.4
E02000503,4.2,30,45.8,20
E02000504,5.6,16.6,42.5,35.2
E02000506,8.7,12.9,27.6,50.8
E02000507,5.2,15,60,19.8
E02000508,25.3,34.1,25.6,15
E02000509,28.5,30.4,28.4,12.8
E02000510,11.4,20.2,46.9,21.5
E02000511,8.4,20.4,53.8,17.4
E02000512,16.1,32.9,38.1,12.8
E02000513,16,45.1,29.8,9.1
E02000514,7.1,26.9,47.6,18.3
E02000515,30.5,35.2,24,10.3
E02000516,12.9,31.2,39.6,16.3
E02000517,13.7,28.5,43,14.8
E02000518,13.5,24.4,48.8,13.3
E02000519,18.2,25.5,39.6,16.7
E02000520,19.5,25.7,38.9,15.9
