geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02000001,24.3,2.6,67.4,5.7
E02000038,26.7,14.1,43.2,16
E02000039,23.7,15.5,48.4,12.4
E02000040,21.3,15.9,50.2,12.6
E02000041,27.8,19.3,34.1,18.7
E02000042,24.1,15.5,45,15.3
E02000043,20.6,13.6,57.1,8.7
E02000044,32.1,18.5,29.5,19.9
E02000045,32.7,12.4,37.2,17.7
E02000046,24.3,12.3,49.5,13.9
E02000047,34.1,19.6,22.6,23.8
E02000048,25,12.7,49.1,13.2
E02000049,31.7,20,29.6,18.7
E02000050,29.9,11.7,44.3,14.1
E02000051,25.1,10.8,52.3,11.8
E02000052,27,8.7,53,11.3
E02000054,28.6,16.2,36.3,18.9
E02000055,33.5,14.4,34.4,17.7
E02000056,24.5,6.1,61.7,7.8
E02000057,37.6,11.5,36.2,14.8
E02000058,29.2,7.8,53.5,9.5
E02000059,32.9,16.2,30.5,20.4
E02000060,41.3,7.8,38.8,12.2
E02000061,28.9,6.1,54.7,10.2
E02000062,39.9,10.3,29.3,20.5
E02000063,35.6,8.3,36.6,19.6
E02000064,33.1,7.5,45.8,13.6
E02000093,28.7,18.9,26.4,25.9
E02000094,31.1,17.3,29.6,22
E02000095,30.1,18.9,27.2,23.8
E02000096,26,18.6,39.5,15.9
E02000097,34.3,15.1,23.7,27
E02000098,29.2,17.8,31,22
E02000099,28.6,21,25.6,24.8
E02000100,34.4,17.3,33.4,14.9
E02000101,37.6,15.8,27,19.6
E02000102,42.6,11.9,18.7,26.7
E02000103,40.7,11.3,25.9,22.2
E02000104,33.2,17.6,29.5,19.8
E02000105,39.3,18.7,22.7,19.3
E02000106,39.4,12.1,20.8,27.7
E02000107,38.6,8.2,35.2,18.1
E02000108,38.4,20.8,23.6,17.3
E02000110,34.5,9,40.3,16.2
E02000111,49.3,16.8,19.4,14.6
E02000112,49.4,16.2,19,15.4
E02000113,45.6,12.6,19.1,22.8
E02000114,39,7.1,37.3,16.6
E02000115,31.2,7.4,49.7,11.8
E02000116,46.8,8.8,22.3,22
E02000117,45.9,10.1,21.5,22.6
E02000118,53.7,14.7,14.6,17
E02000119,42.2,12.9,27.2,17.7
E02000120,35,5,48.7,11.4
E02000121,49.3,14.8,20.8,15
E02000122,31.7,5.8,51.3,11.2
E02000123,41.9,9.4,28.1,20.6
E02000124,30,4.2,55.2,10.7
E02000125,32.9,6.5,46.9,13.6
E02000126,40.5,8.3,36.1,15.2
E02000130,22.7,14.1,53.3,9.9
E02000131,20.9,14.1,53.8,11.3
E02000132,22.3,15,52,10.7
E02000135,29.6,17.8,36.6,16
E02000137,21.6,14.8,52.1,11.6
E02000138,19.4,13.4,56.6,10.6
E02000139,20.6,13.6,55.3,10.6
E02000141,23.7,14.7,48.6,12.9
E02000147,22.6,13.1,53.7,10.6
E02000150,27,12.1,48.7,12.3
E02000156,24.6,13.5,48.7,13.3
E02000166,27.1,4.5,59.7,8.8
E02000167,21.3,3.3,70,5.5
E02000168,27.6,3.4,60.8,8.1
E02000169,21,3.9,69.2,5.9
E02000170,24.8,5.4,61.5,8.3
E02000171,26,4,61,8.9
E02000172,39.2,4.9,44.7,11.2
E02000173,26.2,3.6,63.9,6.2
E02000174,32.1,3.6,55.2,9.2
E02000175,24.2,5.3,64.2,6.4
E02000176,21.4,3.9,69.6,5.2
E02000177,33.6,3.7,51.4,11.3
E02000178,32,5.6,52.4,10
E02000179,26.9,3.9,60.4,8.9
E02000180,31.3,4.8,53.9,10
E02000181,22.3,4.2,67.9,5.6
E02000182,26.1,4.5,62.4,7
E02000183,25.7,4.3,62.4,7.6
E02000184,34.6,4.8,49.2,11.4
E02000185,35,5.7,44.3,15
E02000186,29.5,4,57,9.5
E02000187,41.6,4.6,39.2,14.6
E02000188,44,5.7,35.3,15
E02000191,33.8,4.2,54.2,7.7
E02000192,33.7,3.6,51.1,11.7
E02000193,33.5,3.1,54.5,8.9
E02000194,25,13.4,50.2,11.4
E02000195,31.9,13.4,40.7,14
E02000196,34.3,14.4,31.8,19.4
E02000197,31.8,15.7,32.1,20.3
E02000198,35.3,17,28.6,19.1
E02000199,32,16.9,34.1,16.9
E02000200,26.4,16.7,42.2,14.7
E02000201,29.9,17.9,34.8,17.4
E02000202,36.3,16.2,28.8,18.8
E02000203,37.2,16,27,19.8
E02000204,40.5,16.8,25.5,17.2
E02000206,33.4,18.2,30.9,17.5
E02000207,31.2,16.8,35.9,16.2
E02000208,40.2,17.1,24.9,17.7
E02000209,43.7,16.1,23.4,16.8
E02000210,29.7,14.8,39.3,16.2
E02000211,31,15.2,38.6,15.2
E02000212,45.2,16.4,20.9,17.5
E02000213,32.9,18.3,32.4,16.3
E02000214,27.8,14.8,44.9,12.4
E02000215,26.4,18,41.4,14.3
E02000216,22,16.4,51.1,10.5
E02000217,31.5,18.6,34.2,15.8
E02000218,32.7,18.3,32.4,16.6
E02000219,27,16.5,42.7,13.9
E02000221,35.5,17.2,31.7,15.6
E02000222,24.9,15.1,48.6,11.4
E02000223,43.4,21.5,15.8,19.3
E02000224,26.2,18,42.7,13.1
E02000225,36.4,21.3,20.4,21.9
E02000226,27,15.5,43.2,14.2
E02000227,33.2,17.9,32.4,16.6
E02000228,21.3,13.7,55,10
E02000229,35.9,22.1,20.9,21
E02000230,21.5,17.1,50.9,10.5
E02000231,21.7,16.5,51.8,10.1
E02000232,28.1,16.8,39.4,15.7
E02000233,24.2,17.5,46.3,12
E02000234,23.9,16,47.4,12.8
E02000235,21.7,15.8,49.7,12.9
E02000236,22.6,16.8,47.2,13.4
E02000237,27.1,17.4,39.6,15.9
E02000238,34.5,19.4,25.9,20.1
E02000239,33.2,18.2,27.7,20.9
E02000240,36.3,21.4,21.8,20.5
E02000241,34.2,20.7,25,20
E02000242,38.6,16.8,24.5,20.1
E02000243,32.9,17.4,25.8,23.9
E02000244,30.3,16.5,30,23.1
E02000245,39.4,19.3,20.4,20.8
E02000246,40.8,17,20.7,21.5
E02000247,38.9,17.7,23.3,20.1
E02000248,30.8,14,35.6,19.6
E02000249,38.8,15.3,24.2,21.7
E02000250,22.9,10.6,56.6,9.9
E02000251,40.1,17.9,22.9,19.2
E02000252,39.7,10.3,34.1,15.9
E02000253,33.8,15.1,30.2,20.9
E02000254,49.2,14.8,19.6,16.5
E02000255,26.2,13.9,46.9,13
