geography_code,in_full_time_education-001,in_full_time_education-002
E02000001,13.9,86.1
E02000038,22.1,77.9
E02000039,21.9,78.1
E02000040,23.6,76.4
E02000041,23.9,76.1
E02000042,20.4,79.6
E02000043,22.9,77.1
E02000044,24.8,75.2
E02000045,23.8,76.2
E02000046,18.1,81.9
E02000047,26.1,73.9
E02000048,22.8,77.2
E02000049,28.1,71.9
E02000050,23,77
E02000051,19.7,80.3
E02000052,20.3,79.7
E02000054,23,77
E02000055,26.2,73.8
E02000056,23.1,76.9
E02000057,29.1,70.9
E02000058,23.3,76.7
E02000059,19.5,80.5
E02000060,30.8,69.2
E02000061,21.3,78.7
E02000062,25,75
E02000063,23.2,76.8
E02000064,23.4,76.6
E02000093,20.8,79.2
E02000094,23,77
E02000095,21.1,78.9
E02000096,19.3,80.7
E02000097,21.8,78.2
E02000098,22.9,77.1
E02000099,23.9,76.1
E02000100,22,78
E02000101,25.1,74.9
E02000102,28.7,71.3
E02000103,24.5,75.5
E02000104,20.4,79.6
E02000105,24.6,75.4
E02000106,24.1,75.9
E02000107,19.8,80.2
E02000108,23.6,76.4
E02000110,21,79
E02000111,22.9,77.1
E02000112,20.8,79.2
E02000113,30.1,69.9
E02000114,18.8,81.2
E02000115,19.3,80.7
E02000116,25,75
E02000117,27.4,72.6
E02000118,21.2,78.8
E02000119,27.2,72.8
E02000120,17.8,82.2
E02000121,22.6,77.4
E02000122,21.2,78.8
E02000123,23.8,76.2
E02000124,19.7,80.3
E02000125,19.5,80.5
E02000126,24.8,75.2
E02000130,18.1,81.9
E02000131,16.5,83.5
E02000132,14.6,85.4
E02000135,21,79
E02000137,18.1,81.9
E02000138,13.6,86.4
E02000139,19.2,80.8
E02000141,18.3,81.7
E02000147,21,79
E02000150,22,78
E02000156,18.9,81.1
E02000166,19.2,80.8
E02000167,18.5,81.5
E02000168,18.6,81.4
E02000169,21.5,78.5
E02000170,19.5,80.5
E02000171,19.3,80.7
E02000172,25.7,74.3
E02000173,19.5,80.5
E02000174,23.3,76.7
E02000175,18.7,81.3
E02000176,16.3,83.7
E02000177,22.7,77.3
E02000178,17.7,82.3
E02000179,23.3,76.7
