geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02000001,77.2,19.4,2.5,0.9
E02000038,26,47.7,20.7,5.7
E02000039,18.3,43.2,28.3,10.2
E02000040,22.1,48,23.9,6
E02000041,29.6,42.6,21,6.8
E02000042,38.8,45.1,13.5,2.6
E02000043,18.5,48.3,26.2,7
E02000044,28.4,45.1,21.2,5.3
E02000045,34.4,47.6,14.7,3.3
E02000046,37.1,46.4,14.1,2.4
E02000047,35.9,45.2,15.2,3.7
E02000048,19.2,48.6,25.7,6.5
E02000049,38.6,46.1,12.6,2.7
E02000050,33.4,47.3,15.6,3.6
E02000051,29,44.5,20.5,6
E02000052,36.8,49.8,11.5,2
E02000054,31.2,44.8,17.9,6.2
E02000055,40.9,39,15.3,4.8
E02000056,19.3,42,28.4,10.2
E02000057,31.7,40.6,21.5,6.2
E02000058,31.9,44.9,19,4.2
E02000059,39.8,44,13,3.2
E02000060,32.6,38.9,23.2,5.2
E02000061,41.6,38.9,15.2,4.3
E02000062,46.7,39.3,11.7,2.3
E02000063,36.7,44.2,14.8,4.3
E02000064,46.1,39.5,11.4,3
E02000093,24.8,44.1,23.2,7.9
E02000094,29.4,43.8,20.2,6.6
E02000095,26.2,43.4,22.9,7.5
E02000096,19.4,41.1,29.3,10.2
E02000097,25,43.9,22.3,8.8
E02000098,29.8,42.6,20.9,6.7
E02000099,28.9,46.1,18.9,6.1
E02000100,21.6,39.7,26.3,12.4
E02000101,38.6,40.3,15.9,5.2
E02000102,37.5,42.5,15.2,4.7
E02000103,38.5,44.9,12.9,3.7
E02000104,32,41.7,18.1,8.2
E02000105,36,41.7,16.4,5.9
E02000106,46.4,38.4,11.5,3.7
E02000107,56.5,33,8.4,2.1
E02000108,30.9,44.4,19.3,5.4
E02000110,45.8,41.1,10.5,2.7
E02000111,40.3,40.6,14.5,4.6
E02000112,48.3,36.3,11.7,3.7
E02000113,46.5,38.4,12.2,3
E02000114,59.8,31.8,6.4,2
E02000115,56.3,35.1,6.9,1.8
E02000116,58.4,34.6,5.9,1.1
E02000117,55.5,36.2,6.9,1.4
E02000118,40.9,39.4,15.4,4.3
E02000119,50.2,41.3,7.3,1.2
E02000120,62.1,33,4.3,0.6
E02000121,44,39.8,12.6,3.6
E02000122,38.1,42.9,14.9,4.1
E02000123,60.7,32.2,5.9,1.2
