geography_code,disability_3a-001,disability_3a-002
E02000001,10.7,89.3
E02000038,14,86
E02000039,10.6,89.4
E02000040,13.4,86.6
E02000041,12.4,87.6
E02000042,14.5,85.5
E02000043,11.3,88.7
E02000044,13.2,86.8
E02000045,14,86
E02000046,10.9,89.1
E02000047,12.7,87.3
E02000048,11.6,88.4
E02000049,12.8,87.2
E02000050,14.6,85.4
E02000051,12.7,87.3
E02000052,13.3,86.7
E02000054,12.8,87.2
E02000055,11.6,88.4
E02000056,10.7,89.3
E02000057,11,89
E02000058,11.6,88.4
E02000059,11.6,88.4
E02000060,11.7,88.3
E02000061,13,87
E02000062,13.5,86.5
E02000063,13.2,86.8
E02000064,13,87
E02000093,10.4,89.6
E02000094,11.2,88.8
E02000095,10.4,89.6
E02000096,12.2,87.8
E02000097,12,88
E02000098,13.4,86.6
E02000099,9.6,90.4
E02000100,12,88
E02000101,14.2,85.8
E02000102,12.2,87.8
E02000103,12.8,87.2
E02000104,14.6,85.4
E02000105,11.2,88.8
E02000106,12,88
E02000107,12.1,87.9
E02000108,10.6,89.4
E02000110,13.5,86.5
E02000111,10.5,89.5
E02000112,9.9,90.1
E02000113,16.3,83.7
E02000114,12.3,87.7
E02000115,14.5,85.5
E02000116,14,86
E02000117,15.1,84.9
E02000118,8.5,91.5
E02000119,14.4,85.6
E02000120,12.5,87.5
E02000121,8.6,91.4
E02000122,12.6,87.4
E02000123,13.5,86.5
E02000124,11.2,88.8
E02000125,12.8,87.2
E02000126,15.4,84.6
E02000130,13.4,86.6
E02000131,13.1,86.9
E02000132,12.6,87.4
E02000135,18.3,81.7
E02000137,12.5,87.5
E02000138,13,87
E02000139,12.8,87.2
E02000141,13.1,86.9
E02000147,10.7,89.3
E02000150,12.8,87.2
E02000156,14,86
E02000166,17.3,82.7
E02000167,11,89
E02000168,15.5,84.5
E02000169,9.7,90.3
E02000170,12.7,87.3
E02000171,15.3,84.7
E02000172,19.5,80.5
E02000173,10.5,89.5
E02000174,17.3,82.7
E02000175,13.3,86.7
E02000176,10.9,89.1
E02000177,18.1,81.9
E02000178,16.2,83.8
E02000179,12.8,87.2
E02000180,16.7,83.3
E02000181,11.2,88.8
E02000182,11.9,88.1
E02000183,15.7,84.3
E02000184,17.3,82.7
E02000185,17,83
E02000186,14.4,85.6
E02000187,17.8,82.2
E02000188,16.7,83.3
E02000191,13.8,86.2
E02000192,17.2,82.8
E02000193,16.3,83.7
E02000194,14.2,85.8
E02000195,12.7,87.3
E02000196,15.5,84.5
E02000197,12.6,87.4
E02000198,13.8,86.2
E02000199,12.1,87.9
E02000200,13.9,86.1
E02000201,14.6,85.4
E02000202,13.3,86.7
E02000203,14.4,85.6
E02000204,12.6,87.4
E02000206,14.2,85.8
E02000207,15.8,84.2
E02000208,14.2,85.8
E02000209,11.8,88.2
E02000210,13,87
E02000211,13.5,86.5
E02000212,13.4,86.6
E02000213,13.3,86.7
E02000214,13.3,86.7
E02000215,14.6,85.4
E02000216,13,87
E02000217,13.1,86.9
E02000218,14.2,85.8
E02000219,14.7,85.3
E02000221,15.5,84.5
E02000222,13.1,86.9
E02000223,18.1,81.9
E02000224,11.6,88.4
E02000225,17.7,82.3
E02000226,13.5,86.5
E02000227,15.6,84.4
E02000228,13,87
E02000229,20.9,79.1
E02000230,14.7,85.3
E02000231,13.4,86.6
E02000232,15.6,84.4
E02000233,13.6,86.4
E02000234,14.7,85.3
E02000235,13.4,86.6
E02000236,11.3,88.7
E02000237,14.8,85.2
E02000238,10.3,89.7
E02000239,10.6,89.4
E02000240,13.1,86.9
E02000241,11.4,88.6
E02000242,11.2,88.8
E02000243,13.6,86.4
E02000244,11.2,88.8
E02000245,13.9,86.1
E02000246,12.7,87.3
E02000247,14.2,85.8
E02000248,11.4,88.6
E02000249,12.9,87.1
E02000250,11.3,88.7
E02000251,11.8,88.2
E02000252,12.3,87.7
E02000253,15.5,84.5
E02000254,12.3,87.7
E02000255,12.9,87.1
E02000256,11.1,88.9
E02000258,11.7,88.3
E02000259,12.4,87.6
E02000260,13.2,86.8
E02000261,11.5,88.5
E02000262,13.7,86.3
E02000263,11.8,88.2
E02000264,12.3,87.7
E02000265,14,86
E02000266,14.7,85.3
E02000267,11.4,88.6
E02000268,13.9,86.1
E02000269,10.7,89.3
E02000270,12.5,87.5
E02000271,8.5,91.5
E02000272,12,88
E02000275,12.7,87.3
E02000276,11.2,88.8
E02000308,13.5,86.5
E02000309,12.5,87.5
E02000311,13.1,86.9
E02000312,12.4,87.6
E02000345,9.9,90.1
E02000346,14.6,85.4
E02000347,10.9,89.1
E02000348,12.4,87.6
E02000350,12.2,87.8
E02000351,13.8,86.2
E02000352,14.8,85.2
E02000353,13.4,86.6
E02000354,15.9,84.1
E02000355,15.5,84.5
E02000356,13,87
E02000357,16.7,83.3
E02000358,15.2,84.8
E02000359,14.5,85.5
E02000360,16.7,83.3
E02000361,14.4,85.6
E02000362,18.3,81.7
E02000363,15.4,84.6
E02000364,15.1,84.9
E02000366,18.1,81.9
E02000367,13.2,86.8
E02000368,17.6,82.4
E02000369,13.7,86.3
E02000370,13.6,86.4
E02000372,16.5,83.5
E02000373,14.1,85.9
E02000374,14.2,85.8
E02000375,14,86
E02000376,13.4,86.6
E02000377,14.1,85.9
E02000378,12,88
E02000379,12.8,87.2
E02000380,12.1,87.9
E02000381,12.4,87.6
E02000382,12.4,87.6
E02000383,14,86
E02000384,15,85
E02000385,11,89
E02000386,14.7,85.3
E02000387,14.1,85.9
E02000388,11.8,88.2
E02000389,10.1,89.9
E02000390,11.9,88.1
E02000391,10.9,89.1
E02000392,10.5,89.5
E02000393,8.5,91.5
E02000394,11.3,88.7
E02000395,9.5,90.5
E02000396,10.2,89.8
E02000397,14.2,85.8
E02000398,15.3,84.7
E02000400,12.7,87.3
E02000401,17,83
E02000402,15.5,84.5
E02000403,12.7,87.3
E02000404,15.3,84.7
E02000405,11.7,88.3
E02000406,15.5,84.5
E02000407,14.9,85.1
E02000408,15.1,84.9
E02000409,15.6,84.4
E02000410,10.7,89.3
E02000411,12.9,87.1
E02000412,16.1,83.9
E02000413,12.1,87.9
E02000414,12.6,87.4
E02000415,13.3,86.7
E02000416,15,85
E02000417,13.1,86.9
E02000418,13.5,86.5
E02000419,12.8,87.2
E02000420,14.3,85.7
E02000421,14.6,85.4
E02000422,15.1,84.9
E02000423,13.3,86.7
E02000424,14.6,85.4
E02000425,8.5,91.5
E02000426,13.1,86.9
E02000427,13.2,86.8
E02000428,14,86
E02000429,12,88
E02000430,12.1,87.9
E02000431,11.3,88.7
E02000432,14.5,85.5
E02000434,12.5,87.5
E02000435,14.6,85.4
E02000436,11.6,88.4
E02000437,15.6,84.4
E02000438,15,85
E02000439,10.3,89.7
E02000440,10.1,89.9
E02000441,13.7,86.3
E02000442,9.7,90.3
E02000443,13.2,86.8
E02000444,10.1,89.9
E02000445,12.8,87.2
E02000447,11.1,88.9
E02000448,12.2,87.8
E02000449,11.5,88.5
E02000451,10.5,89.5
E02000452,11.2,88.8
E02000453,11.1,88.9
E02000454,10.6,89.4
E02000455,11.1,88.9
E02000456,12.1,87.9
E02000457,12.5,87.5
E02000459,11.7,88.3
E02000460,12.5,87.5
E02000461,10.9,89.1
E02000462,11.7,88.3
E02000463,12.6,87.4
E02000494,13.5,86.5
E02000495,13.5,86.5
E02000496,16.7,83.3
E02000497,14.7,85.3
E02000498,15,85
E02000499,13.7,86.3
E02000500,12.8,87.2
E02000501,12.8,87.2
E02000502,12,88
E02000503,11.5,88.5
E02000504,11.3,88.7
E02000506,12.7,87.3
E02000507,12.4,87.6
E02000508,12.8,87.2
E02000509,13.7,86.3
E02000510,13.4,86.6
E02000511,12.2,87.8
E02000512,14.7,85.3
E02000513,11.9,88.1
E02000514,10.3,89.7
E02000515,13.3,86.7
E02000516,12.2,87.8
E02000517,14.2,85.8
E02000518,14.6,85.4
E02000519,14.7,85.3
E02000520,11.7,88.3
E02000521,13,87
E02000522,14.5,85.5
E02000523,9.7,90.3
E02000524,12.5,87.5
E02000525,10.6,89.4
E02000526,9.9,90.1
E02000529,11.8,88.2
E02000530,12.7,87.3
E02000531,13.4,86.6
E02000532,12.1,87.9
E02000533,12.2,87.8
E02000534,10.6,89.4
E02000535,11.9,88.1
E02000536,12.5,87.5
E02000537,9.8,90.2
E02000538,10.6,89.4
E02000539,13.1,86.9
E02000540,11.4,88.6
E02000541,12.5,87.5
E02000542,11.8,88.2
E02000543,9.8,90.2
E02000544,11,89
E02000545,14.5,85.5
E02000546,11.7,88.3
E02000547,13,87
E02000548,14.7,85.3
E02000549,13,87
E02000550,11.9,88.1
E02000551,14.8,85.2
E02000552,11.4,88.6
E02000553,14.6,85.4
E02000554,19.6,80.4
E02000555,17,83
E02000556,15.7,84.3
E02000557,17.2,82.8
E02000558,17.8,82.2
E02000559,12.6,87.4
E02000560,15.1,84.9
E02000561,14.7,85.3
E02000562,16.1,83.9
E02000563,19.8,80.2
E02000564,14,86
E02000565,15.2,84.8
E02000566,14,86
E02000567,17.4,82.6
E02000568,18.9,81.1
E02000569,17.4,82.6
E02000570,13.5,86.5
E02000571,15.9,84.1
E02000572,18.2,81.8
E02000573,14,86
E02000574,17.2,82.8
E02000575,14.9,85.1
E02000576,16.3,83.7
E02000577,19.1,80.9
E02000578,22.1,77.9
E02000579,15.6,84.4
E02000580,19.4,80.6
E02000581,21.6,78.4
E02000582,10.9,89.1
E02000583,10.1,89.9
E02000584,8.1,91.9
E02000585,10.2,89.8
E02000586,7.1,92.9
E02000587,7.8,92.2
E02000588,7,93
E02000589,9,91
E02000590,13.7,86.3
E02000591,13.9,86.1
E02000592,7.7,92.3
E02000593,10.8,89.2
E02000594,12.4,87.6
E02000595,11.1,88.9
E02000596,9.5,90.5
E02000597,17.8,82.2
E02000598,11.1,88.9
E02000599,12.9,87.1
E02000600,12,88
E02000601,10.6,89.4
E02000602,14.5,85.5
E02000603,14.3,85.7
E02000604,11.2,88.8
E02000605,13.6,86.4
E02000606,12.5,87.5
E02000607,12.8,87.2
E02000608,12.6,87.4
E02000609,14.6,85.4
E02000610,15.3,84.7
E02000611,12.9,87.1
E02000612,12.9,87.1
E02000613,13.9,86.1
E02000614,12.2,87.8
E02000615,13.9,86.1
E02000616,12.8,87.2
E02000617,16.1,83.9
E02000619,15.6,84.4
E02000620,14,86
E02000621,12,88
E02000622,13.1,86.9
E02000623,14.1,85.9
E02000624,13.7,86.3
E02000625,12,88
E02000626,14.3,85.7
E02000627,13.6,86.4
E02000628,14.3,85.7
E02000629,11.4,88.6
E02000630,12.8,87.2
E02000631,13.6,86.4
E02000632,10.7,89.3
E02000633,14.1,85.9
E02000634,14.4,85.6
E02000635,13.8,86.2
E02000636,9.5,90.5
E02000637,11.9,88.1
E02000638,15.1,84.9
E02000639,12.6,87.4
E02000640,10.7,89.3
E02000641,15.2,84.8
E02000642,13.6,86.4
E02000643,11.9,88.1
E02000644,11.7,88.3
E02000645,14.3,85.7
E02000646,12.5,87.5
E02000647,14.2,85.8
E02000648,16.1,83.9
E02000649,12.7,87.3
E02000650,16,84
E02000651,12.7,87.3
E02000652,12.2,87.8
