geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02000001,59.8,31.5,7.1,1.5,0.2
E02000038,51.9,31.9,13,2.9,0.2
E02000039,56.1,32,8.8,3,0.2
E02000040,55.4,28.8,12.6,3,0.2
E02000041,45.4,34.9,15.7,3.4,0.6
E02000042,45.5,34.3,14.8,4.4,1
E02000043,62.8,28.3,7.5,1.3,0.1
E02000044,39.8,36.6,17.6,5.5,0.5
E02000045,46.5,32.9,15.7,4.6,0.4
E02000046,52.6,33.3,11.1,2.7,0.3
E02000047,33.7,40,19.7,6.3,0.3
E02000048,55.4,30.8,11.2,2.4,0.3
E02000049,38,35.3,18.8,7.1,0.8
E02000050,46.1,34,15.2,4.4,0.2
E02000051,50.9,32.4,12.5,3.5,0.7
E02000052,52.5,33.6,10.9,2.8,0.2
E02000054,47.1,33.2,15.4,3.6,0.7
E02000055,42,38,15.4,4.2,0.5
E02000056,64.3,27.2,7.3,1,0.2
E02000057,48,32.7,14.2,4.1,1
E02000058,54.1,31.4,11.1,3.1,0.4
E02000059,41.8,36.2,16.8,4.7,0.5
E02000060,45.8,33.7,14.7,4.5,1.2
E02000061,52.9,32.3,10.5,3.1,1.2
E02000062,35.9,37.2,19,7.2,0.8
E02000063,43.7,35.7,14.9,4.7,1
E02000064,47.9,32.9,14.2,4.4,0.6
E02000093,45.3,37.4,14.5,2.7,0.1
E02000094,45,35.2,15.7,4,0.1
E02000095,42,38.3,15.9,3.7,0.1
E02000096,50.5,36,11.9,1.5,0.1
E02000097,40.9,37.3,17.3,4.3,0.1
E02000098,41,38.4,15.5,4.8,0.3
E02000099,42.6,36.6,16,4.7,0.1
E02000100,50.6,35,12.4,2,0
E02000101,37.7,36.9,19.8,5.2,0.4
E02000102,28.9,40.2,22.7,7.4,0.9
E02000103,36.9,38.2,18.1,6.2,0.7
E02000104,40.1,35.8,17.2,6,1
E02000105,37.5,39.9,17.8,4.5,0.3
E02000106,32.2,38.6,22.3,6.3,0.6
E02000107,38.9,35.7,18.3,6.2,0.8
E02000108,40.4,38.2,17,4,0.4
