geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00069026,35.9,39.8,20.3,3.9
E00069027,37.7,38.7,17.8,5.8
E00069028,42.6,39.6,16.8,1
E00069029,31.2,53.2,12.1,3.5
E00069032,27.5,48.6,19.6,4.3
E00069033,59.7,35.3,3.6,1.4
E00069034,48.6,35.1,9,7.2
E00069035,41.4,43.2,10.8,4.5
E00069036,31.5,51.9,13,3.7
E00069037,36.2,46.7,14.3,2.9
E00069038,27.6,37.1,27.6,7.8
E00069039,43.9,40.4,14,1.8
E00129967,15,35.7,40.1,9.2
E00129968,25.5,41.6,24.1,8.8
E00129969,9.3,39.3,35.7,15.7
E00129970,17.6,40.5,28.8,13.1
E00129971,25.4,47.6,21.4,5.6
E00129972,16.4,45.4,28.3,9.9
E00129973,11.7,42.1,38.1,8.1
E00129974,10.4,38.1,38.8,12.7
E00129975,6.5,48.8,30.9,13.8
E00129977,11,35,33,21
E00129978,16.5,33,35,15.5
E00129979,18.1,39.4,36.2,6.3
E00129980,12.4,33.7,37.1,16.9
E00129981,20,37.5,31.7,10.8
E00129982,5.9,26.5,46.3,21.3
E00129983,4.9,42.7,39.2,13.3
E00129984,6.5,39.1,35.5,18.8
E00129985,9.9,39.7,40.4,9.9
E00129986,17.5,45.8,30.8,5.8
E00129987,20.3,44.1,27.3,8.4
E00129988,8.3,42,29.9,19.7
E00129989,11.4,37.9,33.6,17.1
E00129990,11.7,37.5,32,18.8
E00129991,7.3,43.8,35,13.9
E00129992,7.6,43.5,33.6,15.3
E00129994,2.9,14.1,50,32.9
E00129996,7.1,41.3,32.9,18.7
E00129997,10.3,42.9,39.1,7.7
E00129998,9.3,36.6,42.8,11.3
E00129999,23.6,42.1,27.1,7.1
E00130000,9.1,40.9,36.4,13.6
E00130001,15.6,45.1,22.1,17.2
E00130002,7.1,39.4,40.9,12.6
E00130003,28.3,39.8,25.7,6.2
E00130004,10.3,41.4,37.9,10.3
E00130005,5.9,44.1,38.8,11.2
E00130006,12.6,34.2,33.3,19.8
E00130007,4.5,28.2,39.7,27.6
E00130008,9.4,45,32.2,13.5
E00130011,6.8,37.9,42.9,12.4
E00130012,1.5,22.2,57.6,18.7
E00130013,9.4,45.7,31.2,13.8
E00130014,2.3,25,47.7,25
E00130015,7.4,36,37.5,19.1
E00130016,5.7,30.3,46.7,17.2
E00130042,6.9,37.3,46.1,9.8
E00130043,21.1,52.1,24.2,2.6
E00130044,14.6,41.2,32.7,11.6
E00130045,9.4,41,35.4,14.2
E00130046,8.8,40.9,34.3,16.1
E00130048,24.1,44.8,22.1,9
E00130050,13.6,31.8,38.6,15.9
E00130051,30.2,48.9,16.5,4.3
E00130052,11.7,53.9,28.6,5.8
E00130053,27.2,39.7,24.3,8.8
E00130054,16.1,46.5,27.1,10.3
E00130055,14.3,51.1,26.3,8.3
E00130114,12.5,49.3,30.1,8.1
E00130115,11.2,45.5,36.4,7
E00130116,18,50.9,22.4,8.7
E00130117,17.7,39.5,34.7,8.2
E00130118,23,35.8,27,14.2
E00130119,10.7,29.8,47.3,12.2
E00130120,5.5,36.2,44.1,14.2
E00130121,12.2,29.3,39,19.5
E00130122,6.9,40.5,41.4,11.2
E00130123,10.4,38.9,38.2,12.5
E00130124,15.4,38.9,31.5,14.1
E00130125,11.7,37.8,40.5,9.9
E00130126,6.2,34.5,44.1,15.2
E00130127,7.4,42.1,38,12.4
E00130128,7.2,45.9,34.8,12.2
E00130129,13.3,56.3,24.2,6.3
E00130130,6.8,40.1,41.4,11.7
E00130138,13.4,41,35.1,10.4
E00130139,19.5,39.8,33.1,7.5
E00130140,6,33.7,41.7,18.6
E00130141,8.6,46.6,31.9,12.9
E00130142,28.6,38.7,26.1,6.7
E00130143,16.3,41.1,32.6,10.1
E00130144,11.3,41.1,37.9,9.7
E00130145,6.6,30.3,47.5,15.6
E00130146,2.4,22.8,52.8,22
E00130147,1.8,34.5,41.6,22.1
E00130148,3.4,31.9,38.8,25.9
E00130149,11.4,51.5,28.3,8.9
E00130150,20.5,34.4,36.9,8.2
E00130151,20,48.8,25.6,5.6
E00130152,22.8,41.3,28.7,7.2
E00130153,23.8,49.7,19.2,7.3
E00130154,7.8,41.9,37.4,12.8
E00130155,5.7,23.8,49.5,21
E00130156,12.5,46.2,29.8,11.5
E00130157,6.4,38.5,38.5,16.5
E00130158,8.2,46.3,32.8,12.7
E00130159,9.3,32.1,45.6,13.1
E00130160,9.5,36.5,45.3,8.8
E00130161,4.8,31.4,46.7,17.1
E00130162,4.6,19.6,52.3,23.5
E00130163,8.1,32.6,40.7,18.6
E00130164,6.1,31.5,43.1,19.3
E00130165,3.8,31.5,43.8,20.8
E00130166,10.9,48.7,27.7,12.6
E00130167,1.4,52.8,36.1,9.7
E00130168,7.8,36.7,43.3,12.2
E00130191,21.6,50.8,23.6,4
E00130192,15,50,28.3,6.7
E00130193,22.4,46.9,21.1,9.5
E00130194,6.1,54.5,29.5,9.8
E00130195,29.5,46.6,16.4,7.5
E00130196,6.7,37,43,13.3
E00130198,13,29.8,38.2,19.1
E00130199,25.9,42,24.1,8
E00130200,11.1,38,43.5,7.4
E00130201,4.2,47.1,35.3,13.4
E00130203,10.9,47.1,29,13
E00130204,8.3,42.1,36.4,13.2
E00130206,10.1,42.3,36.9,10.7
E00130207,8.5,34,46.1,11.3
E00130208,29.2,48.3,15,7.5
E00130209,10,41.4,37.9,10.7
E00130210,10.9,32,41.4,15.6
E00130212,9,38.7,39.6,12.6
E00130759,7.5,46,36,10.6
E00130760,0,41.9,41,17.1
E00130761,6.6,33.7,45.2,14.5
E00130762,7.2,42.8,41.3,8.7
E00130763,4.8,28,45.6,21.6
E00130764,1.6,33.9,45.2,19.4
E00130765,2.6,23.3,50,24.1
E00130766,2.9,20.8,45.1,31.2
E00130767,7.2,27.5,50.7,14.5
E00130770,2,23.1,49.2,25.6
E00130771,3.5,26.6,49,21
E00130772,20.8,44.6,26.9,7.7
E00130774,5.3,32.3,42.9,19.5
E00130777,13.1,39.2,33.1,14.6
E00130779,7.1,33.7,32,27.2
E00130780,11.3,33.8,33.8,21.1
E00130784,4,18.7,47.3,30
E00130785,8,30,44,18
E00130786,7.3,29.4,39.4,23.9
E00130787,9.5,37.1,38.8,14.7
E00130788,6.6,29.2,41.5,22.6
E00130790,3.1,24.2,47.7,25
E00130791,8.2,27.9,41.8,22.1
E00130818,4.1,31.7,39.8,24.4
E00130945,3.4,29.3,45.6,21.8
E00130946,6.2,31.6,41.8,20.3
E00130947,5.8,34.6,44,15.7
E00130958,4.9,22.2,42.4,30.6
E00130959,3.7,19.5,45.7,31.1
E00130962,9.3,18.6,52.6,19.6
E00130963,6.7,26.7,37.3,29.3
E00130964,5.1,31.3,39.4,24.2
E00130965,2.4,23.4,43.5,30.6
E00131785,11.2,36.8,33.6,18.4
E00131786,6.9,46.2,30.8,16.2
E00131787,5.3,41.2,38.9,14.5
E00131791,8.3,44.4,34.3,13
E00131847,6.9,35.4,32.3,25.4
E00131850,8.6,47.4,31,12.9
E00131851,27.8,46.8,21.4,4
E00131852,20.7,53.3,22.2,3.7
E00131853,30.8,53.8,12.3,3.1
E00131854,23.5,47.1,24.4,5
E00131855,35.8,46.2,13.2,4.7
E00131856,35.9,49.6,13.7,0.8
E00131857,30.4,47.1,18.8,3.6
E00131858,41.4,44.8,9,4.8
E00131859,28.5,48.5,17.7,5.4
E00131860,27.9,49.6,20.2,2.3
E00131861,19.5,55.9,22,2.5
E00131862,29.5,47.4,19.2,3.8
E00131863,19.8,46.2,26.4,7.5
E00131865,36.4,36.4,22.7,4.5
E00131867,16.5,40.9,32.2,10.4
E00131868,13.9,43,27.8,15.2
E00131869,24.4,38.9,22.9,13.7
E00131870,24.8,41.9,23.9,9.4
E00131871,27.7,33.1,20.9,18.2
E00131872,13.4,56.7,24.4,5.5
E00131873,24.6,33.3,29.8,12.3
E00131874,11.2,47.4,27.6,13.8
E00131875,23.3,44.7,18.4,13.6
E00131876,15,48.8,26.8,9.4
E00131877,16.5,46,26.6,10.8
E00131878,7.5,49.5,34.6,8.4
E00131879,17,45.5,26.8,10.7
E00131880,5.8,47.1,32.7,14.4
E00131881,23.3,36.2,29.3,11.2
E00131882,10.5,45.1,29.3,15
E00131883,10,45,36.7,8.3
E00131884,8.3,38.3,34.2,19.2
E00131885,28.6,45.4,18.5,7.6
E00131886,11.2,47.4,27.6,13.8
E00131887,15.7,35.4,39.4,9.4
E00131888,14.7,40.4,34.9,10.1
E00131889,60.3,30.5,9.2,0
E00131890,18.7,42.1,31.8,7.5
E00131891,35.2,47.2,12,5.6
E00131892,31.4,45.4,17.3,5.9
E00131893,35.1,44,17.9,3
E00131894,14.8,41,33.6,10.7
E00131895,13.9,51.3,28.7,6.1
E00131896,11.8,56.3,24.4,7.6
E00131897,18.8,38.5,29.9,12.8
E00131898,25.8,35.8,27.5,10.8
E00131913,32,42,17,9
E00131914,17.1,43.2,31.5,8.1
E00131915,14.9,47.8,28.4,9
E00131916,13.8,44.4,33.3,8.5
E00131917,30.5,38.2,26,5.3
E00131918,32.1,41.8,21.6,4.5
E00131919,8.8,48.9,32.8,9.5
E00131920,14.7,53.2,25.7,6.4
E00131921,7.8,32,50,10.2
E00131922,13.6,41.7,35.9,8.7
E00131923,8,34.8,46.4,10.7
E00131924,57.3,35,7,0.7
E00131925,9.9,44.6,32.7,12.9
E00131926,19.2,54.4,16.8,9.6
E00131927,9.3,44.2,34.9,11.6
E00131928,12.7,46.1,27.5,13.7
E00131929,15.6,46.8,27.9,9.7
E00131930,15.6,40.6,32.8,10.9
E00131931,13.5,54,24.6,7.9
E00131932,15.8,44.7,29.8,9.6
E00131933,12.6,47.1,28.6,11.8
E00131934,17.2,46.1,28.9,7.8
E00131935,17.9,58.5,22.6,0.9
E00131936,10.9,42.2,40.6,6.3
E00131937,6.3,37.3,37.3,19
E00131938,6.8,40.6,40.6,12
E00131941,18.1,45.7,22.8,13.4
E00131942,37.8,32.8,21,8.4
E00131946,13.2,39,35.2,12.6
E00131947,14.2,40.1,30.9,14.8
E00131948,12.7,40.5,32.5,14.3
E00131949,25.5,46.8,19.9,7.8
E00131950,10,38.5,43.8,7.7
E00131951,34.6,42.5,13.4,9.4
E00131959,8.7,34.1,46,11.1
E00168099,27.6,51.3,15.8,5.3
E00168101,37,38.3,23.5,1.2
E00168102,12.8,55.6,29.1,2.6
E00170632,7.7,32.7,32.7,26.9
E00170633,14.5,30.4,42,13
E00170634,3.4,32.5,47.9,16.2
E00170635,28.1,31.5,27.5,12.9
E00170636,4.5,25.8,49.2,20.5
E00170648,0,24.8,51.2,24
E00178496,9.8,45.1,36.8,8.3
E00178499,6,22.2,62.4,9.4
E00178518,28.6,41.2,26.1,4.2
E00178549,5.9,33,49.7,11.4
E00178576,8.5,33.1,45.1,13.4
E00178597,16,32,44,8
E00178606,13.6,54.5,28.8,3
E00187341,13.6,54.5,25,6.8
E00187345,2.9,21.7,56.5,18.8
E00187346,31,33.9,29.2,5.8
E00187365,8.4,32.7,47.7,11.2
E00187389,0,50.8,44.1,5.1
E00187404,5.3,34.8,38.6,21.2
E00187405,6.7,39.3,40.7,13.3
