geography_code,hh_size_5a-001,hh_size_5a-002,hh_size_5a-003,hh_size_5a-004
E00032565,24.6,36.6,20.4,18.3
E00032732,46.7,25.7,20,7.6
E00032733,18.2,35,21.9,24.8
E00032734,24.1,26.8,24.1,25
E00032735,43.5,19.7,15.6,21.1
E00032736,31,40.5,12.7,15.9
E00032737,30.4,21.4,26.8,21.4
E00032738,22.9,22,23.7,31.4
E00032739,30.7,27.2,24.6,17.5
E00032740,26,39,22.8,12.2
E00032741,18.8,31.3,22.3,27.7
E00032742,31.7,36.6,15.1,16.7
E00032743,36.4,32.2,14,17.4
E00032744,34.4,33.1,13.5,19
E00032745,30.6,35.1,14.2,20.1
E00032746,42.4,37.6,9.6,10.5
E00032747,20.4,30.1,31,18.6
E00032748,25.7,25,23.5,25.7
E00032749,33.8,32.3,17.3,16.5
E00032750,22.3,26.4,23.1,28.1
E00032751,24.1,35.7,23.2,17
E00032757,61.3,25.8,8,4.9
E00032758,20.5,34.4,25.4,19.7
E00032759,15.1,42.1,21.4,21.4
E00032760,47.6,23,17.5,11.9
E00032761,58,29.8,6.9,5.3
E00032762,47.8,29.6,14.8,7.8
E00032763,26.7,37.1,19,17.1
E00032764,31.3,33.3,18.8,16.7
E00032765,50.4,35.8,8.1,5.7
E00032766,44.3,34.8,14.8,6.1
E00032767,60.1,27.4,8.9,3.6
E00032768,64.3,23,9.5,3.2
E00032769,57.3,28,5.6,9.1
E00032771,69.8,19.8,6.3,4.2
E00032773,53.7,25.4,9.7,11.2
E00032912,13.5,35.1,26.3,25.1
E00032913,9.9,36.2,23.7,30.3
E00032914,34.5,38.7,16,10.9
E00032915,30.3,30.3,19.3,20.2
E00032916,20,36.4,19.3,24.3
E00032917,29.4,34.9,19.8,15.9
E00032918,30.3,32.8,16,21
E00032919,28.8,35.1,16.2,19.8
E00032920,27.1,37.2,17.8,17.8
E00032921,35.7,36.5,18.3,9.6
E00032922,28.3,36.6,24.1,11
E00032923,28.1,38.8,17.4,15.7
E00032924,31.4,28.1,19,21.5
E00032926,22.8,35.2,18.6,23.4
E00032927,48.3,25,15.5,11.2
E00032928,32,34.4,16.8,16.8
E00032929,38.2,22.8,17.1,22
E00032930,28.3,24.8,14.2,32.7
E00032931,24.1,38.4,20.5,17
E00032932,30.6,30.6,23.4,15.3
E00032933,49.6,32.6,8.1,9.6
E00032934,37.1,36.2,13.8,12.9
E00032935,31.5,35.1,17.1,16.2
E00032936,30.6,35.7,10.2,23.5
E00032937,35.3,32.8,13.8,18.1
E00032938,32.7,38.3,15,14
E00032939,23.3,25.8,20.8,30
E00032940,21.7,25.2,30.4,22.6
