areacd,disability_3a-001,disability_3a-002
E00049363,20.8,79.2
E00049365,24.1,75.9
E00049366,21.4,78.6
E00049368,19,81
E00049369,19.5,80.5
E00049370,20,80
E00049374,17,83
E00049375,23.4,76.6
E00049376,26.2,73.8
E00049378,16.2,83.8
E00049379,22.9,77.1
E00049380,20.1,79.9
E00049381,22.1,77.9
E00049382,19.6,80.4
E00049383,24,76
E00049384,20.5,79.5
E00049385,20.3,79.8
E00049386,23.4,76.6
E00049387,17.2,82.8
E00049388,18,82
E00049389,23.9,76.1
E00049390,21.4,78.6
E00049391,28.9,71.1
E00049392,20.9,79.1
E00049393,20.9,79.1
E00049394,22.1,77.9
E00049395,18.8,81.2
E00049396,20.6,79.4
E00049397,20.1,79.9
E00049444,17,83
E00049446,34.6,65.4
E00049447,13.8,86.2
E00049448,19.3,80.7
E00049449,19.7,80.3
E00049466,17.4,82.6
E00049468,18.1,81.9
E00049469,16.7,83.3
E00049470,19.5,80.5
E00049471,14.8,85.2
E00049473,19.8,80.2
E00049474,25.6,74.4
E00049475,25.6,74.4
E00049476,21,79
E00049482,13.3,86.7
E00049512,14.2,85.8
E00049775,23.8,76.2
E00049776,16.6,83.4
E00049777,19.2,80.8
E00049778,16,84
E00049779,16.6,83.4
E00049780,17.8,82.2
E00049782,23.5,76.5
E00049785,23.5,76.5
E00049786,21.8,78.2
E00049787,31.6,68.4
E00049788,17.2,82.8
E00049789,21.5,78.5
E00049791,28.6,71.4
E00049793,23.2,76.8
E00049794,20.7,79.3
E00049795,11.3,88.7
E00049796,13.2,86.8
E00049797,17.2,82.8
E00049798,14.4,85.6
E00049799,29.1,70.9
E00049800,20.5,79.5
E00049801,38.5,61.5
E00049803,21,79
E00049936,23.9,76.1
E00049942,24.3,75.7
E00049943,19.5,80.5
E00049944,20.7,79.3
E00049945,21.1,78.9
E00049946,21,79
E00049947,18.9,81.1
E00049948,18,82
E00049949,22.8,77.2
E00049950,22.7,77.3
E00049951,21.1,78.9
E00049952,29,71
E00049953,23.7,76.3
E00049954,19.6,80.4
E00049967,18.4,81.6
E00049968,21.1,78.9
E00049969,21.6,78.4
E00049973,29.9,70.1
E00049974,17,83
E00049975,21.8,78.2
E00049977,16.1,83.9
E00049980,19.8,80.2
E00049981,23.8,76.2
E00049982,21.7,78.3
E00049983,26.8,73.2
E00049989,33,67
E00049990,22.3,77.7
E00049992,43.6,56.4
E00049993,41.6,58.4
E00049994,28.3,71.7
E00049996,13.1,86.9
E00049997,25.2,74.8
E00049999,29.7,70.3
E00050000,26,74
E00050002,19.2,80.8
E00050005,14,86
E00050010,14.2,85.8
E00050011,23.7,76.3
E00050013,25.2,74.8
E00050014,22.4,77.6
E00050015,16.3,83.7
E00050016,17.9,82.1
E00050017,19.1,80.9
E00050018,20.5,79.5
E00050019,24,76
E00050020,20.7,79.3
E00050021,23.1,76.9
E00050022,16.8,83.2
E00050023,16.5,83.5
E00050024,17.6,82.4
E00050025,16.5,83.5
E00050026,17.7,82.3
E00050027,12.4,87.6
E00050028,18.3,81.7
E00050029,19.5,80.5
E00050030,18,82
E00050031,16.1,83.9
E00050032,16.2,83.8
E00050033,16,84
E00050034,19.8,80.2
E00050035,21.2,78.8
E00050036,18,82
E00050037,17,83
E00050038,18.7,81.3
E00050039,19.8,80.2
E00050040,19.7,80.3
E00050041,16.7,83.3
E00050042,18.1,81.9
E00050043,17.1,82.9
E00050044,26.3,73.7
E00050046,22,78
E00050047,25,75
E00050048,15.6,84.4
E00050049,18.3,81.7
E00050051,15.7,84.3
E00050052,23.4,76.6
E00050053,33.5,66.5
E00050054,18.8,81.2
E00050055,10.6,89.4
E00050224,26.7,73.3
E00050225,21.2,78.8
E00050227,22.4,77.6
E00050228,27.5,72.5
E00050229,25.7,74.3
E00050230,14.4,85.6
E00050231,20.6,79.4
E00050232,22.2,77.8
E00050233,23.5,76.5
E00050234,18.6,81.4
E00050235,25.7,74.3
E00050261,14.7,85.3
E00050262,19.5,80.5
E00050264,18.7,81.3
E00050265,19,81
E00050266,19.8,80.2
E00050464,22.9,77.1
E00050465,20,80
E00050466,4.9,95.1
E00050468,13.6,86.4
E00050469,18.8,81.2
E00050470,20.1,79.9
E00050471,24.7,75.3
E00050473,18.9,81.1
E00050474,15.8,84.2
E00050475,31.2,68.8
E00050476,20.8,79.2
E00050477,23.7,76.3
E00050478,23.4,76.6
E00050479,23.7,76.3
E00050480,13.1,86.9
E00050488,21.4,78.6
E00050493,27.4,72.6
E00050494,24.1,75.9
E00050495,10.2,89.8
E00050496,15.3,84.7
E00050497,10.3,89.7
E00050499,16.9,83.1
E00050501,19.1,80.9
E00050502,16.1,83.9
E00050503,22.6,77.4
E00050504,23.4,76.6
E00050593,19.2,80.8
E00050608,12.1,87.9
E00050609,41.7,58.3
E00050616,22.1,77.9
E00050617,17.2,82.8
E00050657,11.2,88.8
E00050658,16.2,83.8
E00050659,12,88
E00050662,24.5,75.5
E00050664,13.5,86.5
E00050665,10.2,89.8
E00050668,19,81
E00050670,13.4,86.6
E00050686,15.2,84.8
E00050687,14.4,85.6
E00050688,9.9,90.1
E00050689,20.5,79.5
E00050690,17.5,82.5
E00050691,21.8,78.2
E00050730,29.3,70.7
E00050770,22.4,77.6
E00050771,14.3,85.7
E00050773,21,79
E00050774,14.7,85.3
E00050775,17.4,82.6
E00050776,18.6,81.4
E00050777,17.3,82.7
E00050778,25.7,74.3
E00050779,21,79
E00050780,18.6,81.4
E00050781,25.2,74.8
E00050782,26.3,73.7
E00050783,24.8,75.2
E00050786,28,72
E00050787,12.2,87.8
E00050788,25.2,74.8
E00050789,22.5,77.5
E00050790,15,85
E00050791,24.3,75.7
E00050792,21.3,78.7
E00050793,24.9,75.1
E00050801,18.7,81.3
E00050802,16.5,83.5
E00050803,20.9,79.1
E00050804,22.4,77.6
E00050805,14.8,85.2
E00050806,22.4,77.6
E00050807,24.4,75.6
E00050808,20.8,79.2
E00050809,23.5,76.5
E00050810,11.9,88.1
E00050811,18.2,81.8
E00050903,31.9,68.1
E00050904,12.4,87.6
E00050905,17.7,82.3
E00050906,13.6,86.4
E00050907,22.1,77.9
E00050910,12,88
E00050911,10.5,89.5
E00050912,24.7,75.3
E00050913,13.9,86.1
E00050914,23.9,76.1
E00050915,24.2,75.8
E00050916,14.6,85.4
E00050917,17,83
E00050918,15.6,84.4
