geography_code,heating_type_3a-001,heating_type_3a-002
E00074990,1.5,98.5
E00074991,0.8,99.2
E00074992,0,100
E00074993,5.8,94.2
E00074994,4.4,95.6
E00074995,1.8,98.2
E00074996,2.6,97.4
E00074997,1.4,98.6
E00074998,5.6,94.4
E00074999,0,100
E00075000,2.6,97.4
E00075001,0.9,99.1
E00075002,0.6,99.4
E00075003,1.4,98.6
E00075004,4.5,95.5
E00075005,0,100
E00075006,4,96
E00075007,0.7,99.3
E00075008,7.8,92.2
E00075009,0.7,99.3
E00075010,0.7,99.3
E00075011,0.7,99.3
E00075012,3.2,96.8
E00075013,3.4,96.6
E00075014,0,100
E00075015,1.1,98.9
E00075016,0.9,99.1
E00075017,0,100
E00075065,0.6,99.4
E00075066,0.6,99.4
E00075068,0,100
E00075069,0,100
E00075070,1.6,98.4
E00075071,0,100
E00075073,0,100
E00075074,0.7,99.3
E00075075,0.7,99.3
E00075076,1.6,98.4
E00075077,1.6,98.4
E00075078,0,100
E00075079,0,100
E00075081,0,100
E00075082,0,100
E00075084,1.6,98.4
E00075085,2,98
E00075087,0,100
E00075088,1.7,98.3
E00075089,0,100
E00148132,3.7,96.3
E00148133,4.7,95.3
E00148134,0,100
E00148135,0.7,99.3
E00148137,4.6,95.4
E00148138,3.9,96.1
E00148139,2.3,97.7
E00148140,0,100
E00148141,0.8,99.2
E00148142,0.8,99.2
E00148143,0,100
E00148144,2.2,97.8
E00148145,0.6,99.4
E00148146,0.7,99.3
E00148147,0.7,99.3
E00148148,2,98
E00148149,0.9,99.1
E00148150,1.7,98.3
E00148151,9.2,90.8
E00148152,2.9,97.1
E00148153,0,100
E00148154,1.3,98.7
E00148155,0,100
E00148156,0.8,99.2
E00148157,0,100
E00148158,0,100
E00148278,0,100
E00148279,1.7,98.3
E00148280,0,100
E00148281,0,100
E00148282,2.1,97.9
E00148283,0,100
E00148284,1.4,98.6
E00148285,0,100
E00148286,0,100
E00148287,0,100
E00148288,0.7,99.3
E00148289,1.6,98.4
E00148290,0.8,99.2
E00148291,1.6,98.4
E00148292,0.8,99.2
E00148293,1.4,98.6
E00148294,0.8,99.2
E00148295,0,100
E00148296,1,99
E00148297,4.5,95.5
E00148298,0,100
E00148299,0.8,99.2
E00148300,2.5,97.5
E00148301,1.5,98.5
E00148302,2.3,97.7
E00148303,2.9,97.1
E00148304,2.3,97.7
E00148305,4.9,95.1
E00148306,0,100
E00148307,0.8,99.2
E00148308,0,100
E00148309,0.8,99.2
E00148310,4.3,95.7
E00148311,0.8,99.2
E00148312,3.4,96.6
E00148313,2.1,97.9
E00148314,0,100
E00148315,4.4,95.6
E00148316,4.3,95.7
E00148317,0,100
E00148318,0.8,99.2
E00148319,0,100
E00148320,0.8,99.2
E00148321,3.2,96.8
E00148341,4.9,95.1
E00148347,0,100
E00148375,3.5,96.5
E00148376,1.8,98.2
E00148377,3.4,96.6
E00148378,1.3,98.7
E00148379,2.5,97.5
E00148380,4,96
E00148381,1.9,98.1
E00148382,4.5,95.5
E00148383,1.9,98.1
E00148384,2.5,97.5
E00148385,0,100
E00148386,0.8,99.2
E00148387,1.7,98.3
E00148388,1.5,98.5
E00148389,1.6,98.4
E00148390,0.8,99.2
E00148391,0.8,99.2
E00148392,2.6,97.4
E00148394,2.5,97.5
E00148395,2.5,97.5
E00148396,0.6,99.4
E00148397,4,96
E00148398,5.1,94.9
E00148399,2,98
E00148400,3.8,96.2
E00148401,3.3,96.7
E00148402,0,100
E00148403,0.8,99.2
E00148404,1.2,98.8
E00148405,0.9,99.1
E00148406,0.8,99.2
E00148407,0,100
E00148408,0.8,99.2
E00148409,0.8,99.2
E00148424,0,100
E00148425,0,100
E00148426,1.5,98.5
E00148427,1.5,98.5
E00148428,2,98
E00148429,2.8,97.2
E00148465,2.8,97.2
E00148466,2.1,97.9
E00148467,0,100
E00148468,1.3,98.7
E00148471,1.5,98.5
E00148474,0.7,99.3
E00148476,0,100
E00148477,0,100
E00148478,0.7,99.3
E00148479,2.5,97.5
E00149489,5.2,94.8
E00149490,6.4,93.6
E00149491,1.9,98.1
E00149492,2,98
E00149493,7.3,92.7
E00165959,0.8,99.2
E00165982,0,100
E00165993,0.5,99.5
E00166226,2.7,97.3
E00166227,3.7,96.3
E00166229,1.4,98.6
E00166231,0,100
E00166232,0,100
E00166234,0,100
E00166235,2.8,97.2
E00166237,0,100
E00166239,0,100
E00166240,0,100
E00166242,0.8,99.2
E00166244,0,100
E00166245,0,100
E00166247,1.6,98.4
E00166248,0,100
E00166250,1.1,98.9
E00166252,0,100
E00166253,0,100
E00166255,0,100
E00166257,0,100
E00166258,0.9,99.1
E00166259,0.8,99.2
E00166260,0.9,99.1
E00166261,0.9,99.1
E00166262,1,99
E00166263,0,100
E00166264,0,100
E00166265,0,100
E00166266,1.3,98.7
E00166269,0,100
E00166270,0,100
E00166271,0,100
E00166272,0,100
E00166273,0,100
E00166274,2.5,97.5
