geography_code,disability_3a-001,disability_3a-002
E00081235,32.6,67.4
E00081236,23.9,76.1
E00081237,18.9,81.1
E00081238,23.4,76.6
E00081239,14.8,85.2
E00081240,13.7,86.3
E00081241,13.5,86.5
E00081242,9.8,90.2
E00081243,22.2,77.8
E00081244,13,87
E00081245,11.4,88.6
E00081246,16.3,83.7
E00081247,17.7,82.3
E00081250,20.6,79.4
E00081252,15.8,84.2
E00081253,17.5,82.5
E00081254,10.3,89.7
E00081256,23.1,76.9
E00081257,18.6,81.4
E00081258,23.4,76.6
E00081259,19.5,80.5
E00081260,17.4,82.6
E00081261,18.5,81.5
E00081262,18.9,81.1
E00081263,21.5,78.5
E00081264,19.5,80.5
E00081265,19.6,80.4
E00081266,14,86
E00081267,20.9,79.1
E00081268,26.6,73.4
E00081274,10.8,89.2
E00081275,22.4,77.6
E00081276,16.5,83.5
E00081277,22.6,77.4
E00081432,10.8,89.2
E00081434,13.4,86.6
E00081628,16.6,83.4
E00167395,17.6,82.4
E00167396,13.9,86.1
E00167397,11.5,88.5
E00167398,13.3,86.7
E00167399,15.9,84.1
E00167403,10.9,89.1
E00167404,9.9,90.1
E00167408,14.2,85.8
E00189622,30.3,69.7
E00189635,11,89
E00189636,17.5,82.5
E00189643,8.3,91.7
E00189658,10.3,89.7
E00189665,13,87
E00189674,13.5,86.5
E00189687,13.4,86.6
E00189693,15.7,84.3
E00189703,17.2,82.8
E00189706,9.1,90.9
E00189746,9.7,90.3
E00189755,27.1,72.9
E00189758,12.2,87.8
E00189760,10.2,89.8
E00189780,9.2,90.8
E00189783,14.7,85.3
E00189792,22,78
