geography_code,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E00081235,9.9,69.7,20.4,0,0
E00081236,43.4,32.2,19.7,2.6,2
E00081237,47,36.1,15.7,1.2,0
E00081238,50.5,29.9,15,3.7,0.9
E00081239,55.3,27.3,14.4,3,0
E00081240,53,32.5,12,2.4,0
E00081241,61.2,23.9,9,4.5,1.5
E00081242,59.6,28.3,9.6,2.4,0
E00081243,39.7,32.8,26.7,0.9,0
E00081244,27.1,52.1,20.8,0,0
E00081245,57,32.4,9.2,1.4,0
E00081246,65.9,21.2,12.9,0,0
E00081247,44.7,34,18.7,2.7,0
E00081250,29.9,56.1,8.4,5.6,0
E00081252,55.3,30.9,11.4,1.6,0.8
E00081253,26.5,30.3,40.5,2.2,0.5
E00081254,36.5,38.2,20.8,4.5,0
E00081256,45.4,37,14.8,0.9,1.9
E00081257,30.9,38.2,29.3,1.6,0
E00081258,40.3,41,15.3,2.8,0.7
E00081259,25.3,38.4,29.3,4,3
E00081260,51,30.2,15.6,3.1,0
E00081261,42.1,31.8,20.6,4.7,0.9
E00081262,37.5,33.9,23.2,4.5,0.9
E00081263,36,50.4,11.2,2.4,0
E00081264,48.5,29.9,19.6,1,1
E00081265,17.9,50.4,27.6,4.1,0
E00081266,38.4,29.5,30.8,1.4,0
E00081267,21.4,36.6,35.1,6.1,0.8
E00081268,55.7,21.3,18,3.3,1.6
E00081274,70,18.9,8.9,2.2,0
E00081275,30.8,32.1,30.1,6.4,0.6
E00081276,54.6,34.3,9.3,0,1.9
E00081277,45.9,29.1,23.8,1.2,0
E00081432,51.9,29.9,16.2,1.9,0
E00081434,29.3,41.8,26.7,2.2,0
E00081628,33.1,44.4,18.8,2.5,1.3
E00167395,20.4,25.1,50.3,4.2,0
E00167396,40.1,41.1,17.9,1,0
E00167397,41.1,34.9,22.4,1.6,0
E00167398,41.3,43,14.9,0.8,0
E00167399,27.1,40.6,28.4,3.2,0.6
E00167403,44,34.4,20,1.6,0
E00167404,28.6,39.5,28.6,3.4,0
E00167408,38.7,38.7,22.6,0,0
E00189622,11.8,60.1,27.5,0.6,0
E00189635,32.5,39.3,23.9,4.3,0
E00189636,12.3,41.8,39,6.8,0
E00189643,38.2,33.6,26.4,1.8,0
E00189658,0.6,32,61.2,6.2,0
E00189665,56.1,32.5,8.9,2.4,0
E00189674,43.9,31.8,20.3,3.4,0.7
E00189687,47.9,37.8,13.4,0.8,0
E00189693,28.9,41.3,28.1,0.8,0.8
E00189703,29.4,31.1,38.7,0.8,0
E00189706,43.4,34.2,21.1,0.7,0.7
E00189746,41.5,36.4,18.6,3.4,0
E00189755,14.1,67.2,18.8,0,0
E00189758,45.2,33.3,19.3,2.2,0
E00189760,50.9,28.4,20.7,0,0
E00189780,39.1,39.1,20,1.7,0
E00189783,0,33.3,61.6,5.1,0
E00189792,24.4,38.5,35.6,1.5,0
