geography_code,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E00078251,13,70.1,16.9
E00078479,5,86,9.1
E00078480,5.2,82.8,12.1
E00078481,14.1,71.2,14.7
E00078482,7.9,72.8,19.3
E00078483,8.5,72.9,18.6
E00078484,12.8,76.1,11.1
E00078485,4.2,74.1,21.7
E00078486,5,84.3,10.7
E00078487,6.3,61.1,32.6
E00078488,8.3,75.9,15.7
E00078489,10.1,81.8,8.1
E00078490,5.2,84.3,10.4
E00078491,12.8,76.9,10.3
E00078492,2.6,82.6,14.8
E00078493,4,85.9,10.1
E00078494,17.3,61.3,21.3
E00078495,10.9,81.3,7.8
E00078496,2.8,83.5,13.8
E00078497,23.9,64.2,11.9
E00078498,6.6,79.1,14.3
E00078499,13.3,74.7,12
E00078500,11,71,18
E00078501,11.1,76.5,12.3
E00078502,15.2,74.7,10.1
E00078503,10.2,77.3,12.5
E00078504,19.8,66.7,13.5
E00078505,19.4,65.7,14.9
E00078506,11.6,69.6,18.8
E00078507,14.6,68.3,17.1
E00112876,7.1,87.6,5.3
E00112877,19.7,64.8,15.6
E00112878,5.6,77.2,17.2
E00112879,8.8,85.6,5.7
E00112880,20.9,58.1,20.9
E00112881,17.5,76.7,5.8
E00112882,9.3,67.8,22.9
E00112883,9.1,73.7,17.2
E00112884,13,79.5,7.5
E00112885,19.1,66.2,14.7
E00112886,10.6,77.7,11.7
E00112913,9.5,77.8,12.7
E00112915,9.4,83.3,7.3
E00112918,15.1,75.3,9.7
E00146242,12.8,74.4,12.8
E00146255,22.2,55.6,22.2
E00146256,9.3,75.9,14.8
E00146258,11.6,66.7,21.7
E00146259,8.7,64.1,27.2
E00146261,13.5,81.1,5.4
E00146262,7.8,58.4,33.8
E00146263,10.8,68.9,20.3
E00146264,15.4,73.8,10.8
E00146265,12,70.7,17.3
E00146266,12.7,77.5,9.9
E00146267,10.8,67.5,21.7
E00146269,10.4,64.6,25
E00146270,6.3,75.9,17.9
E00146271,8.5,80,11.5
E00146272,11.1,70.6,18.3
E00146273,5.3,83.6,11.2
E00146274,3.2,65.6,31.2
E00146275,7.8,75.5,16.7
E00146276,14.8,58,27.2
E00146277,8.2,65.2,26.6
E00146278,14.8,72.2,13
E00146279,15.4,76.9,7.7
E00146318,9.6,78.7,11.8
E00146319,14.1,67.4,18.5
E00146361,10.9,73.9,15.1
E00146362,4.6,84.7,10.7
E00146363,21.5,68.8,9.7
E00146364,6.1,87.8,6.1
E00146366,11.5,69.6,18.9
E00146368,13.3,67.5,19.3
E00146369,11.9,76.2,11.9
E00146370,13.1,71.7,15.2
E00146371,17.6,75.7,6.8
E00146372,2.9,65.7,31.4
E00146373,16.8,68.4,14.7
E00146374,20.3,70.3,9.5
E00146375,14.4,63.3,22.2
E00146376,8.1,76.7,15.1
E00146425,6.7,86.7,6.7
E00146426,14,60.5,25.6
E00146427,7.8,75.6,16.7
E00146428,13.7,63.7,22.6
E00146429,15.9,72.4,11.7
E00146430,4.9,67.1,28
E00146431,10.1,56.2,33.7
E00146432,7.6,87.8,4.6
E00146490,19.6,66.7,13.7
E00146491,7,84.5,8.5
E00146492,13.7,73.3,13
E00146493,13.8,66.2,20
E00146494,14.6,61,24.4
E00146495,17,63.4,19.6
E00146503,12.4,70.8,16.9
E00146504,11.5,76.9,11.5
E00146506,9.6,81.7,8.7
E00146507,13.3,62.2,24.4
E00146508,15.1,68.6,16.3
E00146509,12.2,76.5,11.2
E00146510,6.8,76.3,16.9
E00146511,5.2,72.6,22.2
E00146512,9.6,74,16.3
E00146513,7.9,79.8,12.4
E00146514,8.6,69,22.4
E00146515,6.5,85,8.4
E00146516,21.8,72.4,5.7
E00146517,37.8,45.1,17.1
E00146519,18.5,61.5,20
E00146520,8.7,79.7,11.6
E00146521,9.9,78.6,11.5
E00146522,21.3,70.2,8.5
E00146523,6.7,85.4,7.9
E00146524,15.6,58.9,25.5
E00146525,6.1,80.9,13
E00146526,5.1,86.9,8.1
E00146527,13.6,76.1,10.2
E00146529,4.8,77.8,17.5
E00146530,14.7,76,9.3
E00146533,18.6,59.8,21.6
E00146535,7.1,72.6,20.2
E00146536,27.5,47.1,25.5
E00146537,17.5,57.3,25.2
E00146538,11.1,71.4,17.5
E00146540,14.8,70.4,14.8
E00146541,6.6,65.1,28.3
E00146543,21.6,32.4,45.9
E00146544,13,72.2,14.8
E00146545,21.1,65.6,13.3
E00146546,14.7,66.7,18.6
E00146547,23.1,61.5,15.4
E00146548,41.4,44.8,13.8
E00146549,8.5,66,25.5
E00146550,15.2,72.7,12.1
E00146551,5.8,74.4,19.8
E00146552,8.6,71,20.4
E00146553,17.1,64.2,18.7
E00146554,7.1,82.1,10.7
E00146555,11.8,72.4,15.7
E00146556,14.4,76,9.6
E00146558,17.9,66.7,15.4
E00146559,16.3,61.3,22.5
E00146560,9.9,78.2,11.9
E00146561,14.3,67.6,18.1
E00146562,10.4,71.6,17.9
E00146563,17.6,67,15.4
E00146564,9.3,75.6,15.1
E00146566,12.3,76.7,11
E00146610,12.8,64.4,22.8
E00146611,15.8,73.7,10.5
E00146612,12.5,76.8,10.7
E00146613,9.9,71.2,18.9
E00146614,11.8,76.5,11.8
E00146615,10.4,79.1,10.4
E00146616,8.7,80.9,10.4
E00146634,13.5,67.6,18.9
E00146637,7.4,71.9,20.7
E00146648,15.2,69.6,15.2
