areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E00130017,47.3,36.6,14.3,1.8,0
E00130018,48,33.8,14.2,4.1,0
E00130019,41.1,42.7,12.1,4,0
E00130020,36,48,16,0,0
E00130021,58.2,32,9,0.8,0
E00130022,42.4,47.5,7.6,2.5,0
E00130024,62.5,29.2,6.3,2.1,0
E00130131,55.2,33.9,10.4,0.5,0
E00130132,55.6,33.2,10.3,0.9,0
E00130133,64.8,23.9,9.4,1.9,0
E00130134,47.1,35,14,3.8,0
E00130135,57.9,29.7,9.7,2.8,0
E00130136,47.3,37.1,12.6,3,0
E00130137,51.8,37.8,9.1,1.2,0
E00130213,62.3,27.9,9.8,0,0
E00130214,38.4,41.1,19.2,1.4,0
E00130215,66.4,26.7,6.9,0,0
E00130217,57.5,29.5,10.9,2.1,0
E00130219,54.8,34.9,7.9,2.4,0
E00130220,46.4,37.3,13.7,2.6,0
E00130221,57.7,26.8,9.8,5.7,0
E00130222,53.5,32.7,13.9,0,0
E00130223,58.2,31.3,8.2,2.4,0
E00130224,54.1,31.6,12.8,1.5,0
E00130225,55.6,35.5,8.1,0.8,0
E00130228,64.7,26.5,8.1,0.7,0
E00130229,58.9,33.1,8.1,0,0
E00130230,59.2,27.8,11.8,1.2,0
E00130231,56.5,37.9,4.8,0.8,0
E00130232,38.6,44.1,15.9,1.4,0
E00130233,60.9,27.8,10.4,0.9,0
E00130234,54.4,35.9,9.7,0,0
E00130235,47.1,28.3,19.6,5.1,0
E00130236,72.1,23.3,3.9,0.8,0
E00130773,61.8,32.8,4.6,0.8,0
E00130776,21.7,37.4,31.3,9.6,0
E00130778,57,36.4,5.8,0.8,0
E00130781,61.3,33.3,5.4,0,0
E00130782,52.5,35.6,11,0.8,0
E00130783,49.6,37,12.6,0.8,0
E00130789,68.6,24.8,5.8,0.8,0
E00130996,54.4,28.9,12.3,4.4,0
E00130997,61,29.9,7.1,1.9,0
E00130998,57.1,33.8,7.8,1.3,0
E00130999,53.1,27,15.2,4.7,0
E00131000,54.5,30.5,12,2.4,0.6
E00131001,56.2,36.4,7.4,0,0
E00131012,65.8,26.1,6.3,1.8,0
E00131025,33.1,33.8,25.7,5.9,1.5
E00131026,39.6,27.9,26.6,5.8,0
E00131027,37.1,30.6,27.4,4,0.8
E00131028,51.9,29,16.8,2.3,0
E00131030,40.7,39,18.6,1.7,0
E00131031,32.4,41.7,23.7,2.2,0
E00131032,56.8,32,8.8,1.6,0.8
E00131033,47.5,32,17.2,3.3,0
E00131034,53,39,7.3,0.6,0
E00131035,48.8,33.7,13.3,3.6,0.6
E00131036,45.5,39.6,10.4,3,1.5
E00131037,54.3,29.5,15.2,1,0
E00131038,56.2,30.9,11.1,1.9,0
E00131039,39.3,43,13.1,4.7,0
E00131040,55.2,39.7,5.2,0,0
E00131041,41.3,36.4,16.1,6.3,0
E00131042,48.9,35.6,9.6,5.9,0
E00131043,51,29.4,15.5,4.1,0
E00131044,38.8,40.3,17.1,3.9,0
E00131045,45.3,32.4,17.3,5,0
E00131046,36.4,40.3,14.3,7.8,1.3
E00131047,61.3,32.4,5.4,0.9,0
E00131048,60.4,33,5.7,0.9,0
E00131049,40.3,42.5,14.9,2.2,0
E00131050,47.4,40.8,10.5,1.3,0
E00131051,45.3,39.9,13.5,1.4,0
E00131052,36.5,40.9,20,2.6,0
E00131053,41.7,40.2,13.6,4.5,0
E00131054,37.8,39.3,20.7,2.2,0
E00131055,57.3,36.3,6.5,0,0
E00131056,26.5,44.2,20.4,7.5,1.4
E00131057,51.7,35.7,10.5,2.1,0
E00131058,42.6,42.6,11.8,2.9,0
E00131059,56.4,32.1,9.6,1.3,0.6
E00131060,57.6,27.2,12,3.2,0
E00131061,47.2,31.7,17.1,4.1,0
E00131062,54.3,24.3,15.7,5.7,0
E00131063,70.1,22.8,7.1,0,0
E00131064,51.7,37.2,10.3,0.7,0
E00131065,51.9,29.2,16,2.8,0
E00131066,34.7,43.8,18.2,3.3,0
E00131067,50.8,37.7,10.7,0.8,0
E00131068,40.2,40.2,17.9,1.8,0
E00131069,45.7,33.9,15,4.7,0.8
E00131070,29.9,40.9,20.5,8.7,0
E00131071,43.8,32.1,20.5,3.6,0
E00131072,33.9,30.3,28.4,7.3,0
E00131073,29.6,36,25.6,8.8,0
E00131074,39.3,31.9,23.7,5.2,0
E00131075,65.9,27.8,6.3,0,0
E00131076,60.1,29.4,8.5,2,0
E00131077,69.4,26.4,4.1,0,0
E00131078,66.3,24.5,6.7,2.5,0
E00131081,47.6,36.2,14.3,1,1
E00131082,44.8,37.4,16.1,1.7,0
E00131083,53.6,36.9,8.9,0.6,0
E00131084,53.2,29.4,17.5,0,0
E00131085,47.6,39.9,12.6,0,0
E00131086,54.3,32.1,13.6,0,0
E00131087,63.4,32,4.1,0.5,0
E00131088,66.1,30.9,3,0,0
E00131089,62.6,28,6.2,3.3,0
E00131090,71,21.3,7.1,0.6,0
E00131091,52.4,33.5,12.8,1.2,0
E00131092,25.7,48.6,23,2.7,0
E00131093,46.6,38.8,13.8,0.9,0
E00131094,56.1,38.6,5.3,0,0
E00131095,48.8,36.4,12.4,2.3,0
E00131096,59.4,31.1,9.4,0,0
E00131097,70.5,26.7,1.9,1,0
E00131098,57.2,37.7,5.1,0,0
E00131099,57.9,34.1,7.3,0.6,0
E00131100,60.2,32,7.8,0,0
E00131101,42.2,43,13.3,1.6,0
E00131102,46,37.9,13.7,1.6,0.8
E00131115,52.1,31.9,14.7,1.2,0
E00131116,53.2,30.2,15.1,0.7,0.7
E00131118,35.6,45.2,15.8,3.4,0
E00131119,59.4,31.3,7,2.3,0
E00131120,33.1,37.2,14.9,14.9,0
E00131121,37,38.7,19.1,5.2,0
E00131122,46.4,37.2,14.8,1.6,0
E00131123,52.3,31.5,14.4,1.8,0
E00131124,39.1,35.5,20.3,5.1,0
E00131126,53,28.5,15.9,2.6,0
E00131127,46.6,35.6,15.1,2.7,0
E00131128,36.3,35.6,21.9,6.2,0
E00131129,49.5,33.9,14.1,2.6,0
E00131130,45.4,40,13.5,1.1,0
E00131131,42,42.5,14,1.6,0
E00131132,40.3,39.6,17.9,2.2,0
E00131133,53.6,35.7,9.3,1.4,0
E00131134,49.2,37.4,11.7,1.7,0
E00131135,40.2,39.3,14.8,5.7,0
E00131136,49.6,28.7,20,1.7,0
E00131137,41.5,40.6,16,1.9,0
E00131138,48.6,36.9,13.5,0.9,0
E00131139,47.1,37,15.1,0.8,0
E00131140,52.1,35.7,10.7,1.4,0
E00131141,52.7,34.1,12.4,0.8,0
E00131142,36.4,37.3,20.3,5.9,0
E00131143,40.9,36,15.6,7.5,0
E00131144,30,31.5,25.4,13.1,0
E00131166,54.7,30.6,11.2,3.5,0
E00131167,46.7,32.7,16.7,4,0
E00131168,60,24,13.6,2.4,0
E00131169,45.7,32.8,18.1,3.4,0
E00131170,51.7,35.2,12.4,0.7,0
E00131171,45.3,29.1,17.9,6.8,0.9
E00131172,43,41.1,13.1,2.3,0.5
E00131173,41.9,40.3,16.1,1.6,0
E00131174,46.1,31.3,20.3,2.3,0
E00131175,53.8,32.3,11.4,2.5,0
E00131176,42,35.5,21.7,0.7,0
E00131177,38.2,38.9,16.7,5.6,0.7
E00131178,51.3,33.6,11.8,3.4,0
E00131179,50,30.9,14.5,4.5,0
E00131180,52.7,37.3,6.8,3.2,0
E00131181,53.2,36.7,10.1,0,0
E00131182,36.1,32.3,24.7,7,0
E00131183,42.3,35.1,17.5,5.2,0
E00131184,51.3,35,12,1.7,0
E00131185,40.5,32.5,17,9,1
E00131186,50.8,36.1,13.1,0,0
E00131187,46.7,36.5,15.3,1.5,0
E00131191,55.1,33.1,8.7,3.1,0
E00131192,10.9,39.5,41.2,7.6,0.8
E00131193,50.6,36.3,10.7,1.8,0.6
E00131196,50,39.4,10.6,0,0
E00131197,61.6,27.3,10.1,1,0
E00131198,60.9,26.1,12.2,0.9,0
E00131199,46.3,38.9,12,2.8,0
E00131200,49,35.6,13.5,1.9,0
E00131201,53.2,36.5,8.7,1.6,0
E00131202,53.2,29.8,13.7,3.2,0
E00131203,57.3,37.1,5.6,0,0
E00131205,55.2,31.9,11.7,1.2,0
E00131206,53.2,33.3,13.5,0,0
E00131207,56.9,26.2,13.8,3.1,0
E00131208,35.1,40.4,21.3,3.2,0
E00131209,43.5,32.2,19.1,5.2,0
E00131210,51.4,34.2,11,2.7,0.7
E00131211,43.4,42,14.7,0,0
E00131212,54,33.7,12.3,0,0
E00131213,55.7,32.9,9.3,2.1,0
E00131214,62.3,29.8,6.6,1.3,0
E00131215,57.6,36.4,6,0,0
E00131216,60.8,29.6,7.2,2.4,0
E00131217,60.5,28.9,7.9,2.6,0
E00131218,48.4,33,13,5.6,0
E00131220,52.2,35.3,11,1.5,0
E00131222,58.5,30.5,8.5,2.4,0
E00131223,52.2,35.7,9.6,2.6,0
E00131224,58.3,32.5,8.3,0.8,0
E00131225,51.6,32.3,13,3.1,0
E00131226,59.4,35.9,4.7,0,0
E00131227,52.3,34.4,13.3,0,0
E00131228,57.4,36.8,5.9,0,0
E00131230,55.5,25.8,15.9,2.7,0
E00131231,36,47,17,0,0
E00131232,38.6,41.4,20,0,0
E00131233,41.9,44.2,11.6,2.3,0
E00131234,45.7,39.5,14,0.8,0
E00131235,39.5,41.2,16,3.4,0
E00131236,46.7,33.6,13.1,5.7,0.8
E00131237,52.8,32.5,12.2,2.4,0
E00131238,38,42,14,6,0
E00131239,58.1,36.8,4.4,0.7,0
E00131240,37.3,33.6,20.1,9,0
E00131241,46.6,36,12.2,5.3,0
E00131242,49.2,34.7,15.3,0.8,0
E00131243,29.4,45,18.8,5.6,1.3
E00131244,65.5,29.7,3.6,0.6,0.6
E00131246,38,33.7,24.1,4.2,0
E00131247,43.6,41.9,13.7,0.9,0
E00131248,24,27.2,27.2,17.6,4
E00131249,47.5,36.7,14.2,1.7,0
E00131250,38.9,37.4,20.6,3.1,0
E00131251,45,32.5,15.8,5.8,0.8
E00131252,64.5,17.7,16.9,0.8,0
E00131253,45.9,39.6,10.8,3.6,0
E00131254,51.9,27.8,15.2,5.1,0
E00131255,55.3,29.3,12.8,2.7,0
E00131256,64.3,28,4.8,2.4,0.5
E00131257,58.7,31.2,7.2,2.9,0
E00131258,49.6,30.3,16.8,3.4,0
E00131259,30.3,35.3,21,13.4,0
E00131260,53.7,29,14,3.3,0
E00131261,50.9,36.8,12.3,0,0
E00131307,56.4,30.9,12.1,0.7,0
E00158945,65.1,28.8,6.2,0,0
E00158946,49.3,37,11.6,2.2,0
E00158947,51.3,37.6,10.3,0.9,0
E00158948,52,41.2,6.9,0,0
E00168313,71.4,27.9,0.7,0,0
E00170659,28.9,43.3,21.6,5.2,1
E00170660,54.5,35.3,8.4,1.8,0
E00170661,56.4,34,9.6,0,0
E00170662,60.4,33,6.6,0,0
E00170663,47.7,38.6,9.1,4.5,0
E00170664,28.5,41.4,23.7,5.9,0.5
E00170665,51.7,33.1,9.3,5.9,0
E00170666,69.5,22.9,7.1,0.5,0
E00170668,63.5,24.5,9.9,2.1,0
E00170669,64.4,23.7,11,0.8,0
E00170670,68.2,25.2,6.5,0,0
E00170671,52.2,35.4,12.4,0,0
E00170672,65.8,28.8,5.4,0,0
E00170673,45.4,36.1,18.6,0,0
E00170674,56.8,30.5,8.4,4.2,0
E00170675,55.3,29.8,9.6,4.4,0.9
E00170676,58.9,32.6,8.5,0,0
E00170683,56.9,36.9,6.2,0,0
E00186843,50,34,13.2,2.8,0
E00187339,63.2,28.8,7.2,0.8,0
E00187340,63.6,30.3,5.1,1,0
E00187344,67.4,25.4,7.2,0,0
E00187348,28.4,34.7,29.5,7.4,0
E00187351,42.5,28.8,17.1,9.6,2.1
E00187358,75.8,19.2,3,1,1
E00187359,70.9,23.1,6,0,0
E00187364,74.1,17.7,8.2,0,0
E00187367,54.7,32.1,7.5,5.7,0
E00187369,60.3,23,12.6,4,0
E00187375,62,29.7,8.2,0,0
E00187377,50.6,37,11.7,0.6,0
E00187381,69.4,21,8.1,1.6,0
E00187397,47,41.9,9.4,1.7,0
E00187398,64.2,29.5,5.3,1.1,0
E00187401,49,35.4,10.6,2,3
E00187406,56.1,32.7,8.8,2.4,0
E00187408,27.8,32.5,27.8,11.9,0
E00187410,60.7,29.5,7.4,2.5,0
E00187414,53.4,28.4,13,4.8,0.5
E00187428,55.6,38.9,5.6,0,0
E00187431,75,20.2,3.6,1.2,0
E00187433,69.4,18.8,10.6,1.2,0
E00187442,68.4,23.6,5.8,2.2,0
E00187443,65.3,26.3,6.3,2.1,0
E00187449,57.1,35.7,7.1,0,0
E00187450,62.6,26,7,4.4,0
E00187452,64.8,27.2,6.4,1.6,0
E00187469,53.7,37.2,9.1,0,0
E00187473,67.3,27.1,5.6,0,0
E00187476,57.8,32.7,8.2,1.4,0
E00187484,59.3,28.7,10,2,0
E00187489,69.8,25.4,4.8,0,0
E00187494,41.7,39.1,16.5,2.6,0
E00187496,44,36,18.7,1.3,0
E00187505,80.5,17.1,2.4,0,0
