geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02001678,12.9,21.3,51.8,14
E02001679,9.5,25.6,57,7.8
E02001680,9.7,27,56.6,6.7
E02001681,10.1,22.1,58.2,9.6
E02001827,10.4,17.5,59.4,12.6
E02001828,11.1,19.3,57.2,12.4
E02001829,10.3,18,59.2,12.4
E02001830,11.5,17.6,56.5,14.4
E02001831,9,18.8,63.5,8.7
E02001832,10,17.8,60.9,11.3
E02001833,9.2,18.2,63,9.6
E02001834,7.6,22.7,61,8.7
E02001835,9.3,16,62.3,12.3
E02001836,9.9,17.1,62.4,10.5
E02001837,9.4,23,61,6.5
E02001838,10.3,17.5,60.6,11.6
E02001839,9,19.7,63.7,7.6
E02001840,9.5,21.8,61.2,7.5
E02001841,11.1,16.5,59.8,12.6
E02001842,9.1,19.1,64.7,7.1
E02001843,8.3,19.7,64.1,7.8
E02001844,7.8,17.8,64.2,10.2
E02001845,7.6,19.7,65.9,6.8
E02001846,9.4,22.2,61.5,6.9
E02001847,9.3,19.4,61.9,9.4
E02001848,11.1,22.2,60.6,6.1
E02001849,9.3,19.7,64.1,6.8
E02001850,10.6,21.5,62.2,5.7
E02001851,8.8,18.7,64.1,8.5
E02001852,9.4,21.2,62.2,7.2
E02001855,7.7,23.1,63.3,5.9
E02001856,11.3,21.3,60.8,6.5
E02001857,9.7,20.6,62,7.7
E02001858,12.4,19.4,60.5,7.8
E02001859,13.6,30.3,52.1,4
E02001860,12.9,26.6,55,5.5
E02001861,13.7,27.8,53.7,4.7
E02001862,12.2,24.5,57.2,6.1
E02001863,14.5,31.2,49.7,4.6
E02001865,13.9,27.4,52.8,5.8
E02001866,15.7,31.6,47.6,5
E02001867,14.8,32.5,48.9,3.9
E02001868,12.1,27.7,53.8,6.3
E02001869,17.1,32.4,45.7,4.8
E02001870,13.8,30.4,51,4.8
E02001871,7.8,22.3,63.7,6.2
E02001872,8,20.7,63.8,7.5
E02001873,14.1,25.4,54.7,5.8
E02001874,16.4,30.2,49.6,3.9
