geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02001678,90.4,2.6,6.9
E02001679,70.6,6.5,23
E02001680,64.7,6.9,28.4
E02001681,86.6,3.2,10.3
E02001827,87.6,3.6,8.8
E02001828,87.6,3.4,9
E02001829,89.1,3.7,7.2
E02001830,89.9,4.4,5.7
E02001831,79.2,5.5,15.3
E02001832,87.2,4.7,8.1
E02001833,85.8,4.7,9.6
E02001834,74.8,6.3,18.9
E02001835,84.8,6,9.2
E02001836,85.4,5.6,8.9
E02001837,65,10.6,24.4
E02001838,88.2,4.3,7.5
E02001839,76.9,6.7,16.4
E02001840,68.3,10.7,21
E02001841,89.6,4,6.4
E02001842,79.8,8.1,12.1
E02001843,76.5,8.3,15.2
E02001844,80.3,6.5,13.2
E02001845,78.6,8.1,13.3
E02001846,66.3,15.4,18.3
E02001847,84.8,5.3,9.9
E02001848,67.4,14,18.5
E02001849,66.4,16.2,17.4
E02001850,75.9,14.9,9.2
E02001851,76.5,9.4,14.1
E02001852,68.8,16.3,14.9
E02001855,73.5,5.2,21.3
E02001856,67.4,20,12.6
E02001857,65.1,18.1,16.9
E02001858,72,18.9,9.1
E02001859,74.5,18.8,6.7
E02001860,61.5,28.5,10
E02001861,73.7,17.3,9
E02001862,66.1,24.6,9.3
E02001863,72.4,18.6,9
E02001865,68.1,23.4,8.5
E02001866,77.1,15.1,7.9
E02001867,77.1,15.4,7.5
E02001868,84.8,8.3,6.8
E02001869,65,21,14
E02001870,76.6,14.4,9
E02001871,73.7,7.3,19
E02001872,72.6,5.8,21.6
E02001873,63.4,24.2,12.4
E02001874,75.8,16.2,8
E02001875,71.6,19,9.4
E02001876,68.1,24.5,7.4
E02001877,76.8,17.4,5.8
E02001878,76,17,7
E02001879,67.3,20.7,12
E02001880,71.1,11.2,17.7
E02001881,75.7,15.2,9.1
E02002000,69.7,4.7,25.6
E02002001,76.8,1.6,21.7
E02002002,83.4,1.3,15.3
E02002003,76.2,2.9,20.9
E02002004,73.2,3.5,23.3
E02002005,64.5,8.4,27.1
E02002006,72.8,2.5,24.7
E02002007,77.6,1.3,21.2
E02002008,85.2,2.9,11.9
E02002009,67.3,13.1,19.6
E02002010,65.9,14.1,20
E02002011,84.5,1.4,14
E02002012,65.9,7.5,26.6
E02002013,83.3,1.4,15.3
E02002014,67.7,12.6,19.7
E02002015,78.9,2.3,18.8
E02002016,64.1,5.5,30.4
E02002017,69.4,7,23.6
E02002018,84.7,0.9,14.4
E02002019,71,3.2,25.8
E02002020,82.6,1.1,16.3
E02002043,71.7,5.9,22.4
E02002044,75.5,9.1,15.3
E02002045,71.1,6.6,22.3
E02002046,61.4,7.8,30.8
E02002047,70.4,7.8,21.8
E02002048,84.6,5.4,9.9
E02002049,69.7,7.7,22.7
E02002051,60.3,8.4,31.3
E02002052,63.8,15,21.2
E02002053,77.2,10.6,12.3
E02002054,78.1,10.1,11.8
E02002055,63.4,18.5,18.1
E02002056,62,10,28
E02002057,68.7,11.9,19.3
E02002058,66.2,16.9,16.9
E02002059,63.7,22,14.3
E02002060,60.6,19.9,19.4
E02002061,60.3,25.5,14.3
E02002062,59.8,25.2,15
E02002063,69.6,15.5,14.9
E02002064,68.9,8.9,22.2
E02002065,62.8,28.4,8.8
E02002066,67.2,18.7,14.2
E02002067,73.4,5.7,20.9
E02002069,67.4,9.6,23.1
E02002070,58.3,28.7,13.1
E02002071,69.2,4.9,26
