geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02001678,95,1.6,3.4
E02001679,91.7,1,7.4
E02001680,90.1,1.1,8.8
E02001681,94.6,1.5,3.9
E02001827,94.6,1.8,3.6
E02001828,94.9,1.5,3.7
E02001829,94.8,1.3,3.9
E02001830,93.6,2,4.5
E02001831,93.3,1.4,5.3
E02001832,94,1.4,4.6
E02001833,94.5,1.2,4.2
E02001834,93.1,1.2,5.6
E02001835,92.3,1.5,6.2
E02001836,92.4,2,5.6
E02001837,87.9,1.6,10.5
E02001838,94.7,1.3,3.9
E02001839,91.8,1.5,6.7
E02001840,88.2,1.6,10.2
E02001841,94.2,1.7,4
E02001842,89.7,1.8,8.4
E02001843,91.6,1.1,7.3
E02001844,91.6,1.7,6.7
E02001845,90.8,1.4,7.8
E02001846,83.5,1.5,14.9
E02001847,93.9,1.2,4.9
E02001848,82.9,1.9,15.1
E02001849,80.5,2.6,17
E02001850,83.3,1.8,14.9
E02001851,89.4,1.6,9
E02001852,82.2,1.9,15.9
E02001855,94.3,0.9,4.8
E02001856,77,2.5,20.5
E02001857,79.8,2.7,17.5
E02001858,77.6,2.6,19.8
E02001859,78.1,2.4,19.6
E02001860,67.2,2.8,30
E02001861,78.5,2.2,19.4
E02001862,71.1,3.1,25.8
E02001863,76.6,2.1,21.3
E02001865,72.3,2.1,25.6
E02001866,80.5,2.2,17.3
E02001867,80.9,3.1,16
E02001868,89,2.7,8.3
E02001869,73.4,1.8,24.8
E02001870,82.3,2.6,15.1
E02001871,91.1,1.3,7.6
E02001872,93.5,1.1,5.4
E02001873,69.9,2.8,27.3
E02001874,80.7,2.3,16.9
E02001875,75.5,2.4,22.1
E02001876,70.3,3.3,26.4
E02001877,79.7,2.6,17.7
E02001878,78.1,2.9,19
E02001879,75.1,2.5,22.3
E02001880,87.2,1.7,11.1
E02001881,81,2.7,16.3
E02002000,95.1,0.8,4.2
E02002001,98.1,0.4,1.5
E02002002,98.3,0.5,1.2
E02002003,96.6,0.6,2.7
E02002004,95.8,0.6,3.6
E02002005,91.2,1,7.8
E02002006,97.1,0.4,2.6
E02002007,98.3,0.4,1.3
E02002008,96.3,0.9,2.8
E02002009,85,1.8,13.3
E02002010,83.3,2.1,14.5
E02002011,98.3,0.3,1.4
E02002012,92.1,0.9,7.1
E02002013,98.4,0.3,1.3
E02002014,85.6,1.8,12.6
E02002015,97.4,0.5,2.1
E02002016,93.9,0.6,5.5
E02002017,92.3,0.9,6.8
E02002018,98.5,0.4,1.1
E02002019,95.9,0.7,3.4
E02002020,98.4,0.3,1.4
E02002043,93.9,0.9,5.2
E02002044,90.7,1.9,7.4
E02002045,93.2,0.7,6.1
E02002046,92.4,0.6,7
E02002047,91.3,1.1,7.6
E02002048,93.2,1.1,5.7
E02002049,92.3,0.5,7.2
E02002051,91.4,0.8,7.8
E02002052,84.7,1.3,14
E02002053,88,1.4,10.5
E02002054,88.5,2.4,9.2
E02002055,81.1,1.8,17.1
E02002056,89.6,1.1,9.3
E02002057,87.6,1.5,10.9
E02002058,82.6,2,15.5
E02002059,76.2,2.2,21.6
E02002060,78.8,1.7,19.4
E02002061,72.5,2.2,25.3
E02002062,72.4,2.4,25.3
E02002063,83,2.2,14.8
E02002064,90.4,1.2,8.4
E02002065,67.5,2.6,30
E02002066,78.3,2.3,19.4
E02002067,92.9,1.2,6
E02002069,88.7,1.4,9.8
E02002070,67.8,2.2,30
E02002071,94.2,0.7,5
E02002072,86.5,1.3,12.2
E02002073,85.3,1.7,13
E02002081,96.9,0.6,2.4
E02002082,95.8,0.7,3.5
E02002083,97.3,0.6,2.1
E02002084,95.5,0.9,3.6
E02002085,94.4,0.9,4.7
E02002110,97.4,0.6,2.1
E02002111,96.6,0.5,2.9
E02002112,98,0.6,1.4
E02002113,96.6,0.5,2.9
E02002114,98,0.5,1.5
E02002115,95.5,0.4,4
E02002116,97.7,0.6,1.7
E02002117,97.4,0.5,2.1
E02002118,94.2,0.6,5.2
E02002119,96.7,0.5,2.9
E02002120,96.4,0.6,3
E02002121,93.2,0.7,6.1
E02002122,86.4,1.3,12.3
E02002123,94.3,0.5,5.2
E02002124,96.6,0.5,2.9
E02002125,95.8,0.7,3.5
E02002126,94,0.9,5.1
E02002127,81.9,1.9,16.2
E02002128,93.9,0.3,5.8
E02002129,94.2,0.7,5.1
E02002130,89.6,1.8,8.6
E02002131,96.9,0.9,2.1
E02002132,91.5,0.7,7.8
E02002133,87.8,1.8,10.4
E02002134,89.3,1,9.7
E02002135,79.3,2.3,18.4
E02002136,85.9,1.5,12.5
E02002137,95.6,1.1,3.3
E02002138,87,3.2,9.8
E02002139,77.9,2.6,19.5
E02002140,77.4,2.7,20
E02002141,96.2,1.1,2.7
E02002142,86.8,1.4,11.7
E02002143,77.2,2.7,20.1
E02002144,92,2.1,5.9
E02002145,86.7,1.3,12.1
E02002146,87.9,1.5,10.6
E02002147,89.7,1,9.3
E02002148,96,0.9,3.1
E02002149,93.1,0.9,6
E02002150,89.2,1.8,9
E02002151,89.9,1.3,8.8
E02002152,90.9,0.9,8.2
E02002153,96.6,0.6,2.8
E02002154,86.3,1.7,12
E02002155,85.7,1.6,12.8
E02002156,91.3,1.1,7.5
E02002157,92.3,1,6.6
E02002158,93.2,1,5.8
E02002159,76,1.6,22.4
E02002160,88.9,1.1,10
E02002161,71.4,2.7,25.9
E02002162,94,1.2,4.8
E02002163,73,2.1,24.9
E02002164,63.1,2.5,34.5
E02002165,77,2.4,20.6
E02002166,84.9,1.2,14
E02002167,94.1,1.5,4.4
E02002168,68.5,2.7,28.8
E02002169,93.1,1.9,5.1
E02002170,87.1,1.1,11.8
E02002171,87.5,1.5,11
E02002174,91.2,1.5,7.3
E02002175,80.2,1.4,18.4
E02002176,93.6,1.2,5.2
E02002177,77,2,21
E02002178,81.3,2.4,16.4
E02002179,94.7,1,4.3
E02002180,87.2,1.2,11.6
E02002181,89.8,1.4,8.9
E02002182,92,0.9,7
E02002586,96.2,0.3,3.4
E02002587,96.4,0.8,2.8
E02002588,96.8,0.4,2.8
E02002589,98.6,0.3,1.1
E02002796,96.5,1.3,2.2
E02002797,95.6,0.9,3.5
E02002798,95.3,1.2,3.5
E02002799,92,1.4,6.6
E02002800,91.2,2.7,6.1
E02002801,95.7,0.7,3.7
E02002802,90.5,1.2,8.3
E02002803,85.8,2.5,11.7
E02002804,91.1,1.6,7.3
E02002806,82.5,2.3,15.2
E02002807,94.8,0.7,4.5
E02002808,73.4,2.5,24.1
E02002810,92.9,1.8,5.4
E02002811,63.7,3.2,33
E02002812,85.2,3.3,11.5
E02002813,68.3,3,28.8
E02002814,93.7,1.5,4.7
E02002815,67.2,3,29.8
E02002816,88.9,3.2,7.9
E02002817,89.1,2.4,8.5
E02002818,72.9,3.1,24
E02002819,89.8,1.6,8.6
E02002820,88,2.4,9.6
E02002821,80,2.2,17.9
E02002822,86.8,2.6,10.6
E02002823,94.7,0.9,4.4
E02002824,80.7,1.7,17.6
E02002825,92.1,1.3,6.6
E02002826,94.9,1.4,3.7
E02002928,97,0.8,2.2
E02002929,95.7,1.1,3.2
E02002930,95.1,1.2,3.7
E02002931,95.4,0.8,3.7
E02002932,88.2,1,10.8
E02002933,94.4,0.7,4.9
E02002934,90.6,1.5,7.9
E02002935,91.4,0.8,7.8
E02002936,82.1,1.8,16
E02002937,96.7,0.9,2.4
E02002938,84.6,1.3,14.1
E02002939,89.7,1.1,9.1
E02002940,95.6,0.9,3.6
E02002941,93.6,0.7,5.6
E02002942,94.1,1.4,4.5
E02002944,89.6,1,9.4
E02002945,84.5,1.6,13.9
E02002946,95.9,0.7,3.4
E02002947,88.7,0.8,10.5
E02002948,92,0.8,7.1
E02002949,96,1,3
E02002950,90.5,0.6,8.8
E02002951,97,0.5,2.5
E02002952,93.2,1,5.8
E02002953,95.3,0.6,4
E02002954,94.7,0.6,4.7
E02002955,82.5,2.2,15.2
E02002956,92.4,0.9,6.8
E02002957,97.4,0.3,2.3
E02002958,94.8,0.5,4.7
E02002959,83.7,1.7,14.6
E02002960,93.2,0.8,6.1
E02002961,77.2,2.5,20.3
E02002962,93.9,0.7,5.4
E02002963,84.9,1.7,13.3
E02002964,95.2,0.6,4.2
E02002965,73.6,2.3,24.1
E02002966,78,2.5,19.5
E02002967,89,1.1,9.9
E02002968,86,2.4,11.7
E02002969,82.3,2,15.8
E02002970,90.8,0.9,8.3
E02002973,88.8,1.7,9.6
E02002974,97.2,0.5,2.4
E02002975,98.4,0.5,1.1
E02002976,95,0.6,4.4
E02002977,94.8,0.7,4.5
E02002978,92,1.1,6.9
E02002979,82.6,2.6,14.8
E02002980,96.6,0.6,2.8
E02002981,94.1,0.8,5.1
E02002982,92.6,1.3,6.1
E02002983,98.2,0.3,1.6
E02002984,97.2,0.8,2
E02003800,97,1,1.9
E02003809,95.4,1,3.6
E02003810,97,0.9,2.1
E02003811,97,0.9,2.1
E02003812,96.5,1,2.5
E02003813,96.3,0.8,2.9
E02003814,96.3,0.7,3
E02003815,97.3,0.6,2.1
E02003816,96.3,0.8,2.8
E02003817,97.4,0.9,1.7
E02003818,96.8,0.8,2.4
E02003819,96.7,1.1,2.2
E02003820,95.9,1.1,3
E02003821,97.2,0.5,2.3
E02003822,97.7,0.8,1.5
E02003823,96.9,0.7,2.4
E02003824,97,0.9,2
E02003825,94.4,0.8,4.8
E02003826,90.4,1.1,8.5
E02003827,79.2,1.9,18.8
E02003828,84.1,1.5,14.3
E02003829,89.8,1.2,8.9
E02003830,77.1,2.2,20.7
E02003831,96.7,1.1,2.2
E02003832,64.8,1.9,33.3
E02003833,92.9,1.5,5.7
E02003834,75.8,2,22.2
E02003835,96.7,0.9,2.5
E02003836,95.3,1.4,3.3
E02003838,96.4,1,2.6
E02003839,94.9,1.3,3.7
E02003840,97.6,0.6,1.8
E02003858,91.1,1.9,7
E02003859,96.4,1.1,2.6
E02003860,94.1,1.7,4.2
E02003861,93.9,1.9,4.2
E02003862,96.3,1.1,2.6
E02003863,94.5,1.4,4.1
E02003864,93.6,1.4,4.9
E02003865,95.5,1.4,3.1
E02003866,95.5,1.3,3.2
E02003867,94.2,1.6,4.3
E02003868,93.4,1.4,5.2
E02003869,93.7,1.6,4.8
E02003870,90.4,1.8,7.8
E02003871,96.2,1,2.8
E02003872,96.4,1.3,2.3
E02003873,93.7,1.1,5.2
E02003874,96.4,0.8,2.8
E02003875,97.7,0.7,1.7
E02003876,96.8,0.5,2.6
E02003877,96.7,1.1,2.2
E02003878,96.9,0.8,2.3
E02003879,93.6,1.1,5.3
E02003880,97.2,0.6,2.2
E02003881,93.2,1,5.8
E02003882,93.5,1,5.5
E02003883,95.4,1.4,3.2
E02003884,95.9,1,3
E02003885,97.6,0.7,1.7
E02003886,93.5,0.6,5.9
E02003887,95.9,0.9,3.1
E02003888,94.5,0.7,4.8
E02003889,97.1,0.5,2.4
E02003890,96.2,0.7,3.1
E02003891,96.5,1.1,2.4
E02004030,97.6,0.7,1.7
E02004034,98.6,0.2,1.2
E02004035,97.6,0.9,1.5
E02004037,97.6,0.7,1.7
E02004038,95.5,1.6,2.9
E02004039,97.9,0.7,1.4
E02004043,97.7,0.8,1.4
E02004044,95.7,1.3,3
E02004055,97.3,0.5,2.2
E02004058,96.2,0.9,2.9
E02004061,95.7,0.6,3.7
E02004062,97,0.8,2.2
E02004063,96.4,1,2.6
E02004064,92.4,1.3,6.3
E02004065,97.4,0.8,1.8
E02004066,95.7,0.8,3.5
E02004067,95.8,0.5,3.6
E02004068,95.7,1.7,2.5
E02004069,96.3,1.4,2.3
E02004072,96.6,1,2.3
E02004073,95.9,1.1,3
E02004074,95.3,1.6,3
E02004075,96.8,1,2.2
E02004076,96,1,3
E02004077,97.3,0.9,1.8
E02004081,97.5,0.9,1.6
E02004100,96,1.3,2.7
E02004102,93.6,1.5,5
E02004103,95.8,0.6,3.6
E02004104,96.9,1,2.1
E02004106,98.3,0.4,1.3
E02004108,97.3,0.8,1.9
E02004109,97.7,0.6,1.7
E02004110,97.4,0.7,1.9
E02004112,97.6,0.6,1.8
E02004114,97.7,0.6,1.7
E02004116,97.4,0.4,2.1
E02004118,96.8,0.9,2.3
E02004119,96.1,0.7,3.2
E02004120,90.7,1.5,7.8
E02004122,97.1,0.9,2
E02004123,96.9,0.8,2.3
E02004124,96.3,0.8,2.8
E02004125,97,0.5,2.5
E02004126,96.1,0.7,3.2
E02004128,97.5,0.5,2
E02005384,96.2,0.8,3
E02005399,95.5,1.3,3.2
E02005401,96.8,0.9,2.3
E02005402,96.7,0.8,2.5
E02005404,97.7,0.4,1.9
E02005408,95.1,0.8,4.1
E02006008,97.2,0.7,2.1
E02006009,94.7,0.9,4.4
E02006010,97.3,0.7,2
E02006011,98.1,0.5,1.4
E02006012,96.8,1,2.3
E02006013,97.8,0.4,1.8
E02006015,95.5,0.6,3.9
E02006016,97,0.6,2.4
E02006018,95.6,0.7,3.7
E02006019,96.5,0.8,2.7
E02006020,95.7,0.9,3.4
E02006021,97.3,0.7,1.9
E02006022,97.4,0.5,2
E02006029,93.6,0.9,5.5
E02006030,94.7,0.5,4.8
E02006031,89.7,1.8,8.5
E02006032,96.3,0.8,2.9
E02006033,90.1,2.1,7.8
E02006034,93.1,1.3,5.6
E02006035,96.1,0.6,3.3
E02006036,94.3,1.4,4.3
E02006037,93.7,1.7,4.6
E02006038,97.2,0.9,1.9
E02006040,94.7,1.1,4.3
E02006042,95.5,1.6,2.9
E02006118,98.1,0.3,1.6
E02006119,96.1,0.5,3.3
E02006120,97,0.4,2.6
E02006121,98.5,0.4,1.1
E02006122,97.5,0.6,1.9
E02006123,98.5,0.3,1.2
E02006124,97,0.5,2.5
E02006125,97.6,0.4,2
E02006126,98.4,0.5,1.1
E02006127,98,0.4,1.6
E02006128,97.7,0.5,1.8
E02006129,96.1,0.8,3.1
E02006130,98.2,0.3,1.4
E02006131,97.5,0.7,1.9
E02006132,96.9,0.6,2.4
E02006133,95.9,0.7,3.4
E02006134,96.6,0.8,2.6
E02006135,97.1,0.8,2.1
E02006136,97,0.6,2.4
E02006137,87.8,1.3,10.9
E02006138,78.2,2.1,19.8
E02006139,75.4,2.5,22.1
E02006140,90.3,1.3,8.3
E02006141,69,3,28
E02006142,95.6,0.7,3.7
E02006143,92.2,1.2,6.6
E02006144,88.4,1.2,10.4
E02006145,97.4,0.9,1.7
E02006146,97.6,0.4,2
E02006147,96.6,0.8,2.5
E02006148,97.7,0.7,1.6
E02006149,94.1,1.2,4.8
E02006150,95.6,1.1,3.2
E02006151,98.4,0.3,1.2
E02006152,95,1.3,3.7
E02006153,96.5,1,2.5
E02006154,98.6,0.4,1.1
E02006155,97.4,0.8,1.8
E02006156,96.1,1.1,2.8
E02006157,95.9,0.6,3.4
E02006158,98.8,0.4,0.8
E02006159,97.7,0.8,1.5
E02006160,97.4,0.4,2.2
E02006161,96.6,1,2.4
E02006162,97.5,0.8,1.8
E02006163,96.2,0.9,2.9
E02006164,93.5,0.9,5.6
E02006165,95.1,0.9,4
E02006166,97.2,0.8,2
E02006167,91.6,1.9,6.5
E02006168,89.1,1.7,9.1
E02006169,91.1,2.6,6.3
E02006170,97.9,0.4,1.7
E02006171,94.6,1.2,4.2
E02006172,95,1.6,3.4
E02006173,97.6,0.9,1.5
E02006174,98.6,0.4,1
E02006175,98,0.5,1.5
E02006176,98,0.6,1.4
E02006177,98.8,0.2,1
E02006178,98.5,0.5,1
E02006179,96.1,0.8,3.2
E02006180,98.5,0.3,1.1
E02006181,97.6,0.7,1.7
E02006182,97.5,0.9,1.7
E02006185,98.1,0.5,1.4
E02006186,98.2,0.5,1.4
E02006188,98.1,0.6,1.3
E02006189,97,0.6,2.4
E02006190,96,0.9,3.1
E02006191,97,0.8,2.2
E02006192,97.4,0.7,1.9
E02006193,94.6,1.3,4.1
E02006194,93.5,1.1,5.4
E02006195,97.9,0.7,1.3
E02006196,86.8,2.1,11.1
E02006197,87.5,1.8,10.7
E02006198,93.7,1.4,4.9
E02006199,95.5,1,3.5
E02006200,93.2,0.9,5.9
E02006201,95.1,1.6,3.3
E02006202,97.1,0.9,2
E02006203,94.2,1.3,4.5
E02006204,96.9,0.7,2.4
E02006205,98.1,0.7,1.2
E02006206,98,0.4,1.6
E02006207,98.9,0.4,0.6
E02006208,96.3,0.9,2.8
E02006209,98,0.5,1.5
E02006210,98.1,0.7,1.2
E02006211,98.9,0.3,0.8
E02006212,98.2,0.4,1.4
E02006213,98.2,0.6,1.2
E02006214,97.2,0.7,2.1
E02006215,98.5,0.4,1.1
E02006216,98.6,0.3,1
E02006217,96.3,0.5,3.2
E02006218,90.5,0.9,8.5
E02006219,94.5,0.7,4.8
E02006220,94.9,0.7,4.4
E02006221,93.7,0.7,5.6
E02006222,93.1,0.6,6.3
E02006223,92.6,0.9,6.5
E02006224,95.7,0.9,3.4
E02006225,97.6,0.4,2
E02006226,96,0.6,3.4
E02006468,97.8,0.4,1.8
E02006469,96.7,0.4,3
E02006470,95.3,0.6,4.1
E02006471,97.5,0.5,2
E02006472,97.4,0.7,2
E02006473,97.4,0.5,2
E02006474,96.7,0.6,2.7
E02006475,95.7,0.9,3.4
E02006476,89.9,1.3,8.8
E02006477,94.7,1.2,4.1
E02006478,96,0.9,3.1
E02006479,80.2,2,17.8
E02006480,91.9,1.1,7
E02006481,94,0.7,5.2
E02006482,92.4,1.1,6.6
E02006483,84.9,1.7,13.4
E02006484,92.8,1.3,5.9
E02006485,96.2,0.7,3.1
E02006486,95.5,0.8,3.7
E02006809,86.4,2.3,11.3
E02006810,88.5,1.1,10.5
E02006872,96.5,1,2.5
E02006894,65,2.7,32.3
E02006919,96.4,0.5,3.1
E02006920,96.8,0.7,2.5
E02006943,67.1,2.7,30.3
E02006944,67.5,3.4,29.1
E02006974,94,0.6,5.4
E02006982,97.9,0.6,1.6
E02007029,97,1,1.9
E02007030,95.4,1.5,3.1
E02007031,95.1,1.3,3.6
E02007038,84.4,2.1,13.5
E02007050,91.6,1.6,6.8
E02007051,94.5,1,4.5
