geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02001678,85.1,11.2,3.8
E02001679,75.5,16.8,7.7
E02001680,70.6,19.7,9.7
E02001681,84.5,11.9,3.6
E02001827,83.1,12.1,4.8
E02001828,83.2,12,4.8
E02001829,87.5,9.6,2.9
E02001830,86.2,10.4,3.4
E02001831,80.2,12.9,6.9
E02001832,84.3,11.7,4
E02001833,83.5,12.4,4.2
E02001834,78.9,14,7.1
E02001835,83.8,11.9,4.3
E02001836,83.4,11.9,4.7
E02001837,76,15.3,8.7
E02001838,84.5,12,3.5
E02001839,78.5,15.1,6.3
E02001840,74.6,15.6,9.8
E02001841,83.5,11.3,5.1
E02001842,82.1,13.3,4.5
E02001843,80.2,14.6,5.1
E02001844,78.5,15.3,6.3
E02001845,83.5,12.1,4.4
E02001846,77.4,14.8,7.8
E02001847,81.2,14,4.8
E02001848,79,13.9,7.1
E02001849,81.8,12.4,5.8
E02001850,83.4,11.7,4.9
E02001851,78.3,13.9,7.8
E02001852,78.5,15.1,6.3
E02001855,72.7,16.8,10.6
E02001856,81.6,13.2,5.2
E02001857,77.1,15.6,7.3
E02001858,81.5,13.6,4.9
E02001859,81.3,12.8,5.9
E02001860,80.5,13.5,6
E02001861,80.4,13.6,5.9
E02001862,80.3,13.6,6.1
E02001863,79.7,13,7.3
E02001865,80.8,13.2,6
E02001866,78.2,14.6,7.3
E02001867,81,12.9,6
E02001868,83,12.3,4.7
E02001869,82.1,11.7,6.2
E02001870,82.6,11.8,5.5
E02001871,75.4,16.2,8.4
E02001872,77,14.8,8.2
E02001873,80.6,13.5,5.9
E02001874,81.7,12,6.3
E02001875,82.7,12.2,5.1
E02001876,88.1,9,2.9
E02001877,81.7,12,6.4
E02001878,80.9,12.7,6.4
E02001879,78.5,14.8,6.8
E02001880,78.9,13.8,7.4
E02001881,81.1,12.5,6.4
E02002000,78.1,15.1,6.8
E02002001,79,14.7,6.3
E02002002,78.7,15.9,5.3
E02002003,77.3,15.7,7.1
E02002004,76.9,15.8,7.3
E02002005,79.2,13.7,7.1
E02002006,78.2,14.3,7.5
E02002007,77.7,16.3,6.1
E02002008,84,11.8,4.2
E02002009,78.9,13.7,7.4
E02002010,77.3,15.7,7
E02002011,81.6,13.8,4.6
E02002012,73.5,17.9,8.6
E02002013,79.4,15.1,5.5
E02002014,80.1,14,5.8
E02002015,80.8,14.4,4.8
E02002016,74.7,16.8,8.5
E02002017,76.2,16.4,7.4
E02002018,80.8,14.2,5
E02002019,77.9,15.1,7.1
E02002020,80.3,14.7,5.1
E02002043,76.7,15.8,7.5
E02002044,81.5,13.1,5.4
E02002045,77.6,15.3,7.1
E02002046,75.2,15.8,9
E02002047,74.4,17.2,8.4
E02002048,81.8,13.2,5
E02002049,79.4,14.1,6.5
E02002051,77.6,14.6,7.7
E02002052,77.9,14.7,7.4
E02002053,81.1,13.4,5.5
E02002054,80.5,14.5,5
E02002055,78.4,14.7,6.8
E02002056,76.4,15.6,7.9
E02002057,76.6,15.4,8
E02002058,80,13.7,6.3
E02002059,77.9,14.8,7.3
E02002060,78.8,13.7,7.5
E02002061,78,14.5,7.5
E02002062,77.9,14.9,7.2
E02002063,81.8,12.9,5.4
E02002064,80.8,13.7,5.5
E02002065,81.5,12.9,5.6
E02002066,79.3,14.6,6.1
E02002067,80.6,14,5.3
E02002069,76.3,15.9,7.7
E02002070,79.2,13.5,7.3
E02002071,75.7,16.7,7.6
E02002072,79.9,14.1,6.1
E02002073,77.2,15.2,7.6
E02002081,79,15.6,5.4
E02002082,76.6,15.5,7.9
E02002083,82.8,13.1,4.1
E02002084,77.1,15.4,7.4
E02002085,79.1,14.2,6.7
E02002110,79.7,14.3,6
E02002111,74.7,17.2,8.1
E02002112,78.9,14.8,6.3
E02002113,78.1,15.1,6.8
E02002114,77.2,15.6,7.2
E02002115,74.8,17.1,8
E02002116,79.4,15.3,5.4
E02002117,77.4,16.3,6.2
E02002118,75.3,16.1,8.5
E02002119,78.7,14.6,6.7
E02002120,81.2,13.5,5.3
E02002121,74.5,16.7,8.8
E02002122,81.7,11.9,6.4
E02002123,78.2,15.1,6.7
E02002124,75.8,16.7,7.6
E02002125,76.8,16.3,6.9
E02002126,73.8,16.7,9.5
E02002127,79.5,13,7.4
E02002128,76.3,16.5,7.2
E02002129,78.1,16,5.9
E02002130,76.8,15.3,7.9
E02002131,81.9,13.4,4.6
E02002132,76.9,15.3,7.9
E02002133,77.7,15.2,7.1
E02002134,78.6,14.8,6.7
E02002135,78,14.8,7.1
E02002136,79.2,14.6,6.1
E02002137,83.6,12.9,3.5
E02002138,81.9,13,5.1
E02002139,78.9,14.4,6.7
E02002140,78.9,14.4,6.7
E02002141,84.7,11.6,3.8
E02002142,78.7,14.3,7
E02002143,80,13.5,6.6
E02002144,83.6,12.3,4.2
E02002145,79.5,13.6,6.9
E02002146,79.3,14.5,6.2
E02002147,78.8,14.1,7.1
E02002148,82.1,13.2,4.7
E02002149,77.7,15,7.3
E02002150,79.7,14.2,6
E02002151,77.5,15.2,7.4
E02002152,76.1,15.9,8
E02002153,75.4,16.7,7.9
E02002154,81.9,12.6,5.5
E02002155,78.3,14.5,7.2
E02002156,79.1,14.5,6.4
E02002157,82.9,12.8,4.3
E02002158,74.9,17.6,7.5
E02002159,81.1,13.2,5.6
E02002160,79.7,15,5.3
E02002161,82.8,11.9,5.3
E02002162,79,15.2,5.8
E02002163,79.7,13.6,6.7
E02002164,81.7,12.9,5.4
E02002165,79.4,14.4,6.3
E02002166,75.1,16.6,8.3
E02002167,80.4,14.5,5.1
E02002168,80.4,13.6,6
E02002169,81.1,13.8,5.1
E02002170,78.2,14.8,7
E02002171,76.4,15.9,7.6
E02002174,79.8,14.9,5.2
E02002175,76.8,15.3,8
E02002176,80.2,14.2,5.6
E02002177,81.3,12.5,6.2
E02002178,79.8,13.4,6.8
E02002179,82,13.4,4.6
E02002180,77.1,16.3,6.6
E02002181,78.5,14.7,6.8
E02002182,76.3,16.4,7.3
E02002586,71.7,16.4,11.9
E02002587,75.4,15.1,9.5
E02002588,70.4,18.3,11.3
E02002589,81.3,13.9,4.7
E02002796,83.7,12.2,4.1
E02002797,81.7,14,4.4
E02002798,85.7,11.1,3.2
E02002799,79.9,14.3,5.8
E02002800,82.5,12.8,4.7
E02002801,77.7,15.8,6.5
E02002802,75.4,16.4,8.2
E02002803,79.9,14.1,6
E02002804,79.5,14.2,6.3
E02002806,80.9,13.8,5.3
E02002807,78.9,15.3,5.8
E02002808,80.9,13.4,5.8
E02002810,83.9,12,4
E02002811,79.8,13.2,7
E02002812,80.4,13,6.5
E02002813,79.8,12.9,7.2
E02002814,81,14.2,4.8
E02002815,83.4,11.6,5
E02002816,86.9,9.6,3.5
E02002817,81.3,13.3,5.4
E02002818,80,13,7
E02002819,76.7,16.6,6.7
E02002820,78.7,14.9,6.3
E02002821,78.8,14.3,6.9
E02002822,79.5,14.8,5.7
E02002823,75.3,16.6,8
E02002824,79.5,14.2,6.3
E02002825,80.4,14.2,5.3
E02002826,84.6,11.6,3.9
E02002928,81.2,13.4,5.3
E02002929,84.1,11.9,4
E02002930,81.7,13,5.2
E02002931,83.8,11.7,4.5
E02002932,77.3,15.1,7.6
E02002933,78.4,16,5.6
E02002934,80.8,13.1,6
E02002935,77.4,16,6.7
E02002936,83.1,11.3,5.5
E02002937,82.2,12.9,4.9
E02002938,78.9,14.6,6.5
E02002939,78.1,15.4,6.5
E02002940,76.9,15.7,7.4
E02002941,77.3,15.4,7.4
E02002942,87.3,9.4,3.2
E02002944,74.8,16.2,9
E02002945,79.5,14.2,6.3
E02002946,76.1,16.7,7.2
E02002947,78.7,14.2,7.1
E02002948,77.4,15.5,7.1
E02002949,74.6,17.3,8.1
E02002950,76.2,15.6,8.2
E02002951,77.4,14.9,7.7
E02002952,79.1,13.6,7.3
E02002953,73.6,17.4,9
E02002954,77.1,15.1,7.8
E02002955,78.4,14.5,7.2
E02002956,76.9,15.3,7.7
E02002957,81.6,12.9,5.5
E02002958,78.5,13.8,7.7
E02002959,76.2,15,8.8
E02002960,80.2,14.1,5.7
E02002961,78.7,14.3,7.1
E02002962,73.2,17,9.8
E02002963,76.9,15.4,7.7
E02002964,74.5,17.3,8.2
E02002965,80.4,13.5,6.1
E02002966,81.2,13.4,5.3
E02002967,74,16.3,9.7
E02002968,82.2,12.9,5
E02002969,78.5,14.8,6.7
E02002970,76.1,15.7,8.2
E02002973,79.4,13.7,6.9
E02002974,76,15.8,8.2
E02002975,81,13.1,5.9
E02002976,78.2,14.9,6.9
E02002977,71.8,17.6,10.6
E02002978,74.6,16.3,9
E02002979,79,14.1,6.8
E02002980,79,14.4,6.6
E02002981,78.7,14.3,7
E02002982,77.3,14.9,7.8
E02002983,82.4,12.8,4.8
E02002984,83.4,12.6,3.9
E02003800,85.8,10.7,3.4
E02003809,84,11.7,4.3
E02003810,84.3,11.5,4.2
E02003811,87.1,9.7,3.3
E02003812,84.5,11,4.5
E02003813,80.3,13.9,5.8
E02003814,83.5,12.1,4.4
E02003815,79.5,14.3,6.2
E02003816,79.4,14.6,5.9
E02003817,82.6,12.7,4.7
E02003818,85.5,10.9,3.6
E02003819,81.4,13.7,4.9
E02003820,87.4,9.1,3.5
E02003821,79.7,14.1,6.2
E02003822,81.8,13.3,4.9
E02003823,79.7,14.7,5.6
E02003824,85.9,9.9,4.2
E02003825,85.6,11.1,3.3
E02003826,78.5,14,7.5
E02003827,77.8,15.6,6.6
E02003828,79.7,13.8,6.5
E02003829,78.7,15.8,5.6
E02003830,79.5,14.2,6.3
E02003831,84.1,11.7,4.2
E02003832,84.2,11.2,4.6
E02003833,81.4,13.3,5.3
E02003834,82.6,12.9,4.5
E02003835,84.1,12.1,3.9
E02003836,78,15.5,6.5
E02003838,83.4,12.5,4.1
E02003839,79.7,14.9,5.5
E02003840,83.1,12.8,4
E02003858,87.7,9.3,3
E02003859,83.9,10.6,5.6
E02003860,89.7,7.8,2.5
E02003861,82.5,11.9,5.7
E02003862,86.5,9.3,4.2
E02003863,87.7,9.7,2.6
E02003864,84.8,10.6,4.6
E02003865,84,12.4,3.6
E02003866,87.4,9.8,2.7
E02003867,84.2,11.4,4.4
E02003868,80.7,13.5,5.8
E02003869,82.9,12.5,4.6
E02003870,82.3,13.2,4.5
E02003871,78,15.1,6.9
E02003872,84.6,11.6,3.7
E02003873,78.6,14.2,7.2
E02003874,82.6,12.4,5
E02003875,83.6,12,4.4
E02003876,81.1,14.1,4.8
E02003877,83.7,12.4,3.9
E02003878,80.9,14.2,4.9
E02003879,84.1,11.4,4.5
E02003880,79.1,14.8,6.1
E02003881,80.2,14.2,5.6
E02003882,78,14.6,7.4
E02003883,87.4,10,2.7
E02003884,84.7,11.5,3.8
E02003885,83.7,11.9,4.4
E02003886,79.2,14.9,5.9
E02003887,82.1,12.7,5.2
E02003888,75.5,15.8,8.7
E02003889,76.5,15.9,7.5
E02003890,81.1,12.9,6
E02003891,85.5,10.9,3.6
E02004030,80.6,13.9,5.5
E02004034,79.9,14.7,5.4
E02004035,81.9,13.4,4.7
E02004037,84.1,12.1,3.8
E02004038,79,15.7,5.3
E02004039,82.3,13.2,4.5
E02004043,80.9,14.2,4.9
E02004044,87.6,9.6,2.8
E02004055,74.2,17.9,7.9
E02004058,73.4,18,8.6
E02004061,76.5,16.3,7.2
E02004062,75.6,16.4,7.9
E02004063,78.6,15.5,5.9
E02004064,78.2,15.5,6.3
E02004065,82.2,13.4,4.4
E02004066,78.2,15.7,6.1
E02004067,69.3,19.6,11.1
E02004068,83.4,12.2,4.4
E02004069,84,12.3,3.8
E02004072,81.8,13.8,4.4
E02004073,78.9,14.8,6.2
E02004074,79.2,15.7,5.1
E02004075,83.9,12.2,4
E02004076,82.2,12.5,5.3
E02004077,85.5,11.7,2.8
E02004081,81.3,13.4,5.3
E02004100,84.7,11.9,3.5
E02004102,77.2,16.3,6.6
E02004103,79.1,14.5,6.4
E02004104,84.6,12.2,3.2
E02004106,79.6,14.8,5.5
E02004108,77.6,16.6,5.9
E02004109,82.5,13.6,3.9
E02004110,84.4,11.8,3.8
E02004112,79.6,15.2,5.3
E02004114,81,14.4,4.7
E02004116,71.6,19,9.4
E02004118,85.1,11.4,3.5
E02004119,86.6,10.4,3
E02004120,84.9,11.6,3.5
E02004122,86.2,10.6,3.1
E02004123,83.9,11.4,4.7
E02004124,79.3,14.9,5.8
E02004125,77.6,15.8,6.6
E02004126,76.6,16.7,6.6
E02004128,80.7,14,5.2
E02005384,84.1,11.7,4.2
E02005399,85.2,10.9,3.9
E02005401,84.9,11.6,3.5
E02005402,81.4,13.7,4.9
E02005404,81.6,13.4,5
E02005408,82.2,13,4.8
E02006008,84.2,11.7,4.1
E02006009,82.6,12.2,5.2
E02006010,81,13.9,5.1
E02006011,79.6,15.1,5.3
E02006012,78.4,15.1,6.5
E02006013,81.3,13.3,5.4
E02006015,79.7,14.5,5.8
E02006016,81.4,13.1,5.5
E02006018,80.5,14,5.4
E02006019,78,15.5,6.5
E02006020,81.7,13.2,5.1
E02006021,84.4,11.9,3.7
E02006022,83.9,12.2,4
E02006029,79.7,14.1,6.2
E02006030,81.5,13.6,4.9
E02006031,80.1,13.8,6.1
E02006032,79.2,14.8,6
E02006033,82.1,13.7,4.2
E02006034,85.2,11.1,3.7
E02006035,80.3,14.7,5
E02006036,81.4,13.8,4.8
E02006037,84.6,11.4,4
E02006038,82.2,12.9,4.9
E02006040,84.7,11.2,4.1
E02006042,79.2,15.5,5.3
E02006118,81.4,14,4.6
E02006119,75.7,16.2,8.1
E02006120,77.8,15.1,7.1
E02006121,79.5,13.9,6.6
E02006122,81.4,13,5.6
E02006123,80.3,14.3,5.4
E02006124,73.9,17,9.1
E02006125,75.8,16.7,7.5
E02006126,80.5,13.3,6.2
E02006127,86.7,10.1,3.3
E02006128,77.5,15.9,6.6
E02006129,76.1,16.6,7.3
E02006130,80.6,14,5.4
E02006131,81.8,13.9,4.3
E02006132,81.7,13.5,4.8
E02006133,81.9,13.6,4.5
E02006134,83.6,12.2,4.2
E02006135,82.4,13.6,4.1
E02006136,83,13.1,4
E02006137,78.7,14.6,6.8
E02006138,83,11.9,5.1
E02006139,82.5,12.7,4.8
E02006140,79.3,14.6,6
E02006141,83.8,11.4,4.7
E02006142,83.4,12.5,4.1
E02006143,85.1,11.8,3.1
E02006144,75.3,17.2,7.5
E02006145,84.4,11.4,4.2
E02006146,80.2,13.7,6.1
E02006147,84.7,11.1,4.2
E02006148,83.9,12.3,3.8
E02006149,78.8,14.6,6.6
E02006150,82.4,12.8,4.8
E02006151,79.7,14.6,5.7
E02006152,84.5,11.5,4
E02006153,86.9,10,3.2
E02006154,78.4,15.9,5.7
E02006155,77.3,15.6,7.1
E02006156,84.7,11.5,3.9
E02006157,81.2,13.9,4.9
E02006158,82.3,13.3,4.4
E02006159,76,16.8,7.2
E02006160,77.9,15.2,6.9
E02006161,79.3,14.9,5.9
E02006162,78.8,14.6,6.6
E02006163,77,15,8
E02006164,74.2,17,8.8
E02006165,80,13.9,6
E02006166,82.7,13.2,4.2
E02006167,77.1,14.6,8.2
E02006168,75.3,16.8,7.9
E02006169,82.1,12.8,5.1
E02006170,79.9,14.2,5.9
E02006171,79.2,14.7,6
E02006172,83.1,12.4,4.5
E02006173,83,13,4
E02006174,82.3,12.6,5.2
E02006175,81,13.6,5.4
E02006176,82,13,5
E02006177,80.5,14,5.5
E02006178,78,15.7,6.3
E02006179,77.9,16.2,6
E02006180,76.9,16.1,7.1
E02006181,78.1,15.5,6.4
E02006182,84.3,12.2,3.5
E02006185,79.2,14.6,6.2
E02006186,82.4,13,4.6
E02006188,81.2,13.6,5.2
E02006189,80.4,14.3,5.3
E02006190,80.4,14.1,5.5
E02006191,85,11.6,3.4
E02006192,84,12.1,3.9
E02006193,82.9,13.2,3.9
E02006194,80.5,14.1,5.4
E02006195,82.3,13.2,4.5
E02006196,79.1,15,6
E02006197,80.1,14,5.9
E02006198,85.4,11.1,3.5
E02006199,82.3,13.2,4.5
E02006200,76.8,16,7.2
E02006201,84.9,11.7,3.4
E02006202,83.1,12.5,4.5
E02006203,77.8,14.7,7.5
E02006204,78,15,7
E02006205,81.6,13.7,4.7
E02006206,77.3,15.2,7.4
E02006207,78.5,16.4,5.2
E02006208,76.7,15.8,7.5
E02006209,81.7,13.5,4.9
E02006210,82.6,13.5,3.9
E02006211,81.8,13.4,4.8
E02006212,81.5,12.7,5.8
E02006213,80.4,14,5.6
E02006214,77.8,16.1,6.1
E02006215,80.6,14.1,5.3
E02006216,82.7,12.6,4.7
E02006217,81.8,13.1,5
E02006218,75.8,16.1,8.1
E02006219,80.8,13.5,5.7
E02006220,78,15.4,6.6
E02006221,83,12.8,4.2
E02006222,79.4,14.2,6.4
E02006223,75.6,16.7,7.7
E02006224,83.5,11.9,4.6
E02006225,82.8,13.1,4.1
E02006226,82.7,12.6,4.8
E02006468,80.9,14.1,5
E02006469,78.7,14.7,6.6
E02006470,77,16,7
E02006471,83.3,12.3,4.4
E02006472,80.5,13.8,5.8
E02006473,81.9,13,5
E02006474,80.6,13.9,5.5
E02006475,84.2,11.6,4.3
E02006476,79.1,14.8,6.2
E02006477,84.9,10.8,4.2
E02006478,83.7,11.9,4.4
E02006479,77.7,15.4,6.9
E02006480,78.1,15.4,6.5
E02006481,77.7,15.8,6.5
E02006482,82.1,13.4,4.5
E02006483,75.6,17.2,7.3
E02006484,78.3,15.3,6.4
E02006485,84,12.2,3.9
E02006486,78.9,14.8,6.3
E02006809,82.1,12.9,4.9
E02006810,80,14.5,5.4
E02006872,82,13.1,5
E02006894,81,13.3,5.7
E02006919,82.1,13.2,4.7
E02006920,82.2,12.5,5.3
E02006943,82.2,12.1,5.7
E02006944,83.9,11.6,4.5
E02006974,74.6,16.6,8.8
E02006982,83,12.7,4.3
E02007029,80.2,14.9,4.9
E02007030,88,8.8,3.3
E02007031,88.9,8.4,2.7
E02007038,79.8,13.8,6.3
E02007050,85.4,10.2,4.4
E02007051,85.8,10,4.1
