geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02001678,59.9,40.1
E02001679,36.7,63.3
E02001680,28.7,71.3
E02001681,55.1,44.9
E02001827,54.2,45.8
E02001828,52.6,47.4
E02001829,59,41
E02001830,58.9,41.1
E02001831,41.5,58.5
E02001832,53.5,46.5
E02001833,52.8,47.2
E02001834,36.4,63.6
E02001835,46.4,53.6
E02001836,54.8,45.2
E02001837,32.2,67.8
E02001838,55.4,44.6
E02001839,39.4,60.6
E02001840,32.8,67.2
E02001841,59.5,40.5
E02001842,45.5,54.5
E02001843,40.5,59.5
E02001844,41.9,58.1
E02001845,41.3,58.7
E02001846,34.7,65.3
E02001847,51.2,48.8
E02001848,36,64
E02001849,29.7,70.3
E02001850,46.1,53.9
E02001851,38.4,61.6
E02001852,36.8,63.2
E02001855,28.3,71.7
E02001856,37.5,62.5
E02001857,30.2,69.8
E02001858,35.3,64.7
E02001859,47.7,52.3
E02001860,44.7,55.3
E02001861,41.6,58.4
E02001862,43.1,56.9
E02001863,43.6,56.4
E02001865,45,55
E02001866,41.7,58.3
E02001867,40.6,59.4
E02001868,51.9,48.1
E02001869,33.8,66.2
E02001870,49.2,50.8
E02001871,34.1,65.9
E02001872,30.9,69.1
E02001873,34.9,65.1
E02001874,47.3,52.7
E02001875,32.9,67.1
E02001876,14.6,85.4
E02001877,47.6,52.4
E02001878,44.5,55.5
E02001879,36.6,63.4
E02001880,35,65
E02001881,47.2,52.8
E02002000,40,60
E02002001,42.7,57.3
E02002002,58,42
E02002003,47.1,52.9
E02002004,41.5,58.5
E02002005,39.8,60.2
E02002006,40.6,59.4
E02002007,48.8,51.2
E02002008,52.3,47.7
E02002009,42.8,57.2
E02002010,34.9,65.1
E02002011,52.6,47.4
E02002012,37.8,62.2
E02002013,55,45
E02002014,41.3,58.7
E02002015,47.2,52.8
E02002016,37.1,62.9
E02002017,41,59
E02002018,55.9,44.1
E02002019,42.6,57.4
E02002020,49,51
E02002043,42.7,57.3
E02002044,44.5,55.5
E02002045,42.7,57.3
E02002046,39.4,60.6
E02002047,42.7,57.3
E02002048,51.6,48.4
E02002049,44.4,55.6
E02002051,38.6,61.4
E02002052,41.6,58.4
E02002053,45.1,54.9
E02002054,45.3,54.7
E02002055,44.9,55.1
E02002056,37.9,62.1
E02002057,41.9,58.1
E02002058,43.7,56.3
E02002059,44.1,55.9
E02002060,44.8,55.2
E02002061,46,54
E02002062,41.1,58.9
E02002063,44.1,55.9
E02002064,44.7,55.3
E02002065,51.5,48.5
E02002066,43.9,56.1
E02002067,46.6,53.4
E02002069,39.3,60.7
E02002070,42.8,57.2
E02002071,40.2,59.8
E02002072,42.5,57.5
E02002073,43.1,56.9
E02002081,48.6,51.4
E02002082,32.4,67.6
E02002083,53.2,46.8
E02002084,34.8,65.2
E02002085,36.8,63.2
E02002110,45.7,54.3
E02002111,39.4,60.6
E02002112,50.3,49.7
E02002113,43.4,56.6
E02002114,47.2,52.8
E02002115,41.7,58.3
E02002116,51.6,48.4
E02002117,43.9,56.1
E02002118,36.7,63.3
E02002119,47.5,52.5
E02002120,51.9,48.1
E02002121,37.4,62.6
E02002122,38.2,61.8
E02002123,42.4,57.6
E02002124,41.5,58.5
E02002125,40.7,59.3
E02002126,32.7,67.3
E02002127,42.4,57.6
E02002128,46,54
E02002129,46.8,53.2
E02002130,41.2,58.8
E02002131,56.4,43.6
E02002132,41.7,58.3
E02002133,43.8,56.2
E02002134,38.8,61.2
E02002135,41.4,58.6
E02002136,43.6,56.4
E02002137,57.8,42.2
E02002138,50.6,49.4
E02002139,36.4,63.6
E02002140,47.3,52.7
E02002141,56.4,43.6
E02002142,40.8,59.2
E02002143,50.7,49.3
E02002144,60.9,39.1
E02002145,39.7,60.3
E02002146,47.3,52.7
E02002147,39.3,60.7
E02002148,48.9,51.1
E02002149,43.2,56.8
E02002150,44.2,55.8
E02002151,36.4,63.6
E02002152,36.4,63.6
E02002153,40.1,59.9
E02002154,42.2,57.8
E02002155,33.2,66.8
E02002156,45.7,54.3
E02002157,49.2,50.8
E02002158,43,57
E02002159,38.4,61.6
E02002160,49.3,50.7
E02002161,41.8,58.2
E02002162,50.9,49.1
E02002163,35.8,64.2
E02002164,32,68
E02002165,33.6,66.4
E02002166,36.7,63.3
E02002167,47.6,52.4
E02002168,31.8,68.2
E02002169,54.3,45.7
E02002170,45.3,54.7
E02002171,41,59
E02002174,47.1,52.9
E02002175,40.3,59.7
E02002176,43.2,56.8
E02002177,40.4,59.6
E02002178,55.6,44.4
E02002179,52.9,47.1
E02002180,47.6,52.4
E02002181,40.1,59.9
E02002182,43.1,56.9
E02002586,32.3,67.7
E02002587,36.9,63.1
E02002588,36.5,63.5
E02002589,58.2,41.8
E02002796,58,42
E02002797,56.5,43.5
E02002798,49,51
E02002799,36.6,63.4
E02002800,45.2,54.8
E02002801,43.8,56.2
E02002802,33.4,66.6
E02002803,17,83
E02002804,41.2,58.8
E02002806,20.8,79.2
E02002807,44.1,55.9
E02002808,21.2,78.8
E02002810,54.4,45.6
E02002811,42.7,57.3
E02002812,47.6,52.4
E02002813,42,58
E02002814,55.6,44.4
E02002815,50.9,49.1
E02002816,57.7,42.3
E02002817,55.3,44.7
E02002818,43.1,56.9
E02002819,36.4,63.6
E02002820,37.3,62.7
E02002821,34.2,65.8
E02002822,47.1,52.9
E02002823,41.6,58.4
E02002824,43.5,56.5
E02002825,47.3,52.7
E02002826,49.8,50.2
E02002928,49.6,50.4
E02002929,51.8,48.2
E02002930,43,57
E02002931,57,43
E02002932,37.9,62.1
E02002933,48.7,51.3
E02002934,49,51
E02002935,46.3,53.7
E02002936,41.7,58.3
E02002937,53.7,46.3
E02002938,45,55
E02002939,42.1,57.9
E02002940,40.8,59.2
E02002941,43.9,56.1
E02002942,55.2,44.8
E02002944,35.5,64.5
E02002945,43.3,56.7
E02002946,42.8,57.2
E02002947,40.7,59.3
E02002948,32.8,67.2
E02002949,42.2,57.8
E02002950,39.9,60.1
E02002951,46.8,53.2
E02002952,42.3,57.7
E02002953,42.3,57.7
E02002954,42.7,57.3
E02002955,39.8,60.2
E02002956,40.4,59.6
E02002957,51,49
E02002958,40.2,59.8
E02002959,34.2,65.8
E02002960,49.2,50.8
E02002961,42.2,57.8
E02002962,34,66
E02002963,34.4,65.6
E02002964,43.1,56.9
E02002965,37.8,62.2
E02002966,27.6,72.4
E02002967,32.4,67.6
E02002968,38.3,61.7
E02002969,31.3,68.7
E02002970,31.7,68.3
