geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02001678,4.7,15,34,46.3
E02001679,13.9,31.3,47.7,7.1
E02001680,22.5,33.3,41.5,2.7
E02001681,8.3,15,44.9,31.7
E02001827,6.7,22.5,33.8,37.1
E02001828,9.2,29.1,33.3,28.4
E02001829,2.1,13.7,43.7,40.5
E02001830,7.1,18.7,23.8,50.4
E02001831,12.9,23.3,47.5,16.3
E02001832,10.4,19.1,38.6,32
E02001833,2.2,12.4,64.5,21
E02001834,3.7,24.7,64.1,7.5
E02001835,12.8,27.1,29.1,30.9
E02001836,6.6,10,50,33.4
E02001837,10.6,13.8,70.3,5.3
E02001838,3.8,16.8,41.3,38.1
E02001839,9.4,29.4,55.1,6.1
E02001840,16,20.9,54,9.1
E02001841,2,14,35.5,48.5
E02001842,1.9,13.6,74.4,10.1
E02001843,5.4,29,58,7.6
E02001844,16.7,27.4,37.8,18.1
E02001845,3.3,17.7,73.6,5.4
E02001846,13,20.1,59,7.9
E02001847,4.1,18.8,57.1,20.1
E02001848,6.4,23.5,61.8,8.3
E02001849,17.9,38.9,33.4,9.8
E02001850,5.3,12.3,67.7,14.7
E02001851,9.4,28.8,47.6,14.2
E02001852,16.4,15.2,56,12.3
E02001855,10.6,30.1,49.8,9.5
E02001856,9.2,32.6,44.6,13.6
E02001857,23.5,25.2,36.1,15.2
E02001858,29.7,19.8,28.6,21.8
E02001859,5.9,22.4,51.3,20.3
E02001860,6.5,25.9,52.2,15.5
E02001861,19.9,20.3,35.3,24.5
E02001862,10.9,22.7,51.6,14.8
E02001863,17.2,18.7,47.4,16.7
E02001865,8.8,22.7,43.4,25.1
E02001866,22.1,23.4,26.5,28
E02001867,19.2,23.8,36.5,20.5
E02001868,2.9,5.9,61.7,29.4
E02001869,19.9,36.2,37.3,6.6
E02001870,5.2,15.1,62.3,17.4
E02001871,15.8,39.1,38,7.1
E02001872,11.2,39.6,43,6.2
E02001873,13.1,33.6,40.3,13
E02001874,11.7,19.7,52.6,16
E02001875,24.6,37.1,28.9,9.5
E02001876,39.1,35.1,19.5,6.3
E02001877,11.5,20.6,50.1,17.8
E02001878,12.1,26.5,43.6,17.8
E02001879,16.4,33.5,31,19.1
E02001880,6.2,28.7,55.3,9.8
E02001881,9.2,12.4,64.7,13.7
E02002000,9.5,26.5,55.8,8.2
E02002001,11.5,18.5,55.2,14.9
E02002002,4.1,14,60.2,21.7
E02002003,9.3,14.9,65.3,10.5
E02002004,9.2,21.3,59,10.5
E02002005,3.5,26.8,58.5,11.2
E02002006,13,31.2,45.8,10.1
E02002007,6.4,24.1,59.1,10.5
E02002008,2.5,22.5,43.8,31.3
E02002009,14.3,24.9,49.4,11.4
E02002010,24.3,31,33.7,11.1
E02002011,7.6,19.9,58.3,14.3
