geography_code,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02001678,52.8,1.6,45.6
E02001679,52.4,4.7,42.9
E02001680,47.5,6,46.4
E02001681,54.6,2.5,42.9
E02001827,54.6,2.8,42.6
E02001828,52.9,2.7,44.4
E02001829,60.7,2.3,37
E02001830,55.1,1.8,43
E02001831,57.2,4,38.8
E02001832,58,2.7,39.3
E02001833,59,3.2,37.8
E02001834,56.8,5,38.2
E02001835,60.8,2.7,36.5
E02001836,56.6,2.6,40.8
E02001837,50.2,6.7,43.1
E02001838,58.5,2,39.5
E02001839,56.3,4,39.8
E02001840,48,6.1,45.9
E02001841,52.9,1.9,45.1
E02001842,58.2,4.1,37.7
E02001843,56.4,4.4,39.3
E02001844,55.4,3.1,41.5
E02001845,62,4.2,33.8
E02001846,53.5,5.8,40.6
E02001847,55.9,3,41.1
E02001848,49.5,6.8,43.7
E02001849,54.9,5.8,39.3
E02001850,54,5.4,40.6
E02001851,55.9,4,40.2
E02001852,51.8,6.4,41.8
E02001855,48.7,6.1,45.2
E02001856,52.7,7,40.3
E02001857,49.7,6.9,43.4
E02001858,49.8,7.5,42.7
E02001859,43.7,7.2,49.1
E02001860,45.1,7.3,47.6
E02001861,42.8,7.8,49.3
E02001862,46.8,8.4,44.9
E02001863,39.3,9.2,51.5
E02001865,41.8,9,49.2
E02001866,39.2,10.1,50.7
E02001867,40.1,8.4,51.5
E02001868,49.2,5.7,45.1
E02001869,40.8,10,49.3
E02001870,44.9,6.7,48.5
E02001871,48.6,5.9,45.4
E02001872,51.8,5.5,42.7
E02001873,43.9,8.7,47.4
E02001874,39.1,7.6,53.2
E02001875,47.8,9.4,42.8
E02001876,30.3,12.8,56.8
E02001877,36.3,7.5,56.2
E02001878,41.1,8.2,50.7
E02001879,42.2,7.9,50
E02001880,48.9,7,44
E02001881,41.1,7,51.9
E02002000,53.6,4.9,41.5
E02002001,58.1,3.3,38.6
E02002002,49.8,2.2,48
E02002003,55.2,3.3,41.5
E02002004,54.6,4.3,41.1
E02002005,52.7,5.4,41.8
E02002006,55.9,4.1,40
E02002007,54.9,2.6,42.5
E02002008,65,3,32
E02002009,50.4,6,43.6
E02002010,51.4,6.5,42.2
E02002011,55.8,2.6,41.6
E02002012,50.6,5.2,44.2
E02002013,51.2,2.4,46.4
E02002014,53.4,5,41.6
E02002015,60.1,3,36.9
E02002016,51.6,5.3,43.1
E02002017,52.5,4.6,42.9
E02002018,53.6,2.6,43.8
E02002019,53.3,4.6,42.1
E02002020,57.7,2.4,39.8
E02002043,53.4,5,41.5
E02002044,57.8,4.9,37.3
E02002045,55.1,3.9,41
E02002046,48.5,6,45.5
E02002047,45.4,4.9,49.7
E02002048,56.5,2.9,40.6
E02002049,55.7,5.5,38.8
E02002051,49.8,6.4,43.8
E02002052,52.6,5.5,41.9
E02002053,54.9,4,41.1
E02002054,54.1,3.8,42
E02002055,53.5,4.7,41.9
E02002056,52,6.5,41.5
E02002057,51.1,6.4,42.5
E02002058,57.6,5.1,37.3
E02002059,50.7,5.6,43.7
E02002060,48.1,6.7,45.3
E02002061,46.1,6.1,47.8
E02002062,47.6,7,45.4
E02002063,58.3,5,36.7
E02002064,58.4,4.8,36.8
E02002065,48.5,6.6,45
E02002066,48.1,6.4,45.5
E02002067,54.9,3.5,41.5
E02002069,52.2,5.5,42.3
E02002070,47,6.1,46.9
E02002071,51.6,4.9,43.5
E02002072,56.1,5.3,38.6
E02002073,51,5.1,43.9
E02002081,52.4,2.8,44.8
E02002082,51.4,5.8,42.8
E02002083,57.4,3.1,39.5
E02002084,52.6,5,42.4
E02002085,53.5,5.2,41.3
E02002110,60.6,3.1,36.3
E02002111,50.9,4.6,44.4
E02002112,55.6,2.9,41.5
E02002113,56.8,3.6,39.6
E02002114,52.7,2.8,44.5
E02002115,49.2,5.4,45.4
E02002116,55,2.1,42.8
E02002117,55.1,3.3,41.6
E02002118,51.1,6,42.9
E02002119,56.9,3.2,39.9
E02002120,56.7,3.7,39.6
E02002121,48.4,5.8,45.8
E02002122,52.9,5.9,41.2
E02002123,54.2,4.3,41.6
E02002124,51.4,3.3,45.3
E02002125,55.9,3.2,40.8
E02002126,49,5.5,45.5
E02002127,51.1,6.3,42.7
E02002128,51.2,3.3,45.5
E02002129,53.7,3.4,42.8
E02002130,51.5,4.8,43.7
E02002131,56.2,2.5,41.3
E02002132,52.2,5.2,42.6
E02002133,52.4,4.9,42.7
E02002134,54.3,5.4,40.3
E02002135,49.4,6.2,44.4
E02002136,56,4.9,39.1
E02002137,55.4,2.1,42.5
E02002138,54.7,4,41.3
E02002139,46.9,7.3,45.8
E02002140,48.5,5.4,46.1
E02002141,59.2,2.5,38.3
E02002142,50.1,6.5,43.4
E02002143,44.5,6.5,49
E02002144,55,2.7,42.3
E02002145,54.3,6.2,39.5
E02002146,51.3,4.6,44.1
E02002147,53.1,5.3,41.6
E02002148,60.4,2.6,36.9
E02002149,53.7,4.2,42
E02002150,55.9,5.2,39
E02002151,54.7,6.2,39.1
E02002152,49.8,6.4,43.8
E02002153,53.9,3.9,42.2
E02002154,62,5,32.9
E02002155,49.7,7.6,42.7
E02002156,57.5,4.2,38.2
E02002157,59.2,3.4,37.4
E02002158,52,4.7,43.3
E02002159,52.9,7.5,39.6
E02002160,55.7,3.7,40.6
E02002161,55.6,6.1,38.2
E02002162,50.6,2.8,46.6
E02002163,52,7.9,40.1
E02002164,45.1,11.2,43.7
E02002165,54,8.5,37.5
E02002166,48.8,6.5,44.7
E02002167,54.6,3.6,41.8
E02002168,48.5,9.8,41.7
E02002169,53.5,2.8,43.7
E02002170,52.2,4.8,43
E02002171,50.3,5.4,44.2
E02002174,56.3,4.2,39.5
E02002175,50,6.5,43.5
E02002176,54.2,4.7,41.1
E02002177,56.3,6.7,37
E02002178,53.9,4.4,41.7
E02002179,56.9,2.9,40.2
E02002180,53.4,4.5,42.1
E02002181,55.8,5.1,39.1
E02002182,53.8,5.2,41
E02002586,50,4.2,45.9
E02002587,53,3.6,43.5
E02002588,49.5,4.2,46.3
