geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E02001678,90.2,5.9,1.5,2.5
E02001679,89.5,4.4,2.3,3.8
E02001680,89.2,3.7,2.8,4.2
E02001681,90,6.4,1.4,2.2
E02001827,90.4,5.5,1.6,2.5
E02001828,90.2,5.4,1.7,2.7
E02001829,91.4,5.1,1.2,2.3
E02001830,90,6.2,1.4,2.4
E02001831,90.3,4.6,2.1,3
E02001832,90.6,5.4,1.7,2.4
E02001833,90.1,4.8,1.9,3.2
E02001834,89.4,4,2.5,4.1
E02001835,91,5.6,1.3,2.1
E02001836,90.3,5.3,1.7,2.8
E02001837,90.2,2.8,2.8,4.2
E02001838,89.7,6.3,1.5,2.5
E02001839,90.8,4.2,2,3.1
E02001840,88.8,3.9,3.1,4.2
E02001841,88.4,6,1.6,4
E02001842,91.4,3.9,2.1,2.6
E02001843,90.8,3.8,1.9,3.5
E02001844,91.3,4.7,1.5,2.6
E02001845,91.3,4.3,1.8,2.5
E02001846,91,3.4,2.6,3
E02001847,89.8,5.2,1.7,3.3
E02001848,91.1,3.2,2.4,3.3
E02001849,91.6,3.7,2,2.8
E02001850,91.6,3.7,2.4,2.3
E02001851,90.3,4.1,2.3,3.3
E02001852,92.2,2.9,2.4,2.5
E02001855,88.6,3.9,2.9,4.6
E02001856,91.9,3.5,2.2,2.4
E02001857,91.3,3.3,2.8,2.5
E02001858,92.6,3.5,2.1,1.8
E02001859,92.4,2.7,2.4,2.5
E02001860,92,3.1,2.3,2.6
E02001861,92,3,2.4,2.6
E02001862,92.1,2.9,2.4,2.5
E02001863,91.9,2.9,2.4,2.7
E02001865,91.8,2.9,2.4,2.8
E02001866,92.7,2.7,2.4,2.3
E02001867,92.8,2.6,2.3,2.3
E02001868,92,2.9,2.4,2.7
E02001869,93.1,2,2.3,2.6
E02001870,92.2,2.4,2.5,3
E02001871,89.1,4,2.7,4.2
E02001872,90.2,3.6,2.4,3.9
E02001873,92.3,2.8,2.4,2.4
E02001874,92.1,2.3,2.7,2.9
E02001875,93.2,2.8,2.1,1.9
E02001876,96.5,1.5,1.1,1
E02001877,91.9,2.4,2.9,2.8
E02001878,91.4,2.7,3,2.9
E02001879,91.4,3,2.5,3.2
E02001880,90.8,2.9,2.6,3.7
E02001881,92,2.4,2.4,3.2
E02002000,88.8,5,2.4,3.7
E02002001,89,5,2.6,3.4
